,number,value,datetime_start,datetime_complete,duration,params_CERN_TXN_beta_win,params_CERN_TXN_stop_loss,params_CERN_TXN_trade_freq,params_CERN_TXN_z_entry,params_CERN_TXN_z_exit,params_CERN_TXN_z_stop_scaler,params_CERN_TXN_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EA_TXN_beta_win,params_EA_TXN_stop_loss,params_EA_TXN_trade_freq,params_EA_TXN_z_entry,params_EA_TXN_z_exit,params_EA_TXN_z_stop_scaler,params_EA_TXN_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_INTC_PEP_beta_win,params_INTC_PEP_stop_loss,params_INTC_PEP_trade_freq,params_INTC_PEP_z_entry,params_INTC_PEP_z_exit,params_INTC_PEP_z_stop_scaler,params_INTC_PEP_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TMUS_TXN_beta_win,params_TMUS_TXN_stop_loss,params_TMUS_TXN_trade_freq,params_TMUS_TXN_z_entry,params_TMUS_TXN_z_exit,params_TMUS_TXN_z_stop_scaler,params_TMUS_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
45,45,3.254796663970753,2025-06-15 00:36:46.516736,2025-06-15 00:36:51.359127,0 days 00:00:04.842391,570.0,0.01,2m,3.5,2.5,1.7000000000000002,650.0,276.0,0.009000000000000001,1m,3.5,3.0,1.9000000000000001,648.0,402.0,0.007,1m,3.0,3.0,0.9,366.0,458.0,0.005,2m,1.5,1.5,1.6,624.0,780.0,0.006,2m,4.0,1.5,1.0,460.0,884.0,0.005,3m,2.5,1.0,1.3,442.0,474.0,0.008,1m,2.5,3.0,0.7,844.0,160,0.001,4m,2.0,3.0,0.6,26,24.0,0.01,4m,3.5,3.5,1.5,70.0,712.0,0.004,4m,2.0,1.0,1.3,714.0,0.05,10,COMPLETE
46,46,2.7131014080774984,2025-06-15 00:36:51.444133,2025-06-15 00:36:56.055241,0 days 00:00:04.611108,614.0,0.002,2m,2.5,1.0,0.6,880.0,208.0,0.002,4m,3.0,3.5,0.6,910.0,176.0,0.003,4m,4.0,4.0,0.5,238.0,22.0,0.002,2m,1.0,1.0,1.8,792.0,102.0,0.008,4m,1.0,3.0,1.4,718.0,778.0,0.003,2m,1.5,2.5,1.5,280.0,320.0,0.003,4m,3.0,2.5,1.1,398.0,614,0.002,2m,2.5,3.5,0.9,624,252.0,0.009000000000000001,3m,2.5,4.0,1.7000000000000002,148.0,,,,,,,,0.35000000000000003,9,COMPLETE
47,47,1.1094849082213372,2025-06-15 00:36:56.137760,2025-06-15 00:37:00.221035,0 days 00:00:04.083275,216.0,0.008,4m,2.0,3.0,1.2000000000000002,624.0,752.0,0.005,1m,4.0,1.5,1.1,120.0,,,,,,,,584.0,0.006,4m,2.0,2.0,1.6,18.0,856.0,0.009000000000000001,3m,3.5,4.0,1.1,412.0,266.0,0.006,3m,1.0,3.0,1.9000000000000001,674.0,544.0,0.008,1m,2.0,1.5,0.6,604.0,56,0.004,1m,1.5,2.5,0.7,766,516.0,0.006,2m,1.5,3.5,1.3,1000.0,,,,,,,,0.5,8,COMPLETE
48,48,1.5918562962052605,2025-06-15 00:37:00.288541,2025-06-15 00:37:03.140404,0 days 00:00:02.851863,346.0,0.007,2m,2.5,1.5,0.9,970.0,558.0,0.002,2m,1.5,2.5,1.3,94.0,,,,,,,,,,,,,,,798.0,0.01,2m,2.5,1.0,0.8,620.0,,,,,,,,,,,,,,,256,0.003,4m,4.0,2.0,0.8,260,146.0,0.008,1m,2.5,2.5,1.1,304.0,,,,,,,,0.3,5,COMPLETE
49,49,-0.6724659099420636,2025-06-15 00:37:03.216915,2025-06-15 00:37:08.040401,0 days 00:00:04.823486,530.0,0.009000000000000001,3m,1.5,2.0,1.4,490.0,440.0,0.01,4m,2.5,3.5,1.7000000000000002,472.0,594.0,0.005,1m,3.5,3.5,1.2000000000000002,484.0,740.0,0.004,4m,2.0,3.0,1.0,924.0,538.0,0.006,1m,3.5,3.5,1.3,490.0,934.0,0.002,4m,1.5,1.5,1.4,948.0,424.0,0.007,2m,3.5,3.5,1.4,946.0,800,0.002,2m,2.0,1.0,1.4,94,408.0,0.007,4m,3.0,4.0,0.8,918.0,,,,,,,,0.2,9,COMPLETE
50,50,-0.5545705511954335,2025-06-15 00:37:08.142428,2025-06-15 00:37:10.300916,0 days 00:00:02.158488,710.0,0.01,4m,2.0,3.0,1.5,366.0,680.0,0.004,1m,3.5,4.0,2.0,314.0,,,,,,,,,,,,,,,958.0,0.007,3m,4.0,1.5,1.1,780.0,,,,,,,,,,,,,,,1014,0.005,3m,3.5,2.5,0.5,500,,,,,,,,,,,,,,,0.4,4,COMPLETE
51,51,3.211923651801873,2025-06-15 00:37:10.380428,2025-06-15 00:37:12.113843,0 days 00:00:01.733415,412.0,0.007,2m,3.0,2.5,0.6,556.0,,,,,,,,,,,,,,,,,,,,,,30.0,0.009000000000000001,3m,2.5,2.0,1.0,290.0,,,,,,,,,,,,,,,168,0.009000000000000001,1m,4.0,1.0,0.6,822,,,,,,,,,,,,,,,0.45,3,COMPLETE
52,52,0.61651994446374,2025-06-15 00:37:12.216359,2025-06-15 00:37:14.600410,0 days 00:00:02.384051,18.0,0.008,2m,2.5,2.5,0.8,718.0,306.0,0.009000000000000001,2m,2.0,3.5,1.6,858.0,,,,,,,,,,,,,,,82.0,0.009000000000000001,3m,2.0,1.5,0.9,226.0,,,,,,,,,,,,,,,372,0.008,1m,3.5,1.0,1.8,700,,,,,,,,,,,,,,,0.45,4,COMPLETE
53,53,1.142293989357334,2025-06-15 00:37:14.693927,2025-06-15 00:37:16.811537,0 days 00:00:02.117610,488.0,0.007,2m,2.5,2.5,0.8,608.0,374.0,0.007,2m,1.0,3.0,1.5,910.0,,,,,,,,,,,,,,,226.0,0.008,3m,3.0,1.0,0.6,568.0,,,,,,,,,,,,,,,286,0.008,1m,4.0,1.5,0.7,742,,,,,,,,,,,,,,,0.45,4,COMPLETE
54,54,-3.9134035006311834,2025-06-15 00:37:16.890056,2025-06-15 00:37:19.617928,0 days 00:00:02.727872,548.0,0.005,1m,2.0,2.0,0.9,464.0,192.0,0.009000000000000001,2m,2.0,2.0,1.8,990.0,,,,,,,,,,,,,,,168.0,0.01,3m,2.5,1.5,0.8,310.0,,,,,,,,,,,,,,,120,0.01,1m,4.0,1.5,0.6,880,60.0,0.004,3m,3.5,3.0,2.0,428.0,,,,,,,,0.4,5,COMPLETE
55,55,-0.8801737004558001,2025-06-15 00:37:19.689438,2025-06-15 00:37:24.789168,0 days 00:00:05.099730,660.0,0.004,2m,3.0,3.5,1.1,794.0,74.0,0.008,3m,4.0,1.0,1.4,944.0,794.0,0.002,2m,2.0,2.0,1.5,1018.0,280.0,0.008,2m,1.5,1.5,1.9000000000000001,532.0,886.0,0.008,1m,2.5,2.0,1.3,94.0,600.0,0.004,1m,1.0,4.0,1.7000000000000002,806.0,222.0,0.003,3m,1.5,4.0,0.9,748.0,468,0.006,1m,2.5,1.0,0.8,824,326.0,0.01,1m,2.5,1.5,1.6,206.0,298.0,0.005,3m,4.0,3.0,0.7,268.0,0.5,10,COMPLETE
56,56,-0.0818266126737566,2025-06-15 00:37:24.878692,2025-06-15 00:37:26.060540,0 days 00:00:01.181848,586.0,0.006,2m,2.5,2.5,0.7,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.009000000000000001,2m,3.5,2.0,0.9,922,,,,,,,,,,,,,,,0.4,2,COMPLETE
57,57,1.2041961087388815,2025-06-15 00:37:26.157563,2025-06-15 00:37:29.756558,0 days 00:00:03.598995,342.0,0.009000000000000001,2m,3.5,2.0,1.8,308.0,254.0,0.003,4m,2.5,4.0,1.6,680.0,,,,,,,,164.0,0.006,3m,1.0,3.5,2.0,676.0,92.0,0.007,4m,2.0,2.5,1.2000000000000002,170.0,458.0,0.005,4m,2.5,3.5,2.0,902.0,,,,,,,,226,0.007,4m,3.0,3.0,0.5,652,644.0,0.003,2m,2.0,3.5,1.9000000000000001,58.0,,,,,,,,0.45,7,COMPLETE
58,58,6.007453324557614,2025-06-15 00:37:29.838066,2025-06-15 00:37:35.137960,0 days 00:00:05.299894,602.0,0.002,4m,2.0,3.0,1.0,686.0,1022.0,0.01,1m,3.0,3.5,1.3,216.0,16.0,0.009000000000000001,3m,3.0,3.0,1.1,90.0,104.0,0.005,1m,3.0,1.0,1.7000000000000002,556.0,306.0,0.005,3m,3.0,3.0,1.5,280.0,542.0,0.007,2m,3.0,3.0,1.4,960.0,42.0,0.006,3m,2.5,2.5,1.2000000000000002,242.0,190,0.001,1m,4.0,4.0,0.7,198,214.0,0.006,1m,3.5,2.0,1.8,130.0,18.0,0.008,1m,3.0,2.0,1.1,814.0,0.35000000000000003,10,COMPLETE
59,59,3.9009622386355236,2025-06-15 00:37:35.222472,2025-06-15 00:37:39.927353,0 days 00:00:04.704881,716.0,0.008,2m,3.0,3.0,1.3,906.0,338.0,0.007,2m,1.5,2.5,1.7000000000000002,16.0,430.0,0.004,4m,4.0,4.0,0.8,318.0,390.0,0.003,2m,3.5,2.5,1.4,228.0,166.0,0.009000000000000001,2m,1.5,2.0,1.1,636.0,284.0,0.009000000000000001,4m,1.5,4.0,0.8,568.0,644.0,0.005,1m,2.0,3.0,0.6,456.0,318,0.004,4m,3.5,1.5,0.6,976,284.0,0.009000000000000001,2m,3.0,2.5,1.2000000000000002,576.0,,,,,,,,0.2,9,COMPLETE
60,60,4.938710534122077,2025-06-15 00:37:40.017858,2025-06-15 00:37:43.213036,0 days 00:00:03.195178,258.0,0.01,2m,2.5,1.5,0.5,40.0,820.0,0.003,1m,4.0,3.0,1.9000000000000001,820.0,,,,,,,,,,,,,,,986.0,0.01,3m,4.0,2.5,0.7,24.0,146.0,0.008,1m,2.0,1.0,1.9000000000000001,480.0,,,,,,,,112,0.006,2m,4.0,1.0,1.0,582,22.0,0.002,1m,2.0,3.0,1.4,276.0,,,,,,,,0.5,6,COMPLETE
61,61,2.8414241408197474,2025-06-15 00:37:43.294554,2025-06-15 00:37:48.404836,0 days 00:00:05.110282,602.0,0.001,4m,2.0,3.5,1.0,678.0,912.0,0.01,1m,3.0,3.5,1.3,282.0,58.0,0.009000000000000001,3m,3.0,3.0,1.1,40.0,114.0,0.005,1m,3.0,1.0,1.7000000000000002,570.0,318.0,0.005,3m,3.0,3.0,1.6,258.0,546.0,0.007,2m,3.0,3.0,1.4,980.0,80.0,0.006,3m,2.5,2.0,1.2000000000000002,180.0,180,0.001,1m,4.0,4.0,0.7,196,210.0,0.005,1m,3.5,1.0,1.8,112.0,100.0,0.008,1m,3.0,2.0,1.1,822.0,0.35000000000000003,10,COMPLETE
62,62,-1.4987943885879293,2025-06-15 00:37:48.469351,2025-06-15 00:37:53.546121,0 days 00:00:05.076770,472.0,0.002,4m,1.5,3.0,1.0,520.0,1014.0,0.01,1m,3.0,3.5,1.2000000000000002,94.0,332.0,0.009000000000000001,3m,3.5,3.5,1.1,152.0,82.0,0.005,1m,3.5,1.0,1.9000000000000001,482.0,38.0,0.004,3m,4.0,3.5,1.8,342.0,658.0,0.007,2m,3.5,3.5,1.6,896.0,102.0,0.001,4m,3.0,1.5,0.5,328.0,58,0.001,1m,4.0,1.5,0.8,302,90.0,0.006,1m,3.0,2.0,2.0,154.0,32.0,0.006,1m,3.0,2.0,1.6,816.0,0.4,10,COMPLETE
63,63,-3.2264321651914782,2025-06-15 00:37:53.647182,2025-06-15 00:37:58.679699,0 days 00:00:05.032517,646.0,0.003,4m,2.0,3.5,0.8,746.0,970.0,0.009000000000000001,1m,2.0,2.0,1.4,214.0,20.0,0.009000000000000001,3m,2.5,2.5,1.4,98.0,192.0,0.007,1m,3.5,1.0,1.8,374.0,474.0,0.003,3m,2.5,3.0,1.6,272.0,462.0,0.008,2m,3.0,3.0,1.7000000000000002,730.0,30.0,0.006,3m,3.0,3.5,1.7000000000000002,268.0,150,0.002,1m,3.5,4.0,0.7,184,170.0,0.007,1m,3.5,2.0,1.8,22.0,246.0,0.009000000000000001,2m,3.5,1.5,0.7,852.0,0.35000000000000003,10,COMPLETE
64,64,-3.4330589210154243,2025-06-15 00:37:58.754709,2025-06-15 00:38:03.362630,0 days 00:00:04.607921,790.0,0.001,4m,2.5,2.5,0.9,708.0,994.0,0.005,1m,3.5,1.5,1.0,416.0,194.0,0.01,3m,3.0,3.0,0.9,582.0,66.0,0.004,1m,2.5,1.5,1.6,674.0,288.0,0.005,3m,3.0,4.0,1.5,212.0,782.0,0.005,2m,2.5,3.0,1.8,978.0,536.0,0.007,3m,2.5,2.5,0.8,32.0,200,0.001,1m,4.0,3.5,0.6,138,120.0,0.006,1m,4.0,1.0,1.9000000000000001,226.0,,,,,,,,0.45,9,COMPLETE
65,65,5.173458456546809,2025-06-15 00:38:03.456144,2025-06-15 00:38:08.124313,0 days 00:00:04.668169,850.0,0.002,4m,2.0,2.5,1.1,594.0,606.0,0.01,4m,2.5,4.0,1.5,892.0,312.0,0.008,1m,3.5,3.5,1.8,450.0,648.0,0.006,4m,3.0,1.0,2.0,372.0,138.0,0.006,1m,3.5,3.5,1.7000000000000002,162.0,338.0,0.006,4m,3.0,4.0,1.4,822.0,192.0,0.004,2m,2.0,1.0,1.0,132.0,266,0.005,1m,4.0,4.0,0.5,420,210.0,0.008,1m,3.0,1.5,1.6,320.0,,,,,,,,0.4,9,COMPLETE
66,66,-2.047179477013003,2025-06-15 00:38:08.221456,2025-06-15 00:38:09.731130,0 days 00:00:01.509674,544.0,0.003,1m,1.5,3.0,0.7,142.0,,,,,,,,,,,,,,,,,,,,,,390.0,0.008,3m,3.0,1.0,1.9000000000000001,922.0,,,,,,,,,,,,,,,404,0.002,1m,3.5,4.0,0.7,724,,,,,,,,,,,,,,,0.45,3,COMPLETE
67,67,-1.7442757818304149,2025-06-15 00:38:09.812643,2025-06-15 00:38:14.042314,0 days 00:00:04.229671,684.0,0.007,2m,1.0,2.0,1.2000000000000002,550.0,944.0,0.004,3m,2.5,3.0,1.1,208.0,,,,,,,,16.0,0.002,1m,1.0,1.5,1.7000000000000002,156.0,898.0,0.008,3m,3.5,3.0,1.5,406.0,548.0,0.008,2m,3.0,3.5,1.6,902.0,354.0,0.008,3m,2.5,4.0,1.4,400.0,604,0.003,3m,4.0,3.5,0.8,448,80.0,0.005,2m,3.5,1.5,1.8,148.0,,,,,,,,0.3,8,COMPLETE
68,68,1.9453242058195885,2025-06-15 00:38:14.154393,2025-06-15 00:38:19.410940,0 days 00:00:05.256547,184.0,0.004,4m,2.5,1.0,0.9,812.0,406.0,0.009000000000000001,2m,3.5,2.5,1.8,178.0,628.0,0.002,1m,4.0,4.0,1.1,306.0,328.0,0.01,3m,2.5,1.5,1.9000000000000001,508.0,816.0,0.004,2m,2.0,1.5,0.9,550.0,644.0,0.01,4m,1.0,2.5,1.9000000000000001,770.0,444.0,0.002,1m,2.0,3.5,1.2000000000000002,256.0,96,0.001,1m,2.0,1.0,1.0,368,354.0,0.007,1m,2.5,2.5,1.7000000000000002,764.0,468.0,0.007,1m,2.0,3.0,1.1,644.0,0.4,10,COMPLETE
69,69,-0.06687694242955755,2025-06-15 00:38:19.529455,2025-06-15 00:38:21.628841,0 days 00:00:02.099386,446.0,0.009000000000000001,3m,2.0,2.5,0.8,868.0,884.0,0.006,1m,3.0,3.5,1.4,596.0,,,,,,,,,,,,,,,588.0,0.006,1m,2.5,1.0,0.5,752.0,,,,,,,,,,,,,,,22,0.007,4m,1.0,1.5,0.9,224,,,,,,,,,,,,,,,0.45,4,COMPLETE
70,70,-2.6560448629552704,2025-06-15 00:38:21.697358,2025-06-15 00:38:26.701932,0 days 00:00:05.004574,392.0,0.006,2m,3.0,3.0,1.4,676.0,160.0,0.008,2m,2.0,4.0,1.6,1024.0,114.0,0.007,4m,3.0,3.0,0.8,432.0,804.0,0.004,2m,1.5,1.0,1.4,712.0,746.0,0.007,4m,4.0,1.5,1.0,500.0,700.0,0.007,3m,3.5,3.0,2.0,974.0,284.0,0.006,1m,2.5,2.5,0.6,822.0,346,0.001,2m,1.5,2.5,1.2000000000000002,548,244.0,0.008,3m,3.0,4.0,2.0,394.0,692.0,0.005,4m,3.5,1.5,1.5,314.0,0.35000000000000003,10,COMPLETE
71,71,7.656846307727348,2025-06-15 00:38:26.801453,2025-06-15 00:38:31.871430,0 days 00:00:05.069977,558.0,0.01,2m,2.5,2.0,1.2000000000000002,874.0,580.0,0.004,1m,4.0,3.5,1.3,1000.0,258.0,0.003,1m,3.5,3.5,1.0,642.0,56.0,0.005,2m,1.0,1.0,2.0,882.0,914.0,0.008,2m,4.0,1.0,1.2000000000000002,638.0,386.0,0.005,1m,1.5,2.5,1.7000000000000002,854.0,498.0,0.005,3m,2.5,3.0,0.8,308.0,80,0.003,1m,1.0,2.0,0.6,540,268.0,0.008,1m,2.5,4.0,2.0,250.0,580.0,0.006,4m,2.5,2.5,0.5,962.0,0.4,10,COMPLETE
72,72,9.857739687317736,2025-06-15 00:38:31.972944,2025-06-15 00:38:36.472340,0 days 00:00:04.499396,518.0,0.01,2m,2.5,2.0,1.2000000000000002,766.0,478.0,0.004,1m,4.0,3.5,1.3,992.0,230.0,0.001,1m,3.5,3.5,0.9,618.0,126.0,0.005,2m,1.0,1.0,1.9000000000000001,904.0,862.0,0.008,2m,4.0,1.0,1.2000000000000002,696.0,32.0,0.006,1m,2.0,2.0,1.7000000000000002,866.0,600.0,0.005,3m,2.0,3.0,0.8,372.0,134,0.003,1m,1.0,2.0,0.7,802,472.0,0.009000000000000001,1m,2.5,4.0,1.9000000000000001,200.0,,,,,,,,0.4,9,COMPLETE
73,73,7.522598281913953,2025-06-15 00:38:36.572421,2025-06-15 00:38:41.345836,0 days 00:00:04.773415,494.0,0.01,2m,2.5,2.0,1.3,950.0,486.0,0.004,1m,4.0,3.5,1.2000000000000002,986.0,224.0,0.001,1m,3.5,3.5,0.6,740.0,198.0,0.003,2m,1.0,2.0,1.9000000000000001,902.0,936.0,0.008,2m,4.0,1.0,1.2000000000000002,696.0,126.0,0.004,1m,2.0,2.0,1.7000000000000002,868.0,740.0,0.004,3m,2.0,3.0,0.7,448.0,128,0.003,1m,1.0,2.0,0.6,796,490.0,0.009000000000000001,1m,2.5,4.0,1.9000000000000001,264.0,,,,,,,,0.5,9,COMPLETE
74,74,6.559453516031851,2025-06-15 00:38:41.443185,2025-06-15 00:38:46.048701,0 days 00:00:04.605516,508.0,0.01,2m,2.5,2.0,1.3,972.0,476.0,0.004,1m,4.0,3.0,1.2000000000000002,992.0,250.0,0.001,1m,3.5,3.5,0.5,732.0,180.0,0.003,2m,1.0,2.0,1.9000000000000001,916.0,932.0,0.007,2m,4.0,1.0,1.2000000000000002,690.0,24.0,0.004,1m,2.0,2.0,1.7000000000000002,860.0,756.0,0.004,3m,2.0,3.0,0.7,358.0,138,0.003,1m,1.0,2.0,0.6,798,508.0,0.009000000000000001,1m,2.5,4.0,1.9000000000000001,280.0,,,,,,,,0.5,9,COMPLETE
75,75,5.782340858315895,2025-06-15 00:38:46.138742,2025-06-15 00:38:50.409766,0 days 00:00:04.271024,510.0,0.01,2m,2.5,2.0,1.3,966.0,468.0,0.005,1m,4.0,3.0,0.9,988.0,,,,,,,,198.0,0.003,2m,1.0,2.0,1.9000000000000001,1012.0,862.0,0.007,2m,4.0,1.0,1.2000000000000002,674.0,40.0,0.003,1m,2.0,2.0,1.7000000000000002,868.0,856.0,0.004,3m,2.0,3.0,0.7,356.0,148,0.003,1m,1.0,2.0,0.5,822,546.0,0.009000000000000001,1m,2.5,4.0,1.9000000000000001,280.0,,,,,,,,0.5,8,COMPLETE
76,76,7.8267022155112,2025-06-15 00:38:50.505281,2025-06-15 00:38:56.646476,0 days 00:00:06.141195,570.0,0.01,2m,2.5,1.5,1.4,1024.0,500.0,0.004,1m,4.0,3.0,1.2000000000000002,944.0,242.0,0.001,1m,4.0,4.0,0.5,754.0,144.0,0.003,2m,1.0,2.0,1.8,958.0,946.0,0.007,2m,4.0,1.0,1.3,700.0,18.0,0.005,1m,2.0,2.0,1.7000000000000002,786.0,716.0,0.003,3m,2.0,3.0,0.7,452.0,126,0.003,1m,1.0,2.0,0.6,772,480.0,0.01,1m,2.0,4.0,1.9000000000000001,360.0,,,,,,,,0.5,9,COMPLETE
77,77,8.000368946338961,2025-06-15 00:38:56.759995,2025-06-15 00:39:04.220448,0 days 00:00:07.460453,504.0,0.01,2m,2.5,1.5,1.4,992.0,494.0,0.004,1m,4.0,3.0,1.2000000000000002,928.0,238.0,0.001,1m,4.0,4.0,0.5,748.0,152.0,0.003,2m,1.0,2.0,1.8,914.0,942.0,0.007,2m,4.0,1.0,1.3,818.0,18.0,0.005,1m,2.0,2.0,1.7000000000000002,782.0,730.0,0.003,3m,2.0,3.0,0.7,446.0,130,0.003,1m,1.0,2.0,0.8,794,490.0,0.01,1m,2.0,4.0,1.9000000000000001,350.0,,,,,,,,0.5,9,COMPLETE
78,78,6.356234419273218,2025-06-15 00:39:04.326961,2025-06-15 00:39:08.408770,0 days 00:00:04.081809,564.0,0.01,2m,2.5,1.5,1.5,1018.0,520.0,0.003,1m,4.0,2.5,1.1,930.0,,,,,,,,146.0,0.002,2m,1.0,2.0,1.8,962.0,962.0,0.007,2m,4.0,1.0,1.3,834.0,102.0,0.005,1m,2.0,2.0,1.7000000000000002,780.0,684.0,0.003,3m,2.0,3.0,0.6,438.0,50,0.004,1m,1.0,2.0,0.8,904,460.0,0.01,1m,1.5,4.0,2.0,356.0,,,,,,,,0.5,8,COMPLETE
79,79,3.8700871565785437,2025-06-15 00:39:08.474772,2025-06-15 00:39:13.237464,0 days 00:00:04.762692,486.0,0.01,2m,3.0,1.5,1.4,930.0,484.0,0.004,1m,4.0,3.0,1.0,860.0,212.0,0.001,1m,4.0,4.0,0.6,804.0,248.0,0.003,2m,1.0,2.0,1.8,888.0,1002.0,0.008,2m,4.0,1.0,1.4,900.0,78.0,0.006,1m,2.0,2.0,1.8,710.0,602.0,0.003,3m,1.5,3.5,0.8,494.0,106,0.003,1m,1.0,2.5,1.1,854,626.0,0.01,1m,2.0,4.0,1.8,334.0,,,,,,,,0.5,9,COMPLETE
80,80,4.329390864656553,2025-06-15 00:39:13.320985,2025-06-15 00:39:18.017540,0 days 00:00:04.696555,98.0,0.009000000000000001,2m,2.5,1.5,1.6,910.0,400.0,0.005,1m,4.0,1.0,1.2000000000000002,938.0,148.0,0.001,1m,4.0,4.0,0.5,756.0,130.0,0.004,2m,1.5,2.5,0.5,980.0,832.0,0.006,2m,4.0,1.0,1.4,796.0,18.0,0.005,1m,2.5,1.5,1.6,832.0,860.0,0.004,3m,2.0,3.0,0.9,420.0,680,0.004,4m,1.0,2.0,0.9,774,396.0,0.01,1m,2.0,4.0,1.9000000000000001,248.0,,,,,,,,0.5,9,COMPLETE
81,81,11.594984791045977,2025-06-15 00:39:18.108055,2025-06-15 00:39:22.828010,0 days 00:00:04.719955,512.0,0.01,2m,2.5,1.5,1.3,992.0,482.0,0.004,1m,4.0,3.0,1.2000000000000002,992.0,248.0,0.001,1m,4.0,4.0,0.6,720.0,188.0,0.003,2m,1.0,2.0,1.9000000000000001,896.0,934.0,0.007,2m,4.0,1.0,1.2000000000000002,704.0,54.0,0.004,1m,2.0,2.0,1.7000000000000002,922.0,762.0,0.004,3m,2.0,3.0,0.7,562.0,128,0.003,1m,1.0,2.0,0.7,792,508.0,0.009000000000000001,1m,2.5,4.0,1.9000000000000001,450.0,,,,,,,,0.5,9,COMPLETE
82,82,4.85919521377635,2025-06-15 00:39:22.894520,2025-06-15 00:39:26.990120,0 days 00:00:04.095600,622.0,0.01,2m,2.5,1.5,1.5,992.0,538.0,0.003,1m,4.0,3.0,1.0,996.0,,,,,,,,214.0,0.003,2m,1.0,2.0,2.0,794.0,878.0,0.007,2m,4.0,1.0,1.3,748.0,150.0,0.005,1m,2.0,2.0,1.5,922.0,738.0,0.003,3m,2.0,3.0,0.7,556.0,72,0.003,1m,1.0,2.0,0.7,874,588.0,0.009000000000000001,1m,2.0,3.5,2.0,422.0,,,,,,,,0.5,8,COMPLETE
83,83,4.8892095283282435,2025-06-15 00:39:27.055624,2025-06-15 00:39:31.657900,0 days 00:00:04.602276,1024.0,0.01,2m,2.5,1.5,1.4,1022.0,648.0,0.004,1m,4.0,2.0,1.2000000000000002,878.0,262.0,0.002,1m,4.0,4.0,0.6,678.0,54.0,0.004,2m,1.0,2.5,1.8,898.0,1022.0,0.008,2m,4.0,1.0,1.2000000000000002,710.0,82.0,0.004,1m,2.0,1.5,1.7000000000000002,918.0,796.0,0.004,3m,2.0,2.5,0.8,510.0,118,0.002,1m,1.0,2.5,0.8,798,480.0,0.01,1m,2.5,4.0,1.9000000000000001,476.0,,,,,,,,0.5,9,COMPLETE
84,84,5.997683341253845,2025-06-15 00:39:31.730414,2025-06-15 00:39:35.688149,0 days 00:00:03.957735,452.0,0.01,2m,2.5,1.0,1.2000000000000002,936.0,578.0,0.005,1m,4.0,3.0,1.3,966.0,,,,,,,,278.0,0.002,2m,1.0,2.0,1.9000000000000001,882.0,918.0,0.007,2m,4.0,1.0,1.3,596.0,122.0,0.006,1m,2.5,2.0,1.8,874.0,720.0,0.005,3m,1.5,3.0,0.5,580.0,42,0.003,1m,1.0,2.0,0.7,838,564.0,0.009000000000000001,1m,2.0,4.0,1.8,370.0,,,,,,,,0.45,8,COMPLETE
85,85,2.276543723032698,2025-06-15 00:39:35.776657,2025-06-15 00:39:40.429826,0 days 00:00:04.653169,532.0,0.009000000000000001,2m,3.0,1.5,1.3,894.0,426.0,0.004,1m,4.0,2.5,0.5,916.0,280.0,0.001,1m,4.0,4.0,0.7,800.0,586.0,0.003,2m,1.5,1.5,1.7000000000000002,818.0,942.0,0.008,2m,3.5,1.0,1.2000000000000002,782.0,54.0,0.004,1m,2.0,2.0,1.6,738.0,654.0,0.002,3m,2.0,3.0,0.7,372.0,908,0.002,1m,1.0,2.0,0.7,732,684.0,0.009000000000000001,1m,2.5,3.5,1.9000000000000001,444.0,,,,,,,,0.5,9,COMPLETE
