,number,value,datetime_start,datetime_complete,duration,params_ALGN_VRTX_beta_win,params_ALGN_VRTX_stop_loss,params_ALGN_VRTX_trade_freq,params_ALGN_VRTX_z_entry,params_ALGN_VRTX_z_exit,params_ALGN_VRTX_z_stop_scaler,params_ALGN_VRTX_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_FANG_VRTX_beta_win,params_FANG_VRTX_stop_loss,params_FANG_VRTX_trade_freq,params_FANG_VRTX_z_entry,params_FANG_VRTX_z_exit,params_FANG_VRTX_z_stop_scaler,params_FANG_VRTX_z_win,params_HON_PEP_beta_win,params_HON_PEP_stop_loss,params_HON_PEP_trade_freq,params_HON_PEP_z_entry,params_HON_PEP_z_exit,params_HON_PEP_z_stop_scaler,params_HON_PEP_z_win,params_META_VRTX_beta_win,params_META_VRTX_stop_loss,params_META_VRTX_trade_freq,params_META_VRTX_z_entry,params_META_VRTX_z_exit,params_META_VRTX_z_stop_scaler,params_META_VRTX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SGEN_VRTX_beta_win,params_SGEN_VRTX_stop_loss,params_SGEN_VRTX_trade_freq,params_SGEN_VRTX_z_entry,params_SGEN_VRTX_z_exit,params_SGEN_VRTX_z_stop_scaler,params_SGEN_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
107,107,6.6765183573625375,2025-06-15 01:15:43.346536,2025-06-15 01:15:47.558745,0 days 00:00:04.212209,524.0,0.007,1m,3.5,3.0,1.8,34.0,268.0,0.01,4m,4.0,4.0,1.3,98.0,774.0,0.002,4m,2.0,1.5,0.8,172.0,,,,,,,,252.0,0.003,3m,1.5,1.5,2.0,528.0,48.0,0.007,3m,1.5,3.0,1.6,712.0,500.0,0.008,4m,2.0,2.0,0.5,840.0,928.0,0.01,2m,1.0,4.0,1.7000000000000002,170.0,652,0.004,3m,2.0,2.5,1.5,232,316.0,0.001,1m,1.5,3.0,1.6,854.0,0.4,9,COMPLETE
108,108,3.580030168660341,2025-06-15 01:15:47.619866,2025-06-15 01:15:52.393841,0 days 00:00:04.773975,438.0,0.008,4m,3.5,1.0,1.3,816.0,120.0,0.01,1m,4.0,3.0,1.3,242.0,866.0,0.001,4m,3.0,1.0,0.6,134.0,168.0,0.004,2m,1.0,4.0,1.8,328.0,730.0,0.003,2m,1.5,1.5,1.9000000000000001,540.0,98.0,0.007,2m,1.5,2.5,0.7,794.0,282.0,0.01,4m,2.5,1.5,0.7,812.0,822.0,0.01,2m,1.5,1.0,1.9000000000000001,116.0,580,0.005,3m,2.5,2.0,1.6,120,240.0,0.004,4m,1.0,3.0,2.0,576.0,0.45,10,COMPLETE
109,109,2.335080833348911,2025-06-15 01:15:52.469429,2025-06-15 01:15:55.609857,0 days 00:00:03.140428,608.0,0.007,1m,4.0,2.0,1.2000000000000002,496.0,,,,,,,,726.0,0.002,4m,2.5,1.5,0.6,320.0,,,,,,,,186.0,0.002,1m,1.5,2.5,1.4,582.0,68.0,0.008,2m,1.5,2.5,1.7000000000000002,608.0,,,,,,,,,,,,,,,526,0.006,3m,3.0,1.5,1.4,74,174.0,0.002,1m,1.5,1.5,1.4,742.0,0.5,6,COMPLETE
110,110,2.6260205527561,2025-06-15 01:15:55.680757,2025-06-15 01:15:59.642323,0 days 00:00:03.961566,756.0,0.008,1m,3.5,2.5,1.5,540.0,80.0,0.009000000000000001,1m,4.0,2.5,1.2000000000000002,266.0,680.0,0.001,2m,2.0,2.0,0.7,264.0,,,,,,,,300.0,0.004,2m,1.5,2.0,1.9000000000000001,476.0,274.0,0.006,2m,1.5,3.0,1.8,660.0,880.0,0.009000000000000001,4m,3.0,2.0,0.9,1010.0,,,,,,,,250,0.005,1m,2.5,2.5,0.8,646,340.0,0.002,3m,2.0,1.5,2.0,988.0,0.4,8,COMPLETE
111,111,6.349514711991213,2025-06-15 01:15:59.721068,2025-06-15 01:16:03.922887,0 days 00:00:04.201819,716.0,0.009000000000000001,2m,3.0,2.5,1.6,718.0,46.0,0.009000000000000001,1m,4.0,4.0,2.0,214.0,746.0,0.003,4m,1.5,1.0,0.5,64.0,,,,,,,,80.0,0.002,2m,2.0,2.0,1.7000000000000002,364.0,170.0,0.007,2m,1.0,2.0,1.5,684.0,998.0,0.009000000000000001,4m,2.0,2.5,1.6,908.0,796.0,0.004,2m,1.0,1.0,1.5,386.0,558,0.006,3m,2.5,2.5,1.6,202,194.0,0.001,1m,1.5,4.0,1.9000000000000001,796.0,0.45,9,COMPLETE
112,112,6.460754365617752,2025-06-15 01:16:04.007211,2025-06-15 01:16:08.487974,0 days 00:00:04.480763,562.0,0.006,1m,3.0,2.5,1.7000000000000002,632.0,78.0,0.01,1m,2.0,4.0,2.0,820.0,708.0,0.003,1m,1.5,2.0,0.5,242.0,,,,,,,,156.0,0.009000000000000001,2m,2.0,2.0,1.6,500.0,148.0,0.007,2m,1.0,2.0,1.6,548.0,998.0,0.009000000000000001,4m,3.5,2.5,1.7000000000000002,880.0,996.0,0.009000000000000001,2m,1.0,1.0,1.6,950.0,680,0.006,3m,2.0,2.5,1.6,146,216.0,0.001,1m,1.5,1.0,2.0,494.0,0.45,9,COMPLETE
113,113,11.028113142706115,2025-06-15 01:16:08.580543,2025-06-15 01:16:13.289767,0 days 00:00:04.709224,672.0,0.007,1m,2.5,2.5,1.6,688.0,18.0,0.009000000000000001,1m,4.0,4.0,1.9000000000000001,182.0,788.0,0.004,4m,1.5,1.5,0.6,358.0,,,,,,,,226.0,0.002,2m,2.0,2.0,1.8,430.0,208.0,0.007,2m,1.5,2.5,1.5,942.0,406.0,0.01,4m,2.5,2.5,1.7000000000000002,966.0,960.0,0.003,2m,1.0,1.0,1.7000000000000002,298.0,730,0.005,3m,2.5,2.5,1.7000000000000002,172,266.0,0.001,1m,1.5,1.0,2.0,704.0,0.45,9,COMPLETE
114,114,10.026960056342187,2025-06-15 01:16:13.374759,2025-06-15 01:16:17.723415,0 days 00:00:04.348656,674.0,0.007,1m,2.5,1.5,1.7000000000000002,750.0,56.0,0.01,1m,4.0,4.0,1.9000000000000001,76.0,790.0,0.004,4m,1.5,1.5,0.6,342.0,,,,,,,,202.0,0.003,2m,2.0,1.5,1.8,414.0,226.0,0.008,2m,1.5,2.5,1.4,942.0,430.0,0.01,4m,2.5,2.5,1.7000000000000002,966.0,952.0,0.002,2m,1.0,1.0,1.7000000000000002,258.0,760,0.005,3m,2.5,2.5,1.7000000000000002,174,292.0,0.002,1m,1.5,1.5,1.9000000000000001,690.0,0.5,9,COMPLETE
115,115,10.509708601169164,2025-06-15 01:16:17.812733,2025-06-15 01:16:22.034984,0 days 00:00:04.222251,688.0,0.007,1m,2.0,1.5,1.7000000000000002,764.0,58.0,0.009000000000000001,1m,4.0,4.0,1.9000000000000001,68.0,778.0,0.004,4m,1.5,1.5,0.6,346.0,,,,,,,,206.0,0.002,2m,2.0,1.5,1.8,410.0,306.0,0.008,2m,1.5,2.5,1.4,938.0,334.0,0.01,2m,2.5,2.0,1.7000000000000002,974.0,958.0,0.002,2m,1.0,1.0,1.8,256.0,782,0.01,3m,2.5,2.0,1.7000000000000002,218,394.0,0.002,1m,1.5,1.5,1.8,702.0,0.5,9,COMPLETE
116,116,8.67852245561266,2025-06-15 01:16:22.104063,2025-06-15 01:16:26.445747,0 days 00:00:04.341684,680.0,0.006,1m,1.5,1.5,1.7000000000000002,856.0,622.0,0.01,3m,4.0,3.5,1.9000000000000001,62.0,796.0,0.004,4m,1.5,1.5,0.7,364.0,,,,,,,,230.0,0.002,2m,2.0,3.0,1.8,412.0,316.0,0.008,1m,1.5,2.5,1.4,944.0,350.0,0.01,2m,2.5,2.0,1.8,972.0,952.0,0.002,3m,1.0,1.0,1.8,250.0,782,0.01,3m,2.5,2.0,1.7000000000000002,174,402.0,0.002,1m,1.5,1.5,1.8,650.0,0.5,9,COMPLETE
117,117,7.118542225235215,2025-06-15 01:16:26.522312,2025-06-15 01:16:30.422709,0 days 00:00:03.900397,662.0,0.007,1m,2.0,1.5,1.7000000000000002,768.0,38.0,0.003,1m,4.0,4.0,1.9000000000000001,16.0,762.0,0.005,4m,1.5,1.0,0.6,356.0,,,,,,,,340.0,0.002,2m,2.5,1.5,1.7000000000000002,452.0,290.0,0.008,2m,1.5,2.5,1.3,872.0,452.0,0.01,2m,2.5,2.0,1.8,970.0,,,,,,,,772,0.004,3m,2.5,2.0,1.8,274,364.0,0.003,1m,1.0,1.5,1.7000000000000002,704.0,0.5,8,COMPLETE
118,118,6.5680121959253785,2025-06-15 01:16:30.497113,2025-06-15 01:16:35.206077,0 days 00:00:04.708964,814.0,0.007,2m,2.5,1.5,1.8,696.0,102.0,0.01,3m,4.0,4.0,1.8,80.0,782.0,0.004,4m,1.5,1.0,0.7,394.0,512.0,0.002,4m,3.5,1.5,1.0,528.0,122.0,0.001,2m,2.0,1.5,1.8,424.0,216.0,0.008,2m,2.0,2.5,1.4,914.0,382.0,0.01,2m,2.5,2.0,1.7000000000000002,938.0,914.0,0.001,2m,1.5,1.5,1.6,908.0,810,0.005,3m,3.0,2.0,1.8,214,468.0,0.002,1m,2.0,1.5,0.7,736.0,0.5,10,COMPLETE
119,119,10.03740094648662,2025-06-15 01:16:35.289128,2025-06-15 01:16:39.790510,0 days 00:00:04.501382,722.0,0.006,1m,2.5,1.5,1.7000000000000002,1002.0,66.0,0.006,1m,3.5,4.0,1.9000000000000001,60.0,736.0,0.004,4m,1.5,1.5,0.5,462.0,,,,,,,,178.0,0.001,3m,2.0,1.5,1.4,374.0,396.0,0.009000000000000001,2m,1.5,4.0,1.4,822.0,266.0,0.001,2m,2.5,2.0,1.5,992.0,956.0,0.001,2m,1.0,1.0,1.8,276.0,744,0.005,3m,2.5,2.0,1.7000000000000002,130,434.0,0.002,1m,1.5,1.5,1.8,680.0,0.5,9,COMPLETE
120,120,-2.1650067925878735,2025-06-15 01:16:39.874710,2025-06-15 01:16:43.765511,0 days 00:00:03.890801,758.0,0.006,4m,1.5,1.0,1.8,936.0,1024.0,0.007,3m,3.5,4.0,1.8,50.0,822.0,0.005,2m,1.5,2.0,0.5,492.0,,,,,,,,140.0,0.001,3m,2.5,1.5,1.2000000000000002,294.0,392.0,0.009000000000000001,2m,1.5,3.0,1.2000000000000002,826.0,276.0,0.001,2m,3.0,2.0,1.5,1000.0,,,,,,,,738,0.004,3m,1.5,2.0,1.7000000000000002,138,430.0,0.002,1m,2.0,1.5,1.8,546.0,0.5,8,COMPLETE
121,121,11.508304189451461,2025-06-15 01:16:43.832662,2025-06-15 01:16:48.118714,0 days 00:00:04.286052,690.0,0.005,1m,2.5,1.5,1.7000000000000002,982.0,366.0,0.005,1m,2.5,4.0,1.9000000000000001,106.0,736.0,0.004,4m,1.5,1.5,0.6,408.0,,,,,,,,180.0,0.001,3m,2.0,1.5,1.3,390.0,344.0,0.009000000000000001,2m,1.5,2.5,1.4,888.0,230.0,0.003,2m,2.5,2.0,1.5,970.0,960.0,0.001,2m,1.0,1.0,1.8,290.0,754,0.009000000000000001,3m,2.5,2.0,1.7000000000000002,166,532.0,0.002,1m,1.5,1.5,1.7000000000000002,674.0,0.5,9,COMPLETE
122,122,9.195004322642763,2025-06-15 01:16:48.221582,2025-06-15 01:16:52.563787,0 days 00:00:04.342205,698.0,0.005,1m,2.5,1.5,1.7000000000000002,994.0,366.0,0.005,1m,2.5,4.0,1.9000000000000001,108.0,736.0,0.004,4m,1.5,1.5,0.5,452.0,,,,,,,,182.0,0.001,3m,2.0,1.5,1.3,376.0,320.0,0.01,2m,1.5,4.0,1.3,890.0,200.0,0.005,2m,2.5,2.0,1.5,760.0,988.0,0.001,2m,1.0,1.0,1.9000000000000001,284.0,704,0.01,3m,2.5,2.0,1.8,158,574.0,0.002,1m,1.5,1.5,1.7000000000000002,624.0,0.5,9,COMPLETE
123,123,8.79520003490682,2025-06-15 01:16:52.636664,2025-06-15 01:16:57.068228,0 days 00:00:04.431564,726.0,0.005,1m,1.0,1.5,1.8,1012.0,32.0,0.004,1m,2.5,4.0,1.9000000000000001,148.0,666.0,0.005,4m,1.5,1.5,0.5,412.0,,,,,,,,536.0,0.001,3m,2.0,1.5,1.4,330.0,362.0,0.009000000000000001,2m,1.5,2.5,1.4,848.0,236.0,0.002,2m,3.0,2.0,1.4,1024.0,956.0,0.001,2m,1.0,1.0,1.8,854.0,856,0.009000000000000001,3m,2.5,2.0,1.7000000000000002,110,520.0,0.001,1m,1.5,1.5,1.8,674.0,0.5,9,COMPLETE
124,124,4.722150052866423,2025-06-15 01:16:57.138520,2025-06-15 01:17:01.498478,0 days 00:00:04.359958,470.0,0.006,1m,2.5,1.5,1.7000000000000002,1022.0,308.0,0.004,1m,2.5,2.5,1.8,34.0,686.0,0.004,4m,1.5,1.5,0.6,516.0,,,,,,,,220.0,0.001,3m,2.0,1.5,1.4,238.0,336.0,0.009000000000000001,2m,4.0,4.0,1.3,916.0,328.0,0.002,2m,2.5,2.0,1.5,944.0,894.0,0.001,1m,2.0,1.0,1.8,288.0,740,0.01,3m,2.0,2.0,1.5,126,516.0,0.003,1m,2.5,1.5,1.6,720.0,0.5,9,COMPLETE
125,125,5.460266355173169,2025-06-15 01:17:01.593770,2025-06-15 01:17:06.430432,0 days 00:00:04.836662,800.0,0.004,1m,2.0,1.0,0.6,952.0,78.0,0.005,1m,3.0,4.0,2.0,138.0,742.0,0.004,4m,1.5,1.0,0.7,394.0,910.0,0.008,3m,2.5,2.5,1.6,862.0,176.0,0.001,3m,2.0,2.0,1.3,394.0,260.0,0.009000000000000001,2m,1.5,2.5,1.4,878.0,248.0,0.002,2m,2.5,2.0,1.6,980.0,964.0,0.003,4m,1.0,1.0,1.5,576.0,756,0.009000000000000001,1m,2.5,1.5,1.6,200,542.0,0.002,1m,1.5,1.5,1.7000000000000002,662.0,0.5,10,COMPLETE
126,126,9.270172825160975,2025-06-15 01:17:06.501589,2025-06-15 01:17:10.837383,0 days 00:00:04.335794,388.0,0.005,1m,2.5,1.5,1.5,962.0,118.0,0.006,3m,4.0,4.0,2.0,100.0,776.0,0.005,4m,2.0,1.5,1.9000000000000001,472.0,,,,,,,,112.0,0.002,3m,4.0,1.5,1.5,316.0,276.0,0.009000000000000001,2m,2.0,3.5,1.5,962.0,164.0,0.003,2m,3.0,2.0,1.3,880.0,916.0,0.002,2m,1.0,1.5,1.9000000000000001,994.0,720,0.01,3m,2.5,2.0,1.7000000000000002,186,370.0,0.002,1m,1.5,1.5,1.6,636.0,0.5,9,COMPLETE
127,127,7.8931165948049244,2025-06-15 01:17:10.920820,2025-06-15 01:17:15.314663,0 days 00:00:04.393843,718.0,0.003,1m,2.5,4.0,1.9000000000000001,986.0,40.0,0.006,4m,2.5,4.0,1.7000000000000002,58.0,648.0,0.004,2m,1.5,1.0,0.6,178.0,,,,,,,,396.0,0.002,3m,2.0,2.0,1.3,434.0,390.0,0.01,2m,1.5,2.0,1.5,812.0,388.0,0.01,2m,2.5,2.0,1.4,622.0,998.0,0.006,2m,1.0,1.0,1.6,922.0,800,0.009000000000000001,3m,2.5,2.0,1.8,940,492.0,0.001,1m,1.5,1.0,1.8,600.0,0.45,9,COMPLETE
128,128,4.700169503541233,2025-06-15 01:17:15.387126,2025-06-15 01:17:19.706089,0 days 00:00:04.318963,488.0,0.006,2m,2.5,2.0,0.5,918.0,64.0,0.008,1m,4.0,3.5,1.1,124.0,756.0,0.003,4m,1.0,1.5,0.5,428.0,,,,,,,,92.0,0.001,3m,2.0,2.0,1.4,348.0,416.0,0.008,4m,3.0,4.0,1.4,998.0,242.0,0.01,1m,2.5,2.0,1.6,988.0,940.0,0.003,2m,1.5,1.0,2.0,960.0,668,0.005,3m,3.0,2.0,1.4,158,454.0,0.002,1m,2.5,1.5,1.7000000000000002,726.0,0.2,9,COMPLETE
129,129,0.8903540750363167,2025-06-15 01:17:19.784547,2025-06-15 01:17:21.732192,0 days 00:00:01.947645,,,,,,,,,,,,,,,812.0,0.006,1m,1.5,2.0,0.6,374.0,,,,,,,,46.0,0.002,1m,2.5,1.5,1.2000000000000002,404.0,442.0,0.004,3m,1.0,2.5,1.5,898.0,,,,,,,,,,,,,,,136,0.005,3m,2.5,2.0,1.5,220,,,,,,,,0.5,4,COMPLETE
130,130,0.19316955874871747,2025-06-15 01:17:21.804357,2025-06-15 01:17:26.538475,0 days 00:00:04.734118,774.0,0.006,1m,2.0,4.0,1.0,668.0,18.0,0.005,3m,4.0,4.0,1.9000000000000001,40.0,568.0,0.004,4m,1.5,1.0,0.5,216.0,804.0,0.005,1m,1.5,3.5,2.0,726.0,856.0,0.001,3m,2.0,2.0,1.5,102.0,344.0,0.007,2m,1.5,2.0,1.7000000000000002,928.0,416.0,0.001,3m,3.0,2.0,1.5,950.0,690.0,0.001,2m,3.0,1.0,1.8,1002.0,706,0.008,3m,2.5,1.5,1.6,250,446.0,0.003,1m,1.0,1.0,1.8,524.0,0.45,10,COMPLETE
131,131,6.558572486975948,2025-06-15 01:17:26.618173,2025-06-15 01:17:31.003530,0 days 00:00:04.385357,670.0,0.007,1m,2.5,1.5,1.7000000000000002,806.0,60.0,0.01,1m,4.0,4.0,1.9000000000000001,94.0,794.0,0.004,4m,1.5,1.5,0.6,412.0,,,,,,,,200.0,0.002,2m,2.0,1.5,1.8,370.0,238.0,0.008,2m,1.5,2.5,1.4,948.0,444.0,0.003,2m,2.5,2.5,1.7000000000000002,974.0,950.0,0.002,2m,1.0,1.0,1.7000000000000002,224.0,762,0.005,3m,2.5,2.0,1.7000000000000002,176,328.0,0.002,1m,1.5,1.5,1.9000000000000001,762.0,0.5,9,COMPLETE
132,132,9.250578206987681,2025-06-15 01:17:31.093591,2025-06-15 01:17:35.533313,0 days 00:00:04.439722,692.0,0.007,1m,2.5,1.5,1.7000000000000002,512.0,412.0,0.01,1m,4.0,4.0,1.8,162.0,698.0,0.004,4m,1.5,1.5,0.6,332.0,,,,,,,,242.0,0.001,2m,2.0,1.5,1.4,464.0,308.0,0.008,2m,1.5,2.5,1.4,860.0,330.0,0.01,2m,2.5,2.0,1.7000000000000002,914.0,980.0,0.002,2m,1.0,3.0,1.4,290.0,822,0.005,3m,2.5,2.5,1.7000000000000002,170,294.0,0.002,1m,3.5,1.5,1.8,680.0,0.5,9,COMPLETE
133,133,6.101703366507794,2025-06-15 01:17:35.622828,2025-06-15 01:17:40.097430,0 days 00:00:04.474602,744.0,0.007,1m,2.5,1.5,1.6,766.0,84.0,0.009000000000000001,1m,4.0,4.0,1.9000000000000001,76.0,726.0,0.004,4m,1.5,1.5,0.7,338.0,,,,,,,,166.0,0.002,2m,2.0,4.0,1.9000000000000001,424.0,204.0,0.008,2m,1.5,2.5,1.3,940.0,538.0,0.01,3m,2.5,2.0,1.6,1008.0,870.0,0.003,2m,1.0,2.0,1.7000000000000002,362.0,744,0.005,3m,2.5,2.0,1.7000000000000002,142,642.0,0.002,1m,1.5,1.5,1.9000000000000001,692.0,0.5,9,COMPLETE
134,134,4.612563467960892,2025-06-15 01:17:40.166153,2025-06-15 01:17:44.468229,0 days 00:00:04.302076,704.0,0.008,1m,2.5,1.5,1.7000000000000002,1002.0,38.0,0.01,1m,4.0,4.0,2.0,78.0,764.0,0.004,4m,1.5,1.5,0.5,302.0,,,,,,,,214.0,0.001,2m,2.0,1.5,1.3,456.0,230.0,0.007,2m,1.5,2.5,1.4,970.0,412.0,0.01,4m,2.5,2.0,1.5,962.0,938.0,0.001,2m,1.0,1.0,1.6,266.0,780,0.005,3m,1.0,2.5,1.6,210,348.0,0.001,4m,1.5,1.5,1.7000000000000002,700.0,0.5,9,COMPLETE
135,135,1.774938560422014,2025-06-15 01:17:44.527362,2025-06-15 01:17:48.375217,0 days 00:00:03.847855,652.0,0.006,1m,2.5,1.5,1.7000000000000002,586.0,56.0,0.009000000000000001,1m,4.0,4.0,1.5,120.0,850.0,0.003,4m,1.0,1.5,0.6,1002.0,,,,,,,,280.0,0.002,2m,2.0,1.5,1.7000000000000002,982.0,260.0,0.009000000000000001,2m,1.5,2.5,1.5,768.0,206.0,0.01,1m,2.5,2.5,1.6,926.0,,,,,,,,724,0.005,3m,2.5,2.5,1.7000000000000002,106,288.0,0.004,1m,1.5,1.0,1.1,572.0,0.45,8,COMPLETE
136,136,7.692520369875949,2025-06-15 01:17:48.443862,2025-06-15 01:17:52.733437,0 days 00:00:04.289575,542.0,0.003,1m,2.5,4.0,1.8,610.0,476.0,0.01,1m,4.0,4.0,1.2000000000000002,186.0,892.0,0.005,4m,1.5,1.5,0.6,382.0,,,,,,,,194.0,0.002,4m,2.0,1.5,1.3,342.0,152.0,0.008,2m,2.0,2.5,1.3,996.0,314.0,0.004,3m,2.5,2.0,1.8,996.0,828.0,0.003,2m,1.0,1.0,1.7000000000000002,1000.0,694,0.005,4m,2.5,2.0,1.8,190,382.0,0.002,1m,1.5,1.5,1.9000000000000001,654.0,0.5,9,COMPLETE
137,137,6.649361106938719,2025-06-15 01:17:52.813963,2025-06-15 01:17:57.023526,0 days 00:00:04.209563,504.0,0.007,1m,2.5,2.0,1.6,548.0,198.0,0.01,2m,3.5,3.5,1.8,576.0,734.0,0.008,4m,1.0,1.0,1.3,974.0,,,,,,,,144.0,0.001,2m,2.0,1.5,1.8,384.0,470.0,0.007,2m,1.0,1.0,1.5,738.0,360.0,0.01,4m,3.0,2.0,1.9000000000000001,960.0,968.0,0.002,2m,1.0,1.0,1.5,692.0,840,0.005,3m,2.5,3.0,1.6,128,302.0,0.002,3m,1.5,1.5,1.2000000000000002,488.0,0.45,9,COMPLETE
138,138,7.4987270837020725,2025-06-15 01:17:57.116759,2025-06-15 01:18:02.034122,0 days 00:00:04.917363,680.0,0.009000000000000001,2m,2.5,4.0,1.4,978.0,96.0,0.009000000000000001,3m,4.0,4.0,0.8,66.0,280.0,0.004,2m,1.5,1.5,0.7,342.0,676.0,0.004,2m,2.0,3.0,1.4,904.0,224.0,0.003,3m,2.0,2.5,1.9000000000000001,410.0,286.0,0.007,2m,1.5,2.5,1.4,964.0,684.0,0.01,4m,2.5,2.5,1.7000000000000002,1020.0,422.0,0.006,2m,1.0,1.0,1.8,1024.0,306,0.004,3m,2.0,2.0,1.5,154,402.0,0.003,1m,2.0,1.0,1.8,740.0,0.5,10,COMPLETE
139,139,3.9202588018522704,2025-06-15 01:18:02.119533,2025-06-15 01:18:06.193115,0 days 00:00:04.073582,726.0,0.008,1m,2.5,1.5,1.6,750.0,30.0,0.007,1m,4.0,4.0,1.9000000000000001,222.0,674.0,0.003,4m,2.0,1.5,0.5,452.0,,,,,,,,18.0,0.002,4m,2.5,2.0,1.7000000000000002,286.0,114.0,0.009000000000000001,2m,1.0,2.0,1.6,906.0,476.0,0.007,3m,2.5,3.0,1.6,894.0,,,,,,,,374,0.005,3m,2.5,1.0,1.4,236,260.0,0.001,1m,1.5,2.5,1.6,596.0,0.45,8,COMPLETE
140,140,1.0606575797972935,2025-06-15 01:18:06.264668,2025-06-15 01:18:06.817099,0 days 00:00:00.552431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,0.01,4m,3.0,2.5,1.7000000000000002,42,,,,,,,,0.5,1,COMPLETE
141,141,9.53824141283486,2025-06-15 01:18:06.883658,2025-06-15 01:18:11.187972,0 days 00:00:04.304314,642.0,0.008,1m,2.5,2.5,1.6,722.0,64.0,0.009000000000000001,1m,4.0,4.0,1.3,190.0,708.0,0.002,4m,1.5,1.5,0.6,350.0,,,,,,,,202.0,0.003,2m,1.5,1.5,1.8,434.0,216.0,0.007,2m,1.5,2.5,1.5,978.0,934.0,0.009000000000000001,4m,2.5,1.5,1.7000000000000002,994.0,1024.0,0.004,2m,1.0,1.0,1.7000000000000002,312.0,462,0.005,3m,2.5,2.5,1.7000000000000002,226,272.0,0.002,1m,1.5,1.0,1.9000000000000001,704.0,0.45,9,COMPLETE
142,142,9.873654450105077,2025-06-15 01:18:11.262577,2025-06-15 01:18:15.686901,0 days 00:00:04.424324,618.0,0.008,1m,2.0,2.5,1.7000000000000002,778.0,50.0,0.009000000000000001,1m,4.0,4.0,1.4,148.0,782.0,0.002,4m,1.5,1.5,0.6,302.0,,,,,,,,180.0,0.003,2m,1.5,1.5,1.8,310.0,178.0,0.007,2m,1.5,2.5,1.5,922.0,970.0,0.01,4m,2.5,1.0,1.7000000000000002,1004.0,996.0,0.004,2m,1.0,1.0,1.3,228.0,604,0.005,3m,2.5,2.5,1.7000000000000002,182,240.0,0.002,1m,1.5,1.0,2.0,932.0,0.45,9,COMPLETE
143,143,10.51489301660873,2025-06-15 01:18:15.725720,2025-06-15 01:18:20.005398,0 days 00:00:04.279678,574.0,0.009000000000000001,1m,2.0,2.5,1.7000000000000002,790.0,116.0,0.01,1m,4.0,4.0,1.4,140.0,786.0,0.002,4m,1.5,1.5,0.6,314.0,,,,,,,,174.0,0.003,2m,1.5,1.5,1.9000000000000001,306.0,182.0,0.007,2m,1.5,2.5,1.4,924.0,962.0,0.01,4m,2.5,1.0,1.7000000000000002,706.0,1000.0,0.004,2m,1.0,1.0,1.3,218.0,600,0.005,3m,2.5,2.5,1.8,176,324.0,0.002,1m,1.5,1.0,2.0,448.0,0.45,9,COMPLETE
144,144,2.878550636948862,2025-06-15 01:18:20.087119,2025-06-15 01:18:24.412433,0 days 00:00:04.325314,574.0,0.009000000000000001,1m,2.0,3.0,1.8,806.0,118.0,0.01,1m,4.0,4.0,1.2000000000000002,38.0,800.0,0.002,4m,1.5,1.5,0.7,320.0,,,,,,,,156.0,0.003,2m,2.0,1.5,1.9000000000000001,354.0,246.0,0.008,2m,1.5,2.5,1.4,948.0,284.0,0.01,4m,2.5,2.5,1.8,704.0,722.0,0.005,2m,1.0,1.0,1.3,186.0,554,0.008,3m,2.5,2.5,1.8,168,332.0,0.002,1m,1.5,1.0,2.0,454.0,0.45,9,COMPLETE
145,145,0.8721351160816695,2025-06-15 01:18:24.478221,2025-06-15 01:18:28.852289,0 days 00:00:04.374068,526.0,0.01,3m,2.0,2.5,1.7000000000000002,164.0,86.0,0.01,1m,4.0,2.5,1.9000000000000001,16.0,750.0,0.003,4m,1.5,2.0,0.5,280.0,,,,,,,,134.0,0.001,2m,1.5,2.0,1.5,264.0,142.0,0.007,1m,1.5,3.0,1.3,888.0,944.0,0.01,4m,4.0,3.5,1.5,846.0,780.0,0.004,2m,1.0,1.0,1.4,154.0,614,0.005,3m,2.5,2.0,1.6,456,766.0,0.002,1m,1.5,1.5,2.0,522.0,0.5,9,COMPLETE
