,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-1.5494913344007453,2025-06-15 01:11:09.597647,2025-06-15 01:11:12.181022,0 days 00:00:02.583375,,,,,,,,674,0.005,2m,3.0,2.5,1.4,576,634.0,0.009000000000000001,2m,1.0,1.5,2.0,696.0,,,,,,,,410.0,0.008,2m,2.0,2.5,0.8,50.0,,,,,,,,150.0,0.002,4m,1.5,2.0,0.9,794.0,646.0,0.001,3m,4.0,2.0,0.6,32.0,620.0,0.003,2m,2.0,4.0,0.5,298.0,,,,,,,,0.5,6,COMPLETE
31,31,3.7311280660901693,2025-06-15 01:11:12.254407,2025-06-15 01:11:12.797735,0 days 00:00:00.543328,,,,,,,,790,0.007,2m,2.5,3.0,1.8,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
32,32,5.404803785660511,2025-06-15 01:11:12.851002,2025-06-15 01:11:13.388325,0 days 00:00:00.537323,,,,,,,,818,0.007,2m,2.5,3.0,1.9000000000000001,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
33,33,1.7000952323540923,2025-06-15 01:11:13.451990,2025-06-15 01:11:14.770891,0 days 00:00:01.318901,,,,,,,,938,0.003,2m,2.0,3.5,1.9000000000000001,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.0,0.001,3m,3.0,1.0,1.2000000000000002,518.0,,,,,,,,18.0,0.001,3m,3.5,2.0,0.9,208.0,,,,,,,,0.3,3,COMPLETE
34,34,2.798568383237727,2025-06-15 01:11:14.831770,2025-06-15 01:11:15.340361,0 days 00:00:00.508591,,,,,,,,868,0.007,2m,3.0,3.5,2.0,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
35,35,-0.8229573759104618,2025-06-15 01:11:15.401332,2025-06-15 01:11:16.370776,0 days 00:00:00.969444,,,,,,,,1016,0.005,2m,2.0,4.0,1.6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,0.004,2m,2.0,3.5,1.5,134.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
36,36,0.762070213202854,2025-06-15 01:11:16.421043,2025-06-15 01:11:17.458149,0 days 00:00:01.037106,,,,,,,,570,0.004,4m,2.5,3.0,1.9000000000000001,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,0.006,1m,2.5,2.5,0.6,694.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
37,37,3.708189129276748,2025-06-15 01:11:17.528027,2025-06-15 01:11:19.127633,0 days 00:00:01.599606,,,,,,,,418,0.008,1m,3.5,2.5,1.8,438,,,,,,,,,,,,,,,818.0,0.001,3m,2.5,4.0,0.5,746.0,,,,,,,,772.0,0.008,4m,1.5,1.5,0.9,940.0,,,,,,,,836.0,0.005,2m,3.5,2.5,0.8,912.0,,,,,,,,0.3,4,COMPLETE
38,38,1.1678848730003402,2025-06-15 01:11:19.209690,2025-06-15 01:11:21.389979,0 days 00:00:02.180289,,,,,,,,708,0.003,4m,1.5,3.5,1.9000000000000001,292,316.0,0.01,1m,2.0,3.0,0.5,1006.0,,,,,,,,350.0,0.005,2m,3.5,1.0,1.5,424.0,,,,,,,,900.0,0.002,3m,1.0,2.5,1.4,602.0,,,,,,,,240.0,0.01,1m,2.0,1.5,1.3,742.0,,,,,,,,0.4,5,COMPLETE
39,39,-7.117760117548024,2025-06-15 01:11:21.452305,2025-06-15 01:11:24.773194,0 days 00:00:03.320889,1020.0,0.001,1m,4.0,4.0,0.5,938.0,602,0.002,2m,3.0,4.0,1.6,330,778.0,0.001,4m,4.0,2.0,1.5,680.0,,,,,,,,536.0,0.007,3m,1.5,3.0,1.0,742.0,1018.0,0.009000000000000001,2m,4.0,4.0,2.0,22.0,646.0,0.005,2m,1.0,1.0,1.1,338.0,36.0,0.01,2m,2.5,2.5,0.9,1020.0,404.0,0.006,4m,3.0,1.0,2.0,652.0,,,,,,,,0.45,8,COMPLETE
40,40,-1.306408308737737,2025-06-15 01:11:24.829326,2025-06-15 01:11:26.246638,0 days 00:00:01.417312,,,,,,,,916,0.004,3m,2.5,2.0,1.8,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.009000000000000001,1m,3.5,2.0,1.2000000000000002,844.0,,,,,,,,872.0,0.003,1m,2.0,4.0,1.5,120.0,,,,,,,,0.2,3,COMPLETE
41,41,4.489740609560957,2025-06-15 01:11:26.308893,2025-06-15 01:11:26.773388,0 days 00:00:00.464495,,,,,,,,784,0.007,2m,2.5,3.0,1.8,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
42,42,1.8505721369283805,2025-06-15 01:11:26.805430,2025-06-15 01:11:27.289171,0 days 00:00:00.483741,,,,,,,,838,0.007,2m,2.5,3.0,2.0,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
43,43,4.801549413782358,2025-06-15 01:11:27.358596,2025-06-15 01:11:28.066615,0 days 00:00:00.708019,,,,,,,,796,0.008,2m,2.0,2.5,1.4,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
