,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,7.5203135783576265,2025-06-15 00:20:07.517494,2025-06-15 00:20:08.583356,0 days 00:00:01.065862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,0.009000000000000001,3m,3.0,2.5,1.5,1024.0,,,,,,,,,,,,,,,506,0.005,1m,3.5,3.0,0.9,618,,,,,,,,0.35000000000000003,2,COMPLETE
31,31,7.006227210672723,2025-06-15 00:20:08.656868,2025-06-15 00:20:09.674614,0 days 00:00:01.017746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,0.009000000000000001,3m,3.0,2.5,1.6,858.0,,,,,,,,,,,,,,,474,0.005,1m,3.5,3.0,0.7,578,,,,,,,,0.35000000000000003,2,COMPLETE
32,32,0.8712992870124265,2025-06-15 00:20:09.754129,2025-06-15 00:20:10.796297,0 days 00:00:01.042168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,0.009000000000000001,3m,3.0,2.5,1.6,898.0,,,,,,,,,,,,,,,490,0.005,1m,4.0,3.0,0.7,418,,,,,,,,0.3,2,COMPLETE
33,33,1.4368621249867928,2025-06-15 00:20:10.858299,2025-06-15 00:20:12.836711,0 days 00:00:01.978412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,0.009000000000000001,3m,3.5,2.5,1.5,974.0,,,,,,,,472.0,0.001,1m,1.5,2.0,1.8,340.0,374,0.004,1m,3.5,3.5,0.9,580,,,,,,,,0.4,3,COMPLETE
34,34,4.55922925611462,2025-06-15 00:20:12.891231,2025-06-15 00:20:14.298268,0 days 00:00:01.407037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,0.008,3m,3.0,2.0,1.7000000000000002,812.0,,,,,,,,30.0,0.003,3m,3.5,2.5,0.8,920.0,536,0.005,1m,3.5,3.5,0.8,450,,,,,,,,0.35000000000000003,3,COMPLETE
35,35,2.1058747800132194,2025-06-15 00:20:14.364270,2025-06-15 00:20:15.419539,0 days 00:00:01.055269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,0.008,3m,2.5,2.5,1.4,1020.0,,,,,,,,,,,,,,,276,0.003,2m,4.0,3.0,0.6,562,,,,,,,,0.2,2,COMPLETE
36,36,5.425155594302289,2025-06-15 00:20:15.485548,2025-06-15 00:20:17.557229,0 days 00:00:02.071681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.009000000000000001,3m,3.5,2.0,1.2000000000000002,704.0,384.0,0.003,2m,2.5,4.0,1.5,384.0,866.0,0.01,2m,2.0,1.5,1.7000000000000002,142.0,432,0.007,4m,4.0,4.0,1.1,698,,,,,,,,0.3,4,COMPLETE
37,37,-0.06916364959190444,2025-06-15 00:20:17.634721,2025-06-15 00:20:20.317155,0 days 00:00:02.682434,,,,,,,,342.0,0.001,3m,2.0,1.0,0.8,22.0,,,,,,,,,,,,,,,,,,,,,,362.0,0.01,3m,2.5,3.0,1.4,908.0,792.0,0.007,1m,1.5,1.0,1.0,668.0,650.0,0.006,4m,3.0,1.0,1.2000000000000002,638.0,574,0.004,1m,3.5,3.5,0.7,370,,,,,,,,0.45,5,COMPLETE
38,38,1.5789833391305055,2025-06-15 00:20:20.397363,2025-06-15 00:20:21.614670,0 days 00:00:01.217307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.006,3m,2.0,3.5,2.0,828.0,,,,,,,,,,,,,,,322,0.006,4m,1.0,3.0,0.5,280,,,,,,,,0.25,2,COMPLETE
39,39,8.280199048579947,2025-06-15 00:20:21.702186,2025-06-15 00:20:22.335157,0 days 00:00:00.632971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,0.008,1m,3.0,2.5,2.0,726,,,,,,,,0.2,1,COMPLETE
