,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
124,124,4.114253747372809,2025-06-15 00:30:13.570363,2025-06-15 00:30:17.480231,0 days 00:00:03.909868,,,,,,,,882.0,0.01,4m,1.5,2.5,1.7000000000000002,280.0,58.0,0.001,3m,3.5,3.0,0.6,776.0,444,0.01,2m,1.0,2.0,0.8,254,752.0,0.01,3m,2.0,3.5,0.8,494.0,304.0,0.001,4m,2.0,2.0,1.3,262.0,328.0,0.008,2m,1.5,2.5,1.4,582.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
125,125,5.646788829829453,2025-06-15 00:30:17.589750,2025-06-15 00:30:24.627595,0 days 00:00:07.037845,202.0,0.005,4m,1.5,2.5,0.5,596.0,414.0,0.01,4m,1.5,3.5,1.6,112.0,116.0,0.004,3m,3.0,2.0,1.9000000000000001,542.0,368,0.01,2m,1.0,2.0,0.7,374,812.0,0.001,3m,2.5,3.0,0.9,550.0,438.0,0.002,4m,3.0,2.0,0.6,286.0,432.0,0.005,2m,2.0,2.5,1.5,172.0,,,,,,,,544.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,892.0,,,,,,,,0.1,8,COMPLETE
126,126,4.76553709051235,2025-06-15 00:30:24.760109,2025-06-15 00:30:29.170331,0 days 00:00:04.410222,,,,,,,,476.0,0.009000000000000001,4m,2.0,2.5,1.8,68.0,288.0,0.01,3m,2.5,3.0,2.0,498.0,508,0.01,2m,1.0,1.5,0.9,340,912.0,0.002,3m,2.0,2.5,0.8,464.0,274.0,0.003,4m,2.5,2.5,1.5,162.0,216.0,0.008,1m,1.0,2.5,1.6,434.0,,,,,,,,434.0,0.008,3m,2.5,1.5,1.7000000000000002,962.0,,,,,,,,0.2,7,COMPLETE
127,127,2.214831067923532,2025-06-15 00:30:29.261815,2025-06-15 00:30:33.426186,0 days 00:00:04.164371,632.0,0.006,4m,2.0,2.0,1.4,676.0,686.0,0.01,4m,1.5,2.0,1.7000000000000002,536.0,210.0,0.005,1m,3.0,4.0,1.0,576.0,344,0.009000000000000001,3m,1.0,2.5,0.5,420,888.0,0.001,4m,1.5,3.0,0.7,762.0,336.0,0.001,4m,1.5,3.0,1.4,108.0,358.0,0.006,2m,1.5,2.0,1.3,426.0,,,,,,,,498.0,0.01,3m,1.5,2.5,1.6,802.0,,,,,,,,0.05,8,COMPLETE
128,128,6.732410963049667,2025-06-15 00:30:33.514225,2025-06-15 00:30:37.742067,0 days 00:00:04.227842,96.0,0.004,1m,2.0,4.0,0.8,534.0,710.0,0.009000000000000001,4m,2.0,3.0,1.9000000000000001,232.0,32.0,0.003,2m,3.5,2.0,2.0,472.0,292,0.01,2m,1.0,2.0,0.7,390,400.0,0.009000000000000001,3m,2.0,3.5,0.9,516.0,80.0,0.001,4m,2.0,2.0,1.5,360.0,266.0,0.005,2m,2.5,3.0,1.1,244.0,,,,,,,,626.0,0.008,2m,2.0,1.0,1.8,816.0,,,,,,,,0.05,8,COMPLETE
129,129,1.7906135291107201,2025-06-15 00:30:37.825584,2025-06-15 00:30:40.852379,0 days 00:00:03.026795,,,,,,,,710.0,0.009000000000000001,3m,3.5,3.0,1.9000000000000001,216.0,98.0,0.003,2m,2.5,2.0,2.0,936.0,288,0.01,2m,2.0,2.0,0.8,222,486.0,0.01,3m,2.0,3.0,1.4,514.0,78.0,0.002,4m,1.5,2.0,1.6,454.0,258.0,0.006,2m,2.5,3.0,1.1,238.0,,,,,,,,,,,,,,,,,,,,,,0.3,6,COMPLETE
130,130,0.31772554890819915,2025-06-15 00:30:40.929893,2025-06-15 00:30:44.472808,0 days 00:00:03.542915,,,,,,,,322.0,0.008,4m,1.5,2.5,2.0,234.0,38.0,0.004,2m,3.5,2.0,1.9000000000000001,470.0,268,0.01,2m,1.0,2.0,0.7,240,364.0,0.008,3m,2.0,3.5,1.0,592.0,22.0,0.001,3m,2.0,1.5,1.5,350.0,280.0,0.003,2m,2.5,1.5,1.1,138.0,,,,,,,,632.0,0.008,2m,2.0,1.0,1.8,776.0,,,,,,,,0.25,7,COMPLETE
131,131,4.580575432316497,2025-06-15 00:30:44.573320,2025-06-15 00:30:48.705477,0 days 00:00:04.132157,104.0,0.004,1m,2.0,4.0,0.8,528.0,766.0,0.009000000000000001,4m,2.0,3.5,1.9000000000000001,266.0,20.0,0.004,2m,2.0,2.0,2.0,458.0,200,0.01,2m,1.0,2.0,0.7,390,338.0,0.008,3m,2.0,3.5,0.9,478.0,40.0,0.001,4m,2.0,2.0,1.5,316.0,300.0,0.005,2m,2.5,2.5,1.2000000000000002,346.0,,,,,,,,782.0,0.008,2m,2.0,1.0,1.9000000000000001,856.0,,,,,,,,0.05,8,COMPLETE
132,132,5.0905938025940385,2025-06-15 00:30:48.780988,2025-06-15 00:30:53.446420,0 days 00:00:04.665432,58.0,0.004,1m,2.0,4.0,0.9,576.0,662.0,0.01,4m,2.0,3.0,1.8,286.0,72.0,0.001,2m,3.5,2.5,1.9000000000000001,392.0,138,0.01,2m,1.0,2.0,0.6,364,460.0,0.009000000000000001,3m,2.0,3.5,0.9,552.0,148.0,0.001,4m,2.0,2.0,1.4,218.0,166.0,0.005,2m,2.5,3.0,0.9,304.0,752.0,0.006,4m,1.0,1.5,0.7,84.0,704.0,0.007,2m,1.5,4.0,1.7000000000000002,820.0,,,,,,,,0.1,9,COMPLETE
133,133,4.351271310749323,2025-06-15 00:30:53.543464,2025-06-15 00:30:57.848304,0 days 00:00:04.304840,166.0,0.005,1m,2.0,4.0,0.9,414.0,366.0,0.01,4m,2.0,3.5,1.2000000000000002,176.0,496.0,0.003,3m,3.5,2.0,1.8,550.0,480,0.004,2m,1.0,1.5,0.8,314,416.0,0.001,3m,2.5,3.5,0.9,574.0,216.0,0.002,4m,2.0,2.0,1.5,254.0,238.0,0.005,2m,2.0,3.5,1.1,202.0,,,,,,,,588.0,0.009000000000000001,2m,2.0,1.0,1.8,1010.0,,,,,,,,0.05,8,COMPLETE
134,134,4.113495366478017,2025-06-15 00:30:57.950827,2025-06-15 00:31:02.201643,0 days 00:00:04.250816,86.0,0.004,1m,2.5,3.0,0.7,764.0,798.0,0.009000000000000001,4m,2.0,2.0,1.7000000000000002,576.0,180.0,0.002,3m,3.5,3.5,2.0,520.0,384,0.009000000000000001,4m,1.0,1.5,0.5,296,932.0,0.009000000000000001,3m,2.0,3.5,0.8,518.0,194.0,0.001,4m,2.0,2.5,1.4,282.0,322.0,0.004,2m,1.5,2.5,1.4,250.0,,,,,,,,536.0,0.008,1m,2.5,1.5,0.9,726.0,,,,,,,,0.05,8,COMPLETE
135,135,6.4237981847451975,2025-06-15 00:31:02.286159,2025-06-15 00:31:06.732082,0 days 00:00:04.445923,40.0,0.006,4m,2.0,3.5,0.6,506.0,748.0,0.01,4m,2.0,2.5,1.0,900.0,222.0,0.004,3m,3.0,1.0,1.1,844.0,422,0.01,2m,1.0,2.0,0.7,406,862.0,0.004,3m,1.5,4.0,0.9,606.0,248.0,0.002,4m,1.5,2.0,0.8,372.0,132.0,0.005,1m,1.5,2.5,1.0,112.0,,,,,,,,484.0,0.007,2m,2.0,1.0,2.0,912.0,,,,,,,,0.05,8,COMPLETE
136,136,-5.223368450872904,2025-06-15 00:31:06.822600,2025-06-15 00:31:09.388695,0 days 00:00:02.566095,,,,,,,,638.0,0.009000000000000001,4m,2.0,3.5,1.1,624.0,,,,,,,,542,0.01,3m,1.0,2.0,0.6,268,536.0,0.002,3m,2.0,3.0,1.0,500.0,92.0,0.001,4m,2.0,2.5,1.3,196.0,270.0,0.006,3m,1.0,3.0,1.2000000000000002,184.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
137,137,1.9824604655104543,2025-06-15 00:31:09.462209,2025-06-15 00:31:13.212115,0 days 00:00:03.749906,,,,,,,,708.0,0.01,4m,2.0,3.0,1.9000000000000001,244.0,330.0,0.005,2m,3.5,1.5,1.5,184.0,328,0.009000000000000001,2m,1.0,1.5,0.9,122,834.0,0.001,1m,2.5,3.5,0.8,446.0,174.0,0.002,4m,2.0,2.0,1.6,328.0,98.0,0.007,2m,3.0,3.5,1.3,942.0,,,,,,,,568.0,0.006,3m,1.5,2.0,1.6,682.0,,,,,,,,0.1,7,COMPLETE
138,138,2.256937379404065,2025-06-15 00:31:13.298628,2025-06-15 00:31:18.064081,0 days 00:00:04.765453,266.0,0.003,4m,1.5,2.5,0.8,460.0,934.0,0.001,4m,2.5,4.0,1.6,162.0,60.0,0.004,4m,4.0,2.5,1.9000000000000001,974.0,166,0.009000000000000001,4m,1.0,2.0,0.8,354,208.0,0.001,3m,2.0,2.5,1.7000000000000002,16.0,406.0,0.001,4m,1.5,2.0,1.4,236.0,308.0,0.008,2m,2.0,2.5,1.4,58.0,280.0,0.008,3m,2.5,2.5,0.5,228.0,440.0,0.01,4m,1.5,1.5,1.4,822.0,,,,,,,,0.05,9,COMPLETE
139,139,7.45617211207323,2025-06-15 00:31:18.165617,2025-06-15 00:31:22.488058,0 days 00:00:04.322441,122.0,0.005,2m,3.0,3.5,1.2000000000000002,618.0,340.0,0.01,4m,1.5,2.0,1.8,198.0,144.0,0.005,3m,3.5,3.5,2.0,358.0,268,0.01,2m,1.5,1.5,0.7,382,980.0,0.002,3m,2.0,3.0,0.9,626.0,374.0,0.005,4m,2.0,4.0,1.2000000000000002,302.0,374.0,0.006,4m,2.5,4.0,1.5,222.0,,,,,,,,408.0,0.009000000000000001,2m,1.0,1.0,1.0,878.0,,,,,,,,0.25,8,COMPLETE
140,140,-0.6189786459530723,2025-06-15 00:31:22.569571,2025-06-15 00:31:26.906319,0 days 00:00:04.336748,112.0,0.005,2m,3.0,3.0,1.0,650.0,270.0,0.01,4m,1.5,2.0,1.8,192.0,112.0,0.005,3m,3.0,3.5,2.0,296.0,266,0.01,2m,1.5,2.5,0.7,56,996.0,0.002,3m,2.0,3.0,0.7,174.0,366.0,0.007,1m,2.0,4.0,1.1,564.0,568.0,0.006,4m,2.5,4.0,1.5,222.0,,,,,,,,408.0,0.009000000000000001,2m,1.5,1.0,1.1,870.0,,,,,,,,0.25,8,COMPLETE
141,141,1.90718549196317,2025-06-15 00:31:26.989366,2025-06-15 00:31:31.341253,0 days 00:00:04.351887,182.0,0.005,2m,3.0,3.5,1.2000000000000002,606.0,328.0,0.01,4m,1.5,2.0,1.7000000000000002,210.0,36.0,0.005,3m,3.5,3.5,2.0,348.0,242,0.01,2m,1.0,1.5,0.7,374,974.0,0.003,3m,2.0,3.0,0.9,708.0,384.0,0.003,4m,2.0,4.0,1.2000000000000002,290.0,370.0,0.005,4m,2.5,2.5,1.5,162.0,,,,,,,,454.0,0.01,2m,1.0,1.0,1.0,16.0,,,,,,,,0.25,8,COMPLETE
142,142,7.260357686686676,2025-06-15 00:31:31.432776,2025-06-15 00:31:35.714176,0 days 00:00:04.281400,48.0,0.005,2m,2.5,4.0,1.5,558.0,348.0,0.007,4m,1.5,2.0,2.0,382.0,142.0,0.006,3m,3.5,4.0,1.9000000000000001,424.0,292,0.01,2m,2.0,1.5,0.6,338,884.0,0.002,3m,2.0,3.0,0.8,650.0,324.0,0.005,4m,2.0,4.0,1.2000000000000002,270.0,344.0,0.006,4m,2.5,4.0,1.5,382.0,,,,,,,,382.0,0.009000000000000001,2m,1.0,1.0,1.5,970.0,,,,,,,,0.25,8,COMPLETE
143,143,8.268533544941617,2025-06-15 00:31:35.804688,2025-06-15 00:31:39.968299,0 days 00:00:04.163611,50.0,0.005,2m,2.5,3.0,0.7,542.0,344.0,0.007,4m,1.5,2.0,2.0,386.0,138.0,0.004,3m,3.5,3.5,1.9000000000000001,432.0,292,0.01,2m,2.0,1.5,0.7,334,942.0,0.002,3m,2.0,3.0,0.8,650.0,430.0,0.005,4m,2.0,4.0,1.2000000000000002,264.0,344.0,0.006,4m,2.5,4.0,1.5,382.0,,,,,,,,386.0,0.009000000000000001,2m,1.0,1.0,1.5,1004.0,,,,,,,,0.25,8,COMPLETE
144,144,6.753418751707239,2025-06-15 00:31:40.069340,2025-06-15 00:31:44.215777,0 days 00:00:04.146437,52.0,0.005,2m,2.5,3.0,0.7,572.0,340.0,0.007,4m,1.5,2.0,2.0,396.0,146.0,0.004,3m,3.5,3.5,1.9000000000000001,400.0,302,0.01,2m,2.5,1.5,0.6,290,932.0,0.002,3m,2.0,3.0,0.8,654.0,450.0,0.005,4m,2.0,4.0,1.1,260.0,390.0,0.006,4m,2.5,4.0,1.5,412.0,,,,,,,,372.0,0.009000000000000001,2m,1.0,1.0,1.5,970.0,,,,,,,,0.25,8,COMPLETE
145,145,-2.8907138340244414,2025-06-15 00:31:44.310289,2025-06-15 00:31:48.503618,0 days 00:00:04.193329,44.0,0.005,2m,2.5,3.0,0.7,710.0,308.0,0.007,4m,1.5,2.0,2.0,400.0,156.0,0.004,3m,3.5,3.5,1.8,426.0,214,0.01,2m,2.0,1.5,0.6,284,952.0,0.002,3m,2.0,3.0,0.7,656.0,450.0,0.005,4m,2.5,4.0,1.0,264.0,406.0,0.006,4m,2.5,4.0,1.5,412.0,,,,,,,,378.0,0.009000000000000001,2m,1.0,1.0,1.5,1008.0,,,,,,,,0.25,8,COMPLETE
146,146,2.991747033374775,2025-06-15 00:31:48.578128,2025-06-15 00:31:53.280647,0 days 00:00:04.702519,62.0,0.006,2m,2.5,3.0,0.6,592.0,346.0,0.007,4m,1.5,2.0,2.0,420.0,232.0,0.006,3m,3.5,3.5,1.9000000000000001,328.0,404,0.01,2m,2.5,1.5,0.8,326,934.0,0.002,2m,2.0,3.0,0.8,674.0,514.0,0.005,4m,2.0,4.0,1.0,306.0,382.0,0.007,4m,2.5,4.0,1.4,366.0,110.0,0.009000000000000001,1m,1.5,1.0,1.1,394.0,344.0,0.009000000000000001,2m,1.0,1.0,1.5,966.0,,,,,,,,0.25,9,COMPLETE
147,147,4.041446428022737,2025-06-15 00:31:53.370163,2025-06-15 00:31:57.172310,0 days 00:00:03.802147,,,,,,,,294.0,0.007,1m,1.0,2.0,2.0,458.0,138.0,0.004,3m,3.0,3.5,1.9000000000000001,364.0,304,0.01,2m,2.0,1.5,0.7,298,974.0,0.002,3m,2.0,3.0,0.8,632.0,420.0,0.006,2m,1.5,4.0,1.1,268.0,350.0,0.006,4m,3.0,4.0,1.5,390.0,,,,,,,,266.0,0.01,2m,1.0,1.0,1.3,936.0,,,,,,,,0.25,7,COMPLETE
148,148,3.667662499200799,2025-06-15 00:31:57.300823,2025-06-15 00:32:01.631009,0 days 00:00:04.330186,36.0,0.005,2m,2.5,3.0,1.4,564.0,228.0,0.007,2m,1.5,2.0,2.0,350.0,140.0,0.008,3m,3.5,3.5,1.9000000000000001,234.0,266,0.01,2m,2.5,1.5,0.6,340,1024.0,0.002,3m,2.0,3.0,0.8,696.0,454.0,0.005,4m,2.0,4.0,1.2000000000000002,218.0,446.0,0.006,4m,2.5,4.0,1.5,344.0,,,,,,,,338.0,0.009000000000000001,2m,1.0,1.0,1.4,984.0,,,,,,,,0.25,8,COMPLETE
149,149,5.430984500108084,2025-06-15 00:32:01.719515,2025-06-15 00:32:04.464634,0 days 00:00:02.745119,,,,,,,,390.0,0.006,4m,1.5,2.0,2.0,404.0,,,,,,,,350,0.01,2m,2.0,1.5,0.8,322,916.0,0.002,3m,1.5,3.0,0.7,622.0,542.0,0.004,4m,2.0,4.0,1.1,134.0,466.0,0.007,4m,2.5,4.0,1.4,472.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
