,number,value,datetime_start,datetime_complete,duration,params_AVGO_ZM_beta_win,params_AVGO_ZM_stop_loss,params_AVGO_ZM_trade_freq,params_AVGO_ZM_z_entry,params_AVGO_ZM_z_exit,params_AVGO_ZM_z_stop_scaler,params_AVGO_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_ILMN_ZM_beta_win,params_ILMN_ZM_stop_loss,params_ILMN_ZM_trade_freq,params_ILMN_ZM_z_entry,params_ILMN_ZM_z_exit,params_ILMN_ZM_z_stop_scaler,params_ILMN_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_KLAC_ZM_beta_win,params_KLAC_ZM_stop_loss,params_KLAC_ZM_trade_freq,params_KLAC_ZM_z_entry,params_KLAC_ZM_z_exit,params_KLAC_ZM_z_stop_scaler,params_KLAC_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_ROST_ZM_beta_win,params_ROST_ZM_stop_loss,params_ROST_ZM_trade_freq,params_ROST_ZM_z_entry,params_ROST_ZM_z_exit,params_ROST_ZM_z_stop_scaler,params_ROST_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
123,123,5.676895757795171,2025-06-15 01:20:27.271765,2025-06-15 01:20:30.363802,0 days 00:00:03.092037,734.0,0.01,1m,1.5,2.0,0.8,258.0,32.0,0.001,4m,1.0,2.0,2.0,880.0,440,0.004,3m,2.5,4.0,1.8,46,888.0,0.01,3m,3.5,3.0,0.8,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,0.001,1m,2.5,2.5,1.3,246.0,614.0,0.001,1m,2.5,4.0,2.0,628.0,0.25,6,COMPLETE
124,124,5.335073587810068,2025-06-15 01:20:30.443499,2025-06-15 01:20:33.376864,0 days 00:00:02.933365,768.0,0.01,1m,2.0,2.0,1.0,322.0,22.0,0.001,4m,1.0,2.0,2.0,952.0,396,0.005,3m,2.5,4.0,1.8,96,932.0,0.01,3m,3.5,3.0,0.8,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,0.001,1m,2.5,2.5,1.4,222.0,574.0,0.001,1m,2.5,3.0,1.9000000000000001,668.0,0.3,6,COMPLETE
125,125,6.19382308576929,2025-06-15 01:20:33.422718,2025-06-15 01:20:36.373676,0 days 00:00:02.950958,694.0,0.003,1m,1.5,2.0,0.9,272.0,108.0,0.001,4m,1.0,2.5,1.9000000000000001,858.0,358,0.004,3m,2.5,4.0,1.7000000000000002,66,844.0,0.01,3m,3.5,3.0,0.9,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.001,1m,2.5,2.5,1.2000000000000002,308.0,510.0,0.001,1m,2.5,3.5,1.8,704.0,0.3,6,COMPLETE
126,126,8.742267604828053,2025-06-15 01:20:36.456360,2025-06-15 01:20:39.271004,0 days 00:00:02.814644,890.0,0.01,1m,2.5,2.0,0.9,214.0,148.0,0.001,4m,1.0,2.0,1.9000000000000001,986.0,290,0.005,4m,2.5,4.0,1.7000000000000002,88,964.0,0.01,3m,3.5,3.0,0.6,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.0,0.001,1m,2.5,2.5,1.2000000000000002,164.0,542.0,0.001,1m,2.5,2.5,1.8,650.0,0.3,6,COMPLETE
127,127,3.841627191760997,2025-06-15 01:20:39.356573,2025-06-15 01:20:41.971102,0 days 00:00:02.614529,970.0,0.004,1m,2.5,2.0,0.9,336.0,146.0,0.002,4m,4.0,2.0,1.8,1006.0,190,0.004,4m,2.5,4.0,0.9,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.001,1m,2.5,2.5,1.1,168.0,628.0,0.001,1m,2.5,3.0,2.0,662.0,0.3,5,COMPLETE
128,128,10.436914886871843,2025-06-15 01:20:42.033406,2025-06-15 01:20:45.138677,0 days 00:00:03.105271,890.0,0.01,1m,2.5,2.5,0.8,202.0,126.0,0.001,4m,1.0,2.5,2.0,906.0,274,0.004,4m,2.5,3.5,1.9000000000000001,82,1022.0,0.01,3m,4.0,3.0,0.6,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.001,1m,2.5,2.5,1.2000000000000002,150.0,598.0,0.001,1m,2.0,2.5,1.8,626.0,0.25,6,COMPLETE
129,129,8.642960436924463,2025-06-15 01:20:45.207967,2025-06-15 01:20:48.189674,0 days 00:00:02.981707,882.0,0.01,1m,2.5,3.0,0.8,194.0,54.0,0.002,4m,1.0,2.5,2.0,980.0,240,0.005,4m,2.5,3.5,1.9000000000000001,82,1020.0,0.01,3m,4.0,3.0,0.6,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.001,1m,2.5,2.5,1.1,142.0,574.0,0.001,1m,2.0,2.5,1.8,616.0,0.2,6,COMPLETE
130,130,4.794788983691999,2025-06-15 01:20:48.268054,2025-06-15 01:20:50.916794,0 days 00:00:02.648740,892.0,0.009000000000000001,1m,2.5,3.0,0.7,206.0,58.0,0.002,4m,3.5,2.5,2.0,978.0,276,0.005,4m,2.5,3.5,1.9000000000000001,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.001,1m,2.5,2.5,1.1,150.0,570.0,0.001,1m,1.5,3.0,1.8,628.0,0.2,5,COMPLETE
131,131,9.404407788366656,2025-06-15 01:20:50.992729,2025-06-15 01:20:54.001030,0 days 00:00:03.008301,848.0,0.01,1m,2.5,3.0,0.8,222.0,128.0,0.001,4m,1.0,2.5,2.0,908.0,238,0.004,4m,2.5,3.5,2.0,38,970.0,0.01,3m,4.0,3.0,0.6,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.001,1m,2.5,2.5,1.2000000000000002,188.0,524.0,0.001,1m,2.0,2.5,1.7000000000000002,688.0,0.15000000000000002,6,COMPLETE
132,132,12.052610245158993,2025-06-15 01:20:54.097545,2025-06-15 01:20:57.056211,0 days 00:00:02.958666,914.0,0.01,1m,2.5,3.5,0.8,224.0,120.0,0.001,4m,1.0,2.5,2.0,896.0,222,0.005,4m,4.0,3.5,2.0,40,964.0,0.01,3m,4.0,3.0,0.6,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.001,1m,2.5,2.5,1.1,184.0,472.0,0.001,1m,1.5,2.5,1.7000000000000002,648.0,0.15000000000000002,6,COMPLETE
133,133,12.189115968087481,2025-06-15 01:20:57.119355,2025-06-15 01:21:00.300509,0 days 00:00:03.181154,932.0,0.01,1m,2.5,3.0,0.8,156.0,128.0,0.001,4m,1.0,2.5,2.0,914.0,224,0.005,4m,4.0,3.5,2.0,38,968.0,0.01,3m,4.0,3.0,0.6,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.001,1m,2.5,2.5,1.1,228.0,494.0,0.001,1m,1.5,2.5,1.7000000000000002,652.0,0.15000000000000002,6,COMPLETE
134,134,9.95591352264165,2025-06-15 01:21:00.369169,2025-06-15 01:21:03.287049,0 days 00:00:02.917880,912.0,0.01,4m,2.5,3.5,0.8,156.0,124.0,0.001,4m,1.0,2.5,2.0,904.0,216,0.005,4m,4.0,3.5,2.0,32,968.0,0.01,3m,4.0,3.0,0.6,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,0.001,1m,2.5,2.5,1.0,240.0,472.0,0.001,1m,1.5,2.5,1.7000000000000002,652.0,0.15000000000000002,6,COMPLETE
135,135,3.616137397651952,2025-06-15 01:21:03.355492,2025-06-15 01:21:06.546032,0 days 00:00:03.190540,932.0,0.01,4m,2.5,3.5,0.7,156.0,126.0,0.001,4m,1.0,2.5,2.0,906.0,238,0.006,4m,4.0,3.5,2.0,40,976.0,0.01,3m,4.0,3.0,0.6,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.001,1m,2.5,3.0,1.0,196.0,406.0,0.001,3m,1.5,2.5,1.7000000000000002,614.0,0.15000000000000002,6,COMPLETE
136,136,2.7320975664752565,2025-06-15 01:21:06.613382,2025-06-15 01:21:09.574781,0 days 00:00:02.961399,874.0,0.01,4m,2.5,3.0,0.8,190.0,104.0,0.002,3m,1.0,2.5,2.0,894.0,150,0.005,4m,4.0,3.5,1.9000000000000001,84,996.0,0.01,3m,4.0,3.0,0.5,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,0.001,1m,2.5,2.5,1.2000000000000002,236.0,482.0,0.001,1m,1.5,2.5,1.7000000000000002,652.0,0.15000000000000002,6,COMPLETE
137,137,9.438263586421538,2025-06-15 01:21:09.657140,2025-06-15 01:21:12.821101,0 days 00:00:03.163961,910.0,0.009000000000000001,4m,2.5,3.5,0.8,130.0,134.0,0.007,4m,1.0,2.5,2.0,848.0,220,0.005,4m,4.0,3.5,2.0,42,968.0,0.009000000000000001,3m,4.0,2.5,0.6,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,0.001,1m,2.5,2.5,1.0,142.0,444.0,0.001,1m,1.5,2.5,1.7000000000000002,680.0,0.1,6,COMPLETE
138,138,9.081877157921408,2025-06-15 01:21:12.876917,2025-06-15 01:21:15.956129,0 days 00:00:03.079212,914.0,0.009000000000000001,4m,2.5,3.5,0.8,128.0,126.0,0.009000000000000001,4m,1.0,2.5,2.0,866.0,186,0.005,2m,4.0,3.5,2.0,40,964.0,0.009000000000000001,3m,4.0,2.5,0.6,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,0.001,1m,2.5,2.5,1.0,262.0,438.0,0.001,1m,1.5,2.5,1.6,646.0,0.15000000000000002,6,COMPLETE
139,139,5.740054866888676,2025-06-15 01:21:16.029913,2025-06-15 01:21:19.338390,0 days 00:00:03.308477,942.0,0.009000000000000001,4m,2.5,3.5,0.7,118.0,126.0,0.007,1m,1.0,2.5,2.0,848.0,184,0.006,2m,4.0,3.5,2.0,46,982.0,0.009000000000000001,3m,4.0,2.5,0.5,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,0.002,1m,2.5,2.5,1.0,264.0,438.0,0.001,1m,1.5,2.5,1.7000000000000002,678.0,0.15000000000000002,6,COMPLETE
140,140,8.261816669630095,2025-06-15 01:21:19.416946,2025-06-15 01:21:22.595909,0 days 00:00:03.178963,1018.0,0.009000000000000001,4m,2.5,3.5,0.8,164.0,104.0,0.009000000000000001,4m,1.0,2.5,2.0,872.0,186,0.005,2m,4.0,3.5,2.0,32,896.0,0.009000000000000001,3m,4.0,2.5,0.6,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.0,0.001,1m,2.5,2.5,1.0,286.0,470.0,0.001,1m,1.5,2.5,1.6,682.0,0.1,6,COMPLETE
141,141,5.38932995932361,2025-06-15 01:21:22.681774,2025-06-15 01:21:26.035863,0 days 00:00:03.354089,904.0,0.009000000000000001,4m,2.5,3.5,0.8,138.0,130.0,0.01,4m,1.0,2.5,1.9000000000000001,908.0,228,0.005,2m,4.0,3.5,2.0,16,966.0,0.009000000000000001,3m,4.0,2.5,0.6,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,0.001,1m,2.5,2.5,1.0,232.0,430.0,0.001,1m,1.5,2.5,1.7000000000000002,646.0,0.1,6,COMPLETE
142,142,5.74181601077037,2025-06-15 01:21:26.117510,2025-06-15 01:21:29.404045,0 days 00:00:03.286535,914.0,0.009000000000000001,4m,2.5,4.0,0.7,222.0,144.0,0.008,4m,1.0,2.5,2.0,802.0,210,0.005,2m,4.0,3.5,1.9000000000000001,50,962.0,0.009000000000000001,3m,4.0,3.0,0.6,642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,0.001,1m,2.5,2.5,1.1,196.0,466.0,0.001,1m,1.0,2.5,1.6,640.0,0.15000000000000002,6,COMPLETE
143,143,-4.482261393090681,2025-06-15 01:21:29.468615,2025-06-15 01:21:32.558274,0 days 00:00:03.089659,962.0,0.01,4m,2.5,3.5,0.8,208.0,936.0,0.009000000000000001,4m,1.0,2.5,2.0,858.0,134,0.005,4m,4.0,3.5,1.9000000000000001,72,996.0,0.009000000000000001,3m,4.0,2.5,0.5,678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.0,0.001,1m,2.5,2.5,1.1,148.0,380.0,0.001,1m,1.5,2.5,1.7000000000000002,590.0,0.05,6,COMPLETE
144,144,2.4293566205014843,2025-06-15 01:21:32.628570,2025-06-15 01:21:35.733344,0 days 00:00:03.104774,848.0,0.009000000000000001,4m,2.5,3.5,0.8,66.0,82.0,0.008,4m,1.0,2.5,1.9000000000000001,838.0,300,0.005,4m,4.0,3.5,2.0,140,1004.0,0.01,3m,4.0,3.0,0.6,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,0.001,1m,2.5,2.5,1.2000000000000002,268.0,514.0,0.001,1m,1.5,2.5,1.7000000000000002,658.0,0.1,6,COMPLETE
145,145,5.889934970833031,2025-06-15 01:21:35.831714,2025-06-15 01:21:38.988280,0 days 00:00:03.156566,926.0,0.01,4m,2.5,3.0,0.8,180.0,182.0,0.001,4m,1.0,2.5,2.0,888.0,158,0.006,2m,4.0,3.5,2.0,102,916.0,0.01,3m,4.0,3.0,0.7,758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,0.001,1m,2.5,2.5,1.0,218.0,452.0,0.001,1m,2.0,2.5,1.7000000000000002,576.0,0.15000000000000002,6,COMPLETE
146,146,1.6901414474419727,2025-06-15 01:21:39.068721,2025-06-15 01:21:42.588324,0 days 00:00:03.519603,962.0,0.01,4m,2.5,3.5,0.7,148.0,118.0,0.007,3m,1.0,2.5,1.9000000000000001,914.0,258,0.005,4m,3.5,3.5,2.0,42,980.0,0.009000000000000001,3m,4.0,3.0,0.5,646.0,,,,,,,,636.0,0.006,3m,2.0,4.0,1.6,106.0,,,,,,,,,,,,,,,754.0,0.001,1m,2.5,2.5,1.2000000000000002,190.0,486.0,0.001,1m,1.5,2.5,1.6,684.0,0.15000000000000002,7,COMPLETE
147,147,7.68662660554932,2025-06-15 01:21:42.658505,2025-06-15 01:21:45.725675,0 days 00:00:03.067170,840.0,0.001,4m,2.5,4.0,0.8,86.0,166.0,0.001,4m,1.0,3.0,2.0,872.0,210,0.004,4m,4.0,3.5,1.9000000000000001,92,956.0,0.01,3m,4.0,3.5,0.7,826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,0.002,1m,2.5,3.0,1.0,112.0,416.0,0.001,1m,1.5,2.5,1.8,626.0,0.15000000000000002,6,COMPLETE
148,148,6.140347841675711,2025-06-15 01:21:45.779056,2025-06-15 01:21:48.775246,0 days 00:00:02.996190,886.0,0.009000000000000001,4m,2.5,3.0,0.8,126.0,98.0,0.006,4m,1.0,2.5,1.8,896.0,220,0.005,4m,4.0,3.5,1.9000000000000001,16,1000.0,0.009000000000000001,1m,4.0,2.5,0.6,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,0.002,1m,2.5,2.5,1.1,130.0,514.0,0.001,1m,1.5,2.5,1.7000000000000002,534.0,0.2,6,COMPLETE
149,149,4.822202604166809,2025-06-15 01:21:48.833790,2025-06-15 01:21:52.630217,0 days 00:00:03.796427,858.0,0.01,2m,2.5,3.5,0.7,218.0,210.0,0.01,4m,3.0,2.5,2.0,800.0,262,0.004,1m,4.0,3.5,2.0,166,880.0,0.01,3m,4.0,3.0,0.7,576.0,,,,,,,,708.0,0.007,1m,2.5,3.5,1.8,632.0,,,,,,,,,,,,,,,678.0,0.001,1m,2.5,2.5,1.3,246.0,444.0,0.001,1m,2.0,2.5,1.8,652.0,0.1,7,COMPLETE
