,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AMD_SPLK_beta_win,params_AMD_SPLK_stop_loss,params_AMD_SPLK_trade_freq,params_AMD_SPLK_z_entry,params_AMD_SPLK_z_exit,params_AMD_SPLK_z_stop_scaler,params_AMD_SPLK_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_ATVI_SPLK_beta_win,params_ATVI_SPLK_stop_loss,params_ATVI_SPLK_trade_freq,params_ATVI_SPLK_z_entry,params_ATVI_SPLK_z_exit,params_ATVI_SPLK_z_stop_scaler,params_ATVI_SPLK_z_win,params_CDNS_VRSK_beta_win,params_CDNS_VRSK_stop_loss,params_CDNS_VRSK_trade_freq,params_CDNS_VRSK_z_entry,params_CDNS_VRSK_z_exit,params_CDNS_VRSK_z_stop_scaler,params_CDNS_VRSK_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_FISV_VRSK_beta_win,params_FISV_VRSK_stop_loss,params_FISV_VRSK_trade_freq,params_FISV_VRSK_z_entry,params_FISV_VRSK_z_exit,params_FISV_VRSK_z_stop_scaler,params_FISV_VRSK_z_win,params_MSFT_SPLK_beta_win,params_MSFT_SPLK_stop_loss,params_MSFT_SPLK_trade_freq,params_MSFT_SPLK_z_entry,params_MSFT_SPLK_z_exit,params_MSFT_SPLK_z_stop_scaler,params_MSFT_SPLK_z_win,params_QCOM_SPLK_beta_win,params_QCOM_SPLK_stop_loss,params_QCOM_SPLK_trade_freq,params_QCOM_SPLK_z_entry,params_QCOM_SPLK_z_exit,params_QCOM_SPLK_z_stop_scaler,params_QCOM_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
134,134,9.143974666354481,2025-06-15 01:10:42.573395,2025-06-15 01:10:47.203477,0 days 00:00:04.630082,396,0.009000000000000001,3m,4.0,2.0,2.0,800,706.0,0.01,4m,3.0,2.5,0.6,746.0,544.0,0.009000000000000001,1m,4.0,1.0,2.0,312.0,,,,,,,,238.0,0.004,1m,3.5,2.5,0.6,908.0,,,,,,,,320.0,0.009000000000000001,4m,2.5,1.0,0.6,914.0,,,,,,,,18.0,0.003,1m,3.5,2.5,1.9000000000000001,386.0,,,,,,,,0.05,6,COMPLETE
135,135,12.436109274050558,2025-06-15 01:10:47.293215,2025-06-15 01:10:52.002698,0 days 00:00:04.709483,350,0.009000000000000001,3m,4.0,3.0,1.9000000000000001,976,748.0,0.009000000000000001,4m,3.5,1.5,1.0,868.0,506.0,0.01,1m,4.0,1.5,2.0,416.0,,,,,,,,260.0,0.004,1m,3.5,3.0,0.8,982.0,,,,,,,,358.0,0.008,4m,2.0,1.0,0.5,986.0,,,,,,,,112.0,0.002,1m,3.5,2.0,2.0,336.0,,,,,,,,0.05,6,COMPLETE
136,136,10.572567179727312,2025-06-15 01:10:52.116841,2025-06-15 01:10:55.011824,0 days 00:00:02.894983,354,0.006,3m,4.0,3.0,1.9000000000000001,974,752.0,0.01,4m,3.5,1.5,1.0,872.0,498.0,0.01,1m,4.0,1.5,2.0,428.0,,,,,,,,262.0,0.004,2m,3.5,3.0,0.5,700.0,,,,,,,,356.0,0.01,4m,2.0,1.0,0.5,956.0,,,,,,,,118.0,0.003,1m,4.0,2.0,1.9000000000000001,354.0,,,,,,,,0.05,6,COMPLETE
137,137,9.726726551891336,2025-06-15 01:10:55.074591,2025-06-15 01:10:57.858148,0 days 00:00:02.783557,352,0.006,3m,4.0,3.0,2.0,994,752.0,0.01,4m,3.5,1.5,1.1,870.0,508.0,0.01,1m,4.0,1.5,2.0,412.0,,,,,,,,262.0,0.004,2m,3.5,3.0,0.5,1000.0,,,,,,,,396.0,0.009000000000000001,4m,2.0,1.0,0.5,950.0,,,,,,,,114.0,0.003,1m,4.0,2.0,1.9000000000000001,358.0,,,,,,,,0.05,6,COMPLETE
138,138,10.438337481949652,2025-06-15 01:10:57.928756,2025-06-15 01:11:00.723828,0 days 00:00:02.795072,354,0.006,3m,4.0,3.0,2.0,1012,744.0,0.01,4m,3.5,1.5,1.1,868.0,500.0,0.01,1m,4.0,1.5,2.0,402.0,,,,,,,,260.0,0.004,2m,3.5,3.0,0.5,986.0,,,,,,,,358.0,0.009000000000000001,4m,2.0,1.0,0.5,950.0,,,,,,,,114.0,0.003,1m,4.0,2.0,1.9000000000000001,358.0,,,,,,,,0.05,6,COMPLETE
139,139,11.18217965007813,2025-06-15 01:11:00.789246,2025-06-15 01:11:03.469525,0 days 00:00:02.680279,428,0.006,3m,4.0,3.0,1.9000000000000001,1020,730.0,0.01,4m,3.5,1.5,1.0,904.0,468.0,0.01,1m,4.0,1.5,2.0,492.0,,,,,,,,224.0,0.005,2m,3.5,3.0,0.5,702.0,,,,,,,,354.0,0.008,4m,2.0,1.0,0.5,1006.0,,,,,,,,70.0,0.003,1m,4.0,2.0,2.0,324.0,,,,,,,,0.05,6,COMPLETE
140,140,7.0534181650020376,2025-06-15 01:11:03.553139,2025-06-15 01:11:06.450831,0 days 00:00:02.897692,492,0.006,3m,4.0,3.0,1.9000000000000001,1018,716.0,0.01,4m,3.5,1.5,1.0,928.0,468.0,0.01,1m,3.0,1.5,2.0,556.0,,,,,,,,180.0,0.005,2m,3.5,3.0,0.8,712.0,,,,,,,,344.0,0.008,4m,2.0,1.0,0.5,900.0,,,,,,,,72.0,0.003,1m,4.0,2.0,2.0,318.0,,,,,,,,0.05,6,COMPLETE
141,141,10.917150317403623,2025-06-15 01:11:06.514566,2025-06-15 01:11:09.304940,0 days 00:00:02.790374,432,0.006,3m,4.0,3.0,1.9000000000000001,958,776.0,0.01,4m,3.5,1.5,0.9,908.0,494.0,0.01,1m,4.0,1.5,2.0,480.0,,,,,,,,220.0,0.005,4m,3.5,3.0,0.5,1024.0,,,,,,,,356.0,0.009000000000000001,4m,2.0,1.0,0.6,1008.0,,,,,,,,62.0,0.002,1m,4.0,2.0,2.0,260.0,,,,,,,,0.05,6,COMPLETE
142,142,10.313665636967778,2025-06-15 01:11:09.357640,2025-06-15 01:11:12.077261,0 days 00:00:02.719621,420,0.006,3m,4.0,3.0,1.9000000000000001,976,770.0,0.01,4m,3.5,1.5,0.9,910.0,420.0,0.01,1m,4.0,1.5,2.0,506.0,,,,,,,,226.0,0.005,2m,3.5,3.0,0.5,1022.0,,,,,,,,366.0,0.009000000000000001,4m,2.0,1.0,0.6,980.0,,,,,,,,62.0,0.002,1m,4.0,2.0,2.0,288.0,,,,,,,,0.05,6,COMPLETE
143,143,11.107754823984004,2025-06-15 01:11:12.141359,2025-06-15 01:11:14.813075,0 days 00:00:02.671716,426,0.006,3m,4.0,3.0,1.9000000000000001,978,772.0,0.01,4m,3.5,1.5,0.9,908.0,490.0,0.01,1m,4.0,1.5,2.0,504.0,,,,,,,,226.0,0.005,2m,3.5,3.0,0.5,980.0,,,,,,,,358.0,0.009000000000000001,4m,2.0,1.0,0.6,1006.0,,,,,,,,64.0,0.002,1m,4.0,2.0,2.0,270.0,,,,,,,,0.05,6,COMPLETE
144,144,10.036631433018586,2025-06-15 01:11:14.882101,2025-06-15 01:11:17.672416,0 days 00:00:02.790315,452,0.006,3m,4.0,3.0,2.0,958,734.0,0.01,4m,3.5,1.5,0.9,868.0,496.0,0.01,1m,4.0,1.5,2.0,480.0,,,,,,,,142.0,0.005,2m,3.5,3.0,0.5,986.0,,,,,,,,358.0,0.008,4m,2.0,1.0,0.5,1008.0,,,,,,,,88.0,0.002,1m,4.0,2.0,2.0,252.0,,,,,,,,0.05,6,COMPLETE
145,145,6.605214624365749,2025-06-15 01:11:17.731695,2025-06-15 01:11:20.458488,0 days 00:00:02.726793,438,0.006,3m,4.0,3.0,1.9000000000000001,956,802.0,0.01,4m,3.5,1.5,1.0,908.0,530.0,0.01,1m,4.0,1.5,2.0,446.0,,,,,,,,210.0,0.006,2m,3.5,3.0,0.5,982.0,,,,,,,,312.0,0.009000000000000001,4m,2.0,1.0,0.6,934.0,,,,,,,,36.0,0.002,1m,4.0,2.0,2.0,336.0,,,,,,,,0.05,6,COMPLETE
146,146,9.974158848443892,2025-06-15 01:11:20.530396,2025-06-15 01:11:23.241612,0 days 00:00:02.711216,566,0.007,3m,4.0,3.0,1.9000000000000001,1020,680.0,0.01,4m,3.5,1.5,0.8,980.0,456.0,0.01,1m,4.0,1.5,1.9000000000000001,506.0,,,,,,,,264.0,0.005,2m,3.5,3.0,0.5,678.0,,,,,,,,394.0,0.009000000000000001,4m,2.0,1.0,0.7,1006.0,,,,,,,,136.0,0.002,1m,4.0,2.0,1.9000000000000001,368.0,,,,,,,,0.05,6,COMPLETE
147,147,7.141077774281081,2025-06-15 01:11:23.325574,2025-06-15 01:11:26.279921,0 days 00:00:02.954347,380,0.006,3m,4.0,3.0,2.0,986,768.0,0.009000000000000001,4m,3.5,1.5,1.0,838.0,574.0,0.009000000000000001,1m,4.0,1.5,2.0,432.0,,,,,,,,174.0,0.004,2m,3.5,3.0,0.6,974.0,,,,,,,,332.0,0.008,4m,2.0,1.0,0.5,986.0,,,,,,,,104.0,0.002,1m,4.0,2.0,2.0,270.0,,,,,,,,0.05,6,COMPLETE
148,148,10.834576306501557,2025-06-15 01:11:26.355490,2025-06-15 01:11:29.173139,0 days 00:00:02.817649,410,0.006,3m,4.0,3.0,1.9000000000000001,966,724.0,0.01,4m,3.5,1.5,0.9,928.0,486.0,0.01,1m,4.0,1.5,2.0,556.0,,,,,,,,238.0,0.005,4m,3.5,3.0,0.5,944.0,,,,,,,,384.0,0.009000000000000001,4m,2.0,1.0,0.6,964.0,,,,,,,,68.0,0.003,1m,4.0,2.0,1.9000000000000001,316.0,,,,,,,,0.05,6,COMPLETE
149,149,1.4722227748687735,2025-06-15 01:11:29.258127,2025-06-15 01:11:32.571341,0 days 00:00:03.313214,476,0.005,3m,3.5,3.0,1.9000000000000001,966,734.0,0.009000000000000001,4m,3.5,1.5,0.9,932.0,488.0,0.01,1m,4.0,1.5,1.9000000000000001,562.0,770.0,0.002,2m,1.0,4.0,0.6,628.0,244.0,0.005,4m,3.5,3.0,0.5,106.0,,,,,,,,382.0,0.007,4m,2.5,1.0,0.6,874.0,,,,,,,,72.0,0.003,1m,4.0,2.0,1.9000000000000001,332.0,,,,,,,,0.05,7,COMPLETE
