,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
94,94,3.8350978248186833,2025-06-15 01:28:33.057652,2025-06-15 01:28:38.025271,0 days 00:00:04.967619,,,,,,,,318.0,0.002,1m,3.0,4.0,0.8,196.0,490.0,0.002,4m,2.5,3.5,1.2000000000000002,226.0,282.0,0.002,2m,3.5,1.5,2.0,554.0,626.0,0.005,3m,2.0,2.0,1.7000000000000002,224.0,562.0,0.002,2m,4.0,1.5,0.5,668.0,386,0.01,4m,3.0,1.5,1.8,900,,,,,,,,870.0,0.002,2m,2.5,2.5,1.4,942.0,450,0.007,3m,3.5,2.0,1.9000000000000001,934,394.0,0.005,4m,4.0,4.0,0.5,44.0,,,,,,,,826.0,0.009000000000000001,1m,4.0,3.5,1.9000000000000001,618.0,0.1,7,COMPLETE
95,95,-0.07045288909494435,2025-06-15 01:28:38.125764,2025-06-15 01:28:42.168807,0 days 00:00:04.043043,,,,,,,,418.0,0.003,2m,1.0,3.5,0.7,80.0,,,,,,,,804.0,0.008,2m,2.5,2.0,1.9000000000000001,118.0,950.0,0.004,3m,2.0,2.5,1.3,40.0,,,,,,,,476,0.009000000000000001,4m,2.0,2.0,2.0,540,,,,,,,,830.0,0.004,2m,3.5,3.0,0.6,810.0,196,0.008,1m,3.5,1.5,1.8,336,454.0,0.001,4m,3.5,4.0,1.4,156.0,,,,,,,,736.0,0.01,1m,3.5,4.0,0.8,578.0,0.05,5,COMPLETE
96,96,2.5775155000466117,2025-06-15 01:28:42.261194,2025-06-15 01:28:47.892305,0 days 00:00:05.631111,124.0,0.004,4m,1.0,2.5,1.1,596.0,464.0,0.002,4m,1.5,4.0,0.6,124.0,352.0,0.001,3m,2.0,4.0,0.6,204.0,910.0,0.007,3m,3.0,1.0,1.8,48.0,508.0,0.003,3m,2.5,3.0,0.9,82.0,716.0,0.004,2m,3.5,1.0,0.6,552.0,300,0.009000000000000001,4m,1.5,1.5,2.0,880,,,,,,,,770.0,0.003,4m,3.5,3.0,0.7,916.0,308,0.007,3m,2.5,1.0,1.7000000000000002,392,150.0,0.003,4m,4.0,4.0,1.5,576.0,692.0,0.008,2m,2.5,3.5,0.8,954.0,706.0,0.01,1m,1.0,3.5,0.7,284.0,0.1,9,COMPLETE
97,97,-3.0873272972528993,2025-06-15 01:28:47.960253,2025-06-15 01:28:53.265823,0 days 00:00:05.305570,,,,,,,,956.0,0.003,1m,2.0,2.5,0.5,46.0,420.0,0.003,2m,3.0,3.0,1.8,134.0,978.0,0.006,2m,3.0,1.5,1.7000000000000002,456.0,1002.0,0.004,1m,1.5,2.0,1.4,852.0,744.0,0.003,1m,4.0,1.0,0.7,870.0,242,0.01,3m,2.5,2.5,1.9000000000000001,690,,,,,,,,908.0,0.002,3m,3.0,3.5,1.1,578.0,412,0.004,2m,2.5,1.5,1.6,622,194.0,0.004,2m,4.0,3.5,1.6,80.0,498.0,0.004,1m,3.5,3.0,1.0,128.0,660.0,0.009000000000000001,2m,4.0,4.0,0.9,414.0,0.05,8,COMPLETE
98,98,-0.41495726690347423,2025-06-15 01:28:53.325549,2025-06-15 01:28:57.547354,0 days 00:00:04.221805,,,,,,,,828.0,0.001,1m,1.5,4.0,1.4,242.0,376.0,0.007,3m,2.5,1.0,1.3,56.0,1022.0,0.008,4m,2.5,4.0,1.5,164.0,1022.0,0.001,3m,3.0,2.5,1.6,126.0,,,,,,,,456,0.008,4m,2.0,1.0,1.3,246,,,,,,,,396.0,0.005,2m,1.5,3.5,0.5,964.0,356,0.006,4m,1.5,1.0,1.9000000000000001,252,300.0,0.01,4m,4.0,4.0,1.2000000000000002,120.0,,,,,,,,1018.0,0.009000000000000001,1m,3.5,4.0,0.7,448.0,0.15000000000000002,6,COMPLETE
99,99,0.7905819425361931,2025-06-15 01:28:57.641256,2025-06-15 01:29:02.771009,0 days 00:00:05.129753,,,,,,,,530.0,0.004,1m,1.0,3.5,0.6,342.0,296.0,0.001,3m,2.0,2.5,0.8,280.0,632.0,0.007,1m,3.5,2.0,1.7000000000000002,92.0,900.0,0.005,2m,1.0,3.5,1.5,156.0,24.0,0.004,2m,4.0,2.0,0.7,382.0,274,0.003,2m,2.5,2.0,1.9000000000000001,782,,,,,,,,522.0,0.003,2m,3.0,4.0,0.8,492.0,108,0.008,3m,3.0,3.0,2.0,576,240.0,0.002,4m,3.5,4.0,1.7000000000000002,248.0,,,,,,,,852.0,0.01,1m,4.0,3.5,0.8,518.0,0.2,7,COMPLETE
100,100,-4.300423971079094,2025-06-15 01:29:02.830460,2025-06-15 01:29:08.899086,0 days 00:00:06.068626,450.0,0.002,2m,3.0,4.0,1.4,58.0,566.0,0.003,1m,2.5,4.0,1.2000000000000002,210.0,260.0,0.006,3m,2.0,1.0,1.5,88.0,928.0,0.006,2m,2.0,2.5,0.6,68.0,730.0,0.005,3m,2.0,2.5,1.0,282.0,656.0,0.003,3m,3.0,1.0,0.8,328.0,424,0.01,4m,3.5,1.5,2.0,960,516.0,0.005,2m,1.0,2.5,0.5,404.0,712.0,0.007,3m,2.5,1.0,0.9,678.0,536,0.009000000000000001,3m,2.0,2.5,1.8,420,350.0,0.005,2m,1.0,1.5,1.6,536.0,964.0,0.007,2m,4.0,1.0,1.6,68.0,610.0,0.01,3m,3.5,1.5,1.0,108.0,0.25,10,COMPLETE
101,101,6.999498982042659,2025-06-15 01:29:08.995644,2025-06-15 01:29:13.716767,0 days 00:00:04.721123,,,,,,,,400.0,0.003,1m,1.5,4.0,0.6,186.0,408.0,0.001,3m,2.5,3.5,1.3,150.0,836.0,0.007,2m,3.0,1.5,2.0,70.0,992.0,0.004,3m,2.0,2.5,1.5,198.0,606.0,0.003,2m,4.0,1.0,0.7,474.0,466,0.009000000000000001,4m,2.0,2.0,2.0,926,,,,,,,,812.0,0.002,2m,3.0,3.0,0.6,908.0,358,0.007,3m,3.5,1.5,2.0,546,286.0,0.004,4m,4.0,4.0,1.5,180.0,,,,,,,,718.0,0.01,1m,3.5,4.0,0.7,566.0,0.1,7,COMPLETE
102,102,9.464917726425764,2025-06-15 01:29:13.802699,2025-06-15 01:29:18.596659,0 days 00:00:04.793960,,,,,,,,430.0,0.002,1m,1.5,4.0,0.7,102.0,388.0,0.001,3m,2.5,3.5,1.4,78.0,950.0,0.007,2m,3.0,1.5,2.0,16.0,978.0,0.004,3m,2.0,2.5,1.4,134.0,686.0,0.002,2m,4.0,1.0,0.6,532.0,554,0.009000000000000001,4m,2.0,2.0,2.0,982,,,,,,,,786.0,0.002,2m,3.0,3.0,0.6,1000.0,468,0.007,3m,3.5,1.5,2.0,544,314.0,0.004,4m,4.0,4.0,1.5,208.0,,,,,,,,788.0,0.01,1m,3.0,4.0,0.6,614.0,0.1,7,COMPLETE
103,103,6.219186642410598,2025-06-15 01:29:18.695806,2025-06-15 01:29:23.084200,0 days 00:00:04.388394,,,,,,,,438.0,0.002,1m,1.5,4.0,0.9,106.0,330.0,0.002,3m,2.5,3.5,1.2000000000000002,16.0,952.0,0.007,2m,3.0,1.5,1.1,20.0,972.0,0.003,3m,2.0,2.5,1.4,92.0,,,,,,,,528,0.009000000000000001,4m,2.0,2.0,1.9000000000000001,830,,,,,,,,750.0,0.002,2m,3.0,3.0,1.2000000000000002,994.0,468,0.007,3m,3.5,2.0,1.9000000000000001,450,426.0,0.005,4m,4.0,4.0,1.9000000000000001,220.0,,,,,,,,788.0,0.01,1m,3.0,4.0,0.6,662.0,0.05,6,COMPLETE
104,104,6.329501578986133,2025-06-15 01:29:23.143756,2025-06-15 01:29:28.518962,0 days 00:00:05.375206,,,,,,,,500.0,0.002,1m,1.5,4.0,0.7,226.0,374.0,0.001,3m,1.0,3.5,1.4,964.0,998.0,0.008,2m,2.5,1.5,1.9000000000000001,38.0,1000.0,0.004,3m,2.0,2.0,1.3,176.0,94.0,0.002,2m,4.0,1.5,0.6,612.0,548,0.007,4m,2.0,2.0,1.8,980,,,,,,,,784.0,0.001,2m,3.5,2.5,0.6,1018.0,504,0.006,3m,4.0,1.0,2.0,360,376.0,0.003,4m,2.0,4.0,1.6,100.0,794.0,0.008,3m,1.0,2.5,0.6,210.0,56.0,0.01,1m,3.0,4.0,0.6,716.0,0.4,8,COMPLETE
105,105,3.9307244068021197,2025-06-15 01:29:28.604489,2025-06-15 01:29:33.897700,0 days 00:00:05.293211,,,,,,,,740.0,0.001,1m,2.0,4.0,0.8,364.0,462.0,0.005,1m,2.5,3.5,1.3,78.0,884.0,0.006,2m,3.0,1.5,2.0,134.0,848.0,0.01,3m,1.0,2.5,1.2000000000000002,38.0,474.0,0.001,2m,4.0,1.0,0.5,512.0,366,0.008,1m,2.0,1.5,2.0,714,,,,,,,,840.0,0.006,2m,3.5,3.0,0.7,848.0,386,0.007,3m,3.5,1.5,2.0,516,318.0,0.006,4m,4.0,4.0,1.3,390.0,968.0,0.007,2m,3.0,2.0,1.4,352.0,372.0,0.009000000000000001,1m,2.5,4.0,0.5,602.0,0.1,8,COMPLETE
106,106,9.776777496362952,2025-06-15 01:29:34.009703,2025-06-15 01:29:41.034429,0 days 00:00:07.024726,,,,,,,,376.0,0.002,4m,1.5,4.0,0.7,152.0,224.0,0.002,3m,2.0,3.0,1.1,846.0,962.0,0.007,2m,3.0,1.0,1.9000000000000001,994.0,958.0,0.005,3m,2.5,2.5,1.1,142.0,238.0,0.002,4m,3.5,1.0,0.6,450.0,572,0.009000000000000001,4m,1.5,2.5,1.9000000000000001,434,,,,,,,,856.0,0.003,2m,2.0,3.0,1.6,952.0,430,0.008,3m,3.5,1.0,1.9000000000000001,606,522.0,0.004,4m,3.0,3.5,1.7000000000000002,144.0,,,,,,,,746.0,0.01,2m,3.5,3.0,0.8,496.0,0.1,7,COMPLETE
107,107,1.5269332327665446,2025-06-15 01:29:41.140897,2025-06-15 01:29:47.740526,0 days 00:00:06.599629,,,,,,,,358.0,0.002,4m,1.5,4.0,0.7,138.0,238.0,0.002,3m,2.0,3.0,1.0,862.0,574.0,0.008,2m,2.5,1.0,1.9000000000000001,1002.0,918.0,0.006,3m,2.5,2.5,1.1,118.0,,,,,,,,592,0.01,4m,1.0,2.5,1.8,436,,,,,,,,860.0,0.003,1m,1.0,3.0,1.6,958.0,422,0.008,3m,3.0,1.0,1.9000000000000001,608,538.0,0.004,1m,3.0,3.0,1.8,134.0,,,,,,,,750.0,0.01,2m,3.0,3.0,0.9,382.0,0.15000000000000002,6,COMPLETE
108,108,-1.8997375294454553,2025-06-15 01:29:47.844206,2025-06-15 01:29:52.603671,0 days 00:00:04.759465,,,,,,,,630.0,0.002,4m,1.0,3.5,0.7,302.0,126.0,0.001,3m,2.0,3.0,1.1,756.0,974.0,0.009000000000000001,4m,3.0,1.0,1.8,918.0,960.0,0.005,3m,2.5,3.0,1.2000000000000002,58.0,214.0,0.002,4m,3.5,1.0,0.5,420.0,568,0.009000000000000001,3m,1.5,3.0,1.9000000000000001,520,,,,,,,,676.0,0.004,3m,2.0,2.0,1.7000000000000002,526.0,462,0.001,2m,2.5,1.0,2.0,634,564.0,0.003,3m,2.5,3.5,1.7000000000000002,346.0,,,,,,,,814.0,0.01,2m,4.0,3.0,0.8,460.0,0.05,7,COMPLETE
109,109,7.320108520046568,2025-06-15 01:29:52.673060,2025-06-15 01:29:57.971400,0 days 00:00:05.298340,,,,,,,,376.0,0.001,4m,2.5,3.0,0.8,260.0,214.0,0.006,4m,1.5,3.0,1.1,826.0,946.0,0.007,2m,3.5,1.0,1.8,1002.0,1024.0,0.005,1m,3.0,1.5,1.1,622.0,178.0,0.001,4m,3.5,1.5,0.6,448.0,688,0.008,4m,1.0,2.5,1.7000000000000002,558,,,,,,,,926.0,0.006,2m,1.0,3.5,1.6,978.0,444,0.008,4m,3.5,1.0,1.3,696,508.0,0.007,2m,3.0,2.5,1.7000000000000002,200.0,830.0,0.01,1m,2.0,1.5,1.1,16.0,786.0,0.009000000000000001,2m,3.5,3.5,1.2000000000000002,336.0,0.1,8,COMPLETE
110,110,6.532279328064093,2025-06-15 01:29:58.052482,2025-06-15 01:30:03.804096,0 days 00:00:05.751614,286.0,0.001,1m,2.5,3.5,0.8,228.0,548.0,0.005,4m,1.5,4.0,0.9,172.0,302.0,0.008,3m,2.0,2.0,1.2000000000000002,358.0,1008.0,0.006,2m,2.5,4.0,1.9000000000000001,952.0,870.0,0.009000000000000001,4m,2.5,3.0,1.2000000000000002,16.0,358.0,0.01,4m,3.5,1.0,0.5,736.0,618,0.007,2m,1.5,2.5,0.7,1012,,,,,,,,450.0,0.003,2m,2.0,3.5,1.8,608.0,870,0.009000000000000001,3m,2.5,1.0,1.9000000000000001,654,592.0,0.009000000000000001,4m,2.5,3.5,1.8,62.0,974.0,0.006,2m,4.0,4.0,1.0,146.0,574.0,0.01,2m,2.5,3.5,0.8,308.0,0.05,9,COMPLETE
111,111,4.930947166602832,2025-06-15 01:30:03.876064,2025-06-15 01:30:09.141281,0 days 00:00:05.265217,,,,,,,,288.0,0.002,1m,1.5,4.0,0.6,80.0,180.0,0.004,3m,2.0,4.0,1.9000000000000001,1024.0,914.0,0.007,2m,3.0,1.5,2.0,46.0,980.0,0.004,3m,2.0,2.5,1.3,144.0,94.0,0.002,4m,4.0,1.0,0.6,350.0,494,0.009000000000000001,4m,2.5,2.0,2.0,152,,,,,,,,798.0,0.002,2m,1.5,3.0,0.5,930.0,412,0.008,3m,3.5,1.5,1.8,572,468.0,0.005,4m,4.0,4.0,1.4,148.0,,,,,,,,758.0,0.01,2m,3.5,3.5,0.9,538.0,0.1,7,COMPLETE
112,112,7.385711593546011,2025-06-15 01:30:09.208144,2025-06-15 01:30:14.018363,0 days 00:00:04.810219,,,,,,,,706.0,0.003,3m,1.5,4.0,0.7,110.0,338.0,0.003,3m,3.0,3.0,1.0,800.0,966.0,0.007,2m,3.0,2.0,2.0,716.0,956.0,0.004,3m,2.5,2.5,1.4,212.0,298.0,0.002,2m,3.5,1.0,0.9,548.0,514,0.009000000000000001,4m,1.5,2.5,2.0,604,,,,,,,,886.0,0.001,2m,3.0,3.0,1.5,1006.0,474,0.007,3m,3.5,1.0,1.9000000000000001,586,406.0,0.004,4m,3.5,4.0,1.5,108.0,,,,,,,,830.0,0.01,1m,3.5,4.0,0.7,500.0,0.1,7,COMPLETE
113,113,2.8848163830535793,2025-06-15 01:30:14.084270,2025-06-15 01:30:18.445235,0 days 00:00:04.360965,,,,,,,,328.0,0.002,1m,1.5,4.0,1.1,150.0,546.0,0.002,3m,2.5,3.5,1.2000000000000002,878.0,198.0,0.005,2m,3.0,4.0,1.9000000000000001,104.0,1004.0,0.005,3m,2.0,2.5,1.7000000000000002,98.0,,,,,,,,394,0.01,4m,2.0,3.5,1.9000000000000001,478,,,,,,,,494.0,0.009000000000000001,2m,3.5,3.0,1.5,892.0,396,0.005,3m,3.5,2.0,2.0,538,358.0,0.004,4m,4.0,4.0,1.6,174.0,,,,,,,,686.0,0.005,4m,3.5,3.0,0.6,474.0,0.05,6,COMPLETE
114,114,5.937286121834225,2025-06-15 01:30:18.518714,2025-06-15 01:30:23.565707,0 days 00:00:05.046993,,,,,,,,432.0,0.002,4m,1.5,4.0,0.6,236.0,436.0,0.002,1m,2.0,2.5,1.4,178.0,858.0,0.004,2m,3.0,2.0,1.8,36.0,940.0,0.006,3m,1.5,2.0,1.0,236.0,820.0,0.005,2m,4.0,1.0,0.7,494.0,438,0.008,4m,2.5,1.5,1.9000000000000001,938,,,,,,,,944.0,0.002,3m,2.5,3.0,0.5,582.0,494,0.008,3m,4.0,3.5,0.7,318,442.0,0.002,4m,4.0,3.0,1.7000000000000002,82.0,,,,,,,,894.0,0.01,1m,3.5,1.0,0.7,434.0,0.1,7,COMPLETE
115,115,2.3117208463379257,2025-06-15 01:30:23.636913,2025-06-15 01:30:28.927759,0 days 00:00:05.290846,,,,,,,,478.0,0.002,1m,2.0,3.5,0.5,34.0,380.0,0.001,3m,2.5,1.0,2.0,930.0,922.0,0.007,2m,3.0,2.5,1.7000000000000002,18.0,568.0,0.007,3m,1.0,2.5,1.3,140.0,694.0,0.003,3m,4.0,1.5,0.6,404.0,858,0.009000000000000001,4m,2.0,3.0,1.0,864,,,,,,,,1006.0,0.002,2m,3.5,2.5,0.6,928.0,432,0.006,3m,3.5,2.5,1.9000000000000001,402,332.0,0.003,2m,3.0,4.0,1.5,230.0,236.0,0.009000000000000001,4m,3.5,2.5,1.9000000000000001,302.0,866.0,0.009000000000000001,2m,4.0,2.5,0.8,524.0,0.15000000000000002,8,COMPLETE
116,116,0.07991604660071548,2025-06-15 01:30:29.007737,2025-06-15 01:30:35.075750,0 days 00:00:06.068013,164.0,0.003,3m,1.5,3.0,0.6,434.0,388.0,0.003,1m,1.5,4.0,0.8,278.0,492.0,0.001,2m,2.0,4.0,1.1,614.0,896.0,0.008,3m,2.5,1.0,1.9000000000000001,958.0,922.0,0.004,3m,2.0,2.5,1.1,768.0,574.0,0.006,2m,3.5,1.0,0.5,458.0,638,0.009000000000000001,4m,1.5,2.0,1.5,384,,,,,,,,766.0,0.003,2m,3.0,1.5,0.5,974.0,270,0.007,1m,3.0,1.5,1.8,490,260.0,0.004,4m,4.0,4.0,1.6,36.0,678.0,0.005,1m,4.0,3.0,1.2000000000000002,54.0,234.0,0.01,3m,1.5,4.0,1.3,408.0,0.05,9,COMPLETE
117,117,8.902896795590625,2025-06-15 01:30:35.177821,2025-06-15 01:30:40.968202,0 days 00:00:05.790381,,,,,,,,792.0,0.001,2m,1.0,4.0,0.7,126.0,96.0,0.007,3m,2.0,3.5,1.9000000000000001,670.0,734.0,0.007,2m,1.0,4.0,2.0,72.0,966.0,0.005,3m,2.5,2.0,0.9,72.0,864.0,0.004,1m,3.0,1.0,0.6,796.0,348,0.01,1m,2.5,1.0,0.8,456,,,,,,,,726.0,0.004,3m,4.0,3.0,0.7,706.0,320,0.008,3m,2.5,1.0,2.0,296,486.0,0.006,4m,3.5,2.0,0.9,264.0,568.0,0.008,2m,3.5,1.0,0.7,222.0,926.0,0.002,1m,3.5,1.5,0.9,250.0,0.1,8,COMPLETE
118,118,8.697728490439884,2025-06-15 01:30:41.050272,2025-06-15 01:30:46.696408,0 days 00:00:05.646136,,,,,,,,804.0,0.001,2m,1.0,1.5,1.5,324.0,94.0,0.007,3m,2.0,3.0,1.9000000000000001,510.0,604.0,0.006,2m,1.5,4.0,1.9000000000000001,1020.0,620.0,0.005,1m,2.5,2.0,0.8,78.0,850.0,0.004,1m,2.5,3.5,1.0,980.0,348,0.01,1m,2.5,1.0,0.8,456,,,,,,,,546.0,0.004,3m,4.0,4.0,0.7,720.0,326,0.008,3m,2.5,1.0,2.0,288,490.0,0.006,2m,3.5,2.0,0.9,472.0,556.0,0.008,2m,3.5,1.0,0.7,208.0,836.0,0.003,1m,3.0,1.5,0.9,266.0,0.05,8,COMPLETE
119,119,5.860874427313935,2025-06-15 01:30:46.804397,2025-06-15 01:30:52.237717,0 days 00:00:05.433320,,,,,,,,786.0,0.001,2m,1.0,1.5,1.7000000000000002,204.0,96.0,0.008,3m,2.0,3.0,1.8,516.0,728.0,0.006,1m,1.5,4.0,2.0,1018.0,618.0,0.005,1m,2.5,2.0,0.7,72.0,860.0,0.004,1m,2.5,3.5,1.0,698.0,338,0.01,1m,3.0,1.0,0.9,438,,,,,,,,738.0,0.004,3m,4.0,3.0,0.8,716.0,238,0.008,3m,2.5,1.0,2.0,288,516.0,0.006,4m,3.5,2.0,0.9,476.0,566.0,0.008,2m,3.5,1.0,0.7,222.0,944.0,0.002,1m,3.0,1.5,0.9,228.0,0.1,8,COMPLETE
120,120,6.32267653535515,2025-06-15 01:30:52.321389,2025-06-15 01:30:57.933947,0 days 00:00:05.612558,,,,,,,,938.0,0.001,2m,1.0,1.5,0.7,172.0,44.0,0.007,3m,1.5,3.0,2.0,458.0,690.0,0.005,2m,1.0,4.0,1.9000000000000001,636.0,882.0,0.006,1m,2.5,2.0,0.9,36.0,896.0,0.004,1m,2.5,3.5,1.3,796.0,316,0.01,1m,2.5,1.0,0.8,516,,,,,,,,714.0,0.004,3m,4.0,3.0,0.7,694.0,334,0.009000000000000001,2m,2.5,1.0,1.7000000000000002,432,488.0,0.006,2m,3.5,2.0,1.0,266.0,562.0,0.009000000000000001,2m,3.0,1.0,0.8,514.0,152.0,0.003,1m,3.5,1.5,1.0,168.0,0.05,8,COMPLETE
121,121,8.350498900537,2025-06-15 01:30:58.004034,2025-06-15 01:31:04.122983,0 days 00:00:06.118949,52.0,0.005,4m,2.0,3.5,1.1,556.0,836.0,0.001,2m,1.0,2.0,1.2000000000000002,368.0,140.0,0.007,3m,2.0,3.0,1.9000000000000001,558.0,488.0,0.006,2m,1.0,4.0,1.8,932.0,982.0,0.005,1m,2.5,1.5,0.8,104.0,944.0,0.005,1m,2.5,4.0,1.0,958.0,362,0.01,1m,2.5,1.0,0.8,462,,,,,,,,536.0,0.005,3m,4.0,4.0,0.7,638.0,324,0.008,3m,2.5,1.0,2.0,376,428.0,0.007,2m,3.5,2.0,0.8,458.0,456.0,0.008,2m,3.5,1.0,0.5,166.0,924.0,0.002,1m,2.5,1.5,0.9,352.0,0.05,9,COMPLETE
122,122,8.481841790195466,2025-06-15 01:31:04.202476,2025-06-15 01:31:09.572630,0 days 00:00:05.370154,,,,,,,,850.0,0.001,2m,1.0,2.0,1.5,354.0,136.0,0.007,3m,2.0,3.0,1.9000000000000001,678.0,500.0,0.006,2m,1.0,4.0,1.8,986.0,980.0,0.005,1m,2.5,1.5,0.8,104.0,808.0,0.005,1m,2.5,4.0,1.1,886.0,350,0.01,1m,2.5,1.0,0.7,464,,,,,,,,536.0,0.004,3m,4.0,4.0,0.7,768.0,318,0.008,3m,2.5,1.0,2.0,220,500.0,0.007,2m,3.5,2.0,0.9,448.0,420.0,0.008,2m,3.5,1.0,0.6,166.0,980.0,0.002,1m,3.0,1.5,0.9,256.0,0.05,8,COMPLETE
123,123,7.074683540165202,2025-06-15 01:31:09.650744,2025-06-15 01:31:15.030674,0 days 00:00:05.379930,,,,,,,,856.0,0.001,2m,1.0,2.0,1.5,320.0,152.0,0.007,3m,2.0,3.0,1.9000000000000001,646.0,460.0,0.006,2m,1.0,4.0,1.9000000000000001,996.0,972.0,0.005,1m,2.5,1.5,0.8,78.0,840.0,0.005,1m,2.5,4.0,1.1,950.0,294,0.01,1m,2.5,1.0,0.7,430,,,,,,,,538.0,0.004,3m,4.0,4.0,0.7,748.0,152,0.008,3m,2.5,1.0,2.0,206,496.0,0.007,2m,3.5,2.0,0.9,460.0,454.0,0.008,2m,3.5,1.0,0.6,162.0,942.0,0.001,1m,3.0,1.5,1.0,254.0,0.05,8,COMPLETE
124,124,6.226346713795878,2025-06-15 01:31:15.121080,2025-06-15 01:31:20.522583,0 days 00:00:05.401503,,,,,,,,888.0,0.001,2m,1.0,1.0,1.5,376.0,76.0,0.007,3m,2.0,3.0,1.9000000000000001,700.0,572.0,0.006,2m,1.0,4.0,1.3,978.0,98.0,0.005,1m,2.5,2.0,0.7,104.0,980.0,0.005,1m,2.5,4.0,1.0,890.0,360,0.01,1m,2.5,1.0,0.8,470,,,,,,,,582.0,0.004,3m,4.0,4.0,0.8,708.0,290,0.008,3m,2.5,1.0,2.0,230,470.0,0.007,2m,3.5,2.0,0.8,412.0,452.0,0.008,2m,4.0,1.0,0.7,200.0,914.0,0.002,1m,3.0,1.5,0.9,268.0,0.05,8,COMPLETE
125,125,8.492579397493031,2025-06-15 01:31:20.621122,2025-06-15 01:31:26.329080,0 days 00:00:05.707958,64.0,0.007,4m,2.5,2.0,1.1,550.0,808.0,0.001,2m,1.0,2.5,1.7000000000000002,324.0,132.0,0.008,3m,2.0,3.0,1.8,556.0,512.0,0.005,2m,1.0,4.0,1.8,966.0,946.0,0.005,1m,2.5,1.5,0.9,60.0,940.0,0.006,1m,2.0,4.0,1.2000000000000002,864.0,378,0.01,1m,2.5,1.0,0.5,454,,,,,,,,564.0,0.005,3m,4.0,4.0,0.7,642.0,320,0.008,3m,2.5,1.0,2.0,102,418.0,0.008,2m,3.5,1.5,0.8,442.0,294.0,0.009000000000000001,2m,3.5,1.0,0.6,166.0,980.0,0.002,1m,3.0,1.5,0.9,226.0,0.2,9,COMPLETE
