,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
116,116,1.9875303491170262,2025-06-15 00:17:55.355565,2025-06-15 00:17:57.947172,0 days 00:00:02.591607,,,,,,,,912,0.009000000000000001,4m,2.5,4.0,1.3,980,50,0.003,3m,2.0,1.0,1.8,198,530.0,0.005,2m,3.0,2.5,1.0,236.0,,,,,,,,,,,,,,,,,,,,,,386.0,0.005,2m,3.0,1.0,0.7,44.0,,,,,,,,698.0,0.01,1m,1.5,3.5,1.2000000000000002,634.0,,,,,,,,0.4,4,COMPLETE
117,117,0.7324099692960598,2025-06-15 00:17:58.010059,2025-06-15 00:18:00.693633,0 days 00:00:02.683574,,,,,,,,898,0.008,2m,3.0,4.0,0.9,440,182,0.004,1m,4.0,1.0,1.9000000000000001,140,590.0,0.004,2m,3.0,2.5,0.9,184.0,,,,,,,,,,,,,,,,,,,,,,446.0,0.005,2m,3.0,1.0,0.9,102.0,,,,,,,,816.0,0.009000000000000001,1m,1.5,3.5,1.3,534.0,,,,,,,,0.4,4,COMPLETE
118,118,-0.4779921482094891,2025-06-15 00:18:00.807166,2025-06-15 00:18:05.205823,0 days 00:00:04.398657,,,,,,,,1010,0.009000000000000001,4m,2.5,4.0,1.1,950,16,0.008,4m,1.0,1.0,1.9000000000000001,178,554.0,0.004,2m,3.0,3.0,0.9,136.0,,,,,,,,,,,,,,,,,,,,,,356.0,0.006,2m,3.0,1.0,0.8,74.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
119,119,5.400129190748525,2025-06-15 00:18:05.353812,2025-06-15 00:18:12.069183,0 days 00:00:06.715371,,,,,,,,948,0.008,3m,2.5,4.0,1.2000000000000002,1006,72,0.01,1m,3.0,1.0,2.0,866,668.0,0.004,2m,2.5,3.0,1.0,168.0,,,,,,,,504.0,0.007,2m,3.0,2.0,0.7,794.0,,,,,,,,702.0,0.005,2m,1.0,1.0,0.7,22.0,,,,,,,,670.0,0.01,1m,1.5,3.5,1.0,612.0,,,,,,,,0.35000000000000003,5,COMPLETE
120,120,1.0287629938286282,2025-06-15 00:18:12.216314,2025-06-15 00:18:15.787386,0 days 00:00:03.571072,,,,,,,,956,0.008,3m,2.5,4.0,1.1,578,220,0.01,1m,3.0,1.0,2.0,928,632.0,0.004,2m,2.0,3.0,1.0,158.0,,,,,,,,472.0,0.008,2m,3.0,2.0,0.5,696.0,,,,,,,,692.0,0.005,2m,1.0,1.5,0.7,16.0,,,,,,,,742.0,0.01,1m,1.5,3.5,1.0,570.0,,,,,,,,0.35000000000000003,5,COMPLETE
121,121,-0.2782316859772574,2025-06-15 00:18:15.913564,2025-06-15 00:18:18.839645,0 days 00:00:02.926081,,,,,,,,938,0.008,3m,2.5,4.0,1.2000000000000002,1006,78,0.01,1m,3.0,1.0,2.0,848,706.0,0.005,2m,2.5,3.0,0.9,220.0,,,,,,,,,,,,,,,,,,,,,,582.0,0.005,2m,1.0,1.0,0.7,60.0,,,,,,,,676.0,0.009000000000000001,1m,1.5,3.5,1.1,602.0,,,,,,,,0.4,4,COMPLETE
122,122,2.4323360245234205,2025-06-15 00:18:18.942714,2025-06-15 00:18:22.415728,0 days 00:00:03.473014,,,,,,,,894,0.007,3m,2.5,4.0,1.3,934,112,0.003,1m,3.5,1.0,1.9000000000000001,880,680.0,0.004,2m,3.0,2.5,1.0,278.0,,,,,,,,678.0,0.007,2m,4.0,2.0,0.7,780.0,,,,,,,,526.0,0.005,2m,1.0,1.0,0.8,34.0,,,,,,,,630.0,0.008,1m,1.0,3.5,0.9,622.0,,,,,,,,0.35000000000000003,5,COMPLETE
123,123,3.5287624792293077,2025-06-15 00:18:22.525834,2025-06-15 00:18:25.494722,0 days 00:00:02.968888,,,,,,,,996,0.009000000000000001,3m,3.0,4.0,1.2000000000000002,986,64,0.01,1m,2.0,1.0,2.0,854,666.0,0.004,2m,3.5,2.5,1.1,86.0,,,,,,,,,,,,,,,,,,,,,,776.0,0.004,2m,2.5,1.0,0.6,22.0,,,,,,,,718.0,0.01,1m,1.5,4.0,1.1,656.0,,,,,,,,0.3,4,COMPLETE
124,124,1.5827997447433106,2025-06-15 00:18:25.573240,2025-06-15 00:18:29.294804,0 days 00:00:03.721564,,,,,,,,974,0.009000000000000001,4m,2.5,4.0,1.4,902,522,0.007,1m,3.0,1.0,1.8,788,744.0,0.006,2m,2.0,2.5,0.8,38.0,,,,,,,,642.0,0.007,2m,3.5,1.5,0.6,998.0,,,,,,,,422.0,0.005,2m,3.0,1.0,0.8,166.0,,,,,,,,564.0,0.009000000000000001,1m,2.0,3.5,1.2000000000000002,686.0,,,,,,,,0.45,5,COMPLETE
125,125,0.5527532197164935,2025-06-15 00:18:29.384322,2025-06-15 00:18:31.415219,0 days 00:00:02.030897,,,,,,,,920,0.01,3m,3.5,4.0,1.3,1014,678,0.009000000000000001,1m,3.5,1.0,2.0,904,568.0,0.004,2m,3.0,2.5,0.9,312.0,,,,,,,,,,,,,,,,,,,,,,706.0,0.01,2m,1.5,1.0,0.7,428.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
126,126,5.9433696985414874,2025-06-15 00:18:31.486730,2025-06-15 00:18:34.087519,0 days 00:00:02.600789,,,,,,,,864,0.01,4m,3.0,3.0,1.2000000000000002,962,44,0.003,2m,2.0,1.0,1.9000000000000001,122,504.0,0.005,2m,3.0,3.0,0.6,120.0,,,,,,,,,,,,,,,,,,,,,,826.0,0.006,2m,3.5,1.5,0.6,48.0,,,,,,,,768.0,0.007,1m,1.0,2.5,1.0,714.0,,,,,,,,0.35000000000000003,4,COMPLETE
127,127,6.432676543023916,2025-06-15 00:18:34.155724,2025-06-15 00:18:36.817235,0 days 00:00:02.661511,,,,,,,,884,0.008,4m,3.0,3.0,1.2000000000000002,660,44,0.003,2m,1.5,1.0,1.8,72,432.0,0.005,2m,3.0,3.0,1.0,170.0,,,,,,,,,,,,,,,,,,,,,,864.0,0.006,2m,3.5,1.5,0.6,210.0,,,,,,,,778.0,0.008,1m,1.0,2.5,1.0,706.0,,,,,,,,0.35000000000000003,4,COMPLETE
128,128,-1.9838208065478844,2025-06-15 00:18:36.920749,2025-06-15 00:18:39.490630,0 days 00:00:02.569881,,,,,,,,868,0.008,4m,3.0,3.0,1.1,642,138,0.004,2m,1.5,1.0,1.8,74,392.0,0.005,3m,3.0,3.0,1.1,102.0,,,,,,,,,,,,,,,,,,,,,,886.0,0.006,2m,3.5,1.5,0.6,198.0,,,,,,,,778.0,0.007,2m,1.0,2.5,0.9,702.0,,,,,,,,0.35000000000000003,4,COMPLETE
129,129,1.51865823200125,2025-06-15 00:18:39.558149,2025-06-15 00:18:42.111273,0 days 00:00:02.553124,,,,,,,,816,0.007,4m,3.0,3.0,1.2000000000000002,450,96,0.01,2m,1.5,1.0,1.7000000000000002,106,452.0,0.005,2m,2.5,3.0,1.2000000000000002,204.0,,,,,,,,,,,,,,,,,,,,,,872.0,0.006,2m,3.5,1.5,0.6,144.0,,,,,,,,744.0,0.007,1m,1.0,2.5,1.0,498.0,,,,,,,,0.3,4,COMPLETE
130,130,-1.1874267806855519,2025-06-15 00:18:42.176799,2025-06-15 00:18:45.270090,0 days 00:00:03.093291,,,,,,,,862,0.008,4m,3.0,2.5,1.2000000000000002,548,720,0.009000000000000001,2m,1.5,1.0,1.9000000000000001,90,718.0,0.006,1m,3.0,3.0,1.0,124.0,,,,,,,,544.0,0.009000000000000001,2m,3.0,1.5,0.9,458.0,,,,,,,,836.0,0.007,2m,4.0,1.5,0.6,540.0,,,,,,,,806.0,0.008,4m,1.0,2.5,1.0,738.0,,,,,,,,0.35000000000000003,5,COMPLETE
131,131,2.9711613534277825,2025-06-15 00:18:45.367619,2025-06-15 00:18:48.556643,0 days 00:00:03.189024,,,,,,,,844,0.008,4m,3.0,3.5,1.2000000000000002,684,42,0.003,2m,2.0,1.0,1.9000000000000001,154,532.0,0.005,2m,3.0,2.5,1.0,160.0,,,,,,,,,,,,,,,,,,,,,,812.0,0.006,2m,3.5,2.0,0.7,238.0,,,,,,,,844.0,0.008,1m,1.0,2.5,1.0,644.0,,,,,,,,0.35000000000000003,4,COMPLETE
132,132,-2.138627644410563,2025-06-15 00:18:48.684158,2025-06-15 00:18:54.154319,0 days 00:00:05.470161,,,,,,,,896,0.01,4m,2.0,3.0,1.3,958,66,0.003,2m,1.5,1.0,1.8,124,482.0,0.005,2m,3.0,3.0,0.9,170.0,,,,,,,,,,,,,,,,,,,,,,754.0,0.006,2m,3.5,1.0,0.9,126.0,,,,,,,,878.0,0.007,1m,1.5,2.5,1.1,720.0,,,,,,,,0.35000000000000003,4,COMPLETE
133,133,3.7178203711740445,2025-06-15 00:18:54.279357,2025-06-15 00:18:58.998298,0 days 00:00:04.718941,,,,,,,,950,0.009000000000000001,4m,3.0,3.5,1.2000000000000002,414,32,0.003,2m,2.0,1.0,2.0,126,428.0,0.005,2m,3.0,3.0,0.6,64.0,,,,,,,,,,,,,,,,,,,,,,810.0,0.006,2m,3.5,1.0,0.6,306.0,,,,,,,,778.0,0.008,1m,1.0,2.5,1.3,620.0,,,,,,,,0.4,4,COMPLETE
134,134,0.26020453888761325,2025-06-15 00:18:59.101811,2025-06-15 00:19:01.617111,0 days 00:00:02.515300,,,,,,,,880,0.01,4m,3.0,2.5,1.1,880,90,0.003,2m,1.0,1.0,1.9000000000000001,174,416.0,0.003,2m,3.0,2.5,0.8,126.0,,,,,,,,,,,,,,,,,,,,,,616.0,0.008,2m,3.5,3.0,0.8,66.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
135,135,1.6148969592589615,2025-06-15 00:19:01.732826,2025-06-15 00:19:05.230670,0 days 00:00:03.497844,,,,,,,,918,0.008,4m,2.5,3.5,1.3,840,54,0.004,2m,2.0,1.0,1.2000000000000002,720,606.0,0.004,2m,3.0,2.0,0.6,240.0,,,,,,,,844.0,0.006,2m,3.0,2.5,0.6,578.0,,,,,,,,926.0,0.007,4m,3.5,2.0,0.7,102.0,,,,,,,,926.0,0.009000000000000001,1m,1.5,3.5,0.9,570.0,,,,,,,,0.35000000000000003,5,COMPLETE
136,136,-1.2826731713126374,2025-06-15 00:19:05.328190,2025-06-15 00:19:07.664904,0 days 00:00:02.336714,,,,,,,,800,0.007,4m,3.0,2.5,1.2000000000000002,586,18,0.003,1m,1.5,1.0,2.0,236,506.0,0.005,2m,3.5,3.0,0.7,192.0,,,,,,,,,,,,,,,,,,,,,,870.0,0.001,2m,3.0,3.0,0.5,218.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
137,137,-0.7922188904679468,2025-06-15 00:19:07.756422,2025-06-15 00:19:10.463188,0 days 00:00:02.706766,,,,,,,,312,0.009000000000000001,4m,3.0,4.0,1.3,480,160,0.003,2m,1.5,1.0,1.9000000000000001,948,82.0,0.004,2m,2.5,2.5,1.4,82.0,,,,,,,,,,,,,,,,,,,,,,926.0,0.006,2m,4.0,1.0,0.6,168.0,,,,,,,,868.0,0.005,1m,2.5,3.0,1.2000000000000002,592.0,,,,,,,,0.35000000000000003,4,COMPLETE
138,138,1.6358874929542655,2025-06-15 00:19:10.541186,2025-06-15 00:19:13.583617,0 days 00:00:03.042431,,,,,,,,360,0.01,4m,2.0,3.0,1.0,980,108,0.003,1m,2.0,1.0,1.8,34,322.0,0.003,4m,3.0,2.5,1.0,114.0,,,,,,,,,,,,,,,,,,,,,,64.0,0.002,2m,1.0,3.0,0.7,38.0,,,,,,,,660.0,0.009000000000000001,1m,1.0,3.0,1.0,672.0,,,,,,,,0.4,4,COMPLETE
139,139,1.6920691488365383,2025-06-15 00:19:13.637616,2025-06-15 00:19:20.392229,0 days 00:00:06.754613,,,,,,,,244,0.01,1m,3.0,3.5,1.1,18,78,0.004,1m,3.0,1.0,0.7,92,500.0,0.006,2m,3.5,3.0,0.6,142.0,400.0,0.004,1m,3.5,3.5,1.1,226.0,490.0,0.009000000000000001,2m,3.5,2.0,0.8,754.0,,,,,,,,322.0,0.005,3m,2.0,1.0,0.8,960.0,,,,,,,,98.0,0.01,3m,1.5,2.5,0.8,714.0,,,,,,,,0.3,6,COMPLETE
140,140,-1.1709879671571795,2025-06-15 00:19:20.534745,2025-06-15 00:19:25.841909,0 days 00:00:05.307164,,,,,,,,782,0.009000000000000001,4m,3.0,4.0,1.8,48,268,0.002,1m,2.0,1.5,1.2000000000000002,148,372.0,0.004,2m,4.0,3.5,0.7,174.0,,,,,,,,944.0,0.007,1m,3.0,2.5,0.5,888.0,,,,,,,,786.0,0.007,2m,3.5,1.5,0.5,88.0,,,,,,,,830.0,0.006,1m,1.0,2.5,1.1,808.0,,,,,,,,0.4,5,COMPLETE
141,141,3.5209195042831767,2025-06-15 00:19:25.939422,2025-06-15 00:19:28.872551,0 days 00:00:02.933129,,,,,,,,836,0.01,4m,3.5,4.0,1.4,966,44,0.002,4m,2.0,1.0,1.1,208,780.0,0.004,2m,1.0,4.0,0.5,836.0,,,,,,,,,,,,,,,,,,,,,,726.0,0.005,1m,3.0,3.0,0.7,56.0,,,,,,,,698.0,0.007,1m,1.0,2.5,1.0,950.0,,,,,,,,0.45,4,COMPLETE
142,142,-0.26787181211537847,2025-06-15 00:19:28.978063,2025-06-15 00:19:31.878773,0 days 00:00:02.900710,,,,,,,,982,0.01,4m,3.5,2.5,1.3,1018,34,0.002,4m,2.0,1.0,1.3,166,748.0,0.003,2m,1.5,4.0,0.5,814.0,,,,,,,,,,,,,,,,,,,,,,342.0,0.005,2m,2.5,3.0,0.8,28.0,,,,,,,,722.0,0.002,1m,1.0,2.5,1.1,636.0,,,,,,,,0.35000000000000003,4,COMPLETE
143,143,1.5352584112008172,2025-06-15 00:19:31.962780,2025-06-15 00:19:35.825807,0 days 00:00:03.863027,,,,,,,,960,0.01,4m,3.5,1.0,1.3,988,56,0.002,4m,2.0,1.0,1.1,314,576.0,0.004,2m,1.0,4.0,0.6,246.0,508.0,0.002,4m,1.5,3.0,1.0,622.0,166.0,0.006,4m,2.5,4.0,1.4,962.0,,,,,,,,364.0,0.004,1m,2.5,1.0,0.9,70.0,,,,,,,,766.0,0.002,1m,1.0,2.5,1.3,762.0,,,,,,,,0.15000000000000002,6,COMPLETE
144,144,0.341670577327676,2025-06-15 00:19:35.895321,2025-06-15 00:19:42.095638,0 days 00:00:06.200317,550.0,0.005,1m,1.5,3.0,1.2000000000000002,106.0,766,0.009000000000000001,4m,3.0,3.5,1.4,934,354,0.003,2m,2.5,1.0,2.0,72,674.0,0.003,2m,3.0,4.0,0.5,884.0,40.0,0.003,2m,1.0,2.5,0.8,582.0,206.0,0.005,3m,2.5,2.0,1.0,662.0,848.0,0.004,2m,2.5,3.0,1.3,1012.0,292.0,0.005,2m,1.5,3.0,0.6,44.0,386.0,0.007,1m,3.0,2.0,1.5,116.0,506.0,0.001,1m,2.0,2.5,1.2000000000000002,994.0,884.0,0.009000000000000001,3m,3.0,2.0,1.8,130.0,0.1,10,COMPLETE
145,145,0.26465357229106773,2025-06-15 00:19:42.199150,2025-06-15 00:19:44.498672,0 days 00:00:02.299522,,,,,,,,928,0.01,4m,2.5,2.0,1.2000000000000002,1004,16,0.003,3m,3.5,1.0,1.0,192,474.0,0.005,2m,4.0,1.0,0.9,778.0,,,,,,,,,,,,,,,,,,,,,,394.0,0.006,1m,2.0,3.0,0.7,902.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
146,146,5.26771549514184,2025-06-15 00:19:44.562680,2025-06-15 00:19:49.107641,0 days 00:00:04.544961,,,,,,,,154,0.008,2m,3.5,4.0,1.3,320,570,0.002,1m,2.0,1.0,1.2000000000000002,826,250.0,0.004,2m,3.0,4.0,0.5,848.0,86.0,0.002,3m,1.5,3.5,2.0,940.0,422.0,0.008,3m,3.0,4.0,0.9,802.0,,,,,,,,900.0,0.009000000000000001,2m,3.0,1.5,0.6,16.0,162.0,0.006,1m,4.0,1.5,1.1,48.0,796.0,0.003,1m,1.5,2.5,1.1,662.0,,,,,,,,0.3,7,COMPLETE
147,147,-1.5444731418173951,2025-06-15 00:19:49.189158,2025-06-15 00:19:52.023192,0 days 00:00:02.834034,,,,,,,,482,0.01,4m,2.0,3.0,1.1,728,436,0.002,4m,2.0,1.0,1.9000000000000001,740,550.0,0.005,2m,1.5,2.5,0.6,208.0,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,4m,2.5,1.0,1.9000000000000001,940.0,,,,,,,,1004.0,0.001,2m,1.0,2.5,1.0,198.0,,,,,,,,0.2,4,COMPLETE
148,148,2.8085922608570604,2025-06-15 00:19:52.083725,2025-06-15 00:19:54.974377,0 days 00:00:02.890652,,,,,,,,420,0.009000000000000001,3m,2.5,1.0,1.2000000000000002,1022,80,0.003,1m,1.5,1.0,1.1,572,800.0,0.003,2m,2.0,4.0,0.6,40.0,,,,,,,,,,,,,,,,,,,,,,244.0,0.001,1m,3.5,3.0,0.8,402.0,,,,,,,,742.0,0.002,1m,1.5,3.5,1.2000000000000002,688.0,,,,,,,,0.1,4,COMPLETE
149,149,-4.181919787968469,2025-06-15 00:19:55.056886,2025-06-15 00:20:00.598042,0 days 00:00:05.541156,690.0,0.003,2m,1.0,4.0,0.7,218.0,684,0.007,4m,3.5,4.0,1.4,512,58,0.002,1m,1.0,1.0,1.3,546,638.0,0.007,2m,4.0,2.0,1.3,736.0,128.0,0.001,1m,1.0,3.0,0.8,670.0,40.0,0.006,3m,2.5,3.5,1.2000000000000002,1000.0,950.0,0.005,1m,3.0,1.0,0.6,252.0,274.0,0.005,2m,2.0,1.0,1.3,682.0,286.0,0.01,4m,3.5,1.0,1.6,912.0,690.0,0.006,1m,3.0,3.0,1.4,604.0,606.0,0.009000000000000001,3m,2.5,2.5,1.1,702.0,0.35000000000000003,10,COMPLETE
