,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
108,108,8.472228306639668,2025-06-15 00:17:28.406804,2025-06-15 00:17:31.680260,0 days 00:00:03.273456,910.0,0.008,3m,1.0,2.5,0.9,520.0,976,0.001,1m,1.5,3.5,2.0,164,638.0,0.008,3m,3.5,2.0,0.8,1024.0,,,,,,,,560,0.001,2m,1.5,3.5,1.6,688,768.0,0.006,4m,2.0,4.0,1.5,80.0,,,,,,,,202.0,0.009000000000000001,3m,1.0,1.5,1.8,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
109,109,-1.021380051342974,2025-06-15 00:17:31.759611,2025-06-15 00:17:35.829803,0 days 00:00:04.070192,858.0,0.008,3m,1.0,2.5,1.0,354.0,970,0.001,3m,1.0,3.5,2.0,254,566.0,0.008,3m,3.5,2.0,0.8,1024.0,,,,,,,,558,0.001,2m,1.5,3.0,1.6,866,754.0,0.006,4m,2.0,4.0,1.4,96.0,,,,,,,,204.0,0.009000000000000001,3m,1.0,1.5,1.8,180.0,,,,,,,,,,,,,,,798.0,0.002,1m,4.0,2.0,1.9000000000000001,64.0,,,,,,,,0.05,5,COMPLETE
110,110,5.87653804394656,2025-06-15 00:17:35.893381,2025-06-15 00:17:39.073694,0 days 00:00:03.180313,830.0,0.009000000000000001,3m,1.0,2.5,0.8,420.0,940,0.001,1m,1.5,3.5,1.9000000000000001,114,636.0,0.009000000000000001,3m,3.5,2.0,0.8,960.0,,,,,,,,480,0.001,2m,1.5,3.5,1.5,688,906.0,0.006,4m,2.0,4.0,1.3,46.0,,,,,,,,168.0,0.009000000000000001,3m,1.0,1.5,1.9000000000000001,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
111,111,9.074146571636689,2025-06-15 00:17:39.138323,2025-06-15 00:17:43.064639,0 days 00:00:03.926316,902.0,0.008,3m,1.5,2.5,1.1,514.0,976,0.002,1m,1.5,3.5,2.0,162,674.0,0.009000000000000001,3m,3.0,1.5,0.9,900.0,,,,,,,,536,0.001,2m,1.5,3.5,1.7000000000000002,620,850.0,0.005,4m,2.0,4.0,1.5,148.0,,,,,,,,98.0,0.009000000000000001,3m,1.0,2.0,1.8,248.0,,,,,,,,,,,,,,,634.0,0.004,1m,4.0,2.0,1.8,20.0,,,,,,,,0.15000000000000002,5,COMPLETE
112,112,7.511491561035723,2025-06-15 00:17:43.138394,2025-06-15 00:17:46.901633,0 days 00:00:03.763239,902.0,0.008,3m,1.5,2.5,1.1,490.0,974,0.002,1m,1.5,3.5,2.0,166,672.0,0.009000000000000001,3m,3.0,1.5,0.9,732.0,,,,,,,,570,0.001,2m,1.5,3.5,1.7000000000000002,704,860.0,0.005,4m,2.0,4.0,1.5,146.0,,,,,,,,104.0,0.008,3m,1.0,2.0,1.8,248.0,,,,,,,,,,,,,,,624.0,0.004,1m,4.0,2.0,1.8,20.0,,,,,,,,0.15000000000000002,5,COMPLETE
113,113,3.2377082173011806,2025-06-15 00:17:46.991593,2025-06-15 00:17:50.789742,0 days 00:00:03.798149,960.0,0.008,3m,1.5,2.5,1.2000000000000002,444.0,978,0.002,1m,1.5,3.5,2.0,182,742.0,0.009000000000000001,3m,3.0,1.5,0.9,764.0,,,,,,,,574,0.001,2m,1.5,3.5,1.6,732,866.0,0.005,4m,2.0,4.0,1.4,152.0,,,,,,,,16.0,0.008,3m,1.0,2.0,1.8,248.0,,,,,,,,,,,,,,,632.0,0.004,1m,4.0,2.0,1.9000000000000001,18.0,,,,,,,,0.15000000000000002,5,COMPLETE
114,114,3.561318996298212,2025-06-15 00:17:50.857236,2025-06-15 00:17:54.438873,0 days 00:00:03.581637,906.0,0.008,3m,1.0,2.5,1.1,486.0,992,0.002,1m,1.5,3.5,2.0,160,682.0,0.009000000000000001,3m,3.0,1.5,1.0,898.0,,,,,,,,510,0.001,2m,1.5,3.5,1.7000000000000002,708,840.0,0.006,4m,2.0,4.0,1.5,88.0,,,,,,,,106.0,0.009000000000000001,3m,4.0,2.0,1.8,312.0,,,,,,,,,,,,,,,554.0,0.003,1m,4.0,2.0,1.8,62.0,,,,,,,,0.15000000000000002,5,COMPLETE
115,115,4.791117713635095,2025-06-15 00:17:54.511897,2025-06-15 00:17:57.514308,0 days 00:00:03.002411,932.0,0.008,3m,1.5,2.5,1.1,522.0,962,0.002,4m,1.5,3.5,2.0,216,576.0,0.008,3m,3.5,1.5,0.9,726.0,,,,,,,,542,0.001,2m,1.5,3.5,1.6,632,738.0,0.005,4m,2.0,4.0,1.6,122.0,,,,,,,,150.0,0.008,3m,1.0,1.5,1.9000000000000001,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
116,116,10.51952269463326,2025-06-15 00:17:57.589014,2025-06-15 00:18:00.650032,0 days 00:00:03.061018,868.0,0.008,3m,1.0,2.5,1.0,402.0,1004,0.002,1m,1.0,3.5,2.0,136,674.0,0.009000000000000001,3m,3.0,1.5,0.9,806.0,,,,,,,,470,0.001,2m,1.5,3.5,1.5,676,766.0,0.007,4m,2.0,4.0,1.7000000000000002,252.0,,,,,,,,186.0,0.009000000000000001,3m,1.0,2.0,1.8,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
117,117,8.36826477276192,2025-06-15 00:18:00.752368,2025-06-15 00:18:07.167336,0 days 00:00:06.414968,902.0,0.008,3m,1.0,2.5,1.0,406.0,1000,0.002,1m,1.0,3.5,2.0,138,540.0,0.01,3m,3.0,2.0,0.9,806.0,,,,,,,,568,0.001,1m,1.5,3.5,1.4,650,778.0,0.008,4m,2.0,4.0,1.3,246.0,,,,,,,,196.0,0.009000000000000001,3m,1.0,1.5,1.7000000000000002,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
118,118,4.420192943207154,2025-06-15 00:18:07.300267,2025-06-15 00:18:13.126068,0 days 00:00:05.825801,910.0,0.008,3m,1.0,2.5,1.0,356.0,1006,0.002,1m,1.0,3.5,2.0,138,532.0,0.01,3m,2.5,2.0,0.9,720.0,,,,,,,,462,0.001,1m,1.5,3.5,1.4,654,670.0,0.008,4m,2.0,3.5,1.2000000000000002,254.0,,,,,,,,188.0,0.009000000000000001,3m,1.0,1.5,1.7000000000000002,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
119,119,8.786084362565386,2025-06-15 00:18:13.228734,2025-06-15 00:18:16.641787,0 days 00:00:03.413053,896.0,0.008,3m,1.0,2.5,1.3,396.0,908,0.002,1m,1.0,3.5,2.0,248,672.0,0.009000000000000001,3m,3.5,2.0,0.9,814.0,,,,,,,,572,0.001,1m,1.5,3.0,1.4,622,756.0,0.007,1m,2.0,4.0,1.3,222.0,,,,,,,,216.0,0.009000000000000001,3m,1.0,1.5,1.7000000000000002,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
120,120,6.443936313902136,2025-06-15 00:18:16.725360,2025-06-15 00:18:19.998908,0 days 00:00:03.273548,896.0,0.008,3m,1.0,2.5,1.3,312.0,1024,0.002,1m,1.0,3.5,2.0,260,666.0,0.009000000000000001,3m,3.5,2.0,0.9,804.0,,,,,,,,576,0.001,1m,1.5,3.0,1.3,672,770.0,0.009000000000000001,3m,2.5,3.5,1.3,250.0,,,,,,,,220.0,0.009000000000000001,3m,1.0,1.5,1.7000000000000002,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
121,121,4.641511731654574,2025-06-15 00:18:20.090838,2025-06-15 00:18:23.516631,0 days 00:00:03.425793,958.0,0.008,3m,1.0,2.5,1.4,404.0,954,0.002,1m,1.0,3.5,2.0,202,742.0,0.009000000000000001,3m,3.5,2.0,0.9,852.0,,,,,,,,504,0.001,1m,1.5,3.5,1.4,624,838.0,0.008,1m,2.0,4.0,1.3,222.0,,,,,,,,182.0,0.009000000000000001,3m,1.0,1.5,1.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
122,122,3.7504346203375922,2025-06-15 00:18:23.613652,2025-06-15 00:18:27.182645,0 days 00:00:03.568993,866.0,0.008,3m,1.0,2.5,1.2000000000000002,366.0,912,0.002,1m,1.0,3.5,1.9000000000000001,234,644.0,0.01,3m,3.0,2.5,1.0,874.0,,,,,,,,562,0.001,1m,1.5,3.5,1.5,646,814.0,0.007,1m,2.0,4.0,1.4,182.0,,,,,,,,146.0,0.009000000000000001,3m,1.0,1.5,1.8,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
123,123,6.428491605174304,2025-06-15 00:18:27.280695,2025-06-15 00:18:30.565888,0 days 00:00:03.285193,934.0,0.007,3m,1.0,2.5,1.1,394.0,1008,0.002,1m,1.0,3.5,1.9000000000000001,40,684.0,0.008,3m,3.0,2.0,1.0,738.0,,,,,,,,656,0.001,1m,1.5,2.0,1.7000000000000002,614,766.0,0.008,1m,2.0,4.0,1.3,206.0,,,,,,,,234.0,0.008,3m,1.0,1.5,1.7000000000000002,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
124,124,9.847092998807364,2025-06-15 00:18:30.650407,2025-06-15 00:18:34.093517,0 days 00:00:03.443110,898.0,0.008,3m,1.0,2.5,1.3,334.0,972,0.002,1m,1.0,3.5,2.0,166,598.0,0.009000000000000001,3m,3.0,2.5,0.9,830.0,,,,,,,,628,0.001,1m,1.5,3.0,1.3,576,872.0,0.007,4m,2.0,4.0,1.4,272.0,,,,,,,,202.0,0.009000000000000001,3m,1.0,1.5,1.8,74.0,,,,,,,,,,,,,,,854.0,0.001,1m,3.5,1.5,1.6,18.0,,,,,,,,0.15000000000000002,5,COMPLETE
125,125,5.204620324087321,2025-06-15 00:18:34.143521,2025-06-15 00:18:37.132794,0 days 00:00:02.989273,992.0,0.008,3m,1.0,2.0,1.3,250.0,992,0.002,1m,1.0,3.5,2.0,92,764.0,0.009000000000000001,3m,3.0,2.5,0.9,834.0,,,,,,,,676,0.001,1m,1.5,3.0,1.2000000000000002,580,868.0,0.007,1m,2.0,4.0,1.4,282.0,,,,,,,,204.0,0.009000000000000001,3m,1.0,1.5,1.7000000000000002,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
126,126,3.4913359889685998,2025-06-15 00:18:37.196318,2025-06-15 00:18:39.706677,0 days 00:00:02.510359,900.0,0.008,3m,1.0,2.5,1.2000000000000002,468.0,866,0.002,1m,1.0,3.5,2.0,164,582.0,0.01,3m,3.5,2.5,1.0,798.0,,,,,,,,630,0.001,1m,1.5,3.0,1.3,580,,,,,,,,,,,,,,,118.0,0.008,3m,1.5,1.5,1.8,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
127,127,4.650114588170611,2025-06-15 00:18:39.749289,2025-06-15 00:18:43.228926,0 days 00:00:03.479637,872.0,0.008,3m,1.0,2.0,1.4,324.0,968,0.002,1m,1.0,3.5,2.0,300,550.0,0.009000000000000001,4m,3.5,2.0,0.8,778.0,,,,,,,,618,0.001,1m,1.5,2.5,1.4,640,902.0,0.007,4m,2.5,4.0,1.2000000000000002,264.0,,,,,,,,156.0,0.01,3m,1.0,2.0,1.6,106.0,,,,,,,,,,,,,,,910.0,0.002,1m,3.5,1.5,1.6,98.0,,,,,,,,0.15000000000000002,5,COMPLETE
128,128,-3.6902929144876793,2025-06-15 00:18:43.313442,2025-06-15 00:18:46.435429,0 days 00:00:03.121987,922.0,0.007,3m,1.5,2.5,1.3,346.0,902,0.007,2m,1.0,3.5,2.0,132,504.0,0.01,3m,3.0,2.5,0.9,906.0,,,,,,,,582,0.001,1m,1.5,3.0,1.3,540,726.0,0.007,4m,2.0,4.0,1.3,228.0,,,,,,,,292.0,0.009000000000000001,3m,1.0,2.5,0.7,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
129,129,-3.360816822709693,2025-06-15 00:18:46.541967,2025-06-15 00:18:53.451672,0 days 00:00:06.909705,956.0,0.008,3m,1.0,2.5,1.0,502.0,60,0.002,1m,1.0,3.5,1.9000000000000001,160,674.0,0.009000000000000001,3m,2.5,3.0,1.0,816.0,,,,,,,,552,0.002,1m,1.5,3.5,1.7000000000000002,596,800.0,0.007,4m,2.0,3.5,1.5,170.0,,,,,,,,244.0,0.01,3m,1.0,2.0,1.8,458.0,,,,,,,,,,,,,,,930.0,0.003,1m,3.5,1.5,1.6,386.0,,,,,,,,0.15000000000000002,5,COMPLETE
130,130,9.382037503863332,2025-06-15 00:18:53.565698,2025-06-15 00:18:58.396668,0 days 00:00:04.830970,886.0,0.009000000000000001,3m,1.5,2.5,1.0,258.0,1004,0.002,1m,1.0,3.5,1.0,92,792.0,0.009000000000000001,3m,3.0,2.0,0.9,830.0,,,,,,,,464,0.006,4m,1.0,3.5,1.7000000000000002,674,,,,,,,,,,,,,,,200.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
131,131,9.921475461770067,2025-06-15 00:18:58.517180,2025-06-15 00:19:01.529856,0 days 00:00:03.012676,890.0,0.009000000000000001,3m,1.5,2.5,1.0,280.0,1002,0.002,1m,1.0,3.5,0.8,48,792.0,0.009000000000000001,3m,3.0,2.0,0.9,870.0,,,,,,,,438,0.006,4m,1.0,3.5,1.7000000000000002,674,,,,,,,,,,,,,,,202.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
132,132,9.567172938746472,2025-06-15 00:19:01.618110,2025-06-15 00:19:04.545333,0 days 00:00:02.927223,888.0,0.009000000000000001,3m,1.5,2.5,1.0,288.0,1004,0.002,1m,1.0,3.5,0.7,44,804.0,0.01,3m,3.0,2.0,0.9,878.0,,,,,,,,434,0.006,4m,1.0,3.5,1.6,670,,,,,,,,,,,,,,,214.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
133,133,9.014686502195987,2025-06-15 00:19:04.632474,2025-06-15 00:19:07.449690,0 days 00:00:02.817216,892.0,0.009000000000000001,3m,1.0,2.5,1.0,222.0,1024,0.002,1m,1.0,3.5,0.7,90,828.0,0.01,3m,3.0,2.0,1.0,868.0,,,,,,,,432,0.006,4m,1.0,3.5,1.7000000000000002,624,,,,,,,,,,,,,,,220.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
134,134,10.196017039398761,2025-06-15 00:19:07.530198,2025-06-15 00:19:10.202119,0 days 00:00:02.671921,886.0,0.009000000000000001,3m,1.0,2.5,1.5,188.0,1022,0.002,1m,1.0,3.5,0.6,40,878.0,0.01,3m,3.0,2.0,0.9,864.0,,,,,,,,404,0.006,4m,1.0,3.5,1.6,614,,,,,,,,,,,,,,,218.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
135,135,9.237896306696697,2025-06-15 00:19:10.282155,2025-06-15 00:19:13.177014,0 days 00:00:02.894859,882.0,0.009000000000000001,3m,1.0,2.5,1.5,182.0,1024,0.002,1m,1.0,3.5,0.7,42,900.0,0.01,3m,3.0,2.0,0.9,868.0,,,,,,,,432,0.006,4m,1.0,3.5,1.6,614,,,,,,,,,,,,,,,210.0,0.009000000000000001,3m,1.5,1.5,1.6,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
136,136,7.988178649282441,2025-06-15 00:19:13.287056,2025-06-15 00:19:17.488169,0 days 00:00:04.201113,880.0,0.009000000000000001,3m,1.0,2.5,1.6,174.0,1024,0.002,1m,1.0,3.5,0.7,42,898.0,0.01,3m,3.0,2.0,0.8,866.0,,,,,,,,396,0.006,4m,1.0,3.5,1.6,610,,,,,,,,,,,,,,,278.0,0.009000000000000001,3m,1.5,1.5,1.6,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
137,137,10.112495968182413,2025-06-15 00:19:17.595684,2025-06-15 00:19:22.423612,0 days 00:00:04.827928,800.0,0.009000000000000001,3m,1.0,2.5,1.6,230.0,1006,0.002,1m,1.0,3.5,0.7,42,868.0,0.01,3m,3.5,2.0,0.9,834.0,,,,,,,,434,0.006,4m,1.0,3.5,1.6,564,,,,,,,,,,,,,,,218.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
138,138,1.2624023554664436,2025-06-15 00:19:22.548144,2025-06-15 00:19:26.349882,0 days 00:00:03.801738,818.0,0.009000000000000001,3m,1.0,2.5,1.6,238.0,1010,0.002,3m,1.0,3.5,0.7,46,862.0,0.01,3m,3.0,2.0,1.0,834.0,,,,,,,,420,0.006,4m,1.0,2.5,1.7000000000000002,618,,,,,,,,,,,,,,,234.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
139,139,8.966462629064052,2025-06-15 00:19:26.432402,2025-06-15 00:19:29.307666,0 days 00:00:02.875264,880.0,0.009000000000000001,3m,1.0,2.0,1.5,174.0,1002,0.002,4m,1.0,3.5,0.7,22,974.0,0.01,3m,3.5,2.0,0.9,886.0,,,,,,,,438,0.006,4m,1.0,3.0,1.7000000000000002,560,,,,,,,,,,,,,,,220.0,0.009000000000000001,3m,1.5,1.5,1.6,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
140,140,7.411066980779078,2025-06-15 00:19:29.386951,2025-06-15 00:19:32.227326,0 days 00:00:02.840375,802.0,0.009000000000000001,3m,1.0,2.0,1.5,166.0,1020,0.002,4m,1.0,4.0,0.7,28,936.0,0.01,3m,3.5,2.0,0.9,896.0,,,,,,,,346,0.006,4m,1.0,3.0,1.6,552,,,,,,,,,,,,,,,218.0,0.009000000000000001,3m,1.5,1.5,1.6,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
141,141,8.098771434880131,2025-06-15 00:19:32.301368,2025-06-15 00:19:35.131324,0 days 00:00:02.829956,874.0,0.009000000000000001,3m,1.0,2.5,1.5,204.0,1004,0.002,1m,1.0,3.5,0.5,94,804.0,0.01,3m,3.0,2.0,0.9,850.0,,,,,,,,426,0.007,4m,1.0,3.0,1.7000000000000002,572,,,,,,,,,,,,,,,252.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
142,142,2.7221503185988065,2025-06-15 00:19:35.222838,2025-06-15 00:19:37.849669,0 days 00:00:02.626831,890.0,0.009000000000000001,3m,1.0,2.0,1.5,242.0,996,0.002,4m,1.0,3.5,0.6,16,1000.0,0.01,3m,3.5,2.0,1.0,882.0,,,,,,,,444,0.006,4m,1.0,3.0,1.7000000000000002,602,,,,,,,,,,,,,,,182.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
143,143,4.162187148906768,2025-06-15 00:19:37.947188,2025-06-15 00:19:41.023538,0 days 00:00:03.076350,948.0,0.009000000000000001,3m,1.0,2.5,1.7000000000000002,270.0,1024,0.002,4m,1.0,3.5,0.8,62,854.0,0.009000000000000001,3m,3.0,2.0,0.9,828.0,,,,,,,,398,0.006,4m,1.0,3.5,1.6,572,,,,,,,,,,,,,,,220.0,0.009000000000000001,3m,1.5,1.5,1.6,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
144,144,5.030661448096677,2025-06-15 00:19:41.095685,2025-06-15 00:19:43.891399,0 days 00:00:02.795714,876.0,0.009000000000000001,3m,1.0,2.5,1.5,124.0,948,0.002,4m,1.0,3.5,0.6,48,904.0,0.01,3m,3.0,2.0,0.9,912.0,,,,,,,,458,0.007,4m,1.0,3.5,1.7000000000000002,674,,,,,,,,,,,,,,,266.0,0.009000000000000001,3m,1.5,1.5,1.6,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
145,145,2.4980615490364024,2025-06-15 00:19:43.984907,2025-06-15 00:19:46.224863,0 days 00:00:02.239956,920.0,0.009000000000000001,3m,1.0,2.5,1.4,212.0,996,0.002,4m,1.0,3.5,0.9,90,944.0,0.009000000000000001,3m,3.5,2.0,0.9,868.0,,,,,,,,444,0.006,4m,1.0,3.0,1.7000000000000002,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
146,146,7.285469939244384,2025-06-15 00:19:46.315905,2025-06-15 00:19:49.261688,0 days 00:00:02.945783,828.0,0.009000000000000001,3m,1.5,1.5,1.6,172.0,988,0.002,1m,1.0,3.5,0.7,74,832.0,0.01,3m,3.0,2.0,1.0,894.0,,,,,,,,376,0.005,4m,1.0,3.5,1.8,626,,,,,,,,,,,,,,,168.0,0.009000000000000001,3m,1.5,1.5,1.7000000000000002,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
147,147,8.42780055620685,2025-06-15 00:19:49.339197,2025-06-15 00:19:51.621576,0 days 00:00:02.282379,856.0,0.01,3m,1.5,2.5,1.7000000000000002,144.0,934,0.003,1m,1.0,3.5,0.8,34,874.0,0.009000000000000001,4m,3.5,2.5,0.8,754.0,,,,,,,,474,0.006,4m,1.0,3.5,1.6,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
148,148,11.425592728953019,2025-06-15 00:19:51.679096,2025-06-15 00:19:54.494534,0 days 00:00:02.815438,886.0,0.009000000000000001,3m,1.0,2.0,1.4,226.0,962,0.002,1m,1.0,3.5,0.7,62,792.0,0.01,3m,3.0,2.0,0.8,852.0,,,,,,,,406,0.007,4m,1.0,3.5,1.6,620,,,,,,,,,,,,,,,218.0,0.01,3m,1.5,1.5,1.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
149,149,9.393625060996374,2025-06-15 00:19:54.569043,2025-06-15 00:19:57.309494,0 days 00:00:02.740451,926.0,0.009000000000000001,3m,1.0,2.0,1.4,220.0,962,0.002,1m,1.0,3.5,0.8,96,788.0,0.01,3m,2.5,2.0,0.8,782.0,,,,,,,,416,0.007,4m,1.0,3.5,1.6,538,,,,,,,,,,,,,,,238.0,0.01,3m,1.5,1.5,1.6,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
