date,time,PRICE_COST_COST_ON_INTU,PRICE_INTU_COST_ON_INTU,PRICE_FAST_FAST_ON_MU,PRICE_MU_FAST_ON_MU,BETA_FAST_ON_MU,SPREAD_FAST_ON_MU,Z_FAST_ON_MU,Z_VOL_FAST_ON_MU,BETA_COST_ON_INTU,SPREAD_COST_ON_INTU,Z_COST_ON_INTU,Z_VOL_COST_ON_INTU,market_close,SIGNAL_FAST_ON_MU,SIGNAL_COST_ON_INTU,POS_FAST_ON_MU,POS_COST_ON_INTU,POS_BETA_FAST_ON_MU,POS_BETA_COST_ON_INTU,PAIR_BASE_FAST_ON_MU,PAIR_BASE_COST_ON_INTU,PAIR_RET_FAST_ON_MU,PAIR_RET_COST_ON_INTU,SL_FAST_ON_MU,SL_COST_ON_INTU,LOSS_FAST_ON_MU,LOSS_COST_ON_INTU,COOLDOWN_FAST_ON_MU,COOLDOWN_COST_ON_INTU,CAPITAL_FAST_ON_MU,CAPITAL_COST_ON_INTU,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-04-11,18:48:00.000000000,499.25,439.64,26.475,63.76,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.2131812223716,586.1657194357796,0.00053138386358768,-0.00023276492819377753,0.0,0.0,-0.004126728055300455,-0.009809671012043997,0.0,0.0,0.046570819519101816,0.9251490801146915,0.0024605247972059666,0.9741804244309993,-0.00019567345489018704
2023-04-11,18:49:00.000000000,499.32,439.93,26.48,63.725,0.03140141249849051,24.47894498853369,0.7530741252399331,0.5745941429960492,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.217227076468475,586.2930517045367,-0.00021104128088895798,-0.000021611177219729574,0.0,0.0,-0.0035975370684107055,-0.010040152592869056,0.0,0.0,0.04656099115369845,0.9251290865539665,0.0024605247972059666,0.974150602504871,-0.00003061232332372575
2023-04-11,18:50:00.000000000,499.295,439.89,26.4756,63.705,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.21228185023812,586.2601438053978,0.00013661065133011653,0.000029152828626108885,0.0,0.0,-0.0038078191204687917,-0.010061546790571807,0.0,0.0,0.046567351881026536,0.9251560566836838,0.0024605247972059666,0.9741839333619163,0.000034215301986851185
2023-04-11,18:51:00.000000000,499.34,439.7,26.475,63.72,,,,,0.19630475331054825,413.02479996935193,2.5921910801713643,1.5545001477230942,0,0.0,-1.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.212090769910887,586.267581284488,0.000035761718180724965,-0.0001408291554220649,0.0,0.0,-0.003671728657788864,-0.010032687284495023,0.0,0.0,0.04656901720954093,0.9250257677375875,0.0024605247972059666,0.9740553097443343,-0.00013203216885147585
2023-04-11,18:52:00.000000000,499.35,439.53,26.4775,63.6914,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.21381109640148,586.2439727131476,-0.00011625063651438815,-0.00007438339204239061,0.0,0.0,-0.003636098246933561,-0.010172103545040168,0.0,0.0,0.04656360353164847,0.9249569611832565,0.0024605247972059666,0.9739810895121109,-0.00007619714351010147
2023-04-11,18:53:00.000000000,499.37,439.58,26.48,63.71,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.21681815679571,586.2738575870712,-0.00007063702237748041,-0.000017254123790039567,0.0,0.0,-0.0037519261847123175,-0.010245730301516653,0.0,0.0,0.046560314417343825,0.9249410018613479,0.0024605247972059666,0.9739618410758977,-0.000019762638536341008
2023-04-11,18:54:00.000000000,499.395,439.545,26.48,63.75,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.21790860925642,586.2919381753246,0.000038645479254572415,-0.00005444454214261791,0.0,0.0,-0.003822298182196038,-0.010262807644207728,0.0,0.0,0.04656211376300872,0.9248906438719926,0.0024605247972059666,0.9739132824322072,-0.00004985682358646136
2023-04-11,18:55:00.000000000,499.4,439.44,26.4975,63.725,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.234727076468474,586.2761799400851,-0.0006443260214535474,-0.00004393414536762943,0.0,0.0,-0.0037838004174867157,-0.01031669343248709,0.0,0.0,0.04653211258149733,0.9248500095919956,0.0024605247972059666,0.9738426469706989,-0.00007252746500377867
2023-04-11,18:56:00.000000000,499.4593,439.51,26.4975,63.755,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.235544915814007,586.3493187635781,0.000028965725197845183,-0.00007754225408155272,0.0,0.0,-0.004425688437871389,-0.010360174322745719,0.0,0.0,0.04653346041788325,0.9247782946375646,0.0024605247972059666,0.9737722798526537,-0.00007225717446662363
2023-04-11,18:57:00.000000000,499.405,439.74,26.4925,63.77,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.230953835486773,586.3404891836268,0.00019156420352044997,0.00017015525874426802,0.0,0.0,-0.004396850905948435,-0.01043691322555751,0.0,0.0,0.04654237456316525,0.9249356505275698,0.0024605247972059666,0.9739385498879409,0.00017074837590612112
