date,time,PRICE_GOOG_GOOG_ON_GOOGL,PRICE_GOOGL_GOOG_ON_GOOGL,PRICE_ADP_ADP_ON_PAYX,PRICE_PAYX_ADP_ON_PAYX,BETA_ADP_ON_PAYX,SPREAD_ADP_ON_PAYX,Z_ADP_ON_PAYX,Z_VOL_ADP_ON_PAYX,BETA_GOOG_ON_GOOGL,SPREAD_GOOG_ON_GOOGL,Z_GOOG_ON_GOOGL,Z_VOL_GOOG_ON_GOOGL,market_close,SIGNAL_ADP_ON_PAYX,SIGNAL_GOOG_ON_GOOGL,POS_ADP_ON_PAYX,POS_GOOG_ON_GOOGL,POS_BETA_ADP_ON_PAYX,POS_BETA_GOOG_ON_GOOGL,PAIR_BASE_ADP_ON_PAYX,PAIR_BASE_GOOG_ON_GOOGL,PAIR_RET_ADP_ON_PAYX,PAIR_RET_GOOG_ON_GOOGL,SL_ADP_ON_PAYX,SL_GOOG_ON_GOOGL,LOSS_ADP_ON_PAYX,LOSS_GOOG_ON_GOOGL,COOLDOWN_ADP_ON_PAYX,COOLDOWN_GOOG_ON_GOOGL,CAPITAL_ADP_ON_PAYX,CAPITAL_GOOG_ON_GOOGL,REMAINING_CAPITAL,CAPITAL,PORT_RET
2025-03-04,20:23:00.000000000,174.93,173.11,317.31,153.84,2.48137807192762,-64.42520258534512,-2.2102665359333744,1.1272297464864882,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:24:00.000000000,175.05,173.22,317.38,153.72,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:25:00.000000000,174.835,173.01,317.27,153.65,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:26:00.000000000,174.87,173.06,316.93,153.6,,,,,1.0307581156038448,-3.512999486401384,-2.182639903601911,1.6740821719768244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:27:00.000000000,174.79,172.97,316.955,153.52,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:28:00.000000000,174.75,172.93,316.58,153.49,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:29:00.000000000,174.71,172.9,316.57,153.385,2.4917497078729594,-65.62702894209383,-2.2157590530062845,1.1298323416170928,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:30:00.000000000,174.11,172.295,316.06,153.11,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:31:00.000000000,173.95,172.17,315.68,152.92,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:32:00.000000000,173.81,172.03,315.2,152.71,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:33:00.000000000,173.41,171.6418,315.04,152.68,,,,,1.030738699099113,-3.507845643030123,-2.173752678131514,1.6758265205888452,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:34:00.000000000,173.43,171.67,314.99,152.705,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:35:00.000000000,173.5,171.75,315.3,152.85,2.519419518517785,-69.79327340544336,-2.2570909743625633,1.1325269096028567,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:36:00.000000000,173.21,171.455,315.185,152.75,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:37:00.000000000,173.29,171.54,315.14,152.795,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:38:00.000000000,173.27,171.51,315.225,152.9,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:39:00.000000000,173.07,171.31,315.145,152.875,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:40:00.000000000,172.84,171.04,315.045,152.78,,,,,1.0308508113680204,-3.4767227763861968,-2.1575528158177404,1.6775429515258322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:41:00.000000000,172.885,171.11,314.97,152.61,2.539633309382113,-72.60343934480426,-2.281378120199222,1.13527175899919,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:42:00.000000000,173.15,171.38,315.107229,152.725,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:43:00.000000000,173.33,171.57,315.57,152.915,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:44:00.000000000,173.24,171.46,315.6675,153.09,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:45:00.000000000,173.19,171.385,315.6,153.06,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:46:00.000000000,173.03,171.245,315.58,152.99,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:47:00.000000000,172.97,171.18,315.23,152.825,2.5546166110459376,-75.17928358309535,-2.3024254577556946,1.138058816400117,1.0310049339278307,-3.517424589766051,-2.161936361435945,1.6792609304079802,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:48:00.000000000,173.0049,171.22,315.21,152.75,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:49:00.000000000,172.75,170.97,315.08,152.6,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:50:00.000000000,172.17,170.41,314.09,152.175,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:51:00.000000000,171.96,170.22,311.83,151.86,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:52:00.000000000,171.74,169.9876,313.67,151.87,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:53:00.000000000,171.98,170.24,313.71,152.0,2.556538983325694,-74.88392546550551,-2.2886857534713774,1.140796132413788,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:54:00.000000000,172.22,170.55,313.75,152.25,,,,,1.0311340299469358,-3.6399088074499275,-2.189461775309069,1.6810142216900066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:55:00.000000000,172.54,170.795,313.97,152.12,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:56:00.000000000,172.62,170.88,313.41,152.04,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:57:00.000000000,172.79,171.08,313.62,151.91,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:58:00.000000000,172.62,170.89,313.485,151.92,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:59:00.000000000,172.68,170.94,313.49,152.01,2.5607626772094836,-75.77153456261357,-2.2893401933545103,1.1435167147607597,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:29:00.000000000,172.12,170.41,316.2,150.88,2.1982338750026593,-15.46952706040122,-1.5584132867951017,1.1446812791077787,1.031280041688961,-3.6204319042158204,-2.1764989975862554,1.6827420129223318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:30:00.000000000,173.15,171.3663,311.45,151.17,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:31:00.000000000,173.135,171.325,311.4311,151.45,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:32:00.000000000,172.8807,171.06,311.72,151.355,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:33:00.000000000,172.76,170.89,312.115,150.86,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:34:00.000000000,172.82,170.9625,312.285,150.93,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:35:00.000000000,172.21,170.38,311.945,150.98,2.204855488742311,-20.94408169031408,-1.6205863401811935,1.1459232727207687,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:36:00.000000000,171.86,170.02,312.06,151.36,,,,,1.031364204836239,-3.4925421062573605,-2.1330531831441784,1.6844022832228465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:37:00.000000000,171.61,169.769,312.195,151.485,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:38:00.000000000,171.65,169.8,311.42,151.36,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-05,14:39:00.000000000,172.055,170.18,311.49,151.26,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
