date,time,PRICE_MU_MU_ON_CTAS,PRICE_CTAS_MU_ON_CTAS,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,Z_VOL_INTC_ON_CTAS,BETA_MU_ON_CTAS,SPREAD_MU_ON_CTAS,Z_MU_ON_CTAS,Z_VOL_MU_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,SIGNAL_MU_ON_CTAS,POS_INTC_ON_CTAS,POS_MU_ON_CTAS,POS_BETA_INTC_ON_CTAS,POS_BETA_MU_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_BASE_MU_ON_CTAS,PAIR_RET_INTC_ON_CTAS,PAIR_RET_MU_ON_CTAS,SL_INTC_ON_CTAS,SL_MU_ON_CTAS,LOSS_INTC_ON_CTAS,LOSS_MU_ON_CTAS,COOLDOWN_INTC_ON_CTAS,COOLDOWN_MU_ON_CTAS,CAPITAL_INTC_ON_CTAS,CAPITAL_MU_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-31,17:17:00.000000000,85.56,152.17,42.645,152.17,-0.23626550083074394,78.5975212614143,2.610119238669042,1.6200810405824497,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.51451793445804,0.0,0.00019466079616950032,0.0,0.0,0.0,-0.005924162654815879,0.0,0.0,0.0,0.9694767398381,0.05091739492847103,1.020394134766571,0.0001849454779339029
2024-01-31,17:18:00.000000000,85.57,152.1688,42.645,152.1688,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.5234773520731,0.0,-0.000050757910275501645,0.0,0.0,0.0,-0.005730655060865231,0.0,0.0,0.0,0.9694275312247251,0.05091739492847103,1.020344926153196,-0.0000482251041027807
2024-01-31,17:19:00.000000000,85.56,152.2275,42.615,152.2275,,,,,0.5097059435938736,7.968738471563626,1.70739383317803,0.08721677675520698,0,0.0,-1.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.56437917373802,0.0,0.00027997815411134007,0.0,0.0,0.0,-0.005781122095065316,0.0,0.0,0.0,0.9696989497554622,0.05091739492847103,1.0206163446839334,0.0002660066451847672
2024-01-31,17:20:00.000000000,85.58,152.245,42.615,152.245,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.59955433351888,0.0,-0.000022176609229263543,0.0,0.0,0.0,-0.00550276252884685,0.0,0.0,0.0,0.9696774451207835,0.05091739492847103,1.0205948400492546,-0.000021070243280710067
2024-01-31,17:21:00.000000000,85.5311,152.245,42.655,152.245,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.55065433351888,0.0,0.00022472472496452514,0.0,0.0,0.0,-0.005524817105461821,0.0,0.0,0.0,0.9698953556179425,0.05091739492847103,1.0208127505464135,0.0002135132264125463
2024-01-31,17:22:00.000000000,85.51,152.1825,42.625,152.1825,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.47535733430152,0.0,-0.00015213468016790947,0.0,0.0,0.0,-0.005301333943501851,0.0,0.0,0.0,0.9697478008982192,0.05091739492847103,1.0206651958266901,-0.00014454631336099997
2024-01-31,17:23:00.000000000,85.45,152.1975,42.62,152.1975,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.42836461411366,0.0,0.0003357036894066082,0.0,0.0,0.0,-0.005452662106925743,0.0,0.0,0.0,0.9700733488127748,0.05091739492847103,1.0209907437412458,0.00031895661367384705
2024-01-31,17:24:00.000000000,85.47,152.1975,42.665,152.1975,-0.24193306790591024,79.48660810260978,2.6321188363593992,1.619872144759766,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.44836461411367,0.0,-0.0000919843187685816,0.0,0.0,0.0,-0.0051187888963053485,0.0,0.0,0.0,0.9699841172766288,0.05091739492847103,1.0209015122051,-0.00008739700794822456
2024-01-31,17:25:00.000000000,85.475,152.1975,42.66,152.1975,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.45336461411367,0.0,-0.000022993964607958808,0.0,0.0,0.0,-0.005210302366764341,0.0,0.0,0.0,0.969961813496166,0.05091739492847103,1.020879208424637,-0.000021847142154582755
2024-01-31,17:26:00.000000000,85.5,152.1975,42.67,152.1975,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.47836461411367,0.0,-0.00011496717948866852,0.0,0.0,0.0,-0.0052331765258640806,0.0,0.0,0.0,0.9698502997222566,0.05091739492847103,1.0207676946507276,-0.00010923307379476392
2024-01-31,17:27:00.000000000,85.46,152.23,42.665,152.23,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.46654705370668,0.0,0.0003135136670445874,0.0,0.0,0.0,-0.005347542061807764,0.0,0.0,0.0,0.9701543610462069,0.05091739492847103,1.021071755974678,0.0002978751439175235
2024-01-31,17:28:00.000000000,85.475,152.3375,42.67,152.3375,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.57476589236055,0.0,0.0003596821658943997,0.0,0.0,0.0,-0.005035704922284556,0.0,0.0,0.0,0.9705033082680399,0.05091739492847103,1.0214207031965108,0.0003417460328237856
2024-01-31,17:29:00.000000000,85.4399,152.3838,42.64,152.3838,,,,,0.48198414547577284,11.993324372648914,1.7292207037874783,0.08587191784890763,0,0.0,-1.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.57981502938074,0.0,0.00034585415597974863,0.0,0.0,0.0,-0.004677834009643389,0.0,0.0,0.0,0.9708389608705965,0.05091739492847103,1.0217563557990674,0.0003286134709294797
2024-01-31,17:30:00.000000000,85.48,152.3025,42.6402,152.3025,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.54941557279886,0.0,-0.0005083167138779584,0.0,0.0,0.0,-0.004333597701996816,0.0,0.0,0.0,0.9703454672003021,0.05091739492847103,1.0212628621287732,-0.00048298566237773774
2024-01-31,17:31:00.000000000,85.445,152.3025,42.625,152.3025,-0.24775827485456564,80.35920465603749,2.6531394599615457,1.6196725584542562,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.51441557279884,0.0,0.000160882987931074,0.0,0.0,0.0,-0.004839711575731598,0.0,0.0,0.0,0.9705015792783908,0.05091739492847103,1.0214189742068618,0.0001528617987373247
2024-01-31,17:32:00.000000000,85.465,152.2275,42.595,152.2275,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.46937917373802,0.0,-0.0003909460383897159,0.0,0.0,0.0,-0.004679607215059445,0.0,0.0,0.0,0.9701221655307208,0.05091739492847103,1.021039560459192,-0.0003714575088684124
2024-01-31,17:33:00.000000000,85.41,152.2275,42.61,152.2275,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.414379173738,0.0,0.0002529091691390119,0.0,0.0,0.0,-0.005068723779547368,0.0,0.0,0.0,0.9703675183215685,0.05091739492847103,1.0212849132500397,0.00024029704660743473
2024-01-31,17:34:00.000000000,85.39,152.235,42.63,152.235,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.4008828136441,0.0,0.00012190380418636769,0.0,0.0,0.0,-0.004817096537128029,0.0,0.0,0.0,0.9704858098135108,0.05091739492847103,1.0214032047419819,0.00011582614254602296
2024-01-31,17:35:00.000000000,85.36,152.1763,42.605,152.1763,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.31998099197915,0.0,-0.00009614414345716674,0.0,0.0,0.0,-0.004695779955334656,0.0,0.0,0.0,0.970392503286589,0.05091739492847103,1.0213098982150601,-0.00009135131600190542
2024-01-31,17:36:00.000000000,85.315,152.135,42.5601,152.135,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.23916761489633,0.0,0.00004227233444084023,0.0,0.0,0.0,-0.004791472627050153,0.0,0.0,0.0,0.9704335240430269,0.05091739492847103,1.021350918971498,0.000040164847623186026
2024-01-31,17:37:00.000000000,85.32,152.04,42.58,152.04,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.16178817608596,0.0,-0.00040222690857137736,0.0,0.0,0.0,-0.004749402839342554,0.0,0.0,0.0,0.970043189566677,0.05091739492847103,1.020960584495148,-0.0003821746953957119
2024-01-31,17:38:00.000000000,85.2999,152.0425,42.5873,152.0425,-0.25340053174273364,81.11495034749458,2.6694346223877097,1.6194630586198737,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.14385605605463,0.0,0.00010254050749768399,0.0,0.0,0.0,-0.005149719410292297,0.0,0.0,0.0,0.9701426582876299,0.05091739492847103,1.021060053216101,0.00009742660242089266
2024-01-31,17:39:00.000000000,85.332,152.075,42.62,152.075,,,,,0.4565836554180771,15.897040602295917,1.7251633788942673,0.08914256064904831,0,0.0,-1.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.20413849564767,0.0,-0.00001804131361637117,0.0,0.0,0.0,-0.005047706957636344,0.0,0.0,0.0,0.9701251556396792,0.05091739492847103,1.0210425505681502,-0.00001714164401557178
2024-01-31,17:40:00.000000000,85.35,152.0075,42.64,152.0075,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.16360573649294,0.0,-0.00035235405588859907,0.0,0.0,0.0,-0.0050656572039884384,0.0,0.0,0.0,0.9697833281063699,0.05091739492847103,1.020700723034841,-0.0003347828482945485
2024-01-31,17:41:00.000000000,85.38,152.0075,42.69,152.0075,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.19360573649294,0.0,-0.00013814469463360835,0.0,0.0,0.0,-0.0054162263550154854,0.0,0.0,0.0,0.9696493576846479,0.05091739492847103,1.020566752613119,-0.0001312533818176363
2024-01-31,17:42:00.000000000,85.5,151.985,42.745,151.985,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.2940948167747,0.0,-0.0006423343783311349,0.0,0.0,0.0,-0.005553622826713234,0.0,0.0,0.0,0.9690265185672803,0.05091739492847103,1.0199439134957513,-0.000610287485627921
2024-01-31,17:43:00.000000000,85.49,152.0588,42.7425,152.0588,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.3480906334505,0.0,0.00034053303076748146,0.0,0.0,0.0,-0.006192389922178521,0.0,0.0,0.0,0.9693565041045421,0.05091739492847103,1.0202738990330131,0.00032353302264516903
