date,time,PRICE_ANSS_ANSS_ON_NXPI,PRICE_NXPI_ANSS_ON_NXPI,BETA_ANSS_ON_NXPI,SPREAD_ANSS_ON_NXPI,Z_ANSS_ON_NXPI,market_close,SIGNAL_ANSS_ON_NXPI,POS_ANSS_ON_NXPI,POS_BETA_ANSS_ON_NXPI,PAIR_BASE_ANSS_ON_NXPI,PAIR_RET_ANSS_ON_NXPI,SL_ANSS_ON_NXPI,LOSS_ANSS_ON_NXPI,COOLDOWN_ANSS_ON_NXPI,CAPITAL_ANSS_ON_NXPI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-01-25,15:46:00.000000000,251.82,169.885,1.4363669093645974,7.802807602595379,-3.9684022638570826,0,1.0,1.0,1.1110355722233962,440.56827818717164,-0.00047418781302556516,0.0,-0.0006907882967801537,0.0,0.5500956218107903,0.44928252249636014,0.9993781443071504,-0.00026106660436667504
2023-01-25,15:47:00.000000000,251.82,169.78,1.4471750982195635,6.11861182428251,-3.909114379620527,0,1.0,1.0,1.1110355722233962,440.4516194520882,0.00026479149965915596,0.0,-0.00116464854641396,0.0,0.5502412824554456,0.44928252249636014,0.9995238049518057,0.00014575128091904514
2023-01-25,15:48:00.000000000,251.82,169.955,1.4592272297890434,3.817036161203106,-3.8748075205458004,0,1.0,1.0,1.1110355722233962,440.6460506772273,-0.00044143605461362706,0.0,-0.000900165435789857,0.0,0.5499983861146329,0.44928252249636014,0.9992809086109931,-0.00024301206195320192
2023-01-25,15:49:00.000000000,251.7057,169.82,1.4713254516036522,1.8452118086677842,-3.8295903461498013,0,1.0,1.0,1.1110355722233962,440.38176087497715,0.00008099426329897239,0.0,-0.0013412041249249995,0.0,0.5500429328287318,0.44928252249636014,0.999325455325092,0.00004457877030878687
2023-01-25,15:50:00.000000000,251.35,169.735,1.4818650725129234,-0.17436808298108986,-3.7877206209873124,0,1.0,1.0,1.1110355722233962,439.93162285133815,-0.0005932624817203242,0.0,-0.001260318491466128,0.0,0.5497166129933492,0.44928252249636014,0.9989991354897093,-0.0003265401012691263
2023-01-25,15:51:00.000000000,251.35,169.765,1.4932578667503136,-2.1529217488669588,-3.745933565857051,0,1.0,1.0,1.1110355722233962,439.9649539185049,-0.0000757641993331635,0.0,-0.0018528332735103792,0.0,0.5496749641543056,0.44928252249636014,0.9989574866506657,-0.00004169056565113626
2023-01-25,15:52:00.000000000,251.35,169.76,1.5039158595115636,-3.954756310683024,-3.7000430899591086,0,1.0,1.0,1.1110355722233962,439.95939874064373,0.000012626409925688777,0.0,-0.0019284570944141377,0.0,0.5496819045757289,0.44928252249636014,0.998964427072089,6.947664456182738e-6
2023-01-25,15:53:00.000000000,251.71,169.975,1.5114978837581485,-5.206852791791306,-3.6388611203848713,0,1.0,1.0,1.1110355722233962,440.55827138867176,0.0002753148411391999,0.0,-0.0019158550339782865,0.0,0.5498332401619642,0.44928252249636014,0.9991157626583244,0.00015149246773373573
2023-01-25,15:54:00.000000000,251.71,170.085,1.5189131037228885,-6.634335246707479,-3.5864991808082287,0,1.0,1.0,1.1110355722233962,440.6804853016164,-0.0002774069195417588,0.0,-0.001641067656163453,0.0,0.5496807126165492,0.44928252249636014,0.9989632351129093,-0.00015266253532947305
2023-01-25,15:55:00.000000000,252.06,170.21,1.5239275791987763,-7.327713255423703,-3.5147600042695464,0,1.0,1.0,1.1110355722233962,441.1693647481443,0.0004790785172335437,0.0,-0.0019180193321820527,0.0,0.5499440528373013,0.44928252249636014,0.9992265753336614,0.0002636135259996582
2023-01-25,15:56:00.000000000,252.06,170.33,1.5289622576393327,-8.368141343707578,-3.457614115023758,0,0.0,1.0,1.1110355722233962,441.3026890168111,-0.00030220654315584605,0.0,-0.0014398596968062671,0.0,0.5497778561461643,0.44928252249636014,0.9990603786425244,-0.00016632533125087018
2023-01-25,15:57:00.000000000,252.25,170.39,1.5327043056258887,-8.907486635595149,-3.389101062967772,0,0.0,1.0,1.1110355722233962,441.5593511511445,0.0002794858693052946,0.0,-0.001741631104940522,0.0,0.5499315112882142,0.44928252249636014,0.9992140337845743,0.00015379965549097387
2023-01-25,15:58:00.000000000,252.25,170.4475,1.5370969546189925,-9.744333172420738,-3.333016067498845,0,0.0,1.0,1.1110355722233962,441.62323569654734,-0.00014467940773150886,0.0,-0.0014626319969184287,0.0,0.549851947522868,0.44928252249636014,0.9991344700192282,-0.00007962634896626971
