date,time,PRICE_BIIB_BIIB_ON_SIRI,PRICE_SIRI_BIIB_ON_SIRI,PRICE_JD_JD_ON_TMUS,PRICE_TMUS_JD_ON_TMUS,BETA_JD_ON_TMUS,SPREAD_JD_ON_TMUS,Z_JD_ON_TMUS,BETA_BIIB_ON_SIRI,SPREAD_BIIB_ON_SIRI,Z_BIIB_ON_SIRI,market_close,SIGNAL_JD_ON_TMUS,SIGNAL_BIIB_ON_SIRI,POS_JD_ON_TMUS,POS_BIIB_ON_SIRI,POS_BETA_JD_ON_TMUS,POS_BETA_BIIB_ON_SIRI,PAIR_BASE_JD_ON_TMUS,PAIR_BASE_BIIB_ON_SIRI,PAIR_RET_JD_ON_TMUS,PAIR_RET_BIIB_ON_SIRI,SL_JD_ON_TMUS,SL_BIIB_ON_SIRI,LOSS_JD_ON_TMUS,LOSS_BIIB_ON_SIRI,COOLDOWN_JD_ON_TMUS,COOLDOWN_BIIB_ON_SIRI,CAPITAL_JD_ON_TMUS,CAPITAL_BIIB_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-05-25,19:59:00.000000000,273.44,60.0,72.81,136.73,-0.3115959956595606,115.41452048653173,0.22087404595441718,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:29:00.000000000,273.45,60.3,73.5,136.75,-0.31222517414852535,116.19679256481083,0.2325380756107996,-1.9096877027752095,388.6041684773451,0.4027021934946689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:30:00.000000000,274.09,60.05,73.56,137.1,-0.31015472018554213,116.08221213743784,0.22750191845883977,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:31:00.000000000,272.775,60.4,73.43,137.14,-0.3078053185823584,115.64242139038464,0.21624296142519803,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:32:00.000000000,273.075,60.3,73.485,137.19,-0.3050466367185439,115.33434809141704,0.2073527668851626,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:33:00.000000000,273.79,60.25,73.55,137.08,-0.3043425531140398,115.26927718087258,0.2030258433598879,-1.8641230673248093,386.1034148063198,0.3825824147575488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:34:00.000000000,273.085,60.0,73.18,137.51,-0.29887646697202547,114.27850297332323,0.18067233082788636,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:35:00.000000000,273.4579,60.0,73.145,137.66,-0.2913402443695639,113.25089803991416,0.15726620739598274,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:36:00.000000000,272.015,60.0,72.99,137.65,-0.2849428872656015,112.21238843211005,0.13328801684395541,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:37:00.000000000,271.54,60.15,72.89,137.64,-0.2792609150774982,111.32747235126685,0.11199204926774724,-1.8139376587985165,380.6483501767308,0.34639613465859614,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:38:00.000000000,271.8325,60.1,72.86,137.75,-0.27265010066819045,110.41755136704323,0.08984812875943456,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:39:00.000000000,271.92,60.15,73.095,137.785,-0.2642999184865751,109.51156426867274,0.06741695337857775,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:40:00.000000000,271.07,60.15,73.09,137.87,-0.2545084510815982,108.17908015061994,0.03586290655687556,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:41:00.000000000,271.25,60.15,73.04,137.74,-0.24659724309202033,107.00630426349488,0.007042061301341704,-1.7662005855438272,377.48696522046123,0.3223721871305156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:42:00.000000000,271.35,60.0,72.915,137.78,-0.2395244307812529,105.91667607304103,-0.020578537967860307,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:43:00.000000000,271.59,60.0,72.85,137.725,-0.23235574210654794,104.8511945816243,-0.04822179467996001,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
