date,time,PRICE_BKNG_BKNG_ON_EA,PRICE_EA_BKNG_ON_EA,PRICE_ORLY_ORLY_ON_VRTX,PRICE_VRTX_ORLY_ON_VRTX,PRICE_ATVI_ATVI_ON_MSFT,PRICE_MSFT_ATVI_ON_MSFT,PRICE_DXCM_DXCM_ON_ORLY,PRICE_ORLY_DXCM_ON_ORLY,BETA_DXCM_ON_ORLY,SPREAD_DXCM_ON_ORLY,Z_DXCM_ON_ORLY,BETA_ATVI_ON_MSFT,SPREAD_ATVI_ON_MSFT,Z_ATVI_ON_MSFT,BETA_ORLY_ON_VRTX,SPREAD_ORLY_ON_VRTX,Z_ORLY_ON_VRTX,BETA_BKNG_ON_EA,SPREAD_BKNG_ON_EA,Z_BKNG_ON_EA,market_close,SIGNAL_DXCM_ON_ORLY,SIGNAL_ATVI_ON_MSFT,SIGNAL_ORLY_ON_VRTX,SIGNAL_BKNG_ON_EA,POS_DXCM_ON_ORLY,POS_ATVI_ON_MSFT,POS_ORLY_ON_VRTX,POS_BKNG_ON_EA,POS_BETA_DXCM_ON_ORLY,POS_BETA_ATVI_ON_MSFT,POS_BETA_ORLY_ON_VRTX,POS_BETA_BKNG_ON_EA,PAIR_BASE_DXCM_ON_ORLY,PAIR_BASE_ATVI_ON_MSFT,PAIR_BASE_ORLY_ON_VRTX,PAIR_BASE_BKNG_ON_EA,PAIR_RET_DXCM_ON_ORLY,PAIR_RET_ATVI_ON_MSFT,PAIR_RET_ORLY_ON_VRTX,PAIR_RET_BKNG_ON_EA,SL_DXCM_ON_ORLY,SL_ATVI_ON_MSFT,SL_ORLY_ON_VRTX,SL_BKNG_ON_EA,LOSS_DXCM_ON_ORLY,LOSS_ATVI_ON_MSFT,LOSS_ORLY_ON_VRTX,LOSS_BKNG_ON_EA,COOLDOWN_DXCM_ON_ORLY,COOLDOWN_ATVI_ON_MSFT,COOLDOWN_ORLY_ON_VRTX,COOLDOWN_BKNG_ON_EA,CAPITAL_DXCM_ON_ORLY,CAPITAL_ATVI_ON_MSFT,CAPITAL_ORLY_ON_VRTX,CAPITAL_BKNG_ON_EA,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-12-08,14:39:00.000000000,1959.675,125.705,832.79,318.08,74.52,244.28,120.65,832.79,,,,,,,-0.9834413403915973,1145.6030215517592,2.217908867939832,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.39873119103325,0.0,0.0,0.0,-0.000869117359191467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00705797231687133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8304548422430017,0.0,0.0,0.0,0.2026334374362725,1.0330882796792742,-0.0006987648535556955
2022-12-08,14:40:00.000000000,1961.81,126.07,833.94,318.8,74.58,244.465,120.17,833.94,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,136.9418595197472,0.0,0.0,0.0,0.0036618120440604944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007920955469801538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8334958117863756,0.0,0.0,0.0,0.2026334374362725,1.0361292492226482,0.0029435718158742842
2022-12-08,14:41:00.000000000,1968.55,125.77,833.66,318.62,74.53,244.32,119.93,833.66,0.019380916131414058,103.77290545788537,1.9190718773384978,-0.026503346949287503,81.00529772664993,2.28098507419744,-0.9355480714581478,1131.744326527995,2.1511961143407223,15.534167536467558,14.817748938475233,-0.8395687443954751,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,136.6962282744951,0.0,0.0,0.0,0.0017114471467660237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004288148475880771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8349222958152989,0.0,0.0,0.0,0.2026334374362725,1.0375557332515712,0.0013767433261760594
2022-12-08,14:42:00.000000000,1968.87,125.76,833.66,319.09,74.565,244.06,120.37,833.66,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.1362282744951,0.0,0.0,0.0,-0.003218815950915987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025840402685886055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8322348346117532,0.0,0.0,0.0,0.2026334374362725,1.0348682720480258,-0.0025901849099934995
2022-12-08,14:43:00.000000000,1967.115,125.98,831.91,319.07,74.58,244.035,120.2,831.91,,,,,,,-0.891147146286811,1116.2483199657327,2.081983036188358,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,136.93103299166953,0.0,0.0,0.0,0.0009829985764564296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005794538669470217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833052920269454,0.0,0.0,0.0,0.2026334374362725,1.0356863577057265,0.0007905215376655495
2022-12-08,14:44:00.000000000,1966.67,125.59,833.175,318.85,74.56,243.7,120.45,833.175,0.019192746979519643,104.45908303533872,2.0780804385359373,-0.027146538435937395,81.17561141683794,2.273848819578625,,,,15.53843905217749,15.197439437029061,-0.837772968105178,0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.20647415325487,0.0,0.0,0.0,-0.0016399411697151749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004817236116277046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316867624889526,0.0,0.0,0.0,0.2026334374362725,1.034320199925225,-0.0013190844605966152
2022-12-08,14:45:00.000000000,1963.6425,125.65,833.175,319.1,74.66,243.52,120.75,833.175,,,,,,,-0.8382346812289078,1100.6556867801444,2.0145181722148053,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.50647415325486,0.0,0.0,0.0,-0.0021864857460363535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064492773021610494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298682912376034,0.0,0.0,0.0,0.2026334374362725,1.0325017286738758,-0.0017581318159314845
2022-12-08,14:46:00.000000000,1971.39,125.75,833.175,319.17,74.61,244.0,121.38,833.175,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,138.13647415325485,0.0,0.0,0.0,-0.004581602458207478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008621661795303881,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0324843088412847,1.0324843088412847,-0.000016871480315528228
2022-12-08,14:47:00.000000000,1978.47,125.91,833.175,319.31,74.6,244.03,121.5,833.175,0.01892184147790016,105.73479472665053,2.3956690317732505,-0.027829683424519518,81.3912776460855,2.2716950062219947,-0.7826667511666664,1083.088320315028,1.9434382087554154,15.535146519852022,22.439701685432055,-0.8303650659560309,0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,138.25647415325486,0.0,0.0,0.0,-0.0008687061164372208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01316376322663615,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0324843088412847,1.0324843088412847,0.0
2022-12-08,14:48:00.000000000,1980.0,125.505,833.92,319.238,74.74,243.71,121.0,833.92,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.77145728794346,0.0,0.0,0.0,0.0037248392007867663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0324843088412847,1.0324843088412847,0.0
