,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.028554398433547595,2025-06-15 23:15:01.269392,2025-06-15 23:15:04.022777,0 days 00:00:02.753385,,,,,,,,,,,,,,,,,,,,,,160.0,0.05,8m,1.4,1.1,1.2000000000000002,720.0,,,,,,,,,,,,,,,848,0.05,9m,0.9,0.6,1.5,440,368.0,0.05,8m,0.5,0.9,1.8000000000000003,416.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
31,31,1.6980554768227696,2025-06-15 23:15:04.096164,2025-06-15 23:15:05.987065,0 days 00:00:01.890901,,,,,,,,,,,,,,,,,,,,,,32.0,0.025,7m,1.4,0.9,1.4000000000000001,24.0,,,,,,,,,,,,,,,632,0.05,6m,0.5,0.9,1.1,32,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
32,32,1.2641359194873767,2025-06-15 23:15:06.066607,2025-06-15 23:15:08.192803,0 days 00:00:02.126196,,,,,,,,,,,,,,,,,,,,,,88.0,0.025,7m,1.5,0.8,1.4000000000000001,120.0,,,,,,,,,,,,,,,928,0.05,6m,0.5,1.1,1.2000000000000002,64,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
33,33,0.7943107274571836,2025-06-15 23:15:08.271836,2025-06-15 23:15:09.341793,0 days 00:00:01.069957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.05,6m,1.1,0.8,1.3,176,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
34,34,-1.0211557821724127,2025-06-15 23:15:09.412169,2025-06-15 23:15:12.338896,0 days 00:00:02.926727,,,,,,,,,,,,,,,,,,,,,,184.0,0.025,7m,1.4,1.0,1.3,200.0,,,,,,,,,,,,,,,736,0.05,6m,0.5,0.9,1.7000000000000002,632,32.0,0.05,9m,1.1,1.4,1.6,576.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
35,35,0.6937211333397146,2025-06-15 23:15:12.431210,2025-06-15 23:15:14.441496,0 days 00:00:02.010286,,,,,,,,,,,,,,,,,,,,,,64.0,0.025,2m,1.5,0.8,1.6,280.0,,,,,,,,,,,,,,,296,0.025,6m,0.7,0.7,1.4000000000000001,72,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
36,36,-0.7199531405764273,2025-06-15 23:15:14.503094,2025-06-15 23:15:18.598422,0 days 00:00:04.095328,,,,,,,,,,,,,,,176.0,0.05,9m,1.2000000000000002,1.1,2.0,976.0,336.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.4000000000000001,96.0,,,,,,,,,,,,,,,584,0.05,10m,1.3,1.0,1.9000000000000001,16,224.0,0.025,3m,0.9,1.0,1.9000000000000001,928.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
37,37,0.016756968754083286,2025-06-15 23:15:18.688070,2025-06-15 23:15:19.895892,0 days 00:00:01.207822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,0.025,6m,1.2000000000000002,0.7,1.6,416,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
38,38,1.70799541264555,2025-06-15 23:15:19.980255,2025-06-15 23:15:25.468130,0 days 00:00:05.487875,616.0,0.05,10m,1.2000000000000002,1.3,1.7000000000000002,256.0,,,,,,,,944.0,0.025,7m,0.8,1.0,1.4000000000000001,712.0,208.0,0.025,3m,1.3,0.9,1.6,224.0,,,,,,,,,,,,,,,488,0.05,9m,1.4,0.9,1.5,120,872.0,0.05,5m,1.4,0.7,1.4000000000000001,128.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
39,39,1.3765167530245728,2025-06-15 23:15:25.619739,2025-06-15 23:15:47.427371,0 days 00:00:21.807632,632.0,0.05,10m,1.2000000000000002,1.3,1.7000000000000002,232.0,,,,,,,,1024.0,0.025,7m,0.7,1.0,1.4000000000000001,736.0,216.0,0.025,3m,1.3,1.4,1.6,328.0,744.0,0.05,7m,1.0,1.5,1.1,80.0,1008.0,0.025,10m,1.0,0.5,2.0,40.0,496,0.05,9m,1.4,0.6,1.6,128,888.0,0.05,5m,1.4,0.7,1.4000000000000001,160.0,,,,,,,,472.0,0.025,5m,1.1,1.5,1.4000000000000001,552.0,0.35000000000000003,8,COMPLETE
