,number,value,datetime_start,datetime_complete,duration,params_ADP_PCAR_beta_win,params_ADP_PCAR_stop_loss,params_ADP_PCAR_trade_freq,params_ADP_PCAR_z_entry,params_ADP_PCAR_z_exit,params_ADP_PCAR_z_stop_scaler,params_ADP_PCAR_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CERN_TMUS_beta_win,params_CERN_TMUS_stop_loss,params_CERN_TMUS_trade_freq,params_CERN_TMUS_z_entry,params_CERN_TMUS_z_exit,params_CERN_TMUS_z_stop_scaler,params_CERN_TMUS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CMCSA_MU_beta_win,params_CMCSA_MU_stop_loss,params_CMCSA_MU_trade_freq,params_CMCSA_MU_z_entry,params_CMCSA_MU_z_exit,params_CMCSA_MU_z_stop_scaler,params_CMCSA_MU_z_win,params_CMCSA_PDD_beta_win,params_CMCSA_PDD_stop_loss,params_CMCSA_PDD_trade_freq,params_CMCSA_PDD_z_entry,params_CMCSA_PDD_z_exit,params_CMCSA_PDD_z_stop_scaler,params_CMCSA_PDD_z_win,params_CMCSA_PEP_beta_win,params_CMCSA_PEP_stop_loss,params_CMCSA_PEP_trade_freq,params_CMCSA_PEP_z_entry,params_CMCSA_PEP_z_exit,params_CMCSA_PEP_z_stop_scaler,params_CMCSA_PEP_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_LULU_PDD_beta_win,params_LULU_PDD_stop_loss,params_LULU_PDD_trade_freq,params_LULU_PDD_z_entry,params_LULU_PDD_z_exit,params_LULU_PDD_z_stop_scaler,params_LULU_PDD_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_MRNA_PDD_beta_win,params_MRNA_PDD_stop_loss,params_MRNA_PDD_trade_freq,params_MRNA_PDD_z_entry,params_MRNA_PDD_z_exit,params_MRNA_PDD_z_stop_scaler,params_MRNA_PDD_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_PDD_CHKP_beta_win,params_PDD_CHKP_stop_loss,params_PDD_CHKP_trade_freq,params_PDD_CHKP_z_entry,params_PDD_CHKP_z_exit,params_PDD_CHKP_z_stop_scaler,params_PDD_CHKP_z_win,params_TEAM_ASML_beta_win,params_TEAM_ASML_stop_loss,params_TEAM_ASML_trade_freq,params_TEAM_ASML_z_entry,params_TEAM_ASML_z_exit,params_TEAM_ASML_z_stop_scaler,params_TEAM_ASML_z_win,params_TSLA_ANSS_beta_win,params_TSLA_ANSS_stop_loss,params_TSLA_ANSS_trade_freq,params_TSLA_ANSS_z_entry,params_TSLA_ANSS_z_exit,params_TSLA_ANSS_z_stop_scaler,params_TSLA_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
58,58,0.19362456872249076,2025-06-21 19:08:13.770932,2025-06-21 19:08:18.387016,0 days 00:00:04.616084,,,,,,,,5160.0,0.01,5m,3.0,1.0,2.0,264.0,,,,,,,,6440.0,0.02,5m,2.2,0.8,2.0,448.0,7744.0,0.02,2m,1.0,1.0,1.5,120.0,5296.0,0.015,2m,1.2,0.4,1.0,856.0,,,,,,,,,,,,,,,,,,,,,,2320,0.01,4m,2.4000000000000004,0.2,0.5,320,1856.0,0.015,2m,2.4000000000000004,0.0,0.5,1008.0,4864.0,0.01,2m,2.2,0.0,0.5,384.0,,,,,,,,,,,,,,,6992.0,0.02,4m,2.6,0.8,0.5,176.0,,,,,,,,3632.0,0.015,4m,1.6,0.0,1.0,904.0,,,,,,,,,,,,,,,6640.0,0.01,5m,2.2,0.8,0.5,312.0,0.4,10,COMPLETE
59,59,-0.9937660806338785,2025-06-21 19:08:18.449334,2025-06-21 19:08:22.265922,0 days 00:00:03.816588,,,,,,,,3552.0,0.01,5m,2.8,1.0,2.0,216.0,,,,,,,,5216.0,0.02,5m,2.0,0.8,1.5,392.0,5608.0,0.02,5m,1.2,0.8,1.5,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,0.01,4m,2.6,0.2,0.5,440,2824.0,0.015,5m,2.4000000000000004,0.2,0.5,904.0,3312.0,0.01,2m,1.8,0.4,1.5,208.0,,,,,,,,,,,,,,,5264.0,0.02,4m,2.4000000000000004,0.8,0.5,232.0,,,,,,,,5016.0,0.015,4m,1.2,0.2,0.5,864.0,,,,,,,,,,,,,,,7304.0,0.01,1m,2.4000000000000004,0.8,0.5,168.0,0.5,9,COMPLETE
60,60,-3.626655798044213,2025-06-21 19:08:22.341725,2025-06-21 19:08:26.651532,0 days 00:00:04.309807,,,,,,,,1064.0,0.01,1m,2.6,0.8,1.5,64.0,,,,,,,,6952.0,0.02,5m,2.2,1.0,1.5,528.0,7464.0,0.02,1m,1.4,0.8,1.5,272.0,4128.0,0.02,5m,2.6,1.0,1.5,376.0,,,,,,,,,,,,,,,6848.0,0.02,5m,1.6,0.8,1.5,96.0,2824,0.01,4m,2.8,0.4,0.5,504,2352.0,0.015,2m,3.0,0.0,1.5,752.0,4248.0,0.01,2m,2.4000000000000004,0.2,1.0,64.0,,,,,,,,,,,,,,,5984.0,0.02,4m,1.8,0.8,0.5,152.0,,,,,,,,2368.0,0.015,1m,1.0,0.2,1.0,1024.0,,,,,,,,,,,,,,,7824.0,0.01,1m,2.8,0.6000000000000001,0.5,392.0,0.45,11,COMPLETE
61,61,-0.13842951639145493,2025-06-21 19:08:26.714457,2025-06-21 19:08:29.755441,0 days 00:00:03.040984,,,,,,,,,,,,,,,,,,,,,,6144.0,0.02,5m,2.4000000000000004,1.0,1.5,312.0,6856.0,0.02,5m,1.2,1.0,2.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,0.01,5m,2.2,0.4,0.5,376,3408.0,0.015,2m,2.6,0.0,1.0,728.0,,,,,,,,,,,,,,,,,,,,,,6488.0,0.02,2m,2.0,1.0,0.5,360.0,,,,,,,,2520.0,0.015,3m,1.4,0.4,1.0,976.0,,,,,,,,,,,,,,,7568.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,360.0,0.45,7,COMPLETE
62,62,-0.8905403319068884,2025-06-21 19:08:29.797896,2025-06-21 19:08:33.080131,0 days 00:00:03.282235,,,,,,,,7280.0,0.02,2m,3.0,0.8,2.0,304.0,,,,,,,,4872.0,0.02,5m,2.6,1.0,1.5,200.0,4872.0,0.02,5m,1.2,1.0,1.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.01,5m,2.0,0.2,0.5,136,4440.0,0.015,2m,2.6,0.0,1.5,832.0,,,,,,,,,,,,,,,,,,,,,,5536.0,0.02,2m,2.2,1.0,0.5,96.0,,,,,,,,1048.0,0.015,3m,1.4,0.4,1.0,952.0,,,,,,,,,,,,,,,7904.0,0.01,1m,2.6,0.6000000000000001,0.5,256.0,0.45,8,COMPLETE
63,63,-0.2747443042010037,2025-06-21 19:08:33.156954,2025-06-21 19:08:37.056388,0 days 00:00:03.899434,,,,,,,,3528.0,0.02,5m,2.2,0.6000000000000001,1.5,136.0,,,,,,,,5848.0,0.02,5m,2.2,0.8,1.5,424.0,8192.0,0.02,5m,1.0,0.0,1.5,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,0.01,5m,2.2,0.4,0.5,216,3872.0,0.015,2m,2.4000000000000004,0.0,1.0,960.0,2744.0,0.01,2m,1.6,0.0,1.5,320.0,,,,,,,,,,,,,,,4672.0,0.02,2m,2.2,1.0,0.5,296.0,,,,,,,,2080.0,0.015,3m,1.4,0.0,1.0,768.0,,,,,,,,,,,,,,,7440.0,0.01,1m,2.0,0.8,0.5,336.0,0.5,9,COMPLETE
64,64,0.053807395930078133,2025-06-21 19:08:37.144890,2025-06-21 19:08:39.389256,0 days 00:00:02.244366,,,,,,,,,,,,,,,,,,,,,,5472.0,0.02,5m,2.4000000000000004,1.0,1.5,368.0,7144.0,0.02,5m,1.2,0.0,2.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656,0.01,5m,2.0,0.4,0.5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200.0,0.02,5m,2.0,1.0,0.5,192.0,,,,,,,,1776.0,0.015,4m,1.6,0.2,1.0,992.0,,,,,,,,,,,,,,,6984.0,0.01,2m,2.2,0.6000000000000001,0.5,376.0,0.4,6,COMPLETE
65,65,-0.24872531843168963,2025-06-21 19:08:39.455267,2025-06-21 19:08:43.276165,0 days 00:00:03.820898,,,,,,,,2088.0,0.01,2m,2.4000000000000004,1.0,2.0,112.0,,,,,,,,4176.0,0.02,3m,2.8,0.8,2.0,304.0,6208.0,0.02,5m,1.4,0.6000000000000001,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,0.01,2m,2.2,0.2,0.5,128,3128.0,0.015,2m,2.2,0.0,0.5,560.0,,,,,,,,,,,,,,,,,,,,,,4128.0,0.02,2m,1.8,0.6000000000000001,0.5,424.0,,,,,,,,3024.0,0.015,3m,1.8,0.4,1.5,888.0,,,,,,,,,,,,,,,6600.0,0.01,1m,2.4000000000000004,0.4,0.5,472.0,0.45,8,COMPLETE
66,66,0.824847609877706,2025-06-21 19:08:43.336167,2025-06-21 19:08:46.267672,0 days 00:00:02.931505,,,,,,,,,,,,,,,,,,,,,,6424.0,0.02,5m,2.6,1.0,1.5,264.0,6672.0,0.02,5m,1.0,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664,0.01,5m,2.4000000000000004,0.4,0.5,712,3496.0,0.01,2m,2.8,0.2,1.0,808.0,,,,,,,,,,,,,,,,,,,,,,5840.0,0.02,2m,2.4000000000000004,0.8,0.5,96.0,,,,,,,,2392.0,0.015,3m,1.2,0.2,0.5,832.0,,,,,,,,,,,,,,,7664.0,0.01,5m,2.6,0.6000000000000001,1.0,512.0,0.25,7,COMPLETE
67,67,0.29140665032517515,2025-06-21 19:08:46.339672,2025-06-21 19:08:48.555546,0 days 00:00:02.215874,,,,,,,,,,,,,,,,,,,,,,6616.0,0.02,5m,2.2,0.8,1.5,560.0,7368.0,0.02,5m,1.2,0.8,1.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,0.01,4m,2.2,0.4,0.5,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072.0,0.02,4m,2.6,1.0,0.5,296.0,,,,,,,,1760.0,0.015,3m,1.4,0.4,1.0,928.0,,,,,,,,,,,,,,,,,,,,,,0.5,5,COMPLETE
68,68,-4.52083312247577,2025-06-21 19:08:48.624056,2025-06-21 19:08:56.096875,0 days 00:00:07.472819,,,,,,,,2232.0,0.01,3m,2.8,1.0,1.5,472.0,5776.0,0.015,2m,3.0,0.2,1.5,984.0,5104.0,0.02,5m,2.4000000000000004,1.0,2.0,480.0,7880.0,0.02,2m,1.6,0.0,1.5,360.0,1216.0,0.015,1m,2.2,0.2,0.5,200.0,6624.0,0.01,5m,1.0,0.0,2.0,936.0,7800.0,0.02,5m,2.0,0.8,2.0,72.0,5464.0,0.02,2m,1.8,0.8,0.5,320.0,1072,0.01,5m,2.0,0.0,0.5,640,1192.0,0.015,5m,2.4000000000000004,0.0,1.5,720.0,5152.0,0.01,2m,2.0,0.4,1.0,424.0,7088.0,0.01,3m,1.0,0.0,0.5,128.0,7688.0,0.01,5m,1.0,1.0,0.5,944.0,4864.0,0.02,2m,2.2,0.8,0.5,224.0,7944.0,0.02,3m,3.0,0.0,2.0,408.0,1360.0,0.015,1m,1.8,0.0,1.5,816.0,1512.0,0.02,5m,1.0,0.0,2.0,72.0,,,,,,,,3120.0,0.01,3m,2.4000000000000004,0.8,1.0,272.0,0.45,18,COMPLETE
69,69,-3.625246707404724,2025-06-21 19:08:56.193392,2025-06-21 19:08:59.811338,0 days 00:00:03.617946,,,,,,,,4560.0,0.015,1m,3.0,0.8,2.0,336.0,,,,,,,,7208.0,0.02,2m,2.0,0.8,1.0,208.0,5720.0,0.02,1m,1.0,0.4,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568,0.01,5m,2.4000000000000004,0.2,0.5,112,1960.0,0.015,1m,2.6,0.8,0.5,904.0,2144.0,0.01,3m,2.2,0.2,1.5,592.0,,,,,,,,,,,,,,,5536.0,0.02,2m,2.6,1.0,0.5,344.0,,,,,,,,3408.0,0.015,4m,1.6,0.4,1.0,880.0,,,,,,,,,,,,,,,7120.0,0.01,1m,2.2,0.8,0.5,432.0,0.4,9,COMPLETE
70,70,-0.023562519360416343,2025-06-21 19:08:59.880695,2025-06-21 19:09:01.291393,0 days 00:00:01.410698,,,,,,,,,,,,,,,,,,,,,,6120.0,0.02,3m,3.0,1.0,1.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512,0.01,5m,2.2,0.6000000000000001,1.0,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6656.0,0.02,2m,2.4000000000000004,0.8,0.5,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
71,71,0.15034036069440934,2025-06-21 19:09:01.343735,2025-06-21 19:09:04.481222,0 days 00:00:03.137487,,,,,,,,,,,,,,,,,,,,,,6632.0,0.02,2m,2.2,0.8,1.0,592.0,4264.0,0.02,5m,1.4,0.0,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.01,5m,1.8,0.6000000000000001,0.5,176,6096.0,0.015,2m,2.2,0.2,1.5,760.0,,,,,,,,,,,,,,,,,,,,,,3264.0,0.015,2m,2.0,1.0,0.5,496.0,,,,,,,,2632.0,0.015,3m,2.2,0.6000000000000001,2.0,760.0,,,,,,,,,,,,,,,6008.0,0.01,1m,2.6,0.4,0.5,384.0,0.35000000000000003,7,COMPLETE
72,72,0.5508590012984087,2025-06-21 19:09:04.517056,2025-06-21 19:09:06.656027,0 days 00:00:02.138971,,,,,,,,,,,,,,,,,,,,,,5800.0,0.02,2m,2.6,0.8,1.0,328.0,4368.0,0.02,5m,1.4,0.0,1.5,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,0.01,5m,2.0,0.6000000000000001,0.5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4744.0,0.015,2m,2.0,1.0,0.5,400.0,,,,,,,,2224.0,0.015,3m,1.2,0.2,2.0,720.0,,,,,,,,,,,,,,,5760.0,0.01,1m,2.0,0.4,0.5,328.0,0.4,6,COMPLETE
73,73,0.5386408736398175,2025-06-21 19:09:06.729012,2025-06-21 19:09:10.462566,0 days 00:00:03.733554,,,,,,,,6392.0,0.01,3m,2.4000000000000004,1.0,0.5,520.0,,,,,,,,6312.0,0.02,2m,2.0,0.8,1.0,448.0,3720.0,0.02,5m,1.4,0.0,1.5,416.0,7176.0,0.02,1m,2.8,0.4,1.0,616.0,,,,,,,,,,,,,,,,,,,,,,1632,0.01,5m,2.0,0.6000000000000001,0.5,80,5320.0,0.015,2m,2.0,0.2,1.5,664.0,5368.0,0.015,1m,1.6,0.2,1.0,144.0,,,,,,,,,,,,,,,4472.0,0.015,2m,1.8,1.0,0.5,72.0,,,,,,,,2888.0,0.015,3m,2.0,0.6000000000000001,2.0,912.0,,,,,,,,,,,,,,,7976.0,0.01,1m,2.4000000000000004,0.4,1.0,384.0,0.45,10,COMPLETE
74,74,1.2323902652105185,2025-06-21 19:09:10.510639,2025-06-21 19:09:13.055961,0 days 00:00:02.545322,,,,,,,,,,,,,,,,,,,,,,1048.0,0.02,2m,2.4000000000000004,1.0,1.0,520.0,7024.0,0.02,5m,1.2,0.0,1.5,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,0.01,5m,1.8,0.4,0.5,104,5112.0,0.015,2m,1.0,0.0,1.5,696.0,,,,,,,,,,,,,,,,,,,,,,5144.0,0.015,2m,2.2,1.0,0.5,152.0,,,,,,,,2088.0,0.015,4m,2.0,0.2,2.0,856.0,,,,,,,,,,,,,,,5944.0,0.01,1m,2.8,0.6000000000000001,0.5,304.0,0.35000000000000003,7,COMPLETE
75,75,-1.101139898565188,2025-06-21 19:09:13.122268,2025-06-21 19:09:16.770232,0 days 00:00:03.647964,,,,,,,,7848.0,0.015,5m,2.6,0.6000000000000001,1.5,216.0,,,,,,,,2816.0,0.02,2m,2.4000000000000004,1.0,1.0,520.0,6936.0,0.02,5m,1.2,0.0,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096,0.01,2m,2.0,0.4,0.5,112,4984.0,0.015,4m,1.4,0.0,1.5,816.0,,,,,,,,,,,,,,,,,,,,,,5168.0,0.015,5m,2.2,1.0,0.5,152.0,,,,,,,,1952.0,0.015,4m,1.8,0.2,2.0,952.0,,,,,,,,,,,,,,,6520.0,0.01,1m,2.8,0.6000000000000001,0.5,296.0,0.45,8,COMPLETE
76,76,1.2322954310509477,2025-06-21 19:09:16.841521,2025-06-21 19:09:19.654688,0 days 00:00:02.813167,,,,,,,,,,,,,,,,,,,,,,2160.0,0.02,5m,2.2,1.0,1.5,400.0,7680.0,0.02,4m,1.0,0.2,1.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,0.01,4m,1.8,0.4,0.5,240,4464.0,0.015,2m,1.2,0.0,1.0,600.0,,,,,,,,,,,,,,,,,,,,,,5440.0,0.02,2m,2.4000000000000004,0.8,0.5,232.0,,,,,,,,1256.0,0.015,4m,2.0,0.2,1.5,208.0,,,,,,,,,,,,,,,6944.0,0.01,2m,2.8,0.6000000000000001,0.5,128.0,0.4,7,COMPLETE
77,77,-2.152467768455004,2025-06-21 19:09:19.719372,2025-06-21 19:09:24.266414,0 days 00:00:04.547042,,,,,,,,4064.0,0.02,2m,2.0,0.8,2.0,416.0,,,,,,,,1184.0,0.02,2m,2.4000000000000004,1.0,1.0,384.0,7728.0,0.02,4m,1.0,0.2,1.5,296.0,2312.0,0.015,3m,1.8,0.6000000000000001,1.5,400.0,,,,,,,,,,,,,,,2336.0,0.015,1m,1.0,0.6000000000000001,2.0,576.0,1816,0.01,4m,1.8,0.2,0.5,256,4448.0,0.015,2m,1.0,0.0,1.5,600.0,4440.0,0.01,2m,2.4000000000000004,0.4,1.5,264.0,,,,,,,,,,,,,,,4992.0,0.02,4m,2.4000000000000004,0.6000000000000001,2.0,232.0,,,,,,,,1208.0,0.015,4m,2.0,0.2,1.5,112.0,,,,,,,,,,,,,,,6888.0,0.01,2m,3.0,0.6000000000000001,0.5,128.0,0.35000000000000003,11,COMPLETE
78,78,0.26494534983822193,2025-06-21 19:09:24.340222,2025-06-21 19:09:26.504219,0 days 00:00:02.163997,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,5m,2.2,1.0,2.0,424.0,7912.0,0.02,4m,1.0,0.2,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,0.01,4m,1.6,0.4,1.0,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416.0,0.02,2m,2.2,0.8,0.5,176.0,,,,,,,,1632.0,0.015,4m,2.0,0.2,2.0,280.0,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
79,79,-0.0385658655730075,2025-06-21 19:09:26.572662,2025-06-21 19:09:29.118995,0 days 00:00:02.546333,,,,,,,,,,,,,,,,,,,,,,2360.0,0.02,2m,2.2,1.0,1.5,600.0,7376.0,0.02,4m,1.0,0.2,1.5,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,0.01,4m,2.0,0.4,0.5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6312.0,0.015,3m,2.4000000000000004,0.8,0.5,112.0,,,,,,,,1288.0,0.015,4m,2.2,0.0,1.5,176.0,,,,,,,,,,,,,,,5192.0,0.01,2m,2.8,0.6000000000000001,0.5,208.0,0.35000000000000003,6,COMPLETE
80,80,-1.8216184029001405,2025-06-21 19:09:29.184689,2025-06-21 19:09:32.785573,0 days 00:00:03.600884,,,,,,,,5504.0,0.015,3m,2.2,0.6000000000000001,1.5,88.0,,,,,,,,1520.0,0.02,5m,2.0,0.6000000000000001,1.0,496.0,7544.0,0.02,4m,1.2,0.0,1.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3248,0.01,4m,1.8,0.4,0.5,392,4200.0,0.015,2m,1.0,1.0,1.0,512.0,3832.0,0.01,5m,2.0,0.0,0.5,336.0,,,,,,,,,,,,,,,4432.0,0.02,2m,2.6,0.4,0.5,144.0,,,,,,,,1488.0,0.015,4m,2.2,0.2,2.0,424.0,,,,,,,,,,,,,,,6104.0,0.01,2m,3.0,0.8,0.5,136.0,0.3,9,COMPLETE
81,81,0.6626310617778761,2025-06-21 19:09:32.850605,2025-06-21 19:09:35.917520,0 days 00:00:03.066915,,,,,,,,,,,,,,,,,,,,,,1928.0,0.02,5m,2.4000000000000004,1.0,1.5,280.0,7064.0,0.02,5m,1.2,0.0,1.5,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,0.01,5m,2.2,0.4,0.5,224,3872.0,0.015,2m,1.2,0.0,1.0,704.0,,,,,,,,,,,,,,,,,,,,,,5680.0,0.02,2m,2.4000000000000004,0.8,0.5,192.0,,,,,,,,2272.0,0.015,4m,2.0,0.4,2.0,856.0,,,,,,,,,,,,,,,7192.0,0.01,1m,2.8,0.6000000000000001,0.5,416.0,0.4,7,COMPLETE
82,82,-0.7545663505870126,2025-06-21 19:09:36.012554,2025-06-21 19:09:38.781763,0 days 00:00:02.769209,,,,,,,,,,,,,,,,,,,,,,3224.0,0.02,5m,2.6,1.0,1.5,328.0,6528.0,0.02,5m,1.2,0.0,1.5,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528,0.01,5m,1.8,0.4,0.5,96,4696.0,0.015,2m,1.2,0.0,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,5912.0,0.02,2m,2.2,1.0,0.5,280.0,,,,,,,,1800.0,0.015,3m,1.0,0.4,2.0,536.0,,,,,,,,,,,,,,,7584.0,0.01,2m,2.6,0.6000000000000001,0.5,352.0,0.45,7,COMPLETE
83,83,0.7323529764209039,2025-06-21 19:09:38.854255,2025-06-21 19:09:42.332622,0 days 00:00:03.478367,,,,,,,,1440.0,0.01,5m,3.0,0.8,1.0,256.0,,,,,,,,3488.0,0.02,5m,2.4000000000000004,1.0,1.5,368.0,7272.0,0.02,5m,1.0,0.0,1.5,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,0.01,1m,2.2,0.4,0.5,760,4992.0,0.015,2m,1.0,0.0,1.0,608.0,,,,,,,,,,,,,,,,,,,,,,5392.0,0.02,2m,2.2,1.0,0.5,320.0,,,,,,,,1992.0,0.015,4m,1.6,0.2,1.5,1008.0,,,,,,,,,,,,,,,6824.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,288.0,0.4,8,COMPLETE
84,84,-0.4965265247830471,2025-06-21 19:09:42.389307,2025-06-21 19:09:45.036940,0 days 00:00:02.647633,,,,,,,,,,,,,,,,,,,,,,1024.0,0.02,5m,2.2,1.0,1.5,544.0,6104.0,0.02,4m,1.2,0.0,1.5,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,0.01,5m,2.0,0.2,0.5,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5648.0,0.02,2m,2.4000000000000004,0.8,0.5,216.0,,,,,,,,2192.0,0.015,3m,1.8,0.2,2.0,952.0,,,,,,,,,,,,,,,6352.0,0.01,3m,2.6,0.6000000000000001,0.5,320.0,0.45,6,COMPLETE
85,85,-0.09960450797672026,2025-06-21 19:09:45.101097,2025-06-21 19:09:47.117788,0 days 00:00:02.016691,,,,,,,,,,,,,,,,,,,,,,5592.0,0.02,1m,2.6,1.0,1.5,416.0,4808.0,0.02,5m,1.0,0.0,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,0.01,5m,2.4000000000000004,0.4,0.5,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104.0,0.02,2m,2.2,1.0,0.5,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
86,86,1.6690898108399104,2025-06-21 19:09:47.169087,2025-06-21 19:09:50.612784,0 days 00:00:03.443697,,,,,,,,3224.0,0.01,3m,2.4000000000000004,1.0,2.0,584.0,,,,,,,,2168.0,0.02,5m,2.8,1.0,1.0,456.0,6728.0,0.02,5m,1.0,0.2,1.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,0.01,4m,2.2,0.4,0.5,512,2992.0,0.015,2m,2.4000000000000004,0.0,1.0,848.0,3232.0,0.015,5m,2.6,0.0,1.0,448.0,,,,,,,,,,,,,,,6064.0,0.02,2m,2.6,0.6000000000000001,0.5,64.0,,,,,,,,2496.0,0.015,1m,1.4,0.2,1.0,784.0,,,,,,,,,,,,,,,7960.0,0.01,1m,2.2,0.6000000000000001,0.5,176.0,0.4,9,COMPLETE
87,87,0.7841764225500365,2025-06-21 19:09:50.676974,2025-06-21 19:09:54.894227,0 days 00:00:04.217253,,,,,,,,3120.0,0.01,3m,2.4000000000000004,1.0,2.0,672.0,,,,,,,,2488.0,0.02,2m,2.8,0.8,1.0,480.0,6272.0,0.02,2m,1.0,0.4,1.0,560.0,5656.0,0.01,5m,1.2,1.0,0.5,776.0,,,,,,,,,,,,,,,,,,,,,,1640,0.01,4m,2.6,0.2,0.5,456,2912.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.5,840.0,3304.0,0.015,5m,2.4000000000000004,0.0,1.0,472.0,,,,,,,,,,,,,,,6248.0,0.02,2m,2.6,0.6000000000000001,0.5,88.0,,,,,,,,2576.0,0.015,1m,2.0,0.2,2.0,800.0,,,,,,,,,,,,,,,4408.0,0.01,1m,2.2,0.8,0.5,112.0,0.35000000000000003,10,COMPLETE
