,number,value,datetime_start,datetime_complete,duration,params_AAPL_CTAS_beta_win,params_AAPL_CTAS_stop_loss,params_AAPL_CTAS_trade_freq,params_AAPL_CTAS_z_entry,params_AAPL_CTAS_z_exit,params_AAPL_CTAS_z_stop_scaler,params_AAPL_CTAS_z_win,params_AAPL_META_beta_win,params_AAPL_META_stop_loss,params_AAPL_META_trade_freq,params_AAPL_META_z_entry,params_AAPL_META_z_exit,params_AAPL_META_z_stop_scaler,params_AAPL_META_z_win,params_ABNB_ADI_beta_win,params_ABNB_ADI_stop_loss,params_ABNB_ADI_trade_freq,params_ABNB_ADI_z_entry,params_ABNB_ADI_z_exit,params_ABNB_ADI_z_stop_scaler,params_ABNB_ADI_z_win,params_ADBE_DXCM_beta_win,params_ADBE_DXCM_stop_loss,params_ADBE_DXCM_trade_freq,params_ADBE_DXCM_z_entry,params_ADBE_DXCM_z_exit,params_ADBE_DXCM_z_stop_scaler,params_ADBE_DXCM_z_win,params_ADBE_WDAY_beta_win,params_ADBE_WDAY_stop_loss,params_ADBE_WDAY_trade_freq,params_ADBE_WDAY_z_entry,params_ADBE_WDAY_z_exit,params_ADBE_WDAY_z_stop_scaler,params_ADBE_WDAY_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_COST_DXCM_beta_win,params_COST_DXCM_stop_loss,params_COST_DXCM_trade_freq,params_COST_DXCM_z_entry,params_COST_DXCM_z_exit,params_COST_DXCM_z_stop_scaler,params_COST_DXCM_z_win,params_CSCO_ADI_beta_win,params_CSCO_ADI_stop_loss,params_CSCO_ADI_trade_freq,params_CSCO_ADI_z_entry,params_CSCO_ADI_z_exit,params_CSCO_ADI_z_stop_scaler,params_CSCO_ADI_z_win,params_CSGP_DXCM_beta_win,params_CSGP_DXCM_stop_loss,params_CSGP_DXCM_trade_freq,params_CSGP_DXCM_z_entry,params_CSGP_DXCM_z_exit,params_CSGP_DXCM_z_stop_scaler,params_CSGP_DXCM_z_win,params_CSX_DXCM_beta_win,params_CSX_DXCM_stop_loss,params_CSX_DXCM_trade_freq,params_CSX_DXCM_z_entry,params_CSX_DXCM_z_exit,params_CSX_DXCM_z_stop_scaler,params_CSX_DXCM_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_NFLX_DXCM_beta_win,params_NFLX_DXCM_stop_loss,params_NFLX_DXCM_trade_freq,params_NFLX_DXCM_z_entry,params_NFLX_DXCM_z_exit,params_NFLX_DXCM_z_stop_scaler,params_NFLX_DXCM_z_win,params_SIRI_ADI_beta_win,params_SIRI_ADI_stop_loss,params_SIRI_ADI_trade_freq,params_SIRI_ADI_z_entry,params_SIRI_ADI_z_exit,params_SIRI_ADI_z_stop_scaler,params_SIRI_ADI_z_win,params_TTD_CTAS_beta_win,params_TTD_CTAS_stop_loss,params_TTD_CTAS_trade_freq,params_TTD_CTAS_z_entry,params_TTD_CTAS_z_exit,params_TTD_CTAS_z_stop_scaler,params_TTD_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
76,76,0.7496243831279673,2025-06-21 19:32:43.753933,2025-06-21 19:32:46.257124,0 days 00:00:02.503191,,,,,,,,6248.0,0.015,4m,1.2,0.0,0.5,248.0,,,,,,,,,,,,,,,3520.0,0.015,4m,2.0,0.8,0.5,480.0,3312.0,0.02,3m,3.0,0.2,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912.0,0.01,2m,2.6,0.2,2.0,896.0,6624,0.02,5m,1.4,0.4,0.5,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3576.0,0.02,5m,2.4000000000000004,0.0,2.0,848.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
77,77,0.6287247655587255,2025-06-21 19:32:46.327231,2025-06-21 19:32:49.981247,0 days 00:00:03.654016,3960.0,0.01,4m,3.0,0.4,1.5,240.0,4624.0,0.015,4m,1.0,0.0,1.0,120.0,,,,,,,,,,,,,,,4272.0,0.015,5m,1.6,1.0,0.5,568.0,2488.0,0.02,1m,2.8,0.2,1.5,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.5,848.0,7952,0.02,5m,2.0,0.6000000000000001,0.5,472,,,,,,,,5768.0,0.01,5m,1.0,0.2,0.5,728.0,,,,,,,,,,,,,,,2352.0,0.015,4m,2.8,0.2,1.5,968.0,,,,,,,,,,,,,,,0.4,8,COMPLETE
78,78,0.1364155893646544,2025-06-21 19:32:50.066401,2025-06-21 19:32:52.531656,0 days 00:00:02.465255,,,,,,,,3544.0,0.015,4m,1.6,0.2,0.5,208.0,,,,,,,,,,,,,,,2992.0,0.015,4m,2.4000000000000004,0.8,0.5,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,0.02,5m,2.8,0.2,2.0,168.0,1808,0.02,3m,1.8,0.4,0.5,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776.0,0.02,3m,2.2,0.2,1.5,912.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
79,79,-0.8175252210253233,2025-06-21 19:32:52.599012,2025-06-21 19:33:02.703972,0 days 00:00:10.104960,3696.0,0.02,2m,2.2,0.6000000000000001,1.5,88.0,7600.0,0.015,2m,1.4,0.0,1.5,288.0,,,,,,,,,,,,,,,3776.0,0.015,2m,1.8,1.0,0.5,528.0,1728.0,0.02,1m,2.6,0.4,1.5,360.0,2184.0,0.02,1m,1.2,0.0,0.5,1024.0,,,,,,,,,,,,,,,5744.0,0.02,4m,1.4,0.2,2.0,320.0,,,,,,,,1688.0,0.02,1m,2.2,1.0,2.0,296.0,7240,0.02,5m,3.0,0.4,0.5,552,,,,,,,,7576.0,0.01,5m,1.8,0.0,0.5,640.0,,,,,,,,,,,,,,,5264.0,0.02,5m,2.8,0.0,2.0,816.0,,,,,,,,8040.0,0.01,5m,2.8,0.6000000000000001,0.5,168.0,0.35000000000000003,11,COMPLETE
80,80,-0.0475434441036592,2025-06-21 19:33:02.842370,2025-06-21 19:33:05.527620,0 days 00:00:02.685250,,,,,,,,1512.0,0.015,5m,3.0,0.0,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4624,0.02,2m,1.2,0.6000000000000001,0.5,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.0,0.02,5m,2.6,0.6000000000000001,1.5,1000.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
81,81,-0.44190579522608525,2025-06-21 19:33:05.622609,2025-06-21 19:33:09.822805,0 days 00:00:04.200196,4976.0,0.015,5m,2.6,0.8,1.0,472.0,5184.0,0.015,3m,1.2,0.2,0.5,544.0,,,,,,,,,,,,,,,3264.0,0.015,4m,2.2,1.0,1.0,608.0,1432.0,0.02,1m,3.0,0.4,1.5,560.0,3720.0,0.015,2m,2.2,0.2,1.0,240.0,,,,,,,,,,,,,,,6144.0,0.02,2m,1.4,0.4,1.5,208.0,,,,,,,,5392.0,0.02,2m,2.8,0.4,2.0,936.0,7720,0.01,2m,2.6,0.6000000000000001,1.0,416,,,,,,,,4096.0,0.01,1m,1.2,0.4,2.0,776.0,,,,,,,,,,,,,,,3016.0,0.02,1m,2.8,0.0,1.0,992.0,,,,,,,,,,,,,,,0.25,10,COMPLETE
82,82,-0.6090986327836331,2025-06-21 19:33:09.899404,2025-06-21 19:33:12.499737,0 days 00:00:02.600333,,,,,,,,5528.0,0.015,3m,1.2,0.4,0.5,496.0,,,,,,,,,,,,,,,3088.0,0.015,4m,2.0,1.0,0.5,616.0,2192.0,0.02,1m,3.0,0.4,1.5,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128.0,0.02,2m,2.8,0.4,2.0,776.0,6432,0.01,2m,1.4,0.6000000000000001,0.5,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3688.0,0.02,1m,3.0,0.0,0.5,944.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
83,83,0.6782426816235672,2025-06-21 19:33:12.556944,2025-06-21 19:33:15.996190,0 days 00:00:03.439246,5912.0,0.015,1m,2.4000000000000004,0.8,1.0,528.0,5896.0,0.015,4m,1.0,0.0,0.5,456.0,,,,,,,,,,,,,,,2680.0,0.015,4m,2.0,0.8,1.0,576.0,2704.0,0.02,2m,2.8,0.2,1.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,0.02,2m,2.6,0.4,2.0,952.0,7448,0.02,2m,2.4000000000000004,0.4,1.0,272,,,,,,,,3384.0,0.01,3m,1.6,0.6000000000000001,1.5,864.0,,,,,,,,,,,,,,,3240.0,0.02,1m,2.8,1.0,0.5,1024.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
84,84,0.44631687963988315,2025-06-21 19:33:16.043860,2025-06-21 19:33:19.254816,0 days 00:00:03.210956,5288.0,0.015,4m,2.8,1.0,1.0,736.0,5016.0,0.015,4m,1.2,0.2,0.5,168.0,,,,,,,,,,,,,,,3432.0,0.015,1m,1.8,1.0,0.5,720.0,1808.0,0.02,1m,3.0,0.4,2.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856.0,0.02,2m,3.0,0.4,2.0,808.0,5896,0.02,2m,1.8,0.6000000000000001,0.5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568.0,0.02,5m,2.6,0.0,1.0,80.0,,,,,,,,,,,,,,,0.3,7,COMPLETE
85,85,0.3172357176595222,2025-06-21 19:33:19.321055,2025-06-21 19:33:21.287614,0 days 00:00:01.966559,,,,,,,,6336.0,0.02,3m,1.4,0.0,0.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016.0,0.02,4m,2.6,0.6000000000000001,2.0,344.0,8032,0.02,2m,2.6,0.4,0.5,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7112.0,0.02,3m,1.2,0.0,0.5,896.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
86,86,0.13907676936627245,2025-06-21 19:33:21.357040,2025-06-21 19:33:23.438466,0 days 00:00:02.081426,,,,,,,,4536.0,0.015,4m,1.2,0.4,0.5,88.0,,,,,,,,,,,,,,,3912.0,0.015,4m,2.2,0.6000000000000001,0.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.0,0.02,2m,2.8,0.2,1.5,1000.0,6240,0.01,1m,1.6,0.8,0.5,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968.0,0.01,5m,3.0,0.0,1.5,1000.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
87,87,0.4623999619808337,2025-06-21 19:33:23.519853,2025-06-21 19:33:26.906762,0 days 00:00:03.386909,4808.0,0.015,5m,2.2,0.6000000000000001,1.0,168.0,6912.0,0.015,4m,1.0,0.2,0.5,464.0,,,,,,,,,,,,,,,2296.0,0.01,5m,2.0,1.0,1.0,544.0,1064.0,0.02,5m,2.8,0.0,1.5,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624.0,0.02,2m,2.4000000000000004,0.4,2.0,192.0,7616,0.02,5m,2.2,0.6000000000000001,2.0,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112.0,0.02,4m,2.6,0.0,1.5,968.0,,,,,,,,,,,,,,,0.45,7,COMPLETE
88,88,-1.1669371471017211,2025-06-21 19:33:26.993302,2025-06-21 19:33:30.420772,0 days 00:00:03.427470,6632.0,0.01,4m,2.6,0.8,0.5,440.0,5968.0,0.015,1m,1.4,0.0,0.5,320.0,,,,,,,,,,,,,,,1496.0,0.015,2m,1.6,0.8,0.5,632.0,2112.0,0.02,3m,2.4000000000000004,0.4,2.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720.0,0.02,2m,3.0,0.2,1.0,848.0,6880,0.02,5m,2.0,0.6000000000000001,0.5,392,,,,,,,,3104.0,0.015,4m,1.4,0.6000000000000001,1.0,696.0,,,,,,,,,,,,,,,4456.0,0.02,5m,2.8,0.0,1.0,944.0,,,,,,,,,,,,,,,0.2,8,COMPLETE
89,89,-0.25413072256434144,2025-06-21 19:33:30.492235,2025-06-21 19:33:33.097089,0 days 00:00:02.604854,,,,,,,,3784.0,0.015,4m,1.2,0.0,1.0,432.0,,,,,,,,,,,,,,,4384.0,0.015,1m,2.0,1.0,0.5,584.0,1528.0,0.02,1m,3.0,0.2,1.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288.0,0.02,2m,1.0,0.4,2.0,104.0,7072,0.02,2m,1.4,0.4,1.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,1m,3.0,0.2,1.5,872.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
90,90,-2.776649199436468,2025-06-21 19:33:33.174118,2025-06-21 19:33:37.928332,0 days 00:00:04.754214,3040.0,0.015,5m,3.0,1.0,1.5,568.0,4312.0,0.015,5m,1.0,0.0,0.5,240.0,,,,,,,,,,,,,,,4784.0,0.015,4m,1.8,1.0,1.0,512.0,2872.0,0.02,5m,2.8,0.6000000000000001,1.5,232.0,2904.0,0.02,3m,1.6,0.4,0.5,672.0,,,,,,,,,,,,,,,4928.0,0.02,5m,1.2,0.0,2.0,376.0,,,,,,,,3544.0,0.02,5m,2.6,0.2,2.0,912.0,7808,0.02,3m,2.6,0.8,1.0,464,,,,,,,,3752.0,0.01,5m,1.0,0.4,1.0,976.0,,,,,,,,,,,,,,,1720.0,0.015,5m,2.8,0.0,1.0,1008.0,,,,,,,,5952.0,0.01,2m,1.2,0.2,1.0,392.0,0.35000000000000003,11,COMPLETE
91,91,1.1469558071860164,2025-06-21 19:33:37.991587,2025-06-21 19:33:39.299473,0 days 00:00:01.307886,,,,,,,,6448.0,0.015,4m,1.6,0.2,0.5,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,0.02,5m,1.2,0.4,0.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696.0,0.02,3m,2.8,0.0,2.0,896.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
92,92,0.7573700394405213,2025-06-21 19:33:39.378949,2025-06-21 19:33:40.445451,0 days 00:00:01.066502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112,0.02,5m,1.2,0.4,0.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,0.02,3m,2.6,0.0,2.0,912.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
93,93,0.8571686889534551,2025-06-21 19:33:40.523016,2025-06-21 19:33:42.136351,0 days 00:00:01.613335,,,,,,,,6576.0,0.015,4m,1.8,0.2,0.5,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,0.02,5m,1.0,0.4,0.5,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4120.0,0.02,3m,2.4000000000000004,0.0,2.0,968.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
94,94,-0.5010124533824739,2025-06-21 19:33:42.221167,2025-06-21 19:33:49.944392,0 days 00:00:07.723225,5752.0,0.015,4m,2.4000000000000004,0.8,2.0,688.0,6784.0,0.015,4m,1.6,0.2,0.5,552.0,,,,,,,,1744.0,0.015,2m,1.8,0.0,2.0,376.0,5264.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,760.0,5912.0,0.02,1m,3.0,0.4,2.0,280.0,4416.0,0.02,1m,2.0,1.0,1.0,64.0,,,,,,,,,,,,,,,5344.0,0.02,5m,2.0,0.2,0.5,104.0,,,,,,,,1544.0,0.02,3m,2.0,0.6000000000000001,1.5,968.0,7400,0.02,5m,1.2,0.4,0.5,424,8064.0,0.015,5m,3.0,0.0,2.0,168.0,6568.0,0.015,5m,1.8,0.8,1.5,592.0,,,,,,,,,,,,,,,2816.0,0.02,3m,2.8,0.0,2.0,984.0,,,,,,,,5016.0,0.02,2m,1.4,0.4,0.5,936.0,0.45,13,COMPLETE
95,95,0.889897760224234,2025-06-21 19:33:50.089020,2025-06-21 19:33:54.049899,0 days 00:00:03.960879,,,,,,,,4744.0,0.015,4m,1.4,0.4,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,0.02,2m,2.8,0.2,2.0,600.0,7784,0.02,5m,1.2,0.6000000000000001,0.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208.0,0.02,3m,2.6,0.0,2.0,840.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
96,96,-100.0,2025-06-21 19:33:54.214090,2025-06-21 19:33:55.143945,0 days 00:00:00.929855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7592,0.02,5m,2.8,0.4,0.5,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
97,97,0.843521541164648,2025-06-21 19:33:55.279130,2025-06-21 19:33:59.487585,0 days 00:00:04.208455,7888.0,0.015,2m,2.0,0.6000000000000001,1.0,392.0,5576.0,0.015,2m,1.8,0.0,0.5,208.0,,,,,,,,,,,,,,,3656.0,0.015,4m,1.8,1.0,0.5,456.0,5064.0,0.015,5m,2.6,0.0,1.5,160.0,,,,,,,,,,,,,,,,,,,,,,4672.0,0.02,3m,2.0,0.4,1.0,184.0,,,,,,,,3120.0,0.015,2m,2.6,0.4,0.5,752.0,8000,0.02,2m,1.4,0.2,0.5,280,,,,,,,,1120.0,0.01,3m,1.4,0.8,1.0,464.0,,,,,,,,,,,,,,,2016.0,0.02,4m,3.0,0.0,1.5,920.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
98,98,-0.07514951402639719,2025-06-21 19:33:59.577098,2025-06-21 19:34:02.050455,0 days 00:00:02.473357,,,,,,,,7192.0,0.015,4m,2.0,0.2,2.0,624.0,,,,,,,,,,,,,,,2648.0,0.015,4m,2.2,0.8,0.5,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.0,0.02,4m,2.4000000000000004,0.0,2.0,688.0,3376,0.02,5m,1.6,0.6000000000000001,0.5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272.0,0.02,5m,2.8,0.0,1.5,872.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
99,99,-0.17218473842050794,2025-06-21 19:34:02.122978,2025-06-21 19:34:04.851690,0 days 00:00:02.728712,,,,,,,,6104.0,0.015,3m,1.2,0.0,0.5,384.0,,,,,,,,,,,,,,,4128.0,0.01,1m,1.6,1.0,1.0,560.0,2352.0,0.02,2m,2.4000000000000004,0.2,1.5,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4512.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.5,440.0,7248,0.01,5m,1.0,0.4,0.5,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008.0,0.02,3m,2.6,0.2,1.5,944.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
100,100,0.5891452078765778,2025-06-21 19:34:04.924655,2025-06-21 19:34:06.416555,0 days 00:00:01.491900,,,,,,,,6288.0,0.015,4m,1.6,0.2,0.5,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624,0.015,2m,2.4000000000000004,0.6000000000000001,0.5,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2504.0,0.01,2m,1.6,0.0,1.5,656.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
101,101,0.2037071577959194,2025-06-21 19:34:06.490553,2025-06-21 19:34:07.564187,0 days 00:00:01.073634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808,0.02,5m,1.2,0.4,0.5,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552.0,0.02,3m,2.8,0.0,2.0,888.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
102,102,0.4655091456972882,2025-06-21 19:34:07.635703,2025-06-21 19:34:09.289580,0 days 00:00:01.653877,,,,,,,,6456.0,0.015,4m,1.6,0.2,0.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,0.02,5m,1.4,0.4,0.5,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464.0,0.02,3m,2.8,0.0,2.0,896.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
103,103,0.8827389742342466,2025-06-21 19:34:09.359042,2025-06-21 19:34:11.097037,0 days 00:00:01.737995,,,,,,,,6928.0,0.015,4m,1.8,0.2,0.5,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,0.02,2m,1.4,0.8,2.0,936.0,7848,0.02,5m,1.2,0.4,0.5,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904.0,0.02,3m,3.0,0.0,2.0,784.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
104,104,-0.5098455329481358,2025-06-21 19:34:11.169649,2025-06-21 19:34:13.363340,0 days 00:00:02.193691,,,,,,,,6504.0,0.015,4m,1.6,0.2,0.5,448.0,,,,,,,,,,,,,,,7792.0,0.015,3m,2.0,1.0,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,0.02,1m,2.6,0.2,1.0,288.0,7384,0.02,5m,1.0,0.4,0.5,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648.0,0.02,3m,2.8,0.0,2.0,1008.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
105,105,1.1141768807908474,2025-06-21 19:34:13.436856,2025-06-21 19:34:14.881750,0 days 00:00:01.444894,,,,,,,,6656.0,0.015,4m,2.2,0.0,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7696,0.02,5m,1.4,0.4,0.5,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.0,0.02,5m,2.6,0.0,2.0,984.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
106,106,0.3760881593524195,2025-06-21 19:34:14.944702,2025-06-21 19:34:15.578189,0 days 00:00:00.633487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7168,0.02,5m,1.4,0.4,0.5,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
107,107,0.6352611312120378,2025-06-21 19:34:15.658752,2025-06-21 19:34:17.577636,0 days 00:00:01.918884,,,,,,,,6696.0,0.015,4m,2.2,0.0,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056.0,0.02,2m,2.8,0.4,2.0,504.0,7992,0.02,5m,1.6,0.6000000000000001,0.5,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.0,0.02,5m,2.6,0.0,2.0,984.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
108,108,-2.9561982179182658,2025-06-21 19:34:17.638639,2025-06-21 19:34:21.925482,0 days 00:00:04.286843,4504.0,0.01,1m,2.8,1.0,0.5,632.0,4120.0,0.015,4m,2.2,0.0,0.5,528.0,,,,,,,,,,,,,,,5800.0,0.02,4m,1.4,0.8,0.5,664.0,1344.0,0.02,1m,1.0,0.4,1.5,136.0,7792.0,0.015,3m,2.0,0.8,0.5,136.0,,,,,,,,,,,,,,,7568.0,0.02,2m,1.6,0.2,1.5,264.0,,,,,,,,2648.0,0.02,2m,2.2,0.0,1.5,888.0,8064,0.02,1m,1.4,0.4,1.5,408,,,,,,,,4856.0,0.015,1m,2.2,0.6000000000000001,2.0,360.0,,,,,,,,,,,,,,,2360.0,0.02,5m,2.4000000000000004,0.0,1.5,1024.0,,,,,,,,,,,,,,,0.1,10,COMPLETE
109,109,-0.7203197579179448,2025-06-21 19:34:22.010304,2025-06-21 19:34:26.882540,0 days 00:00:04.872236,7536.0,0.02,5m,2.6,0.4,1.5,512.0,4984.0,0.015,4m,2.0,0.0,0.5,160.0,,,,,,,,2288.0,0.01,3m,2.8,1.0,1.5,64.0,1816.0,0.015,4m,1.8,1.0,0.5,536.0,6696.0,0.02,5m,3.0,0.2,2.0,200.0,2400.0,0.015,2m,1.6,0.0,1.0,504.0,,,,,,,,,,,,,,,6216.0,0.02,4m,1.8,0.0,2.0,560.0,,,,,,,,2408.0,0.015,3m,3.0,0.2,2.0,848.0,7456,0.02,4m,2.2,0.2,0.5,512,,,,,,,,4392.0,0.01,4m,1.2,0.2,1.0,1016.0,,,,,,,,,,,,,,,2920.0,0.02,5m,2.4000000000000004,0.0,0.5,968.0,,,,,,,,4536.0,0.01,1m,1.2,0.0,1.0,520.0,0.05,12,COMPLETE
