,number,value,datetime_start,datetime_complete,duration,params_ADP_ZS_beta_win,params_ADP_ZS_stop_loss,params_ADP_ZS_trade_freq,params_ADP_ZS_z_entry,params_ADP_ZS_z_exit,params_ADP_ZS_z_stop_scaler,params_ADP_ZS_z_win,params_AMGN_PDD_beta_win,params_AMGN_PDD_stop_loss,params_AMGN_PDD_trade_freq,params_AMGN_PDD_z_entry,params_AMGN_PDD_z_exit,params_AMGN_PDD_z_stop_scaler,params_AMGN_PDD_z_win,params_AMZN_LULU_beta_win,params_AMZN_LULU_stop_loss,params_AMZN_LULU_trade_freq,params_AMZN_LULU_z_entry,params_AMZN_LULU_z_exit,params_AMZN_LULU_z_stop_scaler,params_AMZN_LULU_z_win,params_ANSS_GFS_beta_win,params_ANSS_GFS_stop_loss,params_ANSS_GFS_trade_freq,params_ANSS_GFS_z_entry,params_ANSS_GFS_z_exit,params_ANSS_GFS_z_stop_scaler,params_ANSS_GFS_z_win,params_CSCO_KLAC_beta_win,params_CSCO_KLAC_stop_loss,params_CSCO_KLAC_trade_freq,params_CSCO_KLAC_z_entry,params_CSCO_KLAC_z_exit,params_CSCO_KLAC_z_stop_scaler,params_CSCO_KLAC_z_win,params_CSX_MDB_beta_win,params_CSX_MDB_stop_loss,params_CSX_MDB_trade_freq,params_CSX_MDB_z_entry,params_CSX_MDB_z_exit,params_CSX_MDB_z_stop_scaler,params_CSX_MDB_z_win,params_CSX_SNPS_beta_win,params_CSX_SNPS_stop_loss,params_CSX_SNPS_trade_freq,params_CSX_SNPS_z_entry,params_CSX_SNPS_z_exit,params_CSX_SNPS_z_stop_scaler,params_CSX_SNPS_z_win,params_CTSH_IDXX_beta_win,params_CTSH_IDXX_stop_loss,params_CTSH_IDXX_trade_freq,params_CTSH_IDXX_z_entry,params_CTSH_IDXX_z_exit,params_CTSH_IDXX_z_stop_scaler,params_CTSH_IDXX_z_win,params_CTSH_LRCX_beta_win,params_CTSH_LRCX_stop_loss,params_CTSH_LRCX_trade_freq,params_CTSH_LRCX_z_entry,params_CTSH_LRCX_z_exit,params_CTSH_LRCX_z_stop_scaler,params_CTSH_LRCX_z_win,params_DXCM_ISRG_beta_win,params_DXCM_ISRG_stop_loss,params_DXCM_ISRG_trade_freq,params_DXCM_ISRG_z_entry,params_DXCM_ISRG_z_exit,params_DXCM_ISRG_z_stop_scaler,params_DXCM_ISRG_z_win,params_GEHC_IDXX_beta_win,params_GEHC_IDXX_stop_loss,params_GEHC_IDXX_trade_freq,params_GEHC_IDXX_z_entry,params_GEHC_IDXX_z_exit,params_GEHC_IDXX_z_stop_scaler,params_GEHC_IDXX_z_win,params_GEHC_LRCX_beta_win,params_GEHC_LRCX_stop_loss,params_GEHC_LRCX_trade_freq,params_GEHC_LRCX_z_entry,params_GEHC_LRCX_z_exit,params_GEHC_LRCX_z_stop_scaler,params_GEHC_LRCX_z_win,params_GEHC_QCOM_beta_win,params_GEHC_QCOM_stop_loss,params_GEHC_QCOM_trade_freq,params_GEHC_QCOM_z_entry,params_GEHC_QCOM_z_exit,params_GEHC_QCOM_z_stop_scaler,params_GEHC_QCOM_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LIN_MELI_beta_win,params_LIN_MELI_stop_loss,params_LIN_MELI_trade_freq,params_LIN_MELI_z_entry,params_LIN_MELI_z_exit,params_LIN_MELI_z_stop_scaler,params_LIN_MELI_z_win,params_LIN_PDD_beta_win,params_LIN_PDD_stop_loss,params_LIN_PDD_trade_freq,params_LIN_PDD_z_entry,params_LIN_PDD_z_exit,params_LIN_PDD_z_stop_scaler,params_LIN_PDD_z_win,params_MAR_WDAY_beta_win,params_MAR_WDAY_stop_loss,params_MAR_WDAY_trade_freq,params_MAR_WDAY_z_entry,params_MAR_WDAY_z_exit,params_MAR_WDAY_z_stop_scaler,params_MAR_WDAY_z_win,params_MELI_PDD_beta_win,params_MELI_PDD_stop_loss,params_MELI_PDD_trade_freq,params_MELI_PDD_z_entry,params_MELI_PDD_z_exit,params_MELI_PDD_z_stop_scaler,params_MELI_PDD_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_VRSK_ZS_beta_win,params_VRSK_ZS_stop_loss,params_VRSK_ZS_trade_freq,params_VRSK_ZS_z_entry,params_VRSK_ZS_z_exit,params_VRSK_ZS_z_stop_scaler,params_VRSK_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
55,55,-2.0213290664314156,2025-06-21 19:52:05.752678,2025-06-21 19:52:10.602376,0 days 00:00:04.849698,1056.0,0.015,4m,2.8,0.8,1.5,408.0,5384.0,0.02,1m,1.6,0.2,1.0,520.0,6744.0,0.01,5m,2.0,0.2,0.5,480.0,,,,,,,,5640.0,0.02,5m,1.2,0.6000000000000001,1.5,224.0,,,,,,,,4072,0.015,3m,1.2,0.4,1.0,488,,,,,,,,8032.0,0.01,4m,2.2,1.0,0.5,416.0,2384.0,0.015,1m,2.8,0.2,2.0,288.0,3728.0,0.01,4m,2.0,0.2,0.5,984.0,3256.0,0.015,3m,1.2,0.6000000000000001,1.0,936.0,3160.0,0.02,4m,1.6,1.0,1.0,976.0,5496.0,0.01,1m,2.8,0.6000000000000001,1.5,192.0,2016.0,0.01,2m,1.0,0.4,2.0,1024.0,,,,,,,,6216.0,0.015,1m,1.4,0.8,0.5,536.0,6504.0,0.015,3m,1.6,1.0,0.5,336.0,2712.0,0.01,2m,1.4,0.6000000000000001,2.0,144.0,6656.0,0.02,4m,1.8,0.8,1.5,432.0,0.2,16,COMPLETE
56,56,-0.533636831630167,2025-06-21 19:52:10.681225,2025-06-21 19:52:15.670920,0 days 00:00:04.989695,1544.0,0.015,4m,3.0,1.0,2.0,216.0,5600.0,0.02,1m,1.8,0.0,1.0,304.0,4616.0,0.01,5m,2.2,0.4,0.5,232.0,,,,,,,,7888.0,0.02,5m,1.0,0.2,2.0,216.0,,,,,,,,4568,0.01,3m,1.0,0.2,0.5,248,,,,,,,,2808.0,0.01,4m,1.8,0.8,2.0,192.0,3480.0,0.015,1m,2.6,0.2,2.0,504.0,3136.0,0.015,4m,1.8,0.0,1.0,888.0,1240.0,0.015,3m,2.0,0.8,1.0,664.0,5760.0,0.02,4m,1.2,1.0,0.5,896.0,6568.0,0.015,4m,2.2,0.8,1.0,512.0,1720.0,0.01,5m,1.2,0.8,2.0,640.0,,,,,,,,,,,,,,,5544.0,0.015,2m,1.8,0.8,1.5,128.0,1800.0,0.01,2m,1.2,0.8,0.5,256.0,5824.0,0.01,4m,1.4,0.6000000000000001,2.0,128.0,0.15000000000000002,15,COMPLETE
57,57,-3.1725837238628265,2025-06-21 19:52:15.754005,2025-06-21 19:52:20.524894,0 days 00:00:04.770889,3064.0,0.02,4m,3.0,1.0,2.0,320.0,7304.0,0.02,1m,1.4,0.0,1.0,464.0,6208.0,0.01,5m,2.6,0.2,0.5,160.0,,,,,,,,6760.0,0.02,5m,1.2,0.4,1.5,336.0,,,,,,,,3576,0.015,3m,1.4,0.0,1.0,448,,,,,,,,1456.0,0.01,4m,2.6,1.0,1.5,304.0,2960.0,0.01,1m,2.8,0.2,2.0,440.0,2616.0,0.015,4m,1.8,0.4,1.0,792.0,1904.0,0.015,3m,1.2,0.6000000000000001,1.5,840.0,5960.0,0.02,4m,1.2,1.0,1.0,776.0,,,,,,,,2368.0,0.01,3m,1.4,0.6000000000000001,1.5,904.0,,,,,,,,,,,,,,,6712.0,0.02,2m,1.4,1.0,2.0,240.0,2168.0,0.01,2m,1.6,1.0,0.5,936.0,5424.0,0.01,4m,1.6,0.2,1.5,304.0,0.1,14,COMPLETE
58,58,-3.418155426710204,2025-06-21 19:52:20.572180,2025-06-21 19:52:24.883600,0 days 00:00:04.311420,1928.0,0.015,4m,2.8,1.0,1.5,96.0,8016.0,0.02,1m,2.0,0.0,1.5,400.0,4328.0,0.01,5m,1.8,0.4,0.5,448.0,,,,,,,,7312.0,0.01,5m,1.0,0.6000000000000001,2.0,208.0,,,,,,,,4600,0.015,5m,1.0,0.2,1.0,264,,,,,,,,6936.0,0.01,4m,2.4000000000000004,0.8,2.0,480.0,4008.0,0.015,1m,2.6,0.4,2.0,240.0,1880.0,0.01,4m,1.4,0.2,1.0,632.0,,,,,,,,4872.0,0.02,4m,1.4,1.0,0.5,728.0,,,,,,,,1488.0,0.01,5m,1.2,0.4,1.0,816.0,,,,,,,,,,,,,,,8072.0,0.02,2m,1.2,0.6000000000000001,2.0,952.0,1368.0,0.01,2m,1.4,0.6000000000000001,1.5,96.0,7160.0,0.01,1m,1.6,0.8,1.5,232.0,0.25,13,COMPLETE
59,59,-2.4653622749796997,2025-06-21 19:52:24.947006,2025-06-21 19:52:30.581384,0 days 00:00:05.634378,2512.0,0.01,1m,1.4,1.0,2.0,288.0,6112.0,0.02,4m,1.6,0.2,1.5,664.0,4936.0,0.01,5m,2.4000000000000004,0.0,1.0,336.0,,,,,,,,6280.0,0.02,2m,1.2,0.4,1.5,424.0,3016.0,0.015,5m,1.4,0.8,2.0,736.0,3280,0.015,3m,1.6,0.0,1.0,104,,,,,,,,4056.0,0.015,4m,1.8,1.0,1.0,360.0,4752.0,0.015,3m,3.0,0.0,2.0,336.0,3360.0,0.015,4m,2.0,0.4,0.5,696.0,3648.0,0.02,3m,1.6,0.8,0.5,952.0,6624.0,0.02,4m,1.6,1.0,1.0,944.0,4800.0,0.01,1m,1.8,0.4,2.0,368.0,1104.0,0.01,4m,1.0,0.8,2.0,968.0,,,,,,,,4128.0,0.015,4m,2.2,0.2,1.5,296.0,7576.0,0.015,5m,2.6,0.8,2.0,568.0,2416.0,0.01,3m,1.2,0.8,1.0,176.0,6464.0,0.01,4m,1.8,1.0,2.0,112.0,0.1,17,COMPLETE
60,60,-2.5100466045748835,2025-06-21 19:52:30.628962,2025-06-21 19:52:33.972080,0 days 00:00:03.343118,2912.0,0.015,4m,3.0,0.8,2.0,464.0,5120.0,0.015,5m,1.8,0.2,0.5,128.0,5552.0,0.01,5m,2.6,0.4,0.5,840.0,,,,,,,,5776.0,0.02,5m,2.6,0.2,2.0,96.0,,,,,,,,4224,0.015,2m,1.2,0.2,1.0,176,,,,,,,,3184.0,0.01,1m,1.6,0.2,2.0,248.0,1752.0,0.02,1m,2.6,0.6000000000000001,2.0,528.0,1336.0,0.015,3m,2.2,0.6000000000000001,1.0,736.0,,,,,,,,2344.0,0.02,3m,1.8,0.2,0.5,472.0,,,,,,,,3232.0,0.015,1m,1.4,0.6000000000000001,2.0,712.0,,,,,,,,,,,,,,,,,,,,,,1912.0,0.01,2m,1.8,1.0,1.0,560.0,,,,,,,,0.25,11,COMPLETE
61,61,0.6028571358091307,2025-06-21 19:52:34.019345,2025-06-21 19:52:38.609609,0 days 00:00:04.590264,1912.0,0.015,5m,2.6,1.0,2.0,576.0,4832.0,0.015,2m,2.2,0.0,0.5,488.0,7272.0,0.015,1m,2.8,0.2,1.0,416.0,,,,,,,,5040.0,0.02,4m,1.4,0.4,0.5,464.0,,,,,,,,4928,0.02,3m,1.0,0.4,1.0,392,,,,,,,,2072.0,0.02,4m,2.2,0.8,2.0,416.0,4704.0,0.015,1m,2.2,0.0,1.0,400.0,4840.0,0.02,2m,2.2,0.2,1.0,528.0,2648.0,0.015,3m,2.0,0.4,1.0,512.0,7880.0,0.02,1m,2.0,0.8,2.0,592.0,6208.0,0.015,1m,2.8,1.0,1.5,576.0,2736.0,0.01,5m,1.8,0.6000000000000001,2.0,928.0,,,,,,,,,,,,,,,1768.0,0.01,2m,1.2,1.0,2.0,128.0,5680.0,0.01,1m,2.2,0.8,1.0,88.0,7792.0,0.01,4m,1.2,0.0,0.5,112.0,0.15000000000000002,15,COMPLETE
62,62,0.0667580110337185,2025-06-21 19:52:38.682669,2025-06-21 19:52:42.985250,0 days 00:00:04.302581,4184.0,0.015,4m,2.2,1.0,1.5,512.0,6400.0,0.015,1m,3.0,0.0,0.5,432.0,7944.0,0.015,2m,3.0,0.4,1.0,328.0,,,,,,,,6584.0,0.02,5m,1.6,1.0,0.5,320.0,,,,,,,,4776,0.02,3m,1.4,0.4,0.5,312,,,,,,,,1392.0,0.02,3m,1.2,0.8,2.0,536.0,3160.0,0.015,2m,2.2,0.0,1.5,320.0,2184.0,0.02,5m,2.4000000000000004,0.0,1.0,552.0,,,,,,,,7120.0,0.015,4m,1.8,1.0,1.0,672.0,,,,,,,,2080.0,0.01,5m,1.6,0.6000000000000001,2.0,840.0,,,,,,,,,,,,,,,1536.0,0.01,1m,1.0,1.0,2.0,128.0,6424.0,0.01,4m,2.4000000000000004,0.6000000000000001,1.0,152.0,7824.0,0.01,5m,3.0,0.0,0.5,168.0,0.2,13,COMPLETE
63,63,0.5700558629773583,2025-06-21 19:52:43.032519,2025-06-21 19:52:47.462527,0 days 00:00:04.430008,4888.0,0.015,2m,2.8,1.0,1.5,408.0,5488.0,0.015,2m,1.8,0.0,0.5,568.0,7576.0,0.015,3m,2.6,0.6000000000000001,1.0,360.0,,,,,,,,7072.0,0.02,5m,1.0,0.4,0.5,608.0,,,,,,,,5152,0.015,3m,1.2,0.0,1.0,840,,,,,,,,1936.0,0.02,5m,1.0,0.8,2.0,912.0,3960.0,0.015,1m,2.8,0.2,1.5,976.0,2848.0,0.02,2m,2.0,1.0,1.0,664.0,1904.0,0.01,2m,1.8,0.6000000000000001,1.0,768.0,7408.0,0.02,4m,2.0,0.8,2.0,616.0,,,,,,,,3504.0,0.01,5m,1.2,0.6000000000000001,2.0,744.0,,,,,,,,,,,,,,,1496.0,0.01,3m,1.4,0.6000000000000001,2.0,112.0,2632.0,0.01,4m,1.6,0.8,0.5,208.0,1040.0,0.01,4m,2.0,0.0,1.0,112.0,0.15000000000000002,14,COMPLETE
64,64,-1.411996408845467,2025-06-21 19:52:47.556882,2025-06-21 19:52:51.144305,0 days 00:00:03.587423,1528.0,0.015,4m,1.8,0.8,1.5,640.0,4712.0,0.015,3m,2.8,0.2,2.0,376.0,6848.0,0.02,5m,2.8,0.0,1.0,408.0,,,,,,,,6336.0,0.02,2m,1.2,0.4,2.0,184.0,,,,,,,,5672,0.02,3m,1.0,0.6000000000000001,1.5,600,,,,,,,,2400.0,0.02,4m,2.0,0.8,2.0,976.0,2384.0,0.015,4m,2.4000000000000004,0.0,1.0,208.0,3824.0,0.02,2m,1.8,0.8,1.0,592.0,,,,,,,,7912.0,0.02,5m,2.0,1.0,2.0,512.0,,,,,,,,3832.0,0.01,5m,1.8,0.4,2.0,856.0,,,,,,,,,,,,,,,,,,,,,,3744.0,0.01,4m,2.0,0.6000000000000001,1.0,64.0,7224.0,0.01,4m,2.8,0.0,0.5,328.0,0.3,12,COMPLETE
65,65,-3.493595553438127,2025-06-21 19:52:51.216915,2025-06-21 19:52:56.229174,0 days 00:00:05.012259,5560.0,0.015,1m,2.4000000000000004,1.0,2.0,368.0,6728.0,0.015,2m,1.4,0.0,0.5,464.0,7216.0,0.015,4m,2.6,0.4,1.0,968.0,,,,,,,,4200.0,0.02,1m,1.4,0.4,0.5,560.0,,,,,,,,5424,0.02,4m,1.6,0.2,1.0,648,,,,,,,,1352.0,0.02,2m,1.2,1.0,2.0,288.0,5904.0,0.015,5m,2.0,0.2,2.0,408.0,2328.0,0.02,4m,2.8,1.0,1.5,504.0,4304.0,0.02,5m,1.2,1.0,1.5,592.0,4296.0,0.015,2m,1.8,0.8,2.0,824.0,3688.0,0.01,3m,2.2,0.6000000000000001,0.5,152.0,4416.0,0.01,5m,1.4,0.8,2.0,984.0,,,,,,,,8136.0,0.01,3m,3.0,0.2,1.0,872.0,4632.0,0.01,1m,1.2,0.8,2.0,184.0,2864.0,0.01,4m,2.6,0.8,0.5,96.0,8192.0,0.01,1m,1.2,0.2,2.0,408.0,0.5,16,COMPLETE
66,66,-1.2499110079393223,2025-06-21 19:52:56.302961,2025-06-21 19:53:00.759197,0 days 00:00:04.456236,1328.0,0.015,4m,2.6,0.6000000000000001,1.0,712.0,5856.0,0.015,2m,3.0,0.2,0.5,496.0,7928.0,0.015,4m,2.2,0.2,1.5,576.0,,,,,,,,5976.0,0.02,4m,1.0,0.6000000000000001,0.5,248.0,,,,,,,,4512,0.02,3m,1.4,0.0,0.5,800,,,,,,,,1904.0,0.015,3m,1.0,0.6000000000000001,1.5,488.0,3680.0,0.015,2m,2.6,0.8,1.0,576.0,3080.0,0.015,2m,2.4000000000000004,0.8,1.5,624.0,,,,,,,,5416.0,0.02,4m,2.2,1.0,1.5,424.0,,,,,,,,4064.0,0.015,5m,1.6,0.6000000000000001,2.0,656.0,,,,,,,,,,,,,,,2512.0,0.01,1m,3.0,1.0,2.0,392.0,3344.0,0.01,5m,2.4000000000000004,1.0,1.0,144.0,7448.0,0.01,2m,3.0,0.2,0.5,248.0,0.4,13,COMPLETE
67,67,-1.6212859054969735,2025-06-21 19:53:00.806430,2025-06-21 19:53:05.541535,0 days 00:00:04.735105,1064.0,0.015,5m,2.0,0.8,0.5,568.0,5064.0,0.015,1m,2.6,0.8,1.0,544.0,5752.0,0.015,5m,3.0,0.2,2.0,480.0,,,,,,,,6760.0,0.02,3m,1.8,0.4,0.5,488.0,,,,,,,,4120,0.02,3m,2.6,0.2,1.5,720,,,,,,,,2240.0,0.02,3m,2.6,0.8,2.0,712.0,7880.0,0.015,2m,2.2,0.0,1.5,64.0,5312.0,0.02,2m,2.2,0.6000000000000001,1.0,440.0,1672.0,0.015,5m,1.6,0.8,0.5,984.0,7408.0,0.015,2m,2.4000000000000004,0.4,2.0,320.0,2144.0,0.015,2m,1.6,0.8,1.0,296.0,2496.0,0.01,5m,1.2,0.6000000000000001,2.0,528.0,,,,,,,,,,,,,,,5216.0,0.015,4m,1.0,0.4,1.5,96.0,6080.0,0.01,3m,2.2,0.4,0.5,96.0,4184.0,0.01,5m,2.6,0.0,1.5,88.0,0.5,15,COMPLETE
68,68,0.8275430180682994,2025-06-21 19:53:05.604372,2025-06-21 19:53:11.488544,0 days 00:00:05.884172,2320.0,0.015,3m,3.0,0.2,2.0,432.0,3952.0,0.015,2m,2.8,0.0,0.5,416.0,6496.0,0.015,4m,1.2,0.6000000000000001,1.0,512.0,2032.0,0.02,1m,1.4,0.8,2.0,1016.0,7184.0,0.02,5m,1.2,0.4,1.5,360.0,6336.0,0.02,2m,2.4000000000000004,0.2,1.0,272.0,5832,0.015,1m,1.2,0.6000000000000001,1.0,688,,,,,,,,2832.0,0.02,3m,1.4,1.0,1.5,592.0,4304.0,0.015,3m,3.0,0.0,1.0,1008.0,1816.0,0.01,3m,1.6,0.4,1.0,512.0,2832.0,0.01,3m,1.8,0.2,1.5,848.0,6680.0,0.01,3m,2.2,0.8,1.0,272.0,8168.0,0.01,5m,1.2,0.4,1.5,896.0,4448.0,0.01,5m,1.8,0.4,2.0,176.0,5096.0,0.015,1m,2.2,0.6000000000000001,1.5,560.0,2208.0,0.02,2m,2.0,0.4,0.5,72.0,1464.0,0.01,1m,1.6,0.6000000000000001,2.0,256.0,4880.0,0.02,4m,2.2,0.0,1.0,192.0,7848.0,0.01,3m,2.4000000000000004,0.0,1.0,192.0,0.45,19,COMPLETE
69,69,-1.6574049674726332,2025-06-21 19:53:11.568054,2025-06-21 19:53:15.913848,0 days 00:00:04.345794,4824.0,0.015,2m,2.2,0.4,1.0,488.0,5304.0,0.015,4m,2.0,0.8,0.5,256.0,7552.0,0.015,4m,2.4000000000000004,0.0,1.0,256.0,,,,,,,,7560.0,0.015,3m,1.4,0.2,0.5,704.0,,,,,,,,3728,0.02,3m,2.2,0.8,1.5,976,,,,,,,,5480.0,0.01,1m,2.0,0.6000000000000001,2.0,880.0,2664.0,0.015,2m,2.6,0.2,1.0,816.0,2640.0,0.02,2m,1.8,1.0,0.5,776.0,2120.0,0.02,2m,3.0,0.6000000000000001,1.0,488.0,6096.0,0.02,1m,1.8,1.0,0.5,160.0,,,,,,,,2968.0,0.01,1m,1.0,0.8,1.5,944.0,,,,,,,,,,,,,,,6064.0,0.02,2m,1.0,1.0,1.5,88.0,1176.0,0.01,2m,1.2,0.0,1.5,256.0,7080.0,0.01,2m,1.0,0.4,0.5,248.0,0.5,14,COMPLETE
70,70,-2.0223492347023493,2025-06-21 19:53:16.005131,2025-06-21 19:53:19.710290,0 days 00:00:03.705159,1776.0,0.015,3m,1.6,1.0,0.5,616.0,4424.0,0.01,2m,2.4000000000000004,0.4,0.5,320.0,6952.0,0.02,2m,2.8,0.4,1.5,176.0,,,,,,,,8056.0,0.02,5m,1.6,0.6000000000000001,0.5,440.0,,,,,,,,7504,0.01,1m,3.0,0.4,2.0,568,,,,,,,,1360.0,0.015,4m,1.0,0.8,2.0,88.0,7960.0,0.015,1m,2.4000000000000004,0.2,1.0,752.0,6592.0,0.015,4m,2.2,0.8,1.5,720.0,,,,,,,,7008.0,0.01,2m,2.0,1.0,2.0,760.0,,,,,,,,4832.0,0.01,3m,1.6,0.6000000000000001,2.0,96.0,,,,,,,,,,,,,,,,,,,,,,2472.0,0.01,4m,2.8,0.2,0.5,144.0,,,,,,,,0.45,11,COMPLETE
71,71,0.3402137112416147,2025-06-21 19:53:19.775435,2025-06-21 19:53:24.160119,0 days 00:00:04.384684,7952.0,0.015,3m,2.4000000000000004,0.0,0.5,616.0,4736.0,0.015,2m,2.8,0.8,0.5,504.0,7832.0,0.015,4m,3.0,1.0,1.0,432.0,,,,,,,,6560.0,0.02,3m,1.4,0.4,0.5,608.0,,,,,,,,5240,0.02,1m,2.6,1.0,2.0,768,,,,,,,,1216.0,0.02,3m,1.0,0.8,2.0,816.0,8088.0,0.015,2m,2.4000000000000004,0.0,1.0,968.0,2080.0,0.02,2m,2.6,1.0,1.5,400.0,,,,,,,,8152.0,0.01,2m,2.2,0.8,2.0,80.0,,,,,,,,1448.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1304.0,0.01,1m,1.0,0.0,2.0,160.0,1120.0,0.01,4m,2.4000000000000004,0.0,0.5,72.0,8176.0,0.01,2m,3.0,0.0,0.5,88.0,0.5,13,COMPLETE
72,72,2.292134539187753,2025-06-21 19:53:24.232068,2025-06-21 19:53:28.549077,0 days 00:00:04.317009,8184.0,0.015,3m,2.4000000000000004,0.0,0.5,704.0,4976.0,0.015,2m,3.0,0.8,0.5,464.0,7984.0,0.015,4m,3.0,1.0,1.0,360.0,,,,,,,,6536.0,0.02,3m,1.4,0.4,0.5,544.0,,,,,,,,5032,0.02,1m,2.4000000000000004,1.0,2.0,776,,,,,,,,1640.0,0.02,3m,1.2,0.8,2.0,952.0,6696.0,0.015,2m,2.4000000000000004,0.0,1.0,976.0,2072.0,0.02,2m,2.6,1.0,1.5,456.0,,,,,,,,7904.0,0.01,2m,2.4000000000000004,0.6000000000000001,2.0,136.0,,,,,,,,5384.0,0.01,5m,1.4,0.6000000000000001,2.0,152.0,,,,,,,,,,,,,,,1840.0,0.01,1m,1.0,0.0,2.0,64.0,1056.0,0.01,4m,2.4000000000000004,0.0,0.5,112.0,7920.0,0.01,2m,3.0,0.0,0.5,80.0,0.5,13,COMPLETE
73,73,-0.8325031312703367,2025-06-21 19:53:28.616595,2025-06-21 19:53:32.748345,0 days 00:00:04.131750,8184.0,0.015,3m,2.4000000000000004,0.0,0.5,696.0,4184.0,0.015,2m,3.0,1.0,0.5,376.0,8024.0,0.015,4m,3.0,1.0,1.0,352.0,,,,,,,,5600.0,0.02,3m,1.2,0.4,0.5,536.0,,,,,,,,4928,0.02,1m,2.2,1.0,2.0,872,,,,,,,,1744.0,0.02,3m,1.2,0.8,2.0,944.0,5504.0,0.015,2m,2.2,0.0,1.0,896.0,1488.0,0.02,2m,2.8,1.0,1.5,536.0,,,,,,,,7960.0,0.01,2m,2.4000000000000004,0.6000000000000001,2.0,232.0,,,,,,,,5536.0,0.01,5m,1.4,0.6000000000000001,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,1440.0,0.01,4m,2.6,0.0,0.5,168.0,2984.0,0.01,2m,3.0,0.0,0.5,160.0,0.45,12,COMPLETE
74,74,1.263820508654777,2025-06-21 19:53:32.811892,2025-06-21 19:53:37.451295,0 days 00:00:04.639403,7320.0,0.015,3m,2.2,0.2,0.5,736.0,5008.0,0.015,2m,3.0,0.8,0.5,464.0,8184.0,0.015,4m,2.8,1.0,1.0,296.0,,,,,,,,6416.0,0.02,3m,2.2,0.4,0.5,120.0,,,,,,,,5088,0.02,1m,2.4000000000000004,1.0,2.0,736,,,,,,,,2176.0,0.02,3m,1.2,0.8,2.0,904.0,6688.0,0.015,2m,2.4000000000000004,0.0,1.0,984.0,7696.0,0.02,2m,2.6,1.0,1.5,576.0,3008.0,0.01,1m,1.0,0.4,1.0,1024.0,7552.0,0.01,2m,1.6,0.4,2.0,176.0,,,,,,,,5256.0,0.01,5m,1.2,0.6000000000000001,1.0,208.0,,,,,,,,,,,,,,,1808.0,0.01,1m,1.2,0.0,2.0,64.0,1672.0,0.01,4m,2.2,0.2,0.5,120.0,7880.0,0.01,2m,2.8,0.0,0.5,104.0,0.5,14,COMPLETE
75,75,1.570706091890406,2025-06-21 19:53:37.515111,2025-06-21 19:53:42.309968,0 days 00:00:04.794857,7496.0,0.015,3m,2.6,0.0,0.5,808.0,3800.0,0.015,2m,3.0,0.6000000000000001,0.5,552.0,7608.0,0.015,4m,3.0,0.8,1.0,384.0,,,,,,,,6040.0,0.02,3m,1.4,0.2,0.5,496.0,,,,,,,,4376,0.02,1m,2.8,0.8,2.0,920,,,,,,,,1544.0,0.02,3m,1.4,0.6000000000000001,2.0,1000.0,7208.0,0.015,2m,2.8,0.0,1.0,944.0,2488.0,0.02,2m,2.4000000000000004,1.0,1.5,448.0,1072.0,0.015,3m,1.4,0.8,1.0,184.0,7792.0,0.01,2m,2.2,0.6000000000000001,2.0,136.0,7096.0,0.02,4m,2.2,0.6000000000000001,2.0,640.0,5496.0,0.01,5m,1.4,0.6000000000000001,2.0,96.0,,,,,,,,,,,,,,,3416.0,0.01,1m,1.4,0.0,2.0,112.0,2016.0,0.01,1m,2.4000000000000004,0.0,0.5,216.0,7456.0,0.01,2m,3.0,0.2,0.5,64.0,0.5,15,COMPLETE
76,76,-2.5770001750025497,2025-06-21 19:53:42.364301,2025-06-21 19:53:46.136251,0 days 00:00:03.771950,7152.0,0.015,3m,2.8,0.0,0.5,952.0,5672.0,0.015,2m,1.0,0.8,1.0,432.0,7392.0,0.015,1m,2.8,1.0,0.5,456.0,,,,,,,,6928.0,0.02,3m,1.6,0.4,1.0,664.0,,,,,,,,6336,0.02,5m,2.4000000000000004,1.0,2.0,808,,,,,,,,1816.0,0.02,2m,1.2,1.0,2.0,848.0,5160.0,0.015,2m,2.6,0.4,1.5,1024.0,4248.0,0.02,1m,2.0,1.0,1.0,600.0,,,,,,,,3952.0,0.01,2m,2.6,0.6000000000000001,2.0,880.0,,,,,,,,6520.0,0.02,2m,1.4,0.6000000000000001,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,1832.0,0.01,4m,2.2,0.0,0.5,96.0,6216.0,0.01,4m,2.8,0.0,0.5,208.0,0.5,12,COMPLETE
