,number,value,datetime_start,datetime_complete,duration,params_AVGO_MRNA_beta_win,params_AVGO_MRNA_stop_loss,params_AVGO_MRNA_trade_freq,params_AVGO_MRNA_z_entry,params_AVGO_MRNA_z_exit,params_AVGO_MRNA_z_stop_scaler,params_AVGO_MRNA_z_win,params_CPRT_MRNA_beta_win,params_CPRT_MRNA_stop_loss,params_CPRT_MRNA_trade_freq,params_CPRT_MRNA_z_entry,params_CPRT_MRNA_z_exit,params_CPRT_MRNA_z_stop_scaler,params_CPRT_MRNA_z_win,params_FISV_MRNA_beta_win,params_FISV_MRNA_stop_loss,params_FISV_MRNA_trade_freq,params_FISV_MRNA_z_entry,params_FISV_MRNA_z_exit,params_FISV_MRNA_z_stop_scaler,params_FISV_MRNA_z_win,params_ISRG_MRNA_beta_win,params_ISRG_MRNA_stop_loss,params_ISRG_MRNA_trade_freq,params_ISRG_MRNA_z_entry,params_ISRG_MRNA_z_exit,params_ISRG_MRNA_z_stop_scaler,params_ISRG_MRNA_z_win,params_KLAC_MRNA_beta_win,params_KLAC_MRNA_stop_loss,params_KLAC_MRNA_trade_freq,params_KLAC_MRNA_z_entry,params_KLAC_MRNA_z_exit,params_KLAC_MRNA_z_stop_scaler,params_KLAC_MRNA_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_MRNA_beta_win,params_MCHP_MRNA_stop_loss,params_MCHP_MRNA_trade_freq,params_MCHP_MRNA_z_entry,params_MCHP_MRNA_z_exit,params_MCHP_MRNA_z_stop_scaler,params_MCHP_MRNA_z_win,params_MDLZ_MRNA_beta_win,params_MDLZ_MRNA_stop_loss,params_MDLZ_MRNA_trade_freq,params_MDLZ_MRNA_z_entry,params_MDLZ_MRNA_z_exit,params_MDLZ_MRNA_z_stop_scaler,params_MDLZ_MRNA_z_win,params_MNST_MRNA_beta_win,params_MNST_MRNA_stop_loss,params_MNST_MRNA_trade_freq,params_MNST_MRNA_z_entry,params_MNST_MRNA_z_exit,params_MNST_MRNA_z_stop_scaler,params_MNST_MRNA_z_win,params_SBUX_MRNA_beta_win,params_SBUX_MRNA_stop_loss,params_SBUX_MRNA_trade_freq,params_SBUX_MRNA_z_entry,params_SBUX_MRNA_z_exit,params_SBUX_MRNA_z_stop_scaler,params_SBUX_MRNA_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-0.28586633510891224,2025-06-14 19:24:44.965948,2025-06-14 19:24:48.375043,0 days 00:00:03.409095,420.0,0.005,2m,3.0,1.5,1.7000000000000002,420.0,910,0.005,1m,3.5,3.5,1.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,0.005,3m,1.5,2.5,2.0,742.0,462.0,0.004,2m,2.0,2.5,1.8,358.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
31,31,4.348591169827174,2025-06-14 19:24:48.433316,2025-06-14 19:24:50.204604,0 days 00:00:01.771288,380.0,0.009000000000000001,2m,4.0,2.0,1.2000000000000002,22.0,832,0.003,1m,2.0,3.0,1.4,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
32,32,5.328971142859825,2025-06-14 19:24:50.240974,2025-06-14 19:24:52.667549,0 days 00:00:02.426575,514.0,0.008,2m,4.0,2.5,1.4,266.0,920,0.002,1m,2.0,3.0,1.3,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,0.01,3m,3.5,1.5,1.5,668.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
33,33,0.04503128381342448,2025-06-14 19:24:52.736709,2025-06-14 19:24:55.398995,0 days 00:00:02.662286,520.0,0.008,2m,4.0,2.5,1.4,274.0,766,0.002,1m,1.5,2.5,1.3,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,0.01,3m,3.5,1.5,1.5,986.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
34,34,2.004433783279663,2025-06-14 19:24:55.443708,2025-06-14 19:24:58.053036,0 days 00:00:02.609328,528.0,0.002,3m,3.5,2.5,1.4,428.0,938,0.001,1m,2.5,3.5,1.1,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,0.009000000000000001,3m,3.5,1.0,1.2000000000000002,620.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
35,35,-1.0103823835568388,2025-06-14 19:24:58.096395,2025-06-14 19:25:02.055281,0 days 00:00:03.958886,726.0,0.008,2m,1.0,2.0,1.6,116.0,678,0.002,4m,1.0,2.5,1.8,584,270.0,0.008,2m,4.0,2.5,1.6,636.0,,,,,,,,,,,,,,,,,,,,,,696.0,0.003,2m,2.5,3.0,0.6,536.0,116.0,0.007,3m,3.0,2.0,1.8,796.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
36,36,0.24804390393425652,2025-06-14 19:25:02.118716,2025-06-14 19:25:04.613815,0 days 00:00:02.495099,262.0,0.01,4m,4.0,1.5,1.2000000000000002,252.0,874,0.008,2m,2.5,4.0,1.2000000000000002,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,0.009000000000000001,3m,3.0,1.5,1.3,676.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
37,37,1.8796093527289497,2025-06-14 19:25:04.651255,2025-06-14 19:25:07.644761,0 days 00:00:02.993506,92.0,0.007,3m,3.5,2.5,1.4,172.0,558,0.004,1m,1.5,3.5,1.6,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,0.007,2m,3.5,4.0,1.2000000000000002,384.0,248.0,0.01,3m,2.0,1.0,1.5,886.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
38,38,-1.8967732991872546,2025-06-14 19:25:07.707130,2025-06-14 19:25:08.673117,0 days 00:00:00.965987,,,,,,,,970,0.003,4m,2.0,3.0,1.5,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
39,39,-1.501230633297439,2025-06-14 19:25:08.732644,2025-06-14 19:25:15.520847,0 days 00:00:06.788203,932.0,0.006,2m,3.0,3.0,2.0,490.0,794,0.001,1m,1.5,4.0,1.8,268,1018.0,0.004,3m,1.5,4.0,0.5,764.0,,,,,,,,,,,,,,,,,,,,,,460.0,0.001,3m,1.0,2.0,1.7000000000000002,622.0,626.0,0.008,3m,3.5,1.5,1.7000000000000002,496.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
40,40,-0.451378166365772,2025-06-14 19:25:15.633857,2025-06-14 19:25:21.278410,0 days 00:00:05.644553,416.0,0.009000000000000001,1m,4.0,3.5,1.1,92.0,1020,0.006,3m,2.5,3.5,1.3,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
