,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
32,32,-0.04758452171871727,2025-06-14 20:12:26.016962,2025-06-14 20:12:26.934339,0 days 00:00:00.917377,,,,,,,,800,0.005,1m,3.5,1.5,0.7,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
33,33,-8.236081909866035,2025-06-14 20:12:26.985854,2025-06-14 20:12:29.640519,0 days 00:00:02.654665,,,,,,,,424,0.004,1m,3.0,1.0,2.0,804,,,,,,,,,,,,,,,,,,,,,,18.0,0.001,1m,1.5,2.0,1.8,322.0,,,,,,,,,,,,,,,,,,,,,,112.0,0.002,1m,2.0,3.5,1.7000000000000002,636.0,0.4,3,COMPLETE
34,34,2.1457833381465496,2025-06-14 20:12:29.706193,2025-06-14 20:12:31.538591,0 days 00:00:01.832398,,,,,,,,564,0.008,1m,3.5,1.0,1.8,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.0,0.004,2m,3.5,1.5,1.2000000000000002,800.0,0.35000000000000003,2,COMPLETE
35,35,-5.28859092772814,2025-06-14 20:12:31.616028,2025-06-14 20:12:33.305692,0 days 00:00:01.689664,,,,,,,,570,0.01,4m,4.0,1.0,0.9,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0,0.004,2m,3.5,1.5,1.0,804.0,0.3,2,COMPLETE
36,36,-1.5872700598284954,2025-06-14 20:12:33.354976,2025-06-14 20:12:35.180528,0 days 00:00:01.825552,,,,,,,,478,0.008,2m,3.5,1.0,1.8,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.0,0.002,2m,4.0,2.0,1.2000000000000002,870.0,0.2,2,COMPLETE
37,37,-3.404486598519793,2025-06-14 20:12:35.240437,2025-06-14 20:12:38.813874,0 days 00:00:03.573437,,,,,,,,592,0.008,1m,3.5,1.5,1.9000000000000001,442,,,,,,,,412.0,0.003,2m,2.5,4.0,1.5,412.0,,,,,,,,486.0,0.003,3m,3.5,2.5,0.8,156.0,,,,,,,,,,,,,,,,,,,,,,778.0,0.005,2m,3.5,1.0,1.4,690.0,0.4,4,COMPLETE
38,38,-2.315423000385211,2025-06-14 20:12:38.899265,2025-06-14 20:12:42.805021,0 days 00:00:03.905756,340.0,0.001,3m,2.0,1.0,0.9,28.0,352,0.007,4m,4.0,1.0,0.7,990,,,,,,,,816.0,0.006,2m,1.5,1.0,1.0,676.0,,,,,,,,858.0,0.01,2m,2.0,1.5,1.2000000000000002,886.0,,,,,,,,,,,,,,,,,,,,,,644.0,0.006,2m,3.0,2.5,1.3,448.0,0.45,5,COMPLETE
39,39,-16.89814053583785,2025-06-14 20:12:42.874217,2025-06-14 20:12:45.505617,0 days 00:00:02.631400,,,,,,,,700,0.009000000000000001,1m,1.0,1.5,1.0,670,,,,,,,,,,,,,,,,,,,,,,684.0,0.006,4m,3.0,1.0,1.7000000000000002,634.0,,,,,,,,,,,,,,,,,,,,,,906.0,0.004,2m,2.5,1.5,0.7,750.0,0.35000000000000003,3,COMPLETE
40,40,-100.0,2025-06-14 20:12:45.569931,2025-06-14 20:12:46.567167,0 days 00:00:00.997236,,,,,,,,448,0.006,3m,3.0,1.0,1.7000000000000002,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
41,41,-1.2203639231910879,2025-06-14 20:12:46.605045,2025-06-14 20:12:47.505689,0 days 00:00:00.900644,,,,,,,,682,0.007,1m,2.5,1.5,1.7000000000000002,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
42,42,1.1131371477617946,2025-06-14 20:12:47.553732,2025-06-14 20:12:48.386829,0 days 00:00:00.833097,,,,,,,,608,0.008,1m,3.0,1.5,1.9000000000000001,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
