,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.9119891261215554,2025-06-14 19:33:02.416779,2025-06-14 19:33:05.019652,0 days 00:00:02.602873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.0,0.002,1m,3.0,1.5,1.4,494.0,592,0.007,3m,2.0,1.5,1.1,634,650.0,0.005,2m,3.5,1.5,1.9000000000000001,316.0,0.4,3,COMPLETE
31,31,1.4003343028974637,2025-06-14 19:33:05.062923,2025-06-14 19:33:06.654425,0 days 00:00:01.591502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,0.001,1m,3.5,1.0,1.7000000000000002,360.0,684,0.001,3m,3.0,2.0,1.7000000000000002,908,,,,,,,,0.25,2,COMPLETE
32,32,-0.15608649617358494,2025-06-14 19:33:06.704158,2025-06-14 19:33:09.300519,0 days 00:00:02.596361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,0.001,1m,3.0,1.0,1.2000000000000002,196.0,400,0.001,3m,3.0,2.0,1.9000000000000001,850,220.0,0.001,2m,2.0,2.0,1.5,598.0,0.2,3,COMPLETE
33,33,-3.426111695472871,2025-06-14 19:33:09.356382,2025-06-14 19:33:12.509823,0 days 00:00:03.153441,702.0,0.002,4m,2.5,2.0,0.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,0.003,1m,4.0,1.0,1.0,692.0,580,0.002,3m,3.0,1.5,1.7000000000000002,940,462.0,0.003,1m,3.0,2.5,1.7000000000000002,374.0,0.3,4,COMPLETE
34,34,2.194061478866781,2025-06-14 19:33:12.574566,2025-06-14 19:33:15.099927,0 days 00:00:02.525361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,0.002,1m,2.0,1.5,1.4,468.0,820,0.003,3m,2.5,2.5,1.9000000000000001,810,248.0,0.003,4m,4.0,1.5,1.4,244.0,0.25,3,COMPLETE
35,35,1.8699681257025174,2025-06-14 19:33:15.157211,2025-06-14 19:33:19.196278,0 days 00:00:04.039067,448.0,0.005,4m,4.0,1.0,1.0,660.0,,,,,,,,,,,,,,,,,,,,,,770.0,0.001,4m,4.0,2.0,1.6,578.0,,,,,,,,,,,,,,,646.0,0.001,1m,3.5,2.0,1.6,322.0,724,0.004,4m,3.5,2.5,1.5,688,142.0,0.01,3m,2.0,1.0,0.9,100.0,0.2,5,COMPLETE
36,36,-2.747343113752566,2025-06-14 19:33:19.249902,2025-06-14 19:33:20.846087,0 days 00:00:01.596185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,0.003,3m,2.5,1.0,1.3,426.0,686,0.002,2m,1.5,2.0,1.8,442,,,,,,,,0.25,2,COMPLETE
37,37,-2.579315498874656,2025-06-14 19:33:20.913565,2025-06-14 19:33:26.354997,0 days 00:00:05.441432,18.0,0.004,2m,3.5,2.5,0.7,360.0,32.0,0.01,2m,2.5,2.5,0.9,1020.0,,,,,,,,1016.0,0.01,1m,4.0,4.0,0.6,1012.0,280.0,0.004,3m,1.5,4.0,0.5,1010.0,,,,,,,,,,,,,,,796.0,0.002,2m,1.0,1.5,1.1,590.0,900,0.001,1m,3.5,1.5,1.5,780,366.0,0.005,2m,3.5,2.0,1.2000000000000002,680.0,0.2,7,COMPLETE
38,38,-0.28301125691844864,2025-06-14 19:33:26.393092,2025-06-14 19:33:30.351763,0 days 00:00:03.958671,258.0,0.002,3m,2.5,1.5,1.1,746.0,,,,,,,,,,,,,,,,,,,,,,752.0,0.008,2m,2.5,2.5,0.9,814.0,,,,,,,,,,,,,,,658.0,0.003,4m,3.0,1.0,1.4,164.0,504,0.01,3m,1.0,1.0,1.9000000000000001,954,650.0,0.002,2m,3.0,2.5,1.9000000000000001,130.0,0.3,5,COMPLETE
39,39,-4.927927842279805,2025-06-14 19:33:30.413291,2025-06-14 19:33:32.875066,0 days 00:00:02.461775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,0.004,3m,3.5,1.5,2.0,556.0,372,0.003,4m,2.5,2.0,2.0,162,132.0,0.001,2m,4.0,1.5,1.6,386.0,0.15000000000000002,3,COMPLETE
