,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-1.905251294376566,2025-06-14 20:13:31.839109,2025-06-14 20:13:33.240471,0 days 00:00:01.401362,,,,,,,,708,0.005,1m,4.0,3.0,1.4,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,0.005,3m,3.5,2.0,1.5,344.0,,,,,,,,0.3,2,COMPLETE
31,31,0.14343773352282874,2025-06-14 20:13:33.281936,2025-06-14 20:13:34.604878,0 days 00:00:01.322942,,,,,,,,574,0.002,2m,3.5,2.0,1.7000000000000002,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,0.008,3m,2.0,2.0,1.3,238.0,,,,,,,,0.25,2,COMPLETE
32,32,-0.49645819584139933,2025-06-14 20:13:34.659451,2025-06-14 20:13:35.395466,0 days 00:00:00.736015,,,,,,,,396,0.002,2m,3.5,2.0,1.9000000000000001,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
33,33,0.6147261019481224,2025-06-14 20:13:35.427925,2025-06-14 20:13:36.736646,0 days 00:00:01.308721,,,,,,,,638,0.003,2m,3.0,2.5,2.0,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,0.007,3m,2.0,1.5,1.2000000000000002,120.0,,,,,,,,0.3,2,COMPLETE
34,34,0.5585848448254591,2025-06-14 20:13:36.756513,2025-06-14 20:13:39.117627,0 days 00:00:02.361114,204.0,0.01,1m,3.0,1.0,1.8,926.0,890,0.002,2m,4.0,3.5,1.4,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,0.005,1m,1.5,2.0,2.0,372.0,902.0,0.009000000000000001,3m,2.5,2.0,1.4,480.0,,,,,,,,0.15000000000000002,4,COMPLETE
35,35,-1.1785055021470383,2025-06-14 20:13:39.150182,2025-06-14 20:13:41.053888,0 days 00:00:01.903706,908.0,0.005,2m,2.0,4.0,1.2000000000000002,872.0,1016,0.001,2m,3.5,1.5,1.8,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,0.008,3m,1.0,1.0,1.1,302.0,,,,,,,,0.35000000000000003,3,COMPLETE
36,36,0.2238842980707837,2025-06-14 20:13:41.094058,2025-06-14 20:13:43.005221,0 days 00:00:01.911163,56.0,0.001,2m,3.0,2.5,0.7,170.0,352,0.004,2m,2.5,2.5,1.6,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,0.009000000000000001,3m,2.0,1.5,1.3,428.0,,,,,,,,0.15000000000000002,3,COMPLETE
37,37,-0.23253771071613633,2025-06-14 20:13:43.054169,2025-06-14 20:13:46.072454,0 days 00:00:03.018285,424.0,0.003,3m,2.0,1.5,1.8,746.0,466,0.008,3m,3.0,3.0,1.9000000000000001,424,594.0,0.008,2m,4.0,1.0,1.0,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,0.008,4m,3.5,2.5,1.4,712.0,554.0,0.007,1m,3.0,2.5,1.5,180.0,,,,,,,,0.4,5,COMPLETE
38,38,0.40523447244196487,2025-06-14 20:13:46.124444,2025-06-14 20:13:46.794434,0 days 00:00:00.669990,,,,,,,,562,0.003,1m,3.5,2.5,1.3,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
39,39,-2.0934360388379525,2025-06-14 20:13:46.830933,2025-06-14 20:13:48.255569,0 days 00:00:01.424636,,,,,,,,254,0.001,2m,4.0,3.5,1.9000000000000001,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.0,0.009000000000000001,3m,1.5,2.0,1.7000000000000002,98.0,,,,,,,,0.2,2,COMPLETE
