date,time,PRICE_NFLX_NFLX_ON_TXN,PRICE_TXN_NFLX_ON_TXN,PRICE_CMCSA_CMCSA_ON_MAR,PRICE_MAR_CMCSA_ON_MAR,PRICE_KDP_KDP_ON_TXN,PRICE_TXN_KDP_ON_TXN,BETA_KDP_ON_TXN,SPREAD_KDP_ON_TXN,Z_KDP_ON_TXN,BETA_CMCSA_ON_MAR,SPREAD_CMCSA_ON_MAR,Z_CMCSA_ON_MAR,BETA_NFLX_ON_TXN,SPREAD_NFLX_ON_TXN,Z_NFLX_ON_TXN,market_close,SIGNAL_KDP_ON_TXN,SIGNAL_CMCSA_ON_MAR,SIGNAL_NFLX_ON_TXN,POS_KDP_ON_TXN,POS_CMCSA_ON_MAR,POS_NFLX_ON_TXN,POS_BETA_KDP_ON_TXN,POS_BETA_CMCSA_ON_MAR,POS_BETA_NFLX_ON_TXN,PAIR_BASE_KDP_ON_TXN,PAIR_BASE_CMCSA_ON_MAR,PAIR_BASE_NFLX_ON_TXN,PAIR_RET_KDP_ON_TXN,PAIR_RET_CMCSA_ON_MAR,PAIR_RET_NFLX_ON_TXN,SL_KDP_ON_TXN,SL_CMCSA_ON_MAR,SL_NFLX_ON_TXN,LOSS_KDP_ON_TXN,LOSS_CMCSA_ON_MAR,LOSS_NFLX_ON_TXN,COOLDOWN_KDP_ON_TXN,COOLDOWN_CMCSA_ON_MAR,COOLDOWN_NFLX_ON_TXN,CAPITAL_KDP_ON_TXN,CAPITAL_CMCSA_ON_MAR,CAPITAL_NFLX_ON_TXN,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-04-11,17:40:00.000000000,351.17,172.88,47.88,163.215,37.82,172.88,,,,-0.09289521142304101,63.041891932411644,2.8694935120404326,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.20046726944106,0.0,0.0,-0.000116008229070945,0.0,0.0,0.0,0.0,0.0,-0.0014899346456718199,0.0,0.0,0.0,0.0,0.0,0.7017747525651509,0.0,0.30000000000000004,1.0017747525651508,-0.00008127024008981692
2022-04-11,17:41:00.000000000,350.485,172.77,47.8727,163.215,37.8334,172.77,-0.012483915612171742,39.99024610031491,1.233883479299382,-0.09544041138322139,63.45000674391248,2.865810422541214,2.14586452588816,-20.256014137697434,-2.523113876221056,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.19316726944106,0.0,0.0,0.00011550547512376502,0.0,0.0,0.0,0.0,0.0,-0.001605770030063125,0.0,0.0,0.0,0.0,0.0,0.7018558113913759,0.0,0.30000000000000004,1.0018558113913758,0.0000809152217276791
2022-04-11,17:42:00.000000000,350.68,172.76,47.85,162.88,37.83,172.76,,,,-0.09815519582850729,63.837518296547266,2.8609519445286122,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.139021896557054,0.0,0.0,-0.00013839111508241395,0.0,0.0,0.0,0.0,0.0,-0.0014904500301694545,0.0,0.0,0.0,0.0,0.0,0.7017586807830104,0.0,0.30000000000000004,1.0017586807830106,-0.00009695068617743811
2022-04-11,17:43:00.000000000,350.59,172.76,47.855,163.0,37.83,172.76,,,,-0.10085321143156957,64.29407346334584,2.8597159563755956,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.15528591072446,0.0,0.0,0.00009920987020794043,0.0,0.0,0.0,0.0,0.0,-0.0016286348802101447,0.0,0.0,0.0,0.0,0.0,0.7018283021706482,0.0,0.30000000000000004,1.0018283021706482,0.00006949916079913111
2022-04-11,17:44:00.000000000,350.25,172.68,47.845,162.8,37.825,172.68,,,,-0.10347304951710584,64.69041246138482,2.85516293742194,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.12651255377878,0.0,0.0,-0.00013891722314555757,0.0,0.0,0.0,0.0,0.0,-0.00152958658665725,0.0,0.0,0.0,0.0,0.0,0.7017308061317857,0.0,0.30000000000000004,1.0017308061317858,-0.00009731811194712719
2022-04-11,17:45:00.000000000,350.07,172.79,47.83,162.8,37.83,172.79,-0.012853584391295445,40.050970846971936,1.236343394892902,-0.1060203994893388,65.09012103686436,2.8507392135978327,2.1554917407820864,-22.377417889736705,-2.5346691319991024,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.11151255377878,0.0,0.0,0.0002376180687507766,0.0,0.0,0.0,0.0,0.0,-0.0016682913238815766,0.0,0.0,0.0,0.0,0.0,0.7018975500507216,0.0,0.30000000000000004,1.0018975500507217,0.00016645581618856598
2022-04-11,17:46:00.000000000,350.1348,172.81,47.805,162.8,37.83,172.81,,,,-0.10850365333274364,65.46939476257066,2.845203287191103,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.08651255377879,0.0,0.0,0.00039612424086180167,0.0,0.0,0.0,0.0,0.0,-0.0014310696712933613,0.0,0.0,0.0,0.0,0.0,0.7021755886848983,0.0,0.30000000000000004,1.0021755886848984,0.0002775120411889132
2022-04-11,17:47:00.000000000,350.02,172.77,47.8137,162.91,37.84,172.77,,,,-0.11059831858907966,65.83127208134697,2.8387526016665148,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.1055379000989,0.0,0.0,0.00002576376874110107,0.0,0.0,0.0,0.0,0.0,-0.0010355123118186427,0.0,0.0,0.0,0.0,0.0,0.7021936793743808,0.0,0.30000000000000004,1.0021936793743809,0.000018051417023818344
2022-04-11,17:48:00.000000000,349.915,172.79,47.825,162.92,37.85,172.79,,,,-0.11273208263017807,66.19131090210861,2.832220108983065,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.117776567946194,0.0,0.0,-0.00016419053695607486,0.0,0.0,0.0,0.0,0.0,-0.0010097752217772538,0.0,0.0,0.0,0.0,0.0,0.7020783858171172,0.0,0.30000000000000004,1.0020783858171174,-0.0001150411937694976
2022-04-11,17:49:00.000000000,349.35,172.82,47.825,162.835,37.87,172.82,-0.013390736603628065,40.184187099839,1.24525111444513,-0.11483006645476669,66.52335387116193,2.8242797728214684,2.164863910534982,-24.78178101865558,-2.5524258174822947,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.109797891244284,0.0,0.0,-0.00012640934354398668,0.0,0.0,0.0,0.0,0.0,-0.0011737999631974416,0.0,0.0,0.0,0.0,0.0,0.7019896365492496,0.0,0.30000000000000004,1.0019896365492498,-0.00008856519522197647
