date,time,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,POS_INTC_ON_CTAS,POS_BETA_INTC_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_RET_INTC_ON_CTAS,SL_INTC_ON_CTAS,LOSS_INTC_ON_CTAS,COOLDOWN_INTC_ON_CTAS,CAPITAL_INTC_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-02-12,18:18:00.000000000,44.965,153.3475,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566422798075424,0.9566422798075424,0.0
2024-02-12,18:19:00.000000000,44.96,153.3738,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566422798075424,0.9566422798075424,0.0
2024-02-12,18:20:00.000000000,44.95,153.3738,-0.22508520078807745,79.47217256863044,3.0840032502263424,0,-1.0,0.0,0.0,79.47217256863044,0.0,0.0,0.0,0.0,0.5736983752005831,0.382656911923017,0.9563552871236001,-0.0003000000000000156
2024-02-12,18:21:00.000000000,44.935,153.3738,,,,0,0.0,-1.0,-0.22508520078807745,79.45717256863043,0.00018874531191482284,0.0,0.0,0.0,0.5738066580793554,0.382656911923017,0.9564635700023724,0.00011322453091462619
2024-02-12,18:22:00.000000000,44.905,153.3338,,,,0,0.0,-1.0,-0.22508520078807745,79.41816916059891,0.0004908733443520164,0.0,0.0,0.0,0.5740883244726183,0.382656911923017,0.9567452363956352,0.00029448731984866065
2024-02-12,18:23:00.000000000,44.78,153.3188,-0.2279433411898348,79.72799953921606,3.05633674363761,0,-1.0,-1.0,-0.22508520078807745,79.2897928825871,0.0016164598021922686,0.0,0.0,0.0,0.0,0.9564566929237663,0.9564566929237663,-0.0003015886161669774
2024-02-12,18:24:00.000000000,44.74,153.2883,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9564566929237663,0.9564566929237663,0.0
2024-02-12,18:25:00.000000000,44.755,153.26,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9564566929237663,0.9564566929237663,0.0
2024-02-12,18:26:00.000000000,44.7,153.26,-0.23073324906474377,80.06217775166263,3.0364999564780004,0,-1.0,0.0,0.0,80.06217775166263,0.0,0.0,0.0,0.0,0.5735870787463827,0.38258267716950656,0.9561697559158893,-0.00029999999999994257
2024-02-12,18:27:00.000000000,44.73,153.2225,,,,0,0.0,-1.0,-0.23073324906474377,80.08352525482269,-0.0002666365537329485,0.0,0.0,0.0,0.57343413946444,0.38258267716950656,0.9560168166339466,-0.000159949926251551
2024-02-12,18:28:00.000000000,44.68,153.2388,,,,0,0.0,-1.0,-0.23073324906474377,80.03728620678245,0.0005773852723528834,0.0,-0.0002666365537330462,0.0,0.5737652318912312,0.38258267716950656,0.9563479090607377,0.0003463248982972275
