,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSCO_beta_win,params_AAPL_CSCO_stop_loss,params_AAPL_CSCO_trade_freq,params_AAPL_CSCO_z_entry,params_AAPL_CSCO_z_exit,params_AAPL_CSCO_z_stop_scaler,params_AAPL_CSCO_z_win,params_ADI_CERN_beta_win,params_ADI_CERN_stop_loss,params_ADI_CERN_trade_freq,params_ADI_CERN_z_entry,params_ADI_CERN_z_exit,params_ADI_CERN_z_stop_scaler,params_ADI_CERN_z_win,params_ADSK_CSCO_beta_win,params_ADSK_CSCO_stop_loss,params_ADSK_CSCO_trade_freq,params_ADSK_CSCO_z_entry,params_ADSK_CSCO_z_exit,params_ADSK_CSCO_z_stop_scaler,params_ADSK_CSCO_z_win,params_AMAT_CERN_beta_win,params_AMAT_CERN_stop_loss,params_AMAT_CERN_trade_freq,params_AMAT_CERN_z_entry,params_AMAT_CERN_z_exit,params_AMAT_CERN_z_stop_scaler,params_AMAT_CERN_z_win,params_AMAT_CSCO_beta_win,params_AMAT_CSCO_stop_loss,params_AMAT_CSCO_trade_freq,params_AMAT_CSCO_z_entry,params_AMAT_CSCO_z_exit,params_AMAT_CSCO_z_stop_scaler,params_AMAT_CSCO_z_win,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_CERN_beta_win,params_ANSS_CERN_stop_loss,params_ANSS_CERN_trade_freq,params_ANSS_CERN_z_entry,params_ANSS_CERN_z_exit,params_ANSS_CERN_z_stop_scaler,params_ANSS_CERN_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_BKNG_CSCO_beta_win,params_BKNG_CSCO_stop_loss,params_BKNG_CSCO_trade_freq,params_BKNG_CSCO_z_entry,params_BKNG_CSCO_z_exit,params_BKNG_CSCO_z_stop_scaler,params_BKNG_CSCO_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CERN_CSCO_beta_win,params_CERN_CSCO_stop_loss,params_CERN_CSCO_trade_freq,params_CERN_CSCO_z_entry,params_CERN_CSCO_z_exit,params_CERN_CSCO_z_stop_scaler,params_CERN_CSCO_z_win,params_CERN_DOCU_beta_win,params_CERN_DOCU_stop_loss,params_CERN_DOCU_trade_freq,params_CERN_DOCU_z_entry,params_CERN_DOCU_z_exit,params_CERN_DOCU_z_stop_scaler,params_CERN_DOCU_z_win,params_CERN_MELI_beta_win,params_CERN_MELI_stop_loss,params_CERN_MELI_trade_freq,params_CERN_MELI_z_entry,params_CERN_MELI_z_exit,params_CERN_MELI_z_stop_scaler,params_CERN_MELI_z_win,params_CERN_PYPL_beta_win,params_CERN_PYPL_stop_loss,params_CERN_PYPL_trade_freq,params_CERN_PYPL_z_entry,params_CERN_PYPL_z_exit,params_CERN_PYPL_z_stop_scaler,params_CERN_PYPL_z_win,params_CHTR_FISV_beta_win,params_CHTR_FISV_stop_loss,params_CHTR_FISV_trade_freq,params_CHTR_FISV_z_entry,params_CHTR_FISV_z_exit,params_CHTR_FISV_z_stop_scaler,params_CHTR_FISV_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_CTSH_SBUX_beta_win,params_CTSH_SBUX_stop_loss,params_CTSH_SBUX_trade_freq,params_CTSH_SBUX_z_entry,params_CTSH_SBUX_z_exit,params_CTSH_SBUX_z_stop_scaler,params_CTSH_SBUX_z_win,params_CTSH_XLNX_beta_win,params_CTSH_XLNX_stop_loss,params_CTSH_XLNX_trade_freq,params_CTSH_XLNX_z_entry,params_CTSH_XLNX_z_exit,params_CTSH_XLNX_z_stop_scaler,params_CTSH_XLNX_z_win,params_EBAY_INCY_beta_win,params_EBAY_INCY_stop_loss,params_EBAY_INCY_trade_freq,params_EBAY_INCY_z_entry,params_EBAY_INCY_z_exit,params_EBAY_INCY_z_stop_scaler,params_EBAY_INCY_z_win,params_EXC_VRTX_beta_win,params_EXC_VRTX_stop_loss,params_EXC_VRTX_trade_freq,params_EXC_VRTX_z_entry,params_EXC_VRTX_z_exit,params_EXC_VRTX_z_stop_scaler,params_EXC_VRTX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_QCOM_beta_win,params_NXPI_QCOM_stop_loss,params_NXPI_QCOM_trade_freq,params_NXPI_QCOM_z_entry,params_NXPI_QCOM_z_exit,params_NXPI_QCOM_z_stop_scaler,params_NXPI_QCOM_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
36,36,1.0343269488945384,2025-06-22 16:19:06.359276,2025-06-22 16:19:30.268155,0 days 00:00:23.908879,2696.0,0.01,3m,2.6,0.8,0.5,288.0,,,,,,,,3648.0,0.02,5m,2.4000000000000004,1.0,1.5,824.0,7504.0,0.015,3m,1.0,0.2,0.5,952.0,2032.0,0.04,4m,1.2,0.8,2.0,488.0,7872.0,0.015,1m,3.0,0.8,1.5,232.0,3368.0,0.035,5m,1.8,1.0,2.0,816.0,6424.0,0.01,5m,2.6,1.0,1.0,920.0,2240,0.02,5m,2.4000000000000004,0.4,1.5,720,4352.0,0.015,1m,2.8,0.6000000000000001,2.0,424.0,4912,0.01,5m,2.2,1.0,1.0,856,5592.0,0.045000000000000005,5m,1.0,0.6000000000000001,0.5,416.0,7000,0.03,2m,1.6,1.0,0.5,224,6016.0,0.01,3m,2.8,1.0,0.5,208.0,6176.0,0.02,3m,3.0,0.2,1.0,488.0,,,,,,,,2912.0,0.035,2m,2.8,0.0,0.5,544.0,3920.0,0.01,3m,2.6,0.2,2.0,896.0,4128,0.045000000000000005,3m,3.0,1.0,0.5,1016,1472,0.015,3m,2.2,0.6000000000000001,0.5,424,4496.0,0.03,2m,2.0,0.6000000000000001,1.0,528.0,2136.0,0.035,5m,1.4,1.0,0.5,432.0,2480,0.05,5m,2.8,0.2,2.0,824,1304,0.05,4m,2.2,0.0,1.5,240,1128.0,0.01,4m,2.4000000000000004,0.2,2.0,608.0,7216,0.025,3m,1.6,0.4,1.5,984,7328.0,0.035,5m,1.0,0.8,1.5,896.0,4384,0.015,5m,3.0,0.8,2.0,960,3488,0.03,1m,1.8,0.0,0.5,864,8152.0,0.035,1m,2.4000000000000004,0.0,1.0,776.0,0.1,28,COMPLETE
37,37,0.9690464017595033,2025-06-22 16:19:30.339380,2025-06-22 16:19:56.203855,0 days 00:00:25.864475,2480.0,0.015,3m,2.6,0.8,0.5,384.0,,,,,,,,3816.0,0.015,5m,2.2,1.0,2.0,816.0,7832.0,0.01,3m,1.2,0.2,0.5,1016.0,3528.0,0.05,4m,1.6,0.8,2.0,648.0,8120.0,0.01,1m,3.0,0.8,1.0,208.0,4504.0,0.035,5m,1.8,1.0,2.0,880.0,6360.0,0.01,5m,2.6,1.0,1.0,944.0,2256,0.025,5m,2.6,0.4,1.5,728,4128.0,0.02,1m,3.0,0.6000000000000001,2.0,536.0,5784,0.01,5m,2.4000000000000004,1.0,1.0,784,5624.0,0.045000000000000005,5m,1.0,0.6000000000000001,0.5,496.0,7760,0.035,2m,1.6,1.0,0.5,160,6120.0,0.01,3m,2.4000000000000004,1.0,0.5,192.0,6256.0,0.02,3m,3.0,0.4,1.0,488.0,8056.0,0.01,1m,1.0,1.0,0.5,1016.0,4064.0,0.035,2m,2.8,0.0,0.5,496.0,4280.0,0.01,3m,2.8,0.2,2.0,896.0,4184,0.045000000000000005,3m,2.8,1.0,0.5,1000,1112,0.01,3m,2.2,0.6000000000000001,0.5,416,4480.0,0.03,2m,2.2,0.6000000000000001,1.0,552.0,2808.0,0.035,5m,1.4,1.0,0.5,320.0,2472,0.05,5m,2.8,0.0,2.0,848,1984,0.05,4m,2.0,0.0,2.0,312,2176.0,0.01,4m,2.8,0.2,1.5,504.0,6536,0.025,3m,1.4,0.2,1.5,1024,5728.0,0.04,5m,1.0,0.8,1.0,904.0,3568,0.01,5m,3.0,0.8,2.0,944,3448,0.03,1m,1.8,0.0,0.5,848,7392.0,0.035,1m,2.6,0.0,1.0,736.0,0.1,29,COMPLETE
38,38,1.0183528837355702,2025-06-22 16:19:56.263513,2025-06-22 16:20:20.334632,0 days 00:00:24.071119,1392.0,0.015,3m,3.0,1.0,0.5,528.0,,,,,,,,3512.0,0.02,4m,3.0,0.8,1.5,824.0,7232.0,0.015,1m,1.0,0.2,0.5,952.0,1760.0,0.035,4m,1.4,0.8,2.0,416.0,3088.0,0.015,4m,2.8,0.6000000000000001,0.5,336.0,1720.0,0.04,5m,1.8,1.0,2.0,1024.0,6544.0,0.015,5m,2.6,1.0,1.5,760.0,1336,0.02,5m,2.2,0.4,1.5,808,3360.0,0.015,1m,2.8,0.8,2.0,744.0,6624,0.015,5m,2.2,0.8,1.0,856,4144.0,0.045000000000000005,3m,1.0,0.8,0.5,384.0,7104,0.025,2m,1.4,0.8,0.5,200,6688.0,0.045000000000000005,3m,3.0,1.0,0.5,248.0,5848.0,0.02,3m,3.0,0.2,1.0,280.0,,,,,,,,2400.0,0.03,2m,3.0,0.0,0.5,536.0,3576.0,0.01,3m,2.6,0.0,2.0,808.0,2632,0.05,3m,2.8,1.0,0.5,1024,1768,0.025,3m,2.2,0.6000000000000001,1.5,368,4560.0,0.025,2m,2.0,0.6000000000000001,1.0,472.0,7320.0,0.035,5m,1.2,1.0,0.5,208.0,1632,0.05,5m,2.6,0.2,2.0,928,2712,0.045000000000000005,4m,2.2,0.0,1.5,224,2272.0,0.015,4m,2.4000000000000004,0.0,2.0,672.0,5392,0.015,3m,1.6,0.4,1.5,952,6752.0,0.02,5m,1.4,0.8,1.5,664.0,3256,0.015,5m,2.8,1.0,2.0,840,2176,0.025,1m,1.2,0.0,0.5,888,7608.0,0.04,1m,2.8,0.0,0.5,856.0,0.1,28,COMPLETE
39,39,0.924454079085733,2025-06-22 16:20:20.403913,2025-06-22 16:20:44.456718,0 days 00:00:24.052805,1144.0,0.015,3m,3.0,1.0,0.5,544.0,,,,,,,,3568.0,0.02,4m,3.0,0.8,1.5,768.0,7360.0,0.015,1m,1.0,0.2,0.5,952.0,1872.0,0.035,4m,1.4,0.8,2.0,432.0,3096.0,0.015,4m,2.8,0.6000000000000001,0.5,328.0,1392.0,0.04,5m,1.8,1.0,2.0,1024.0,6808.0,0.015,5m,2.6,1.0,1.5,768.0,1392,0.025,5m,2.2,0.4,1.5,816,3128.0,0.015,1m,2.8,0.8,2.0,640.0,7088,0.015,5m,2.2,0.8,0.5,944,4248.0,0.045000000000000005,3m,1.0,0.8,0.5,392.0,7064,0.03,2m,1.4,0.8,0.5,208,6712.0,0.05,3m,3.0,1.0,0.5,248.0,5064.0,0.02,3m,3.0,0.2,1.0,256.0,,,,,,,,2336.0,0.03,2m,3.0,0.0,0.5,552.0,3584.0,0.01,3m,2.6,0.0,2.0,784.0,2776,0.05,3m,2.8,1.0,0.5,1024,1656,0.025,3m,2.6,0.6000000000000001,1.5,344,4704.0,0.025,2m,2.0,0.6000000000000001,1.0,488.0,7248.0,0.035,5m,1.2,1.0,0.5,528.0,1624,0.05,5m,3.0,0.2,2.0,944,2728,0.045000000000000005,4m,2.2,0.0,1.5,168,1040.0,0.01,4m,2.4000000000000004,0.0,2.0,664.0,7544,0.015,3m,1.4,0.4,1.5,968,6832.0,0.02,5m,1.4,0.8,1.5,680.0,3192,0.015,5m,2.8,1.0,2.0,1024,1496,0.025,1m,1.2,0.0,0.5,880,7512.0,0.04,1m,3.0,0.0,0.5,888.0,0.15000000000000002,28,COMPLETE
40,40,1.0287677919059297,2025-06-22 16:20:44.512899,2025-06-22 16:21:06.948792,0 days 00:00:22.435893,1800.0,0.015,3m,2.6,0.8,0.5,248.0,,,,,,,,,,,,,,,6320.0,0.015,1m,1.4,0.2,0.5,944.0,3104.0,0.045000000000000005,4m,1.0,0.6000000000000001,2.0,392.0,2528.0,0.01,4m,3.0,0.8,0.5,128.0,1880.0,0.04,5m,1.6,1.0,2.0,896.0,6288.0,0.01,5m,2.8,0.8,1.5,920.0,2944,0.02,5m,2.4000000000000004,0.4,1.5,928,4576.0,0.015,1m,2.8,0.8,2.0,752.0,7280,0.01,5m,2.0,1.0,1.0,864,5408.0,0.04,3m,1.0,0.6000000000000001,0.5,320.0,7904,0.03,2m,1.0,1.0,0.5,208,5464.0,0.045000000000000005,3m,2.8,1.0,0.5,312.0,5792.0,0.015,3m,2.8,0.2,1.0,272.0,,,,,,,,2944.0,0.025,2m,2.6,0.0,0.5,456.0,4712.0,0.01,3m,2.6,0.0,2.0,936.0,3448,0.05,3m,3.0,1.0,0.5,960,1504,0.015,3m,2.2,0.6000000000000001,1.5,416,,,,,,,,5960.0,0.04,5m,1.4,1.0,0.5,400.0,3128,0.045000000000000005,5m,2.6,0.2,2.0,944,1352,0.05,4m,1.8,0.0,1.5,232,2136.0,0.015,4m,2.2,0.2,2.0,544.0,5296,0.015,3m,1.8,0.4,1.5,960,7808.0,0.02,5m,1.2,1.0,1.5,448.0,4640,0.02,5m,3.0,1.0,2.0,832,2384,0.015,1m,1.4,0.2,0.5,1000,7680.0,0.035,1m,2.8,0.0,1.0,952.0,0.2,26,COMPLETE
41,41,0.9478034296045698,2025-06-22 16:21:07.031789,2025-06-22 16:21:32.189074,0 days 00:00:25.157285,2336.0,0.015,3m,2.6,0.8,0.5,344.0,,,,,,,,2936.0,0.025,4m,2.6,1.0,1.5,904.0,6344.0,0.015,1m,1.4,0.2,0.5,952.0,1696.0,0.045000000000000005,4m,1.0,0.6000000000000001,2.0,360.0,2328.0,0.01,4m,3.0,0.8,0.5,128.0,1840.0,0.04,5m,1.6,1.0,2.0,912.0,6320.0,0.01,5m,2.8,0.8,1.5,920.0,2960,0.02,5m,2.4000000000000004,0.4,1.5,936,4576.0,0.015,1m,2.8,0.8,2.0,744.0,7416,0.01,5m,2.0,1.0,1.0,848,5312.0,0.04,3m,1.0,0.6000000000000001,0.5,344.0,7760,0.03,2m,1.0,1.0,0.5,208,5568.0,0.045000000000000005,3m,2.8,1.0,0.5,288.0,5744.0,0.015,3m,2.8,0.2,1.0,264.0,1248.0,0.025,2m,1.8,0.0,2.0,128.0,3000.0,0.025,2m,2.6,0.0,0.5,432.0,4720.0,0.01,3m,2.6,0.0,2.0,936.0,3608,0.05,3m,3.0,1.0,0.5,936,1408,0.015,3m,2.2,0.6000000000000001,1.5,384,3432.0,0.025,2m,1.8,0.6000000000000001,1.0,408.0,5928.0,0.05,5m,1.4,1.0,0.5,392.0,3112,0.045000000000000005,5m,2.6,0.2,2.0,936,1224,0.05,4m,1.8,0.0,1.5,216,2296.0,0.015,4m,2.2,0.2,2.0,560.0,5296,0.015,3m,1.8,0.4,1.5,944,7656.0,0.02,5m,1.2,1.0,1.5,448.0,4600,0.02,5m,3.0,1.0,2.0,928,2296,0.015,1m,1.4,0.2,0.5,984,7608.0,0.035,1m,2.8,0.0,1.0,968.0,0.2,29,COMPLETE
42,42,1.0386576746759362,2025-06-22 16:21:32.280431,2025-06-22 16:21:55.085696,0 days 00:00:22.805265,1712.0,0.01,3m,2.8,1.0,0.5,232.0,,,,,,,,,,,,,,,7056.0,0.01,1m,1.2,0.2,0.5,832.0,3152.0,0.035,4m,1.2,0.8,2.0,488.0,2896.0,0.015,4m,2.8,0.6000000000000001,0.5,208.0,2104.0,0.045000000000000005,5m,1.8,1.0,2.0,968.0,7344.0,0.01,5m,2.6,1.0,1.5,1024.0,2472,0.02,5m,2.2,0.4,1.5,896,3888.0,0.02,1m,2.6,0.6000000000000001,2.0,760.0,6416,0.015,5m,2.4000000000000004,1.0,1.0,888,5136.0,0.045000000000000005,3m,1.2,0.6000000000000001,0.5,304.0,7096,0.025,2m,1.2,1.0,0.5,280,6352.0,0.045000000000000005,3m,3.0,1.0,0.5,184.0,6440.0,0.015,3m,3.0,0.2,1.0,144.0,,,,,,,,3312.0,0.03,2m,2.8,0.0,0.5,456.0,3856.0,0.01,3m,2.6,0.2,2.0,1024.0,3336,0.045000000000000005,3m,2.8,1.0,0.5,960,2200,0.01,3m,2.2,0.6000000000000001,1.5,296,,,,,,,,7064.0,0.04,5m,1.2,1.0,0.5,208.0,2408,0.05,5m,2.6,0.2,2.0,792,1744,0.05,4m,2.0,0.0,1.5,256,2184.0,0.015,4m,2.6,0.0,2.0,432.0,6296,0.015,3m,1.6,0.4,1.5,856,8160.0,0.015,5m,1.0,0.8,1.5,448.0,4216,0.015,5m,2.8,1.0,2.0,832,2704,0.01,1m,1.6,0.0,0.5,880,7064.0,0.04,1m,2.8,0.0,1.0,840.0,0.1,26,COMPLETE
43,43,1.012499371697495,2025-06-22 16:21:55.136686,2025-06-22 16:22:17.277331,0 days 00:00:22.140645,1776.0,0.01,3m,2.8,0.8,0.5,224.0,,,,,,,,,,,,,,,7064.0,0.01,1m,1.2,0.0,0.5,920.0,2592.0,0.045000000000000005,4m,1.2,0.8,2.0,488.0,2912.0,0.015,4m,3.0,0.6000000000000001,0.5,184.0,1048.0,0.04,5m,1.8,1.0,2.0,976.0,7440.0,0.01,5m,2.8,1.0,1.5,1000.0,2456,0.02,5m,2.4000000000000004,0.4,1.5,888,3904.0,0.02,1m,2.6,0.6000000000000001,2.0,752.0,6584,0.01,5m,2.4000000000000004,0.8,1.0,872,5104.0,0.045000000000000005,3m,1.2,0.8,0.5,288.0,7224,0.025,2m,1.0,0.8,0.5,288,5816.0,0.045000000000000005,3m,3.0,1.0,0.5,208.0,6456.0,0.015,3m,3.0,0.4,1.0,296.0,,,,,,,,2496.0,0.02,2m,3.0,0.0,0.5,392.0,3768.0,0.015,3m,2.6,0.2,2.0,1016.0,3376,0.045000000000000005,3m,2.8,1.0,0.5,960,2312,0.01,3m,2.2,0.4,1.5,288,,,,,,,,7200.0,0.04,5m,1.0,1.0,0.5,216.0,2512,0.05,5m,2.8,0.2,2.0,792,1848,0.05,4m,1.6,0.0,1.5,240,2104.0,0.015,4m,2.6,0.0,2.0,416.0,6192,0.015,3m,1.6,0.6000000000000001,1.5,856,8112.0,0.01,5m,1.0,1.0,1.5,464.0,3952,0.015,5m,2.8,1.0,2.0,808,2720,0.01,1m,1.4,0.0,0.5,1024,7080.0,0.04,1m,2.8,0.2,1.0,832.0,0.1,26,COMPLETE
44,44,0.9793827881024937,2025-06-22 16:22:17.335354,2025-06-22 16:22:43.691789,0 days 00:00:26.356435,1736.0,0.01,3m,2.8,1.0,1.0,216.0,4392.0,0.04,3m,1.0,0.2,0.5,128.0,4672.0,0.015,2m,3.0,0.8,2.0,520.0,7736.0,0.015,1m,1.0,0.4,0.5,992.0,3232.0,0.035,4m,1.0,0.8,2.0,544.0,1448.0,0.02,4m,2.8,0.6000000000000001,0.5,240.0,1496.0,0.035,5m,1.4,0.8,2.0,800.0,5640.0,0.01,5m,2.4000000000000004,1.0,1.5,816.0,3208,0.025,5m,2.6,0.2,1.5,816,3088.0,0.01,1m,2.8,0.8,2.0,808.0,7352,0.015,5m,2.2,1.0,1.0,768,4560.0,0.035,3m,1.2,0.6000000000000001,0.5,448.0,6656,0.03,2m,1.2,1.0,0.5,216,5072.0,0.045000000000000005,3m,2.8,1.0,0.5,328.0,5832.0,0.01,3m,3.0,0.0,1.0,176.0,5328.0,0.03,2m,3.0,0.6000000000000001,1.0,736.0,1536.0,0.025,2m,2.8,0.0,0.5,464.0,4368.0,0.015,3m,2.8,0.0,2.0,936.0,4400,0.05,3m,2.6,0.8,0.5,1024,1480,0.01,3m,2.6,0.6000000000000001,1.5,216,5960.0,0.04,2m,1.6,0.4,1.0,680.0,7368.0,0.045000000000000005,5m,1.6,1.0,0.5,424.0,3728,0.045000000000000005,5m,2.4000000000000004,0.0,2.0,920,2488,0.045000000000000005,4m,1.8,0.0,1.5,160,1864.0,0.015,4m,2.4000000000000004,0.2,2.0,688.0,5448,0.02,3m,1.6,0.2,1.5,976,7560.0,0.015,5m,1.2,0.6000000000000001,1.5,352.0,5072,0.02,5m,2.6,1.0,2.0,824,2208,0.01,1m,1.6,0.0,0.5,856,8184.0,0.045000000000000005,1m,2.8,0.0,1.0,936.0,0.15000000000000002,30,COMPLETE
45,45,0.9780925894146507,2025-06-22 16:22:43.762587,2025-06-22 16:23:09.242694,0 days 00:00:25.480107,3000.0,0.015,3m,3.0,0.6000000000000001,0.5,368.0,,,,,,,,1072.0,0.025,1m,2.4000000000000004,1.0,1.0,744.0,7056.0,0.02,1m,1.2,0.0,0.5,816.0,3048.0,0.045000000000000005,4m,1.2,0.8,2.0,416.0,3592.0,0.015,4m,3.0,0.8,0.5,176.0,2080.0,0.045000000000000005,5m,1.6,1.0,2.0,1024.0,7896.0,0.01,5m,3.0,0.8,1.5,1024.0,2280,0.03,5m,2.0,0.4,1.5,944,4744.0,0.02,1m,3.0,0.6000000000000001,2.0,712.0,5824,0.01,5m,2.6,0.8,1.0,672,6008.0,0.04,3m,1.0,0.6000000000000001,0.5,320.0,7680,0.035,2m,1.2,0.8,0.5,384,7320.0,0.04,2m,3.0,0.8,0.5,200.0,4936.0,0.015,3m,2.8,0.2,1.0,384.0,,,,,,,,2840.0,0.03,2m,2.8,0.0,0.5,528.0,3304.0,0.01,2m,3.0,0.2,2.0,944.0,2648,0.045000000000000005,3m,3.0,1.0,0.5,904,2008,0.025,3m,2.0,0.4,1.5,448,,,,,,,,6688.0,0.04,5m,1.2,1.0,0.5,536.0,2336,0.05,5m,2.8,0.2,2.0,984,1960,0.05,1m,2.0,0.0,2.0,320,2616.0,0.02,4m,2.2,0.0,2.0,448.0,5080,0.01,3m,1.8,0.4,1.5,904,8192.0,0.015,5m,1.0,0.8,1.5,416.0,2872,0.015,5m,2.8,1.0,1.5,856,3376,0.015,2m,1.0,0.0,0.5,800,7152.0,0.035,1m,2.6,0.0,0.5,848.0,0.25,27,COMPLETE
46,46,0.968541908568066,2025-06-22 16:23:09.283705,2025-06-22 16:23:33.498975,0 days 00:00:24.215270,1800.0,0.01,3m,2.8,0.8,0.5,232.0,,,,,,,,4320.0,0.02,4m,2.2,0.6000000000000001,1.5,928.0,7672.0,0.01,1m,1.0,0.2,0.5,888.0,4256.0,0.04,4m,1.0,0.6000000000000001,2.0,648.0,2168.0,0.025,4m,2.4000000000000004,0.6000000000000001,0.5,280.0,2112.0,0.04,5m,1.8,0.8,1.5,960.0,6888.0,0.015,5m,2.6,1.0,1.5,888.0,2048,0.02,5m,2.8,0.4,1.5,1024,3664.0,0.01,1m,2.6,0.8,2.0,872.0,6400,0.015,5m,2.8,1.0,1.0,712,4968.0,0.045000000000000005,3m,1.2,0.8,0.5,480.0,5984,0.04,2m,1.0,1.0,0.5,160,4760.0,0.04,3m,2.8,0.8,0.5,136.0,5344.0,0.025,3m,3.0,0.4,1.0,304.0,,,,,,,,3248.0,0.02,2m,3.0,0.0,0.5,376.0,5008.0,0.02,3m,2.2,0.0,2.0,1024.0,3280,0.05,3m,3.0,1.0,0.5,960,1064,0.01,3m,2.0,0.6000000000000001,1.5,392,3168.0,0.02,2m,2.4000000000000004,0.8,1.5,360.0,5840.0,0.035,5m,1.2,1.0,0.5,208.0,3048,0.04,5m,3.0,0.0,2.0,832,3104,0.04,4m,2.2,0.0,1.5,224,1680.0,0.01,4m,2.6,0.2,2.0,600.0,4672,0.015,3m,1.2,0.6000000000000001,1.5,856,6296.0,0.02,5m,1.4,1.0,2.0,336.0,3680,0.02,5m,2.4000000000000004,1.0,2.0,744,4192,0.01,1m,1.2,0.0,0.5,952,6696.0,0.04,1m,3.0,0.2,1.0,800.0,0.2,28,COMPLETE
