,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_ASML_PAYX_beta_win,params_ASML_PAYX_stop_loss,params_ASML_PAYX_trade_freq,params_ASML_PAYX_z_entry,params_ASML_PAYX_z_exit,params_ASML_PAYX_z_stop_scaler,params_ASML_PAYX_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GFS_SNPS_beta_win,params_GFS_SNPS_stop_loss,params_GFS_SNPS_trade_freq,params_GFS_SNPS_z_entry,params_GFS_SNPS_z_exit,params_GFS_SNPS_z_stop_scaler,params_GFS_SNPS_z_win,params_GILD_META_beta_win,params_GILD_META_stop_loss,params_GILD_META_trade_freq,params_GILD_META_z_entry,params_GILD_META_z_exit,params_GILD_META_z_stop_scaler,params_GILD_META_z_win,params_PYPL_ASML_beta_win,params_PYPL_ASML_stop_loss,params_PYPL_ASML_trade_freq,params_PYPL_ASML_z_entry,params_PYPL_ASML_z_exit,params_PYPL_ASML_z_stop_scaler,params_PYPL_ASML_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.9814432530673103,2025-06-22 17:32:28.568477,2025-06-22 17:32:32.915831,0 days 00:00:04.347354,7496,0.025,9m,2.4000000000000004,0.8,1.0,472,,,,,,,,6120.0,0.045000000000000005,6m,1.2,0.0,1.0,408.0,,,,,,,,,,,,,,,5800.0,0.02,2m,1.8,0.4,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
31,31,1.0308348564212952,2025-06-22 17:32:32.939604,2025-06-22 17:32:35.102071,0 days 00:00:02.162467,7680,0.035,9m,1.6,0.6000000000000001,1.0,1024,,,,,,,,3080.0,0.025,8m,1.8,0.2,1.5,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
32,32,1.0316430527084521,2025-06-22 17:32:35.134672,2025-06-22 17:32:37.252413,0 days 00:00:02.117741,7560,0.035,9m,1.4,0.6000000000000001,1.0,944,,,,,,,,3632.0,0.03,8m,2.0,0.2,1.5,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
33,33,1.0,2025-06-22 17:32:37.290175,2025-06-22 17:32:41.767054,0 days 00:00:04.476879,5664,0.03,9m,2.0,0.6000000000000001,1.0,944,3000.0,0.02,6m,2.0,0.8,1.0,1024.0,3752.0,0.03,8m,2.0,0.2,1.0,288.0,,,,,,,,,,,,,,,4088.0,0.01,4m,2.6,0.2,1.5,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
34,34,0.971639708573722,2025-06-22 17:32:41.813674,2025-06-22 17:32:44.655062,0 days 00:00:02.841388,6832,0.025,3m,1.4,0.4,0.5,864,,,,,,,,4904.0,0.04,8m,2.4000000000000004,0.4,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
35,35,1.0027999594085188,2025-06-22 17:32:44.687954,2025-06-22 17:32:47.234544,0 days 00:00:02.546590,5936,0.035,2m,1.2,0.6000000000000001,1.0,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
36,36,1.045761424009209,2025-06-22 17:32:47.285404,2025-06-22 17:32:51.331614,0 days 00:00:04.046210,7328,0.02,9m,1.4,0.8,0.5,848,,,,,,,,2688.0,0.03,8m,2.2,0.0,1.0,624.0,,,,,,,,,,,,,,,1024.0,0.04,2m,2.0,0.8,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
37,37,1.0305267482608966,2025-06-22 17:32:51.359388,2025-06-22 17:32:55.707863,0 days 00:00:04.348475,5200,0.02,6m,1.2,0.8,0.5,840,,,,,,,,1656.0,0.03,8m,2.2,0.0,1.0,536.0,,,,,,,,,,,,,,,2176.0,0.04,2m,2.0,0.8,0.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
38,38,0.9996938025159516,2025-06-22 17:32:55.752117,2025-06-22 17:32:59.841063,0 days 00:00:04.088946,7256,0.015,9m,1.4,1.0,0.5,656,,,,,,,,3448.0,0.03,8m,2.2,0.0,1.0,624.0,,,,,,,,,,,,,,,2328.0,0.035,2m,1.6,1.0,0.5,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
39,39,0.9982646936592849,2025-06-22 17:32:59.875157,2025-06-22 17:33:08.544896,0 days 00:00:08.669739,6616,0.01,2m,1.2,0.8,0.5,880,6720.0,0.04,4m,2.8,0.4,1.5,424.0,2664.0,0.035,5m,2.6,0.2,1.5,616.0,,,,,,,,1256.0,0.025,9m,2.6,0.2,1.0,400.0,1144.0,0.04,2m,2.0,0.6000000000000001,1.0,616.0,5656.0,0.01,7m,2.2,0.8,1.0,224.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
40,40,0.8860656427015744,2025-06-22 17:33:08.575904,2025-06-22 17:33:14.155956,0 days 00:00:05.580052,6080,0.02,3m,1.0,0.8,0.5,256,2808.0,0.015,8m,2.2,1.0,0.5,656.0,3936.0,0.02,8m,1.6,0.0,1.0,480.0,,,,,,,,4456.0,0.04,5m,1.6,0.2,1.0,440.0,5088.0,0.045000000000000005,8m,2.6,0.8,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
41,41,1.0295505254868098,2025-06-22 17:33:14.182448,2025-06-22 17:33:16.452866,0 days 00:00:02.270418,7560,0.025,9m,1.4,0.6000000000000001,1.0,952,,,,,,,,3272.0,0.03,8m,2.0,0.2,1.0,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
