,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_QCOM_beta_win,params_ADP_QCOM_stop_loss,params_ADP_QCOM_trade_freq,params_ADP_QCOM_z_entry,params_ADP_QCOM_z_exit,params_ADP_QCOM_z_stop_scaler,params_ADP_QCOM_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_ATVI_NFLX_beta_win,params_ATVI_NFLX_stop_loss,params_ATVI_NFLX_trade_freq,params_ATVI_NFLX_z_entry,params_ATVI_NFLX_z_exit,params_ATVI_NFLX_z_stop_scaler,params_ATVI_NFLX_z_win,params_AVGO_CTAS_beta_win,params_AVGO_CTAS_stop_loss,params_AVGO_CTAS_trade_freq,params_AVGO_CTAS_z_entry,params_AVGO_CTAS_z_exit,params_AVGO_CTAS_z_stop_scaler,params_AVGO_CTAS_z_win,params_BIDU_CTAS_beta_win,params_BIDU_CTAS_stop_loss,params_BIDU_CTAS_trade_freq,params_BIDU_CTAS_z_entry,params_BIDU_CTAS_z_exit,params_BIDU_CTAS_z_stop_scaler,params_BIDU_CTAS_z_win,params_CERN_INCY_beta_win,params_CERN_INCY_stop_loss,params_CERN_INCY_trade_freq,params_CERN_INCY_z_entry,params_CERN_INCY_z_exit,params_CERN_INCY_z_stop_scaler,params_CERN_INCY_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CMCSA_FOXA_beta_win,params_CMCSA_FOXA_stop_loss,params_CMCSA_FOXA_trade_freq,params_CMCSA_FOXA_z_entry,params_CMCSA_FOXA_z_exit,params_CMCSA_FOXA_z_stop_scaler,params_CMCSA_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CSCO_ROST_beta_win,params_CSCO_ROST_stop_loss,params_CSCO_ROST_trade_freq,params_CSCO_ROST_z_entry,params_CSCO_ROST_z_exit,params_CSCO_ROST_z_stop_scaler,params_CSCO_ROST_z_win,params_EBAY_KLAC_beta_win,params_EBAY_KLAC_stop_loss,params_EBAY_KLAC_trade_freq,params_EBAY_KLAC_z_entry,params_EBAY_KLAC_z_exit,params_EBAY_KLAC_z_stop_scaler,params_EBAY_KLAC_z_win,params_EBAY_MCHP_beta_win,params_EBAY_MCHP_stop_loss,params_EBAY_MCHP_trade_freq,params_EBAY_MCHP_z_entry,params_EBAY_MCHP_z_exit,params_EBAY_MCHP_z_stop_scaler,params_EBAY_MCHP_z_win,params_EBAY_MXIM_beta_win,params_EBAY_MXIM_stop_loss,params_EBAY_MXIM_trade_freq,params_EBAY_MXIM_z_entry,params_EBAY_MXIM_z_exit,params_EBAY_MXIM_z_stop_scaler,params_EBAY_MXIM_z_win,params_FISV_QCOM_beta_win,params_FISV_QCOM_stop_loss,params_FISV_QCOM_trade_freq,params_FISV_QCOM_z_entry,params_FISV_QCOM_z_exit,params_FISV_QCOM_z_stop_scaler,params_FISV_QCOM_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_PAYX_beta_win,params_JD_PAYX_stop_loss,params_JD_PAYX_trade_freq,params_JD_PAYX_z_entry,params_JD_PAYX_z_exit,params_JD_PAYX_z_stop_scaler,params_JD_PAYX_z_win,params_KHC_MAR_beta_win,params_KHC_MAR_stop_loss,params_KHC_MAR_trade_freq,params_KHC_MAR_z_entry,params_KHC_MAR_z_exit,params_KHC_MAR_z_stop_scaler,params_KHC_MAR_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_KHC_SBUX_beta_win,params_KHC_SBUX_stop_loss,params_KHC_SBUX_trade_freq,params_KHC_SBUX_z_entry,params_KHC_SBUX_z_exit,params_KHC_SBUX_z_stop_scaler,params_KHC_SBUX_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MNST_ROST_beta_win,params_MNST_ROST_stop_loss,params_MNST_ROST_trade_freq,params_MNST_ROST_z_entry,params_MNST_ROST_z_exit,params_MNST_ROST_z_stop_scaler,params_MNST_ROST_z_win,params_NXPI_ROST_beta_win,params_NXPI_ROST_stop_loss,params_NXPI_ROST_trade_freq,params_NXPI_ROST_z_entry,params_NXPI_ROST_z_exit,params_NXPI_ROST_z_stop_scaler,params_NXPI_ROST_z_win,params_ORLY_ROST_beta_win,params_ORLY_ROST_stop_loss,params_ORLY_ROST_trade_freq,params_ORLY_ROST_z_entry,params_ORLY_ROST_z_exit,params_ORLY_ROST_z_stop_scaler,params_ORLY_ROST_z_win,params_PAYX_QCOM_beta_win,params_PAYX_QCOM_stop_loss,params_PAYX_QCOM_trade_freq,params_PAYX_QCOM_z_entry,params_PAYX_QCOM_z_exit,params_PAYX_QCOM_z_stop_scaler,params_PAYX_QCOM_z_win,params_buffer_capital,params_pairs_to_trade,state
42,42,0.9792290932391808,2025-06-22 16:19:44.072252,2025-06-22 16:20:14.146452,0 days 00:00:30.074200,3024.0,0.035,5m,1.8,0.8,1.0,944.0,7792.0,0.05,4m,1.0,0.4,1.5,944.0,6784.0,0.03,1m,1.2,0.4,1.0,728.0,1552.0,0.045000000000000005,1m,2.6,0.4,2.0,136.0,1160.0,0.01,4m,2.2,0.4,1.5,720.0,5680.0,0.015,3m,1.8,0.4,1.0,1008.0,5464,0.035,4m,2.2,0.0,0.5,936,6792.0,0.01,2m,2.8,0.2,2.0,304.0,6376.0,0.01,3m,1.0,1.0,1.5,448.0,2224.0,0.01,4m,2.6,0.4,1.0,800.0,4216,0.03,5m,1.8,0.4,1.0,744,8136.0,0.03,4m,1.4,0.2,0.5,648.0,5136.0,0.03,3m,2.6,0.4,1.5,624.0,5696,0.05,1m,1.6,0.8,1.5,888,5288.0,0.04,5m,1.2,0.6000000000000001,1.0,320.0,3736,0.02,5m,2.0,0.4,1.5,520,5896.0,0.025,5m,2.2,0.8,1.0,376.0,3936.0,0.05,3m,1.8,0.6000000000000001,1.5,488.0,2280,0.04,1m,1.6,0.2,1.5,872,1992,0.04,5m,1.6,0.6000000000000001,2.0,824,3520.0,0.025,1m,1.2,0.0,1.0,904.0,7976,0.05,1m,2.0,0.2,0.5,648,5720,0.015,5m,1.0,0.2,0.5,776,7488.0,0.02,1m,2.0,0.8,1.0,808.0,5072.0,0.015,5m,1.6,0.8,2.0,256.0,3744,0.015,2m,2.8,0.4,2.0,928,3608,0.035,2m,1.4,0.0,2.0,832,8112.0,0.05,4m,3.0,1.0,2.0,1008.0,5760.0,0.025,5m,1.2,0.4,1.0,576.0,3464.0,0.04,4m,2.4000000000000004,0.2,1.0,656.0,0.15000000000000002,30,COMPLETE
43,43,0.9463948081283964,2025-06-22 16:20:14.231287,2025-06-22 16:20:38.647368,0 days 00:00:24.416081,2368.0,0.045000000000000005,1m,2.4000000000000004,0.6000000000000001,1.5,752.0,,,,,,,,7512.0,0.035,1m,2.6,0.2,0.5,912.0,,,,,,,,,,,,,,,6104.0,0.04,3m,2.2,0.8,0.5,728.0,1176,0.035,4m,2.4000000000000004,0.2,1.0,664,7648.0,0.035,2m,2.4000000000000004,0.4,1.5,416.0,3560.0,0.02,2m,2.2,0.6000000000000001,1.0,880.0,5248.0,0.025,5m,1.8,0.2,0.5,648.0,4848,0.02,5m,2.0,0.6000000000000001,1.0,640,,,,,,,,,,,,,,,4104,0.045000000000000005,1m,2.2,0.8,1.5,432,2760.0,0.03,5m,1.4,0.4,1.5,400.0,5336,0.015,5m,2.2,0.8,1.5,736,5136.0,0.02,5m,2.4000000000000004,0.6000000000000001,0.5,280.0,2240.0,0.035,3m,3.0,1.0,1.0,680.0,3624,0.03,5m,1.0,1.0,2.0,744,2704,0.045000000000000005,5m,1.2,0.8,1.5,560,2312.0,0.015,1m,1.8,0.4,2.0,512.0,7720,0.045000000000000005,1m,3.0,0.4,1.5,1024,4904,0.02,5m,1.2,0.2,0.5,624,6784.0,0.015,1m,1.4,0.0,1.5,896.0,4632.0,0.03,5m,1.8,1.0,2.0,400.0,7488,0.03,2m,3.0,0.2,2.0,960,4320,0.035,2m,1.0,0.2,2.0,992,,,,,,,,7232.0,0.015,5m,1.8,0.0,1.5,320.0,,,,,,,,0.05,23,COMPLETE
44,44,0.9846170329207814,2025-06-22 16:20:38.700410,2025-06-22 16:21:05.595067,0 days 00:00:26.894657,4256.0,0.05,5m,2.0,0.8,2.0,1016.0,3008.0,0.025,5m,3.0,0.4,1.5,408.0,4832.0,0.015,4m,1.4,0.4,1.0,288.0,,,,,,,,6784.0,0.02,4m,1.6,0.2,1.0,392.0,7304.0,0.03,3m,1.6,0.4,1.0,832.0,3528,0.04,5m,1.4,1.0,1.0,896,3680.0,0.025,1m,1.8,0.0,0.5,544.0,5736.0,0.04,1m,1.4,0.8,2.0,648.0,3768.0,0.04,3m,1.4,0.0,1.5,448.0,3688,0.035,4m,2.2,0.8,0.5,896,1200.0,0.05,5m,1.0,1.0,2.0,352.0,6512.0,0.025,5m,1.8,0.8,1.0,304.0,5408,0.05,3m,1.0,0.8,1.0,816,3952.0,0.015,2m,1.8,0.2,1.0,752.0,4912,0.01,1m,2.6,0.0,1.5,816,6288.0,0.015,5m,2.2,0.2,1.5,144.0,7992.0,0.025,4m,2.4000000000000004,0.4,0.5,312.0,5336,0.04,1m,1.2,0.8,1.5,296,1352,0.05,3m,2.2,1.0,0.5,896,4904.0,0.03,4m,1.2,0.2,1.5,664.0,7216,0.04,2m,2.0,0.0,1.0,888,7576,0.01,2m,1.0,0.4,1.0,880,6728.0,0.025,4m,2.4000000000000004,0.8,0.5,704.0,6376.0,0.025,5m,1.4,0.8,1.5,848.0,3128,0.02,5m,2.2,0.6000000000000001,0.5,728,2336,0.025,2m,1.2,0.2,1.5,912,,,,,,,,4504.0,0.025,2m,2.2,0.6000000000000001,0.5,856.0,8136.0,0.025,2m,1.6,0.8,1.5,656.0,0.45,28,COMPLETE
45,45,0.9880894836758599,2025-06-22 16:21:05.654256,2025-06-22 16:21:36.013585,0 days 00:00:30.359329,3864.0,0.025,2m,2.6,0.4,1.0,600.0,3968.0,0.04,1m,2.2,1.0,1.0,408.0,6608.0,0.02,5m,2.2,0.0,1.5,456.0,,,,,,,,4024.0,0.04,5m,2.4000000000000004,0.8,2.0,976.0,6920.0,0.015,4m,1.0,0.6000000000000001,0.5,496.0,6048,0.01,3m,2.0,0.2,0.5,800,5120.0,0.045000000000000005,1m,2.2,0.2,2.0,184.0,3000.0,0.015,1m,1.6,1.0,1.5,896.0,2288.0,0.02,3m,2.4000000000000004,0.4,1.0,872.0,2336,0.03,5m,1.6,0.4,1.0,784,7776.0,0.015,1m,3.0,0.4,1.0,992.0,1456.0,0.015,1m,2.6,0.4,1.5,504.0,4768,0.03,5m,1.4,1.0,1.5,736,5816.0,0.02,1m,1.2,0.8,1.5,576.0,5888,0.025,2m,3.0,0.2,1.0,464,8080.0,0.025,3m,1.8,0.8,1.0,608.0,5584.0,0.035,5m,2.6,0.2,2.0,624.0,4584,0.05,3m,1.4,0.6000000000000001,1.0,640,5232,0.035,5m,2.0,0.8,2.0,792,5800.0,0.04,2m,2.0,0.0,1.0,872.0,5064,0.03,2m,2.4000000000000004,0.4,0.5,320,2328,0.015,5m,2.0,0.2,1.0,208,7632.0,0.035,5m,1.8,1.0,1.0,776.0,4936.0,0.02,2m,2.0,0.8,2.0,672.0,7896,0.025,2m,2.4000000000000004,0.2,1.5,624,5744,0.03,4m,1.4,0.6000000000000001,1.0,848,,,,,,,,3808.0,0.035,4m,1.8,0.2,1.0,520.0,4072.0,0.01,1m,1.0,0.2,1.0,368.0,0.3,28,COMPLETE
46,46,0.9630775918079221,2025-06-22 16:21:36.071034,2025-06-22 16:22:00.138591,0 days 00:00:24.067557,3568.0,0.04,3m,2.2,0.6000000000000001,1.5,872.0,,,,,,,,5912.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,848.0,,,,,,,,,,,,,,,8168.0,0.025,1m,1.4,0.0,1.0,624.0,1832,0.03,5m,1.6,0.2,0.5,368,6032.0,0.04,3m,2.0,0.0,1.5,592.0,,,,,,,,,,,,,,,2984,0.015,2m,3.0,0.2,1.5,832,,,,,,,,,,,,,,,5120,0.015,3m,1.6,0.4,2.0,984,,,,,,,,4216,0.02,4m,2.4000000000000004,0.6000000000000001,1.5,560,7224.0,0.02,4m,2.8,1.0,0.5,392.0,4032.0,0.045000000000000005,2m,1.4,0.8,1.5,432.0,7456,0.045000000000000005,1m,2.0,1.0,1.5,392,2176,0.04,2m,2.6,0.4,1.0,624,6768.0,0.045000000000000005,1m,1.6,0.6000000000000001,0.5,512.0,6064,0.045000000000000005,5m,2.2,0.8,1.0,384,5424,0.025,2m,1.6,0.0,0.5,728,4856.0,0.015,1m,2.0,0.8,1.0,968.0,5336.0,0.025,4m,1.2,0.4,1.5,512.0,6304,0.01,4m,1.8,0.4,1.0,832,6064,0.05,1m,1.0,0.0,2.0,760,,,,,,,,6896.0,0.015,1m,1.6,0.6000000000000001,0.5,688.0,,,,,,,,0.45,20,COMPLETE
47,47,0.9736981496163954,2025-06-22 16:22:00.208046,2025-06-22 16:22:24.816981,0 days 00:00:24.608935,2728.0,0.02,1m,2.8,0.4,1.0,480.0,,,,,,,,7616.0,0.035,2m,2.0,0.2,1.5,608.0,,,,,,,,,,,,,,,5496.0,0.04,2m,2.2,0.8,0.5,456.0,3952,0.045000000000000005,2m,2.8,0.0,1.0,552,7104.0,0.03,4m,2.8,0.2,2.0,712.0,1144.0,0.03,2m,2.2,0.6000000000000001,2.0,344.0,5272.0,0.03,5m,2.2,0.2,0.5,296.0,1544,0.025,4m,2.0,0.6000000000000001,2.0,976,,,,,,,,,,,,,,,3624,0.025,1m,2.0,0.0,0.5,608,4584.0,0.01,4m,2.0,0.4,0.5,600.0,3560,0.05,2m,1.4,1.0,2.0,656,5008.0,0.04,2m,1.8,0.6000000000000001,1.0,696.0,6992.0,0.025,3m,1.8,0.6000000000000001,1.0,816.0,3144,0.03,3m,2.4000000000000004,0.8,0.5,520,3992,0.045000000000000005,3m,2.4000000000000004,1.0,1.5,200,3824.0,0.025,1m,1.2,0.2,2.0,352.0,4368,0.05,2m,2.0,0.2,1.5,176,6648,0.02,1m,1.4,0.6000000000000001,1.5,808,5792.0,0.03,3m,1.8,0.4,1.0,392.0,4168.0,0.035,3m,1.6,0.6000000000000001,1.0,272.0,6840,0.015,2m,2.6,1.0,1.5,424,7096,0.04,4m,1.8,0.4,1.0,424,,,,,,,,5992.0,0.01,5m,1.2,0.4,1.5,800.0,,,,,,,,0.4,23,COMPLETE
48,48,0.9760570209458235,2025-06-22 16:22:24.874232,2025-06-22 16:22:50.375577,0 days 00:00:25.501345,4960.0,0.03,5m,2.0,0.8,2.0,712.0,,,,,,,,3768.0,0.025,4m,1.8,0.4,1.0,784.0,,,,,,,,,,,,,,,4480.0,0.05,5m,1.2,0.2,1.5,600.0,4368,0.05,5m,2.4000000000000004,0.6000000000000001,0.5,608,3968.0,0.05,1m,1.6,0.4,1.5,480.0,7216.0,0.015,5m,1.0,0.8,1.5,608.0,2088.0,0.04,4m,2.6,0.0,1.0,608.0,3336,0.045000000000000005,3m,1.8,0.2,2.0,664,,,,,,,,3056.0,0.04,1m,2.0,0.8,0.5,752.0,6336,0.045000000000000005,3m,1.0,0.6000000000000001,1.5,856,6784.0,0.03,5m,2.2,0.0,1.5,1016.0,4768,0.015,5m,1.8,0.2,1.0,712,1736.0,0.025,1m,2.8,0.4,0.5,232.0,3992.0,0.02,3m,2.2,0.4,1.5,248.0,4000,0.035,5m,1.6,1.0,1.0,680,4704,0.035,1m,1.2,0.2,2.0,840,4440.0,0.015,1m,2.0,0.4,1.0,824.0,3472,0.035,1m,1.8,0.2,2.0,792,4208,0.01,4m,1.2,0.2,0.5,544,3272.0,0.04,4m,2.2,0.6000000000000001,1.0,896.0,2448.0,0.02,5m,1.8,1.0,2.0,432.0,5856,0.02,2m,2.8,0.0,1.5,304,8064,0.045000000000000005,2m,1.2,0.2,0.5,320,,,,,,,,3056.0,0.035,5m,2.2,1.0,1.0,520.0,5952.0,0.02,5m,2.2,0.4,1.5,136.0,0.25,25,COMPLETE
49,49,0.9459398769665978,2025-06-22 16:22:50.429137,2025-06-22 16:23:09.416549,0 days 00:00:18.987412,6048.0,0.045000000000000005,4m,1.8,0.6000000000000001,1.5,792.0,,,,,,,,5256.0,0.045000000000000005,2m,2.6,0.2,0.5,680.0,,,,,,,,,,,,,,,3936.0,0.035,1m,2.0,0.6000000000000001,0.5,272.0,4848,0.03,4m,1.8,0.4,0.5,688,1984.0,0.02,2m,2.4000000000000004,0.2,0.5,928.0,,,,,,,,,,,,,,,4800,0.02,1m,2.8,0.0,1.5,712,,,,,,,,,,,,,,,4192,0.04,4m,1.4,0.2,1.0,920,,,,,,,,6360,0.035,2m,1.6,0.0,0.5,592,6856.0,0.035,5m,2.4000000000000004,0.6000000000000001,1.5,328.0,,,,,,,,2528,0.03,4m,2.8,0.6000000000000001,2.0,552,5992,0.03,3m,2.8,0.6000000000000001,1.5,984,,,,,,,,5432,0.04,2m,1.6,0.4,1.5,968,3568,0.045000000000000005,2m,1.4,0.4,1.0,264,3736.0,0.035,1m,1.2,0.2,0.5,760.0,3384.0,0.03,1m,2.4000000000000004,0.6000000000000001,1.5,624.0,5416,0.01,3m,3.0,0.6000000000000001,2.0,504,7408,0.035,4m,2.6,0.2,1.5,712,,,,,,,,,,,,,,,,,,,,,,0.2,17,COMPLETE
50,50,0.9830469791502374,2025-06-22 16:23:09.497311,2025-06-22 16:23:19.768224,0 days 00:00:10.270913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304,0.04,1m,2.0,0.0,1.0,456,,,,,,,,,,,,,,,,,,,,,,1920,0.01,4m,2.2,0.6000000000000001,1.0,944,,,,,,,,,,,,,,,5744,0.05,3m,2.0,0.0,1.5,296,,,,,,,,2800,0.01,3m,2.4000000000000004,1.0,1.5,616,,,,,,,,,,,,,,,3544,0.035,3m,1.2,0.8,1.0,432,2864,0.05,4m,1.8,0.8,1.0,720,,,,,,,,4576,0.03,4m,2.2,0.6000000000000001,1.0,576,5328,0.015,3m,2.0,0.6000000000000001,0.5,960,,,,,,,,1128.0,0.02,5m,2.2,0.4,1.0,152.0,8184,0.015,2m,2.6,0.8,1.0,176,6192,0.02,4m,2.2,0.0,1.0,864,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,11,COMPLETE
51,51,1.0318096498778495,2025-06-22 16:23:19.825242,2025-06-22 16:23:37.872988,0 days 00:00:18.047746,3296.0,0.035,5m,2.2,0.4,1.0,656.0,,,,,,,,7816.0,0.035,2m,2.4000000000000004,0.8,1.0,960.0,,,,,,,,,,,,,,,5168.0,0.03,1m,1.8,0.2,1.0,448.0,7816,0.04,5m,2.6,0.2,0.5,504,5232.0,0.04,2m,2.8,0.0,2.0,352.0,,,,,,,,,,,,,,,1424,0.01,3m,1.8,0.2,2.0,872,,,,,,,,,,,,,,,4504,0.05,3m,1.2,0.0,1.5,544,,,,,,,,4400,0.025,2m,2.2,1.0,1.5,136,5872.0,0.025,5m,2.6,0.8,1.0,296.0,,,,,,,,3656,0.035,4m,1.4,1.0,0.5,696,3808,0.05,1m,3.0,0.0,1.5,816,6312.0,0.02,3m,1.8,0.8,0.5,504.0,4016,0.04,2m,1.8,0.2,1.5,472,3256,0.015,2m,1.6,0.4,0.5,1024,4968.0,0.035,2m,1.6,0.6000000000000001,0.5,856.0,5720.0,0.01,5m,1.8,0.8,2.0,944.0,6632,0.01,2m,3.0,0.8,1.0,536,7000,0.035,4m,1.6,0.0,1.0,728,,,,,,,,,,,,,,,,,,,,,,0.25,18,COMPLETE
52,52,0.9637085728651734,2025-06-22 16:23:37.907411,2025-06-22 16:23:58.697976,0 days 00:00:20.790565,2336.0,0.035,5m,2.4000000000000004,0.2,1.0,640.0,,,,,,,,7800.0,0.04,2m,2.2,0.8,1.0,992.0,,,,,,,,,,,,,,,6144.0,0.03,1m,1.8,0.4,0.5,800.0,7848,0.035,5m,2.6,0.2,0.5,504,4816.0,0.045000000000000005,2m,2.6,0.0,2.0,312.0,,,,,,,,,,,,,,,1264,0.01,3m,2.0,0.2,2.0,864,,,,,,,,,,,,,,,4608,0.05,3m,1.2,0.0,1.5,544,,,,,,,,4368,0.025,2m,2.0,1.0,1.5,168,6232.0,0.03,5m,2.6,0.8,1.0,992.0,5512.0,0.045000000000000005,1m,2.6,1.0,2.0,384.0,4360,0.04,4m,1.4,1.0,0.5,768,4192,0.05,1m,3.0,0.0,1.5,872,7072.0,0.015,3m,1.6,0.8,0.5,672.0,3192,0.045000000000000005,2m,1.6,0.2,1.5,480,2936,0.015,2m,1.6,0.4,0.5,920,1080.0,0.04,2m,2.0,0.6000000000000001,0.5,840.0,6992.0,0.015,5m,2.0,0.8,2.0,960.0,6544,0.01,2m,2.8,0.8,1.0,616,6952,0.04,4m,1.6,0.0,1.0,800,,,,,,,,5088.0,0.025,2m,1.2,0.0,0.5,128.0,,,,,,,,0.25,20,COMPLETE
53,53,1.038261135079325,2025-06-22 16:23:58.753462,2025-06-22 16:24:15.697025,0 days 00:00:16.943563,3312.0,0.04,5m,2.2,0.4,1.0,576.0,,,,,,,,8136.0,0.03,2m,2.8,1.0,1.0,752.0,,,,,,,,,,,,,,,5080.0,0.025,1m,1.6,0.0,1.0,448.0,8096,0.04,5m,2.8,0.2,0.5,440,2984.0,0.035,2m,2.8,0.0,2.0,376.0,,,,,,,,,,,,,,,1080,0.015,3m,1.6,0.4,2.0,896,,,,,,,,,,,,,,,3664,0.045000000000000005,3m,1.2,0.0,1.5,528,,,,,,,,3840,0.03,2m,2.2,0.8,1.5,464,5776.0,0.025,5m,2.8,1.0,1.0,200.0,,,,,,,,4760,0.035,4m,1.4,1.0,0.5,712,3656,0.045000000000000005,1m,3.0,1.0,1.5,944,,,,,,,,3912,0.04,2m,1.8,0.2,1.5,424,3336,0.01,2m,1.8,0.4,0.5,896,4272.0,0.035,2m,1.6,0.4,0.5,976.0,5856.0,0.025,5m,1.8,0.8,2.0,880.0,4896,0.01,2m,3.0,0.8,1.0,392,6728,0.04,4m,1.8,0.0,1.0,912,,,,,,,,,,,,,,,,,,,,,,0.3,17,COMPLETE
54,54,1.0092551500385805,2025-06-22 16:24:15.754411,2025-06-22 16:24:34.337182,0 days 00:00:18.582771,3184.0,0.04,5m,2.2,0.4,1.0,568.0,,,,,,,,8192.0,0.03,2m,2.8,1.0,1.0,920.0,,,,,,,,,,,,,,,5240.0,0.025,1m,1.6,0.0,1.0,464.0,8128,0.045000000000000005,5m,3.0,0.2,0.5,456,2632.0,0.035,2m,2.8,0.0,2.0,376.0,,,,,,,,,,,,,,,1408,0.01,3m,1.4,0.4,2.0,824,,,,,,,,,,,,,,,3680,0.05,3m,1.2,0.0,1.5,536,,,,,,,,2240,0.03,2m,2.4000000000000004,1.0,1.5,232,5824.0,0.025,5m,2.8,1.0,1.0,192.0,,,,,,,,4848,0.035,4m,1.0,1.0,0.5,808,3512,0.04,1m,3.0,1.0,1.5,944,5448.0,0.035,3m,1.4,0.8,0.5,528.0,3816,0.04,2m,2.0,0.2,1.5,432,3328,0.01,2m,1.8,0.4,0.5,952,4456.0,0.035,2m,1.6,0.4,0.5,992.0,5832.0,0.025,5m,1.8,0.8,2.0,888.0,4896,0.015,2m,3.0,0.8,1.0,408,5648,0.045000000000000005,4m,1.8,0.0,1.0,656,,,,,,,,,,,,,,,,,,,,,,0.3,18,COMPLETE
55,55,0.9654093515941891,2025-06-22 16:24:34.389914,2025-06-22 16:24:54.054723,0 days 00:00:19.664809,3696.0,0.04,5m,2.2,0.4,1.0,504.0,,,,,,,,7120.0,0.035,2m,3.0,1.0,1.5,800.0,,,,,,,,,,,,,,,4608.0,0.025,1m,1.4,0.0,1.0,264.0,7624,0.04,5m,2.8,0.4,0.5,400,4368.0,0.04,2m,3.0,0.0,2.0,280.0,,,,,,,,,,,,,,,1920,0.015,3m,1.8,0.4,2.0,744,,,,,,,,,,,,,,,2256,0.045000000000000005,3m,1.0,0.2,1.0,448,,,,,,,,3792,0.04,2m,2.2,0.8,1.5,400,6360.0,0.02,5m,2.6,1.0,1.0,272.0,,,,,,,,7840,0.035,4m,1.8,0.8,0.5,712,3752,0.05,1m,2.8,1.0,1.5,656,6240.0,0.03,3m,1.8,0.8,0.5,936.0,2504,0.03,2m,1.4,0.0,2.0,568,2360,0.01,2m,2.0,0.6000000000000001,0.5,896,3664.0,0.04,2m,1.4,0.4,0.5,928.0,6224.0,0.03,5m,1.6,0.8,2.0,976.0,7232,0.01,2m,3.0,0.8,1.0,536,6688,0.04,4m,1.6,0.2,1.0,904,,,,,,,,7544.0,0.015,1m,1.8,0.2,2.0,264.0,,,,,,,,0.25,19,COMPLETE
