,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_AMGN_TEAM_beta_win,params_AMGN_TEAM_stop_loss,params_AMGN_TEAM_trade_freq,params_AMGN_TEAM_z_entry,params_AMGN_TEAM_z_exit,params_AMGN_TEAM_z_stop_scaler,params_AMGN_TEAM_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_VRTX_beta_win,params_CMCSA_VRTX_stop_loss,params_CMCSA_VRTX_trade_freq,params_CMCSA_VRTX_z_entry,params_CMCSA_VRTX_z_exit,params_CMCSA_VRTX_z_stop_scaler,params_CMCSA_VRTX_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CSCO_CTAS_beta_win,params_CSCO_CTAS_stop_loss,params_CSCO_CTAS_trade_freq,params_CSCO_CTAS_z_entry,params_CSCO_CTAS_z_exit,params_CSCO_CTAS_z_stop_scaler,params_CSCO_CTAS_z_win,params_FB_CTAS_beta_win,params_FB_CTAS_stop_loss,params_FB_CTAS_trade_freq,params_FB_CTAS_z_entry,params_FB_CTAS_z_exit,params_FB_CTAS_z_stop_scaler,params_FB_CTAS_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_PTON_CTAS_beta_win,params_PTON_CTAS_stop_loss,params_PTON_CTAS_trade_freq,params_PTON_CTAS_z_entry,params_PTON_CTAS_z_exit,params_PTON_CTAS_z_stop_scaler,params_PTON_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_SPLK_CTAS_beta_win,params_SPLK_CTAS_stop_loss,params_SPLK_CTAS_trade_freq,params_SPLK_CTAS_z_entry,params_SPLK_CTAS_z_exit,params_SPLK_CTAS_z_stop_scaler,params_SPLK_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_ZM_CTAS_beta_win,params_ZM_CTAS_stop_loss,params_ZM_CTAS_trade_freq,params_ZM_CTAS_z_entry,params_ZM_CTAS_z_exit,params_ZM_CTAS_z_stop_scaler,params_ZM_CTAS_z_win,params_ZM_TEAM_beta_win,params_ZM_TEAM_stop_loss,params_ZM_TEAM_trade_freq,params_ZM_TEAM_z_entry,params_ZM_TEAM_z_exit,params_ZM_TEAM_z_stop_scaler,params_ZM_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
39,39,0.9992575313169079,2025-06-22 16:19:12.443267,2025-06-22 16:19:41.356096,0 days 00:00:28.912829,3608.0,0.03,4m,2.6,0.0,1.0,704.0,4168.0,0.04,1m,2.0,0.4,2.0,984.0,4520.0,0.05,1m,2.0,0.0,1.0,608.0,8048.0,0.015,2m,1.2,0.2,1.0,1016.0,,,,,,,,6192,0.03,3m,3.0,0.8,0.5,312,2728,0.045000000000000005,1m,2.2,0.4,0.5,816,4208.0,0.02,2m,2.2,1.0,1.5,560.0,5888.0,0.045000000000000005,1m,2.8,0.2,2.0,456.0,1952,0.02,5m,2.8,0.4,0.5,792,1024.0,0.05,1m,2.0,0.0,0.5,448.0,2440.0,0.02,4m,1.8,0.2,1.5,664.0,6904,0.03,2m,1.2,1.0,1.5,968,6168,0.04,1m,2.6,0.2,2.0,656,3296,0.03,3m,2.4000000000000004,0.4,1.0,544,2240,0.015,2m,1.0,0.6000000000000001,1.0,744,4192.0,0.035,5m,2.8,1.0,1.0,368.0,,,,,,,,6416.0,0.02,5m,3.0,0.2,1.5,1008.0,4520.0,0.01,4m,1.6,0.4,1.0,464.0,1848.0,0.01,4m,1.0,0.0,2.0,240.0,2960.0,0.025,1m,1.6,0.8,2.0,272.0,1120,0.045000000000000005,5m,1.0,0.2,1.5,744,1040,0.03,3m,2.6,1.0,1.0,856,2696,0.05,3m,2.0,0.2,1.5,576,4784.0,0.045000000000000005,4m,2.4000000000000004,0.0,0.5,632.0,1112.0,0.02,3m,2.4000000000000004,0.8,2.0,264.0,3008.0,0.02,2m,2.2,1.0,0.5,880.0,,,,,,,,5664.0,0.04,3m,2.0,1.0,2.0,360.0,0.3,27,COMPLETE
40,40,1.0472523358658903,2025-06-22 16:19:41.411431,2025-06-22 16:20:10.364292,0 days 00:00:28.952861,1912.0,0.035,1m,1.2,0.0,1.0,872.0,5456.0,0.025,1m,1.6,1.0,0.5,528.0,3920.0,0.05,1m,1.6,0.2,0.5,832.0,7280.0,0.035,2m,1.2,0.0,2.0,848.0,,,,,,,,2248,0.035,3m,2.8,1.0,0.5,784,1744,0.05,1m,2.0,0.8,0.5,752,5416.0,0.03,2m,1.0,0.8,1.0,736.0,4112.0,0.05,1m,2.8,0.0,2.0,328.0,1432,0.03,3m,2.6,0.6000000000000001,2.0,704,1176.0,0.035,4m,1.6,0.0,1.0,576.0,3800.0,0.015,4m,1.4,0.0,2.0,848.0,6056,0.05,2m,1.4,1.0,0.5,928,7232,0.045000000000000005,2m,2.4000000000000004,0.0,2.0,528,3920,0.035,3m,2.8,0.8,0.5,680,1944,0.045000000000000005,2m,1.8,0.2,0.5,704,5296.0,0.05,2m,1.6,0.8,2.0,600.0,,,,,,,,5128.0,0.025,5m,2.4000000000000004,0.2,1.5,768.0,4376.0,0.02,4m,1.6,0.4,1.0,488.0,3096.0,0.025,4m,1.2,0.0,1.5,408.0,1808.0,0.025,1m,1.6,1.0,2.0,480.0,1824,0.05,5m,1.4,0.4,1.5,704,6176,0.025,3m,2.6,1.0,1.5,992,1528,0.05,2m,1.8,0.4,1.0,616,6288.0,0.05,4m,2.8,0.0,0.5,520.0,2360.0,0.015,3m,2.6,0.6000000000000001,2.0,192.0,3928.0,0.02,4m,3.0,1.0,1.0,696.0,1560.0,0.01,5m,3.0,0.0,0.5,1000.0,5488.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.5,312.0,0.3,28,COMPLETE
41,41,1.0620416668170052,2025-06-22 16:20:10.416999,2025-06-22 16:20:39.483769,0 days 00:00:29.066770,2040.0,0.035,1m,1.2,0.0,1.0,880.0,5832.0,0.025,1m,1.6,1.0,0.5,608.0,3832.0,0.05,1m,1.6,0.2,0.5,976.0,7424.0,0.04,2m,1.2,0.0,2.0,904.0,,,,,,,,2048,0.035,3m,2.8,1.0,0.5,792,1920,0.05,1m,2.0,0.8,0.5,736,5104.0,0.03,2m,1.0,0.8,1.0,728.0,3992.0,0.05,1m,2.8,0.0,2.0,304.0,1464,0.03,3m,2.6,0.6000000000000001,2.0,624,1096.0,0.035,4m,1.6,0.0,1.0,528.0,3552.0,0.015,4m,1.6,0.0,2.0,864.0,6928,0.05,2m,1.4,1.0,0.5,912,7080,0.045000000000000005,2m,2.4000000000000004,0.0,2.0,520,3872,0.035,3m,2.8,0.8,0.5,712,1920,0.05,2m,1.8,0.2,0.5,712,5264.0,0.05,2m,1.4,0.8,2.0,600.0,,,,,,,,4888.0,0.025,5m,2.4000000000000004,0.2,1.5,808.0,4456.0,0.02,4m,1.6,0.4,1.0,456.0,3248.0,0.025,4m,1.0,0.0,1.5,432.0,1800.0,0.025,1m,1.6,1.0,2.0,488.0,1656,0.05,5m,1.4,0.4,1.5,792,6360,0.025,3m,2.6,1.0,1.5,992,1680,0.05,2m,1.8,0.4,1.0,640,7016.0,0.05,4m,2.8,0.0,0.5,504.0,2496.0,0.015,3m,2.6,0.6000000000000001,2.0,208.0,3856.0,0.02,4m,2.0,1.0,1.5,704.0,1048.0,0.015,5m,3.0,0.0,0.5,1000.0,5648.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.5,304.0,0.3,28,COMPLETE
42,42,0.9280083735472991,2025-06-22 16:20:39.539548,2025-06-22 16:21:11.693502,0 days 00:00:32.153954,1864.0,0.035,1m,1.2,0.0,1.0,880.0,5568.0,0.025,1m,1.6,1.0,0.5,720.0,3744.0,0.05,1m,1.4,0.2,0.5,1008.0,7376.0,0.04,2m,1.4,0.0,2.0,904.0,1112.0,0.05,1m,3.0,0.0,0.5,992.0,2200,0.035,3m,3.0,1.0,0.5,904,1616,0.05,1m,2.4000000000000004,0.8,0.5,736,5624.0,0.03,2m,1.0,0.8,1.0,720.0,4040.0,0.05,1m,2.6,0.0,2.0,296.0,1336,0.03,3m,3.0,0.6000000000000001,2.0,608,3136.0,0.03,4m,1.6,0.0,1.0,640.0,3840.0,0.015,4m,1.4,0.0,2.0,872.0,7016,0.05,2m,1.4,1.0,0.5,808,8024,0.05,2m,2.4000000000000004,0.0,2.0,624,4056,0.035,3m,3.0,0.8,0.5,688,1480,0.05,2m,1.6,0.0,0.5,720,5664.0,0.05,2m,1.4,0.8,2.0,640.0,,,,,,,,4824.0,0.025,5m,2.4000000000000004,0.2,1.5,776.0,3888.0,0.02,4m,1.6,0.2,1.0,552.0,3640.0,0.025,1m,1.6,0.2,1.5,456.0,1760.0,0.02,1m,1.2,1.0,2.0,392.0,1856,0.05,5m,1.2,0.4,1.5,792,6696,0.03,3m,2.8,1.0,1.5,1000,1448,0.05,2m,1.8,0.2,1.0,632,6848.0,0.05,4m,2.8,0.0,0.5,520.0,2352.0,0.015,3m,2.6,0.6000000000000001,2.0,184.0,4072.0,0.025,4m,3.0,1.0,1.5,656.0,1104.0,0.01,5m,3.0,0.0,0.5,1016.0,5736.0,0.025,3m,2.6,0.6000000000000001,1.5,288.0,0.4,29,COMPLETE
43,43,0.9852267800705843,2025-06-22 16:21:11.768338,2025-06-22 16:21:41.302065,0 days 00:00:29.533727,1544.0,0.04,1m,1.2,0.2,1.0,944.0,5936.0,0.025,1m,1.4,1.0,0.5,616.0,2824.0,0.045000000000000005,1m,1.6,0.2,0.5,920.0,7048.0,0.04,2m,1.0,0.0,2.0,832.0,,,,,,,,1304,0.035,3m,2.8,1.0,0.5,752,1680,0.05,1m,2.0,0.8,0.5,656,5016.0,0.03,2m,1.0,0.8,0.5,856.0,4112.0,0.05,1m,2.8,0.0,2.0,336.0,1336,0.025,3m,2.6,0.4,2.0,552,2624.0,0.035,4m,1.6,0.2,1.5,656.0,5264.0,0.015,4m,1.4,0.0,2.0,864.0,7368,0.05,2m,1.4,1.0,0.5,920,7520,0.045000000000000005,2m,2.4000000000000004,0.0,2.0,448,3736,0.04,3m,2.8,1.0,0.5,648,1832,0.045000000000000005,2m,1.8,0.2,0.5,640,6784.0,0.05,2m,1.4,1.0,2.0,800.0,,,,,,,,4144.0,0.035,5m,2.2,0.4,1.0,680.0,6112.0,0.02,4m,2.0,0.8,1.0,336.0,3520.0,0.025,2m,1.4,0.4,1.5,456.0,1736.0,0.02,1m,1.8,1.0,2.0,152.0,2528,0.05,5m,1.0,0.4,1.5,672,7344,0.025,3m,3.0,1.0,1.5,968,1712,0.045000000000000005,2m,2.2,0.4,1.0,728,7576.0,0.05,4m,2.8,0.0,0.5,408.0,4632.0,0.01,3m,2.4000000000000004,0.8,2.0,184.0,4992.0,0.02,4m,2.4000000000000004,0.8,1.5,776.0,1200.0,0.01,5m,3.0,0.0,0.5,1016.0,5096.0,0.025,3m,2.4000000000000004,0.4,1.5,496.0,0.35000000000000003,28,COMPLETE
44,44,0.9475700454600002,2025-06-22 16:21:41.370323,2025-06-22 16:22:09.746233,0 days 00:00:28.375910,2296.0,0.035,1m,1.2,0.0,1.0,872.0,6296.0,0.03,1m,1.4,1.0,0.5,520.0,3296.0,0.02,1m,1.6,0.0,0.5,944.0,7456.0,0.035,2m,1.2,0.2,2.0,832.0,,,,,,,,2256,0.04,3m,2.6,1.0,0.5,776,2376,0.05,1m,2.2,0.8,0.5,752,5288.0,0.025,2m,1.2,1.0,1.0,632.0,6096.0,0.045000000000000005,1m,2.4000000000000004,0.0,2.0,256.0,2368,0.03,2m,2.8,0.6000000000000001,2.0,688,4872.0,0.04,4m,1.6,0.2,1.0,264.0,3776.0,0.01,4m,1.6,0.4,2.0,864.0,5792,0.045000000000000005,2m,1.4,0.8,0.5,800,6968,0.05,5m,2.8,0.0,2.0,496,4416,0.035,3m,2.8,0.8,0.5,544,1328,0.05,2m,2.0,0.2,0.5,552,4808.0,0.045000000000000005,2m,1.2,0.6000000000000001,2.0,376.0,,,,,,,,3352.0,0.025,5m,2.6,0.0,2.0,872.0,1064.0,0.02,1m,1.4,0.2,0.5,632.0,,,,,,,,1112.0,0.025,1m,1.4,1.0,2.0,328.0,2200,0.05,5m,1.4,0.0,1.5,896,6000,0.03,3m,2.8,0.8,1.5,912,1896,0.05,2m,1.6,0.4,1.0,672,6744.0,0.045000000000000005,4m,3.0,0.0,0.5,496.0,3352.0,0.01,3m,2.8,0.6000000000000001,2.0,376.0,2280.0,0.015,4m,1.8,1.0,1.5,712.0,,,,,,,,8048.0,0.02,5m,1.6,0.8,1.5,232.0,0.25,26,COMPLETE
45,45,1.037129299840035,2025-06-22 16:22:09.806351,2025-06-22 16:22:40.365725,0 days 00:00:30.559374,1904.0,0.04,1m,1.0,0.2,1.0,984.0,5232.0,0.02,4m,1.2,1.0,0.5,784.0,4024.0,0.05,1m,1.4,0.6000000000000001,0.5,816.0,5936.0,0.045000000000000005,2m,1.0,0.0,2.0,920.0,7584.0,0.05,2m,2.8,0.0,0.5,160.0,1752,0.035,3m,2.8,1.0,0.5,912,1984,0.045000000000000005,5m,2.4000000000000004,1.0,0.5,616,6312.0,0.035,2m,1.4,0.6000000000000001,0.5,928.0,2920.0,0.025,1m,3.0,0.0,1.5,400.0,1760,0.03,3m,2.4000000000000004,0.6000000000000001,2.0,640,1128.0,0.03,4m,2.4000000000000004,0.2,1.0,968.0,2072.0,0.025,4m,1.2,0.0,2.0,656.0,6512,0.04,2m,1.0,0.8,1.0,984,7016,0.045000000000000005,2m,2.2,0.2,2.0,608,5424,0.045000000000000005,3m,2.6,0.8,1.0,736,1944,0.05,2m,1.6,0.0,0.5,472,5448.0,0.04,2m,1.8,0.8,2.0,552.0,7968.0,0.01,1m,3.0,0.0,2.0,1008.0,5272.0,0.035,5m,2.2,0.6000000000000001,1.5,648.0,5712.0,0.025,3m,2.0,0.4,2.0,352.0,3560.0,0.035,4m,1.0,0.2,1.0,440.0,2776.0,0.03,1m,1.0,1.0,2.0,824.0,1496,0.045000000000000005,5m,2.4000000000000004,0.2,2.0,864,7504,0.025,3m,2.4000000000000004,1.0,1.5,992,1176,0.045000000000000005,2m,2.0,0.2,1.5,616,6368.0,0.05,3m,2.8,0.2,0.5,552.0,6184.0,0.015,1m,1.0,1.0,2.0,192.0,4728.0,0.015,4m,3.0,1.0,2.0,816.0,2280.0,0.025,5m,1.0,0.2,1.0,736.0,7048.0,0.03,3m,2.6,0.6000000000000001,1.0,512.0,0.3,30,COMPLETE
46,46,0.9702520754632827,2025-06-22 16:22:40.445847,2025-06-22 16:23:06.716139,0 days 00:00:26.270292,2944.0,0.04,1m,1.4,0.0,1.0,832.0,4728.0,0.025,1m,1.6,0.8,0.5,608.0,4968.0,0.045000000000000005,2m,1.0,0.8,0.5,744.0,6328.0,0.035,4m,2.0,0.0,2.0,952.0,,,,,,,,8184,0.04,5m,1.4,1.0,0.5,656,3536,0.045000000000000005,1m,2.0,0.6000000000000001,1.5,704,4592.0,0.02,3m,1.4,0.8,1.0,744.0,5272.0,0.035,2m,2.2,0.2,2.0,144.0,2848,0.025,4m,2.6,0.4,2.0,720,3704.0,0.04,4m,1.0,1.0,1.5,568.0,4960.0,0.03,2m,2.0,0.2,1.5,504.0,7592,0.05,2m,1.2,0.8,0.5,880,7760,0.05,4m,2.0,0.0,0.5,408,3688,0.025,3m,3.0,1.0,0.5,832,2560,0.045000000000000005,1m,1.8,0.0,0.5,832,6712.0,0.05,2m,1.6,0.6000000000000001,2.0,448.0,,,,,,,,6848.0,0.025,5m,2.0,0.2,1.0,888.0,3352.0,0.015,5m,1.4,0.0,1.0,680.0,2912.0,0.02,4m,2.2,0.0,1.5,816.0,1832.0,0.015,5m,1.0,0.8,2.0,192.0,5168,0.04,5m,1.2,0.4,1.5,680,6848,0.02,2m,2.6,0.8,1.0,752,2488,0.045000000000000005,2m,2.8,0.0,1.0,768,7472.0,0.04,4m,2.6,0.0,0.5,776.0,4448.0,0.01,4m,2.2,0.6000000000000001,2.0,288.0,3768.0,0.025,4m,2.2,0.8,1.5,600.0,2872.0,0.02,4m,2.6,0.4,1.0,744.0,5040.0,0.015,3m,2.4000000000000004,0.8,1.5,128.0,0.35000000000000003,28,COMPLETE
47,47,1.0225856079647202,2025-06-22 16:23:06.758319,2025-06-22 16:23:30.890583,0 days 00:00:24.132264,1416.0,0.035,1m,1.6,0.4,1.5,776.0,6160.0,0.02,2m,1.2,0.4,1.0,544.0,2424.0,0.025,1m,1.8,0.2,0.5,848.0,6912.0,0.035,2m,1.4,0.2,1.5,856.0,,,,,,,,1064,0.025,3m,2.2,1.0,0.5,840,5048,0.05,1m,1.8,0.8,0.5,792,6056.0,0.015,2m,1.0,0.6000000000000001,0.5,800.0,4224.0,0.05,4m,2.8,0.0,2.0,392.0,1064,0.02,3m,2.0,0.6000000000000001,2.0,552,,,,,,,,6352.0,0.015,4m,1.6,0.0,2.0,808.0,5296,0.045000000000000005,5m,1.6,0.2,1.0,744,3944,0.045000000000000005,2m,2.8,0.2,2.0,832,3392,0.04,2m,2.8,0.6000000000000001,0.5,344,6808,0.05,5m,2.0,0.2,0.5,592,3888.0,0.03,2m,1.8,1.0,1.5,664.0,,,,,,,,5392.0,0.035,2m,2.8,0.0,2.0,688.0,5184.0,0.05,4m,2.2,0.6000000000000001,1.5,432.0,,,,,,,,2064.0,0.02,4m,2.0,1.0,2.0,520.0,1976,0.05,4m,1.8,0.6000000000000001,1.5,952,3192,0.035,3m,1.8,1.0,1.0,1024,1968,0.05,2m,1.8,0.6000000000000001,2.0,440,7400.0,0.035,2m,2.8,0.8,0.5,416.0,2552.0,0.02,3m,2.8,0.8,2.0,808.0,5536.0,0.035,4m,2.6,1.0,1.5,688.0,,,,,,,,3120.0,0.03,3m,2.8,0.4,1.0,376.0,0.15000000000000002,25,COMPLETE
48,48,1.0170507107751516,2025-06-22 16:23:30.989643,2025-06-22 16:23:49.242042,0 days 00:00:18.252399,8112.0,0.015,3m,1.2,0.2,1.0,752.0,6648.0,0.03,1m,1.8,1.0,0.5,680.0,3448.0,0.015,1m,1.2,0.2,0.5,1016.0,7800.0,0.045000000000000005,1m,1.8,0.2,2.0,792.0,,,,,,,,4560,0.03,2m,3.0,0.8,1.0,952,5632,0.04,1m,2.8,0.6000000000000001,2.0,656,,,,,,,,,,,,,,,2448,0.03,2m,2.4000000000000004,0.2,2.0,648,,,,,,,,,,,,,,,4752,0.035,1m,1.0,1.0,1.5,1024,6120,0.04,5m,2.2,0.4,2.0,736,4104,0.05,3m,2.6,0.8,2.0,640,3104,0.045000000000000005,2m,1.6,0.2,1.0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7016,0.04,5m,1.6,0.2,1.5,784,5936,0.015,5m,2.2,0.8,1.5,952,1384,0.045000000000000005,2m,1.6,0.2,1.0,1000,8072.0,0.045000000000000005,3m,2.6,0.0,1.0,680.0,,,,,,,,4224.0,0.02,4m,2.4000000000000004,0.6000000000000001,0.5,632.0,,,,,,,,,,,,,,,0.2,16,COMPLETE
49,49,1.0151778423915092,2025-06-22 16:23:49.281292,2025-06-22 16:24:00.523489,0 days 00:00:11.242197,,,,,,,,5528.0,0.035,4m,1.4,0.8,1.0,376.0,,,,,,,,4856.0,0.04,2m,1.6,0.0,2.0,712.0,,,,,,,,3856,0.02,3m,1.6,0.8,2.0,800,4488,0.045000000000000005,2m,1.6,1.0,0.5,896,,,,,,,,,,,,,,,4392,0.015,5m,2.6,0.6000000000000001,2.0,504,,,,,,,,,,,,,,,8096,0.05,3m,2.0,1.0,0.5,904,7232,0.035,2m,2.6,0.0,2.0,680,4512,0.035,5m,1.4,0.8,1.0,528,1352,0.04,5m,1.2,0.2,1.0,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,0.04,3m,1.4,0.0,1.0,568,2712,0.025,2m,2.4000000000000004,0.6000000000000001,1.5,152,3576,0.05,1m,2.4000000000000004,0.6000000000000001,1.5,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,12,COMPLETE
50,50,0.9544141479619441,2025-06-22 16:24:00.568005,2025-06-22 16:24:27.972501,0 days 00:00:27.404496,2464.0,0.03,1m,1.0,1.0,1.5,968.0,6744.0,0.02,2m,1.6,0.6000000000000001,1.0,496.0,4120.0,0.03,5m,1.6,0.4,1.0,960.0,5720.0,0.03,4m,1.0,0.0,1.5,960.0,7848.0,0.03,3m,2.0,0.4,2.0,928.0,2512,0.015,4m,1.2,1.0,1.0,872,1816,0.04,3m,2.6,0.8,0.5,944,7184.0,0.03,3m,1.6,1.0,1.0,1008.0,5288.0,0.02,2m,2.6,0.2,0.5,496.0,5416,0.02,3m,3.0,0.8,2.0,144,6208.0,0.025,2m,1.4,0.0,1.0,328.0,3960.0,0.02,4m,1.2,0.4,1.5,1024.0,3432,0.045000000000000005,2m,1.6,0.2,1.0,696,6640,0.04,3m,2.0,0.4,1.5,128,6000,0.045000000000000005,3m,3.0,1.0,1.5,704,2464,0.05,1m,1.8,0.0,0.5,184,5224.0,0.045000000000000005,1m,1.2,0.8,2.0,816.0,,,,,,,,4200.0,0.015,4m,2.4000000000000004,0.4,1.5,480.0,3848.0,0.04,4m,1.2,0.8,0.5,304.0,7832.0,0.02,4m,1.4,0.2,1.5,368.0,1568.0,0.025,1m,1.6,1.0,2.0,432.0,5456,0.045000000000000005,2m,1.0,0.8,2.0,840,7704,0.035,4m,2.0,1.0,1.0,896,2192,0.015,2m,2.0,0.4,1.0,904,6000.0,0.05,4m,3.0,0.2,0.5,840.0,2024.0,0.015,4m,2.6,0.4,0.5,128.0,1456.0,0.03,5m,2.8,0.8,1.0,488.0,7232.0,0.015,2m,2.6,0.4,0.5,832.0,6320.0,0.025,4m,2.2,0.2,2.0,736.0,0.25,29,COMPLETE
