,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_ADP_PDD_beta_win,params_ADP_PDD_stop_loss,params_ADP_PDD_trade_freq,params_ADP_PDD_z_entry,params_ADP_PDD_z_exit,params_ADP_PDD_z_stop_scaler,params_ADP_PDD_z_win,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_EA_beta_win,params_ALGN_EA_stop_loss,params_ALGN_EA_trade_freq,params_ALGN_EA_z_entry,params_ALGN_EA_z_exit,params_ALGN_EA_z_stop_scaler,params_ALGN_EA_z_win,params_ALGN_QCOM_beta_win,params_ALGN_QCOM_stop_loss,params_ALGN_QCOM_trade_freq,params_ALGN_QCOM_z_entry,params_ALGN_QCOM_z_exit,params_ALGN_QCOM_z_stop_scaler,params_ALGN_QCOM_z_win,params_AMD_QCOM_beta_win,params_AMD_QCOM_stop_loss,params_AMD_QCOM_trade_freq,params_AMD_QCOM_z_entry,params_AMD_QCOM_z_exit,params_AMD_QCOM_z_stop_scaler,params_AMD_QCOM_z_win,params_AVGO_QCOM_beta_win,params_AVGO_QCOM_stop_loss,params_AVGO_QCOM_trade_freq,params_AVGO_QCOM_z_entry,params_AVGO_QCOM_z_exit,params_AVGO_QCOM_z_stop_scaler,params_AVGO_QCOM_z_win,params_BIDU_CSCO_beta_win,params_BIDU_CSCO_stop_loss,params_BIDU_CSCO_trade_freq,params_BIDU_CSCO_z_entry,params_BIDU_CSCO_z_exit,params_BIDU_CSCO_z_stop_scaler,params_BIDU_CSCO_z_win,params_CMCSA_WDAY_beta_win,params_CMCSA_WDAY_stop_loss,params_CMCSA_WDAY_trade_freq,params_CMCSA_WDAY_z_entry,params_CMCSA_WDAY_z_exit,params_CMCSA_WDAY_z_stop_scaler,params_CMCSA_WDAY_z_win,params_DLTR_VRTX_beta_win,params_DLTR_VRTX_stop_loss,params_DLTR_VRTX_trade_freq,params_DLTR_VRTX_z_entry,params_DLTR_VRTX_z_exit,params_DLTR_VRTX_z_stop_scaler,params_DLTR_VRTX_z_win,params_DOCU_ILMN_beta_win,params_DOCU_ILMN_stop_loss,params_DOCU_ILMN_trade_freq,params_DOCU_ILMN_z_entry,params_DOCU_ILMN_z_exit,params_DOCU_ILMN_z_stop_scaler,params_DOCU_ILMN_z_win,params_DOCU_TEAM_beta_win,params_DOCU_TEAM_stop_loss,params_DOCU_TEAM_trade_freq,params_DOCU_TEAM_z_entry,params_DOCU_TEAM_z_exit,params_DOCU_TEAM_z_stop_scaler,params_DOCU_TEAM_z_win,params_FB_PCAR_beta_win,params_FB_PCAR_stop_loss,params_FB_PCAR_trade_freq,params_FB_PCAR_z_entry,params_FB_PCAR_z_exit,params_FB_PCAR_z_stop_scaler,params_FB_PCAR_z_win,params_FISV_VRTX_beta_win,params_FISV_VRTX_stop_loss,params_FISV_VRTX_trade_freq,params_FISV_VRTX_z_entry,params_FISV_VRTX_z_exit,params_FISV_VRTX_z_stop_scaler,params_FISV_VRTX_z_win,params_FOXA_QCOM_beta_win,params_FOXA_QCOM_stop_loss,params_FOXA_QCOM_trade_freq,params_FOXA_QCOM_z_entry,params_FOXA_QCOM_z_exit,params_FOXA_QCOM_z_stop_scaler,params_FOXA_QCOM_z_win,params_FOX_QCOM_beta_win,params_FOX_QCOM_stop_loss,params_FOX_QCOM_trade_freq,params_FOX_QCOM_z_entry,params_FOX_QCOM_z_exit,params_FOX_QCOM_z_stop_scaler,params_FOX_QCOM_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOGL_PCAR_beta_win,params_GOOGL_PCAR_stop_loss,params_GOOGL_PCAR_trade_freq,params_GOOGL_PCAR_z_entry,params_GOOGL_PCAR_z_exit,params_GOOGL_PCAR_z_stop_scaler,params_GOOGL_PCAR_z_win,params_GOOG_PCAR_beta_win,params_GOOG_PCAR_stop_loss,params_GOOG_PCAR_trade_freq,params_GOOG_PCAR_z_entry,params_GOOG_PCAR_z_exit,params_GOOG_PCAR_z_stop_scaler,params_GOOG_PCAR_z_win,params_ILMN_MTCH_beta_win,params_ILMN_MTCH_stop_loss,params_ILMN_MTCH_trade_freq,params_ILMN_MTCH_z_entry,params_ILMN_MTCH_z_exit,params_ILMN_MTCH_z_stop_scaler,params_ILMN_MTCH_z_win,params_ILMN_TEAM_beta_win,params_ILMN_TEAM_stop_loss,params_ILMN_TEAM_trade_freq,params_ILMN_TEAM_z_entry,params_ILMN_TEAM_z_exit,params_ILMN_TEAM_z_stop_scaler,params_ILMN_TEAM_z_win,params_ILMN_VRTX_beta_win,params_ILMN_VRTX_stop_loss,params_ILMN_VRTX_trade_freq,params_ILMN_VRTX_z_entry,params_ILMN_VRTX_z_exit,params_ILMN_VRTX_z_stop_scaler,params_ILMN_VRTX_z_win,params_INTU_VRTX_beta_win,params_INTU_VRTX_stop_loss,params_INTU_VRTX_trade_freq,params_INTU_VRTX_z_entry,params_INTU_VRTX_z_exit,params_INTU_VRTX_z_stop_scaler,params_INTU_VRTX_z_win,params_NVDA_VRTX_beta_win,params_NVDA_VRTX_stop_loss,params_NVDA_VRTX_trade_freq,params_NVDA_VRTX_z_entry,params_NVDA_VRTX_z_exit,params_NVDA_VRTX_z_stop_scaler,params_NVDA_VRTX_z_win,params_PCAR_CDW_beta_win,params_PCAR_CDW_stop_loss,params_PCAR_CDW_trade_freq,params_PCAR_CDW_z_entry,params_PCAR_CDW_z_exit,params_PCAR_CDW_z_stop_scaler,params_PCAR_CDW_z_win,params_PCAR_PAYX_beta_win,params_PCAR_PAYX_stop_loss,params_PCAR_PAYX_trade_freq,params_PCAR_PAYX_z_entry,params_PCAR_PAYX_z_exit,params_PCAR_PAYX_z_stop_scaler,params_PCAR_PAYX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_PYPL_QCOM_beta_win,params_PYPL_QCOM_stop_loss,params_PYPL_QCOM_trade_freq,params_PYPL_QCOM_z_entry,params_PYPL_QCOM_z_exit,params_PYPL_QCOM_z_stop_scaler,params_PYPL_QCOM_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_stop_loss,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_stop_scaler,params_REGN_CTAS_z_win,params_TEAM_VRTX_beta_win,params_TEAM_VRTX_stop_loss,params_TEAM_VRTX_trade_freq,params_TEAM_VRTX_z_entry,params_TEAM_VRTX_z_exit,params_TEAM_VRTX_z_stop_scaler,params_TEAM_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
36,36,1.0018602440679096,2025-06-22 16:19:58.738100,2025-06-22 16:20:18.179057,0 days 00:00:19.440957,,,,,,,,3880,0.015,3m,1.8,0.4,1.5,200,1936,0.035,1m,2.0,0.8,1.5,952,5616.0,0.015,1m,2.4000000000000004,0.4,1.0,584.0,6160.0,0.03,2m,3.0,0.8,0.5,648.0,5456,0.045000000000000005,2m,1.8,0.6000000000000001,0.5,512,,,,,,,,4056,0.02,5m,1.0,0.4,1.0,544,,,,,,,,,,,,,,,4104.0,0.01,1m,3.0,1.0,1.0,296.0,,,,,,,,3288.0,0.02,3m,1.4,1.0,0.5,1000.0,3560,0.04,2m,3.0,0.6000000000000001,1.0,896,2736.0,0.04,1m,2.8,0.0,0.5,632.0,3384,0.02,4m,2.4000000000000004,1.0,0.5,328,8168.0,0.01,2m,2.8,0.2,0.5,168.0,5088,0.05,2m,3.0,0.2,0.5,280,7792,0.045000000000000005,5m,1.6,0.4,0.5,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648,0.02,3m,2.8,0.6000000000000001,1.5,408,4544,0.03,1m,1.6,0.0,2.0,600,1048.0,0.035,5m,1.6,0.6000000000000001,1.0,880.0,0.25,17,COMPLETE
37,37,0.9820069411516053,2025-06-22 16:20:18.241915,2025-06-22 16:20:33.792717,0 days 00:00:15.550802,,,,,,,,4968,0.015,1m,1.4,0.6000000000000001,1.5,192,2288,0.015,3m,1.8,1.0,1.5,936,6560.0,0.015,1m,2.6,0.2,1.0,608.0,6088.0,0.025,2m,2.8,1.0,0.5,600.0,5128,0.04,2m,1.6,0.2,1.0,144,,,,,,,,3064,0.02,5m,1.4,0.2,0.5,408,,,,,,,,,,,,,,,4696.0,0.015,1m,3.0,0.8,1.0,472.0,,,,,,,,2120.0,0.03,3m,1.2,1.0,0.5,920.0,4120,0.035,2m,2.4000000000000004,0.4,0.5,800,,,,,,,,2688,0.025,3m,2.8,1.0,0.5,424,7680.0,0.01,2m,3.0,0.2,0.5,856.0,3880,0.04,4m,3.0,0.0,1.0,256,6088,0.05,5m,1.8,0.2,0.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032,0.025,4m,2.6,0.6000000000000001,1.0,496,1728,0.025,4m,2.0,0.4,1.5,728,1584.0,0.025,5m,2.0,0.8,1.0,856.0,0.25,16,COMPLETE
38,38,0.9252831483033951,2025-06-22 16:20:33.832409,2025-06-22 16:20:53.068775,0 days 00:00:19.236366,,,,,,,,4392,0.01,4m,1.0,1.0,2.0,320,3704,0.05,2m,1.2,0.8,2.0,792,6288.0,0.02,1m,2.6,0.4,0.5,496.0,4944.0,0.035,2m,3.0,0.8,0.5,528.0,2192,0.05,2m,1.0,0.6000000000000001,0.5,424,3360.0,0.015,1m,1.6,0.4,0.5,792.0,2184,0.01,5m,1.0,0.2,1.0,928,,,,,,,,,,,,,,,2552.0,0.01,1m,2.8,1.0,1.0,352.0,,,,,,,,2432.0,0.02,3m,1.0,1.0,0.5,576.0,2816,0.04,2m,2.6,0.2,1.0,704,5488.0,0.035,5m,2.2,0.2,1.5,856.0,1808,0.015,4m,2.4000000000000004,1.0,0.5,456,6728.0,0.015,2m,2.6,0.4,1.0,976.0,5472,0.025,3m,1.0,0.0,0.5,336,7264,0.045000000000000005,5m,2.0,0.0,0.5,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.0,0.04,5m,1.6,1.0,1.0,688.0,6512.0,0.025,4m,2.0,0.4,0.5,640.0,3416,0.03,5m,1.4,0.6000000000000001,2.0,248,4184,0.04,1m,1.0,0.8,1.5,472,2728.0,0.035,5m,2.0,0.6000000000000001,1.0,968.0,0.2,20,COMPLETE
39,39,0.9606646884971488,2025-06-22 16:20:53.135906,2025-06-22 16:21:16.606659,0 days 00:00:23.470753,3656.0,0.045000000000000005,2m,3.0,0.4,1.5,640.0,3592,0.03,5m,1.6,0.6000000000000001,1.5,408,1896,0.045000000000000005,1m,1.8,0.6000000000000001,1.5,360,7096.0,0.025,3m,2.4000000000000004,0.2,1.0,776.0,6816.0,0.03,2m,2.6,0.6000000000000001,1.0,704.0,1136,0.03,2m,1.6,0.0,0.5,248,2184.0,0.02,5m,1.2,0.0,1.0,456.0,4944,0.025,5m,1.8,0.4,1.0,616,5568.0,0.045000000000000005,4m,2.0,0.2,0.5,456.0,,,,,,,,3520.0,0.015,1m,2.4000000000000004,0.8,1.0,272.0,3960.0,0.015,2m,1.0,0.8,0.5,280.0,3272.0,0.025,2m,1.6,0.8,1.0,728.0,3472,0.035,2m,2.8,0.0,0.5,872,4176.0,0.03,3m,2.8,0.6000000000000001,0.5,736.0,3904,0.035,4m,2.2,0.4,1.5,176,7392.0,0.015,2m,2.2,0.4,0.5,760.0,5904,0.015,1m,2.8,0.2,0.5,784,8088,0.04,5m,1.6,0.4,1.5,248,,,,,,,,,,,,,,,3552.0,0.02,3m,1.2,0.8,2.0,504.0,7072.0,0.025,3m,1.8,0.6000000000000001,1.0,688.0,,,,,,,,6688.0,0.015,3m,3.0,0.8,1.0,632.0,1024.0,0.045000000000000005,3m,2.0,0.6000000000000001,1.5,960.0,5664.0,0.01,3m,2.2,0.6000000000000001,1.0,360.0,1992,0.02,4m,2.0,1.0,2.0,960,4968,0.045000000000000005,3m,2.4000000000000004,0.2,2.0,688,1400.0,0.025,5m,1.8,1.0,1.5,776.0,0.35000000000000003,26,COMPLETE
40,40,0.982700794144324,2025-06-22 16:21:16.666106,2025-06-22 16:21:43.659352,0 days 00:00:26.993246,2816.0,0.05,2m,1.6,0.6000000000000001,1.0,832.0,5440,0.01,4m,1.8,0.8,1.5,680,1416,0.03,3m,2.2,0.4,2.0,424,5264.0,0.01,4m,1.0,0.6000000000000001,1.5,688.0,7752.0,0.035,5m,1.8,1.0,0.5,824.0,6984,0.04,1m,2.4000000000000004,1.0,2.0,344,1496.0,0.03,2m,1.8,0.6000000000000001,1.5,664.0,4368,0.03,4m,3.0,0.4,0.5,704,5872.0,0.035,4m,2.4000000000000004,0.0,2.0,312.0,4152.0,0.02,5m,1.2,0.2,1.0,744.0,3816.0,0.02,4m,2.8,1.0,1.5,200.0,5576.0,0.03,4m,1.6,0.6000000000000001,1.5,520.0,4584.0,0.01,5m,1.4,1.0,0.5,664.0,4144,0.05,5m,2.4000000000000004,0.6000000000000001,1.0,960,3880.0,0.04,1m,2.6,0.4,0.5,800.0,4176,0.02,1m,2.6,0.8,1.0,312,7784.0,0.02,2m,2.8,0.2,1.0,696.0,4440,0.03,2m,1.8,0.2,1.0,464,3264,0.03,4m,2.0,0.2,1.5,736,2608.0,0.04,2m,1.6,0.6000000000000001,1.5,848.0,,,,,,,,1984.0,0.045000000000000005,1m,1.8,0.4,1.5,264.0,1720.0,0.03,4m,1.2,0.8,0.5,928.0,,,,,,,,5616.0,0.02,1m,2.2,0.0,1.5,840.0,4072.0,0.025,1m,1.0,0.8,2.0,832.0,7776.0,0.02,5m,1.4,0.4,0.5,480.0,2496,0.025,3m,2.6,0.8,1.5,376,3640,0.03,2m,1.2,0.0,1.5,776,2080.0,0.04,5m,2.4000000000000004,0.6000000000000001,0.5,840.0,0.1,28,COMPLETE
41,41,0.9929915890307811,2025-06-22 16:21:43.751604,2025-06-22 16:22:01.385988,0 days 00:00:17.634384,,,,,,,,3168,0.015,4m,2.0,0.2,2.0,240,3072,0.015,3m,2.6,1.0,2.0,488,4808.0,0.03,1m,2.2,0.0,0.5,408.0,5952.0,0.045000000000000005,2m,1.6,0.2,0.5,1008.0,5896,0.035,4m,2.2,0.8,0.5,296,,,,,,,,3784,0.015,2m,2.0,0.6000000000000001,1.5,512,,,,,,,,,,,,,,,5360.0,0.05,1m,3.0,0.6000000000000001,2.0,440.0,,,,,,,,4008.0,0.02,3m,1.0,0.8,1.5,432.0,5160,0.045000000000000005,4m,2.8,0.2,1.5,992,6224.0,0.025,3m,3.0,0.0,1.0,896.0,4760,0.01,4m,2.0,1.0,1.5,240,7216.0,0.035,1m,1.8,0.0,0.5,920.0,6352,0.045000000000000005,4m,2.4000000000000004,0.4,0.5,360,3872,0.035,2m,2.2,0.0,0.5,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.0,0.035,4m,1.4,0.8,1.5,1024.0,,,,,,,,1392,0.035,4m,2.4000000000000004,0.4,2.0,272,2752,0.035,1m,1.8,0.6000000000000001,2.0,800,2448.0,0.045000000000000005,4m,2.0,0.8,1.0,560.0,0.3,18,COMPLETE
42,42,0.937235059153396,2025-06-22 16:22:01.444932,2025-06-22 16:22:13.911848,0 days 00:00:12.466916,,,,,,,,3488,0.02,4m,2.2,0.0,2.0,304,2712,0.01,3m,2.8,1.0,2.0,808,,,,,,,,4120.0,0.04,4m,2.8,0.8,1.0,776.0,6112,0.04,2m,1.8,0.8,0.5,184,,,,,,,,3752,0.02,5m,2.2,0.6000000000000001,1.0,448,,,,,,,,,,,,,,,4336.0,0.025,5m,2.6,0.8,1.0,576.0,,,,,,,,,,,,,,,6224,0.04,2m,2.8,0.2,1.0,936,,,,,,,,3448,0.015,4m,1.6,0.8,2.0,384,,,,,,,,7768,0.05,4m,1.4,0.2,0.5,432,5896,0.035,1m,2.4000000000000004,0.0,1.0,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,0.03,4m,2.2,0.4,2.0,304,2952,0.035,1m,1.8,0.4,2.0,848,1288.0,0.025,1m,1.4,1.0,1.5,136.0,0.15000000000000002,13,COMPLETE
43,43,0.9472699483436776,2025-06-22 16:22:13.974128,2025-06-22 16:22:29.710104,0 days 00:00:15.735976,,,,,,,,3832,0.025,4m,1.2,0.2,2.0,232,2288,0.015,3m,2.0,1.0,2.0,744,6160.0,0.025,3m,1.8,0.4,1.0,832.0,1088.0,0.02,2m,3.0,0.6000000000000001,1.0,888.0,5568,0.045000000000000005,3m,2.0,0.6000000000000001,0.5,280,,,,,,,,5520,0.015,1m,1.2,0.8,2.0,360,,,,,,,,,,,,,,,3144.0,0.01,2m,2.6,1.0,1.5,312.0,,,,,,,,4400.0,0.015,2m,1.6,1.0,1.0,784.0,6864,0.045000000000000005,1m,3.0,0.2,1.5,768,,,,,,,,5128,0.015,4m,1.8,0.6000000000000001,0.5,272,6584.0,0.02,4m,3.0,0.4,1.0,824.0,7216,0.045000000000000005,4m,2.4000000000000004,0.6000000000000001,0.5,232,3160,0.04,5m,2.0,0.0,1.5,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112,0.035,4m,2.0,0.2,2.0,440,2232,0.04,1m,1.6,0.6000000000000001,2.0,888,4368.0,0.03,3m,2.2,0.6000000000000001,1.0,912.0,0.45,16,COMPLETE
44,44,0.9918502851908024,2025-06-22 16:22:29.746898,2025-06-22 16:22:39.145088,0 days 00:00:09.398190,,,,,,,,2744,0.01,4m,2.2,0.2,2.0,368,3280,0.01,4m,2.4000000000000004,1.0,1.5,320,,,,,,,,,,,,,,,4592,0.03,5m,2.0,0.8,1.0,328,,,,,,,,2560,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7856,0.045000000000000005,3m,2.6,0.4,0.5,888,,,,,,,,4624,0.01,3m,2.2,1.0,2.0,176,,,,,,,,8184,0.04,4m,2.8,0.0,0.5,520,3704,0.025,1m,2.2,0.2,1.0,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,0.03,4m,2.8,0.6000000000000001,2.0,376,1384,0.03,1m,2.0,0.4,2.0,744,,,,,,,,0.25,10,COMPLETE
45,45,0.9755787046779362,2025-06-22 16:22:39.213334,2025-06-22 16:22:58.461808,0 days 00:00:19.248474,,,,,,,,4336,0.02,3m,2.0,0.4,2.0,464,3736,0.02,3m,2.2,0.8,2.0,968,5464.0,0.02,5m,2.0,0.6000000000000001,1.5,928.0,3608.0,0.025,2m,2.6,1.0,1.5,464.0,4896,0.035,5m,2.4000000000000004,0.4,0.5,600,4104.0,0.025,3m,1.0,0.2,0.5,888.0,3312,0.015,4m,2.6,0.4,1.0,592,,,,,,,,,,,,,,,1952.0,0.015,3m,1.8,0.6000000000000001,1.0,384.0,,,,,,,,2608.0,0.025,3m,1.8,1.0,1.5,952.0,4776,0.05,5m,2.8,0.0,2.0,992,6904.0,0.045000000000000005,4m,2.4000000000000004,1.0,1.0,224.0,6104,0.05,2m,2.0,0.4,1.5,712,8176.0,0.05,2m,1.8,0.2,0.5,1024.0,5568,0.045000000000000005,4m,1.4,0.4,0.5,712,4384,0.05,1m,2.6,0.0,1.5,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4224.0,0.05,5m,2.2,0.6000000000000001,0.5,752.0,7040.0,0.01,1m,1.2,0.8,1.0,320.0,1056.0,0.015,2m,1.4,0.6000000000000001,0.5,640.0,2312,0.04,2m,2.6,0.4,1.5,176,3400,0.035,1m,2.2,0.4,2.0,584,1848.0,0.015,4m,1.6,0.4,1.0,968.0,0.4,21,COMPLETE
46,46,0.9380093266272487,2025-06-22 16:22:58.542340,2025-06-22 16:23:17.947485,0 days 00:00:19.405145,2040.0,0.03,5m,1.2,0.0,1.5,944.0,4952,0.015,1m,1.6,0.0,1.5,432,2008,0.025,3m,2.4000000000000004,0.8,2.0,664,6944.0,0.015,3m,2.4000000000000004,0.6000000000000001,2.0,760.0,6408.0,0.035,4m,2.0,0.2,0.5,648.0,4096,0.04,1m,1.4,1.0,0.5,480,3424.0,0.045000000000000005,3m,1.0,0.8,1.0,1024.0,1824,0.025,5m,1.6,0.8,1.5,664,7144.0,0.05,2m,1.4,0.2,1.5,184.0,,,,,,,,2584.0,0.02,1m,2.2,0.8,1.0,496.0,,,,,,,,1912.0,0.02,5m,1.2,0.8,0.5,640.0,3152,0.04,4m,1.8,0.2,1.0,912,5632.0,0.015,5m,2.6,0.8,0.5,952.0,3720,0.02,4m,1.4,0.8,2.0,336,7816.0,0.04,3m,2.4000000000000004,1.0,1.0,944.0,4136,0.05,4m,1.8,0.4,1.0,192,5064,0.035,4m,2.4000000000000004,0.2,0.5,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6512.0,0.01,3m,2.8,0.2,2.0,928.0,1480.0,0.03,3m,1.6,0.6000000000000001,1.5,960.0,6792.0,0.035,4m,2.0,0.2,1.0,256.0,1072,0.01,4m,2.4000000000000004,0.6000000000000001,2.0,632,2400,0.025,4m,1.4,0.2,2.0,824,4832.0,0.04,2m,2.4000000000000004,0.8,1.5,432.0,0.3,23,COMPLETE
47,47,0.9904229358792732,2025-06-22 16:23:17.996078,2025-06-22 16:23:50.302345,0 days 00:00:32.306267,7832.0,0.045000000000000005,2m,2.0,0.4,1.0,728.0,2136,0.035,4m,1.8,0.4,2.0,168,1368,0.04,1m,2.0,1.0,1.5,616,7720.0,0.045000000000000005,1m,1.2,0.2,0.5,648.0,5384.0,0.03,3m,2.8,0.8,0.5,776.0,6744,0.03,5m,2.2,1.0,1.5,384,4760.0,0.025,1m,2.2,0.4,2.0,824.0,4464,0.02,2m,2.6,0.2,1.0,344,4144.0,0.035,1m,1.0,0.4,1.0,312.0,2360.0,0.04,3m,1.6,0.0,2.0,304.0,1352.0,0.01,1m,2.8,1.0,0.5,1000.0,2824.0,0.01,3m,2.6,1.0,0.5,1024.0,1136.0,0.03,1m,1.0,1.0,1.0,856.0,5864,0.05,1m,3.0,0.4,1.5,992,4840.0,0.035,1m,1.0,0.0,1.5,680.0,2864,0.015,4m,1.8,0.8,1.0,264,6864.0,0.01,2m,1.2,0.8,0.5,856.0,5200,0.025,1m,1.2,0.2,2.0,1016,6672,0.045000000000000005,1m,2.0,0.0,1.0,648,,,,,,,,,,,,,,,5096.0,0.015,1m,2.2,1.0,1.0,128.0,3552.0,0.045000000000000005,3m,1.6,0.4,1.0,528.0,,,,,,,,4432.0,0.035,4m,2.6,1.0,1.0,1024.0,6312.0,0.04,4m,2.6,1.0,2.0,720.0,5344.0,0.03,2m,2.4000000000000004,0.6000000000000001,0.5,552.0,1352,0.015,5m,1.8,0.0,1.5,464,2000,0.03,2m,1.6,0.6000000000000001,1.0,936,3584.0,0.035,5m,1.8,0.4,0.5,688.0,0.2,27,COMPLETE
48,48,0.9614888633524603,2025-06-22 16:23:50.422529,2025-06-22 16:24:17.887994,0 days 00:00:27.465465,1776.0,0.04,3m,1.4,0.6000000000000001,1.5,264.0,2376,0.015,5m,2.4000000000000004,1.0,1.0,280,4336,0.01,3m,1.2,0.2,1.0,896,3888.0,0.025,3m,1.6,0.0,1.5,720.0,6968.0,0.02,2m,2.0,0.6000000000000001,1.5,936.0,3472,0.035,2m,1.8,0.8,1.0,520,5792.0,0.02,2m,2.8,0.0,1.0,928.0,3680,0.01,2m,2.2,0.6000000000000001,0.5,448,6448.0,0.04,3m,1.6,0.0,2.0,280.0,7952.0,0.015,3m,2.6,0.6000000000000001,1.0,544.0,6336.0,0.025,2m,2.4000000000000004,0.8,1.0,168.0,1840.0,0.025,1m,2.2,0.8,1.0,232.0,4904.0,0.035,4m,1.4,0.6000000000000001,1.5,320.0,2296,0.045000000000000005,2m,2.6,0.2,1.5,848,3160.0,0.03,4m,2.8,0.4,2.0,456.0,2440,0.01,4m,2.2,0.6000000000000001,2.0,128,6344.0,0.04,1m,2.8,0.6000000000000001,1.0,752.0,6464,0.04,3m,1.0,0.6000000000000001,0.5,376,3560,0.04,5m,1.4,0.4,1.0,872,6160.0,0.02,5m,2.6,0.2,1.0,432.0,5544.0,0.015,4m,2.2,0.8,1.0,736.0,6184.0,0.025,3m,1.6,0.8,2.0,232.0,6704.0,0.015,1m,2.0,0.2,0.5,744.0,,,,,,,,7688.0,0.015,3m,2.4000000000000004,1.0,2.0,560.0,2496.0,0.02,1m,1.4,0.6000000000000001,1.5,584.0,3992.0,0.025,4m,1.8,1.0,1.5,312.0,1888,0.045000000000000005,4m,3.0,0.8,2.0,760,1384,0.02,1m,2.8,0.2,1.5,656,3184.0,0.05,4m,2.8,0.6000000000000001,1.0,264.0,0.5,29,COMPLETE
49,49,0.9247884449327156,2025-06-22 16:24:17.950737,2025-06-22 16:24:43.644302,0 days 00:00:25.693565,3840.0,0.05,2m,1.6,0.2,1.0,608.0,3888,0.01,4m,1.6,0.2,1.5,232,2712,0.05,2m,2.6,0.6000000000000001,2.0,528,7368.0,0.01,1m,2.8,0.4,1.0,816.0,3048.0,0.025,5m,1.4,1.0,1.0,264.0,8168,0.025,5m,2.0,0.4,0.5,664,4328.0,0.015,5m,1.4,0.6000000000000001,1.5,520.0,4104,0.03,1m,3.0,0.4,2.0,816,5216.0,0.045000000000000005,4m,2.4000000000000004,0.2,1.5,472.0,,,,,,,,5480.0,0.045000000000000005,4m,2.6,0.6000000000000001,2.0,328.0,,,,,,,,4000.0,0.015,1m,2.0,0.8,0.5,832.0,4464,0.04,1m,2.8,0.0,0.5,424,6080.0,0.015,3m,2.2,0.6000000000000001,0.5,832.0,6704,0.02,3m,1.6,0.4,2.0,400,2232.0,0.025,2m,2.2,0.4,0.5,640.0,7088,0.035,4m,2.0,0.0,1.0,312,2312,0.03,3m,2.2,0.0,1.5,800,,,,,,,,,,,,,,,4744.0,0.01,1m,1.2,0.6000000000000001,1.5,656.0,4816.0,0.03,5m,1.2,0.6000000000000001,0.5,904.0,,,,,,,,2952.0,0.025,4m,3.0,0.8,0.5,728.0,5232.0,0.035,4m,1.2,0.4,1.0,384.0,6280.0,0.02,3m,1.2,0.6000000000000001,2.0,424.0,5048,0.025,3m,2.2,0.6000000000000001,0.5,208,5952,0.045000000000000005,1m,1.8,0.4,2.0,824,2280.0,0.035,1m,2.0,0.0,1.5,888.0,0.05,25,COMPLETE
