date,time,PRICE_ARM_ARM_ON_ROP,PRICE_ROP_ARM_ON_ROP,PRICE_IDXX_IDXX_ON_ON,PRICE_ON_IDXX_ON_ON,BETA_IDXX_ON_ON,SPREAD_IDXX_ON_ON,Z_IDXX_ON_ON,BETA_ARM_ON_ROP,SPREAD_ARM_ON_ROP,Z_ARM_ON_ROP,market_close,SIGNAL_IDXX_ON_ON,SIGNAL_ARM_ON_ROP,POS_IDXX_ON_ON,POS_ARM_ON_ROP,POS_BETA_IDXX_ON_ON,POS_BETA_ARM_ON_ROP,PAIR_BASE_IDXX_ON_ON,PAIR_BASE_ARM_ON_ROP,PAIR_RET_IDXX_ON_ON,PAIR_RET_ARM_ON_ROP,SL_IDXX_ON_ON,SL_ARM_ON_ROP,LOSS_IDXX_ON_ON,LOSS_ARM_ON_ROP,COOLDOWN_IDXX_ON_ON,COOLDOWN_ARM_ON_ROP,CAPITAL_IDXX_ON_ON,CAPITAL_ARM_ON_ROP,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-12-04,14:41:00.000000000,142.71,571.76,426.865,68.1,2.3452390971742245,267.15421748243534,-1.5035855538271579,0.28066205749983947,-17.76133799610821,-2.179234178853333,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:42:00.000000000,142.495,572.315,426.865,68.1001,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:43:00.000000000,142.5111,572.0,428.43,67.99,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:44:00.000000000,142.4975,571.5,428.635,68.0367,,,,0.28886197556516957,-22.587119035494396,-2.1890909720211997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:45:00.000000000,142.345,571.39,428.635,67.96,2.336654443787091,269.8359640002293,-1.4485065791503173,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:46:00.000000000,142.5,572.015,429.11,68.13,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:47:00.000000000,142.3543,572.015,429.0,68.21,,,,0.29733194863172646,-27.724034596577013,-2.2018750907527953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:48:00.000000000,142.6066,572.31,427.565,68.1,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:49:00.000000000,142.6802,572.54,426.42,68.08,2.330786362155034,267.7400644644853,-1.5040196394936736,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:50:00.000000000,142.745,572.97,426.69,67.9,,,,0.3060372354500892,-32.60515479583762,-2.207548015489059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:51:00.000000000,142.89,572.87,427.23,67.71,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-12-04,14:52:00.000000000,142.8899,572.92,425.605,67.65,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
