date,time,PRICE_ADP_ADP_ON_PAYX,PRICE_PAYX_ADP_ON_PAYX,BETA_ADP_ON_PAYX,SPREAD_ADP_ON_PAYX,Z_ADP_ON_PAYX,market_close,SIGNAL_ADP_ON_PAYX,POS_ADP_ON_PAYX,POS_BETA_ADP_ON_PAYX,PAIR_BASE_ADP_ON_PAYX,PAIR_RET_ADP_ON_PAYX,SL_ADP_ON_PAYX,LOSS_ADP_ON_PAYX,COOLDOWN_ADP_ON_PAYX,CAPITAL_ADP_ON_PAYX,REMAINING_CAPITAL,CAPITAL,PORT_RET
2025-03-31,15:06:00.000000000,303.01,152.11,0.7011175814253,196.3630046893976,0.3468982152600436,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:07:00.000000000,303.01,152.23,0.6969990939560303,196.90582792707352,0.353656414936235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:08:00.000000000,302.94,152.24,0.692321829141334,197.54092473152332,0.3615787556117688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:09:00.000000000,302.945,152.23,0.6877138112828002,198.25432650841933,0.37048615405553964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:10:00.000000000,302.945,152.24,0.6834876764392418,198.89083613888982,0.3784055386153952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:11:00.000000000,302.75,152.135,0.6797444961572274,199.3370710771202,0.383893665211238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:12:00.000000000,303.11,152.165,0.6768622916598543,200.11524938957828,0.3935952449314682,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:13:00.000000000,303.1,152.36,0.6732837739252806,200.51848420474425,0.39851528365014566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:14:00.000000000,303.1439,152.385,0.6689954386818244,201.19903007647017,0.40695422989690827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:15:00.000000000,303.17,152.505,0.6644843104177829,201.83282023973604,0.414786494110323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:16:00.000000000,303.35,152.545,0.6608877667115653,202.53487562698427,0.4234770227031725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:17:00.000000000,303.2,152.56,0.6556830334018153,203.16899642421905,0.43129602068373224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:18:00.000000000,303.3,152.685,0.6503258269066833,204.00500111875306,0.4416676657270048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:19:00.000000000,303.36,152.7,0.6454867798056935,204.79416872367062,0.4514280841810957,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:20:00.000000000,303.295,152.84,0.6391244447947291,205.61121985757362,0.461530442237857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:21:00.000000000,303.1,152.5,0.6341961560513487,206.38508620216936,0.47106404381487044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:22:00.000000000,303.065,152.62,0.6280748734653923,207.20821281171183,0.4812092377898755,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:23:00.000000000,303.22,152.63,0.621437206107759,208.37003923177278,0.4956351342417013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:24:00.000000000,303.07,152.63,0.6156575222134985,209.10219238455375,0.5045874243701087,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:25:00.000000000,302.87,152.52,0.6101244192883472,209.8138235701413,0.5132612599410795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:26:00.000000000,302.95,152.32,0.6048558316469369,210.81835972353855,0.525637329531452,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:27:00.000000000,302.855,152.265,0.5992271549922251,211.61367724510887,0.535343444176742,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:28:00.000000000,302.855,152.185,0.5912822218395966,212.87071506934103,0.5508888071256972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:29:00.000000000,302.47,152.075,0.5850356146861033,213.5007088966109,0.5584530310548558,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:30:00.000000000,302.39,152.005,0.5781435240405238,214.50929362822018,0.5708027282882464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:31:00.000000000,302.51,152.27,0.5708501214866883,215.58665200122195,0.5840048021400126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:32:00.000000000,302.3,152.21,0.5626829020762225,216.65403547497817,0.5970523413144884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:33:00.000000000,302.415,152.375,0.5549648173739086,217.8522359526507,0.6117023000519634,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:34:00.000000000,302.22,152.16,0.5397052753048505,220.09844530961396,0.6396641955331958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:35:00.000000000,302.235,152.22,0.5231416322911749,222.60238073263736,0.6708124456706988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:36:00.000000000,302.235,152.12,0.5123350010448372,224.29859964105938,0.6916626853518935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:37:00.000000000,302.29,152.14,0.5006527697090825,226.1206876164602,0.7140646021453633,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:38:00.000000000,302.41,152.28,0.4871694030182929,228.2238433083744,0.7399865112818019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:39:00.000000000,302.42,152.14,0.4762599974141375,229.96180399341313,0.7612363599429197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:40:00.000000000,302.37,152.14,0.4655904762159828,231.5350649485004,0.780344885688121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:41:00.000000000,302.48,152.26,0.45764996640828454,232.79821611467463,0.7954864038643662,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:42:00.000000000,302.56,152.32,0.45006557341952097,234.00601185673855,0.8098822076360956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:43:00.000000000,302.655,152.295,0.4406876033786814,235.5404814434437,0.8283727434135119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:44:00.000000000,302.525,152.229,0.43176043353594645,236.7985409632564,0.8433329447366823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:45:00.000000000,302.3537,152.15,0.42168062518711225,238.19499287778086,0.8599966310871975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:46:00.000000000,302.535,152.2,0.4159666317891792,239.22487864168696,0.8719884150430044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:47:00.000000000,302.72,152.38,0.40838787060200515,240.4898562776665,0.8869234847918469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:48:00.000000000,302.8,152.39,0.4031507524099213,241.3638568402521,0.8968867778733027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:49:00.000000000,302.825,152.41,0.40045604005565144,241.79149493511815,0.9011882663246732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:50:00.000000000,302.785,152.31,0.3972787716990023,242.275470282525,0.9061868648079231,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:51:00.000000000,302.61,152.28,0.3921121122633641,242.89916754453492,0.9129349182843144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:52:00.000000000,302.58,152.245,0.3842731412490207,244.07633561054283,0.9266358534100348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:53:00.000000000,302.53,152.21,0.37669219686587935,245.19368071504448,0.9395485953024808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:54:00.000000000,302.47,152.2815,0.36988435437301953,246.14345568954505,0.9503162987501692,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:55:00.000000000,302.11,151.97,0.3628734541218935,246.96412117709588,0.9594321980243458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:56:00.000000000,302.28,152.12,0.3539349103136688,248.43942144308468,0.9767432214849434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:57:00.000000000,302.24,152.16,0.3474171494666656,249.37700653715217,0.9872398771167807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:58:00.000000000,302.33,152.25,0.34038310869180766,250.50667170167227,1.0001105828126031,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,15:59:00.000000000,302.275,152.145,0.33361715270254466,251.51681830207133,1.011445195143824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:00:00.000000000,302.275,152.16,0.32686021551610284,252.5399496070698,1.0229006976196087,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:01:00.000000000,302.31,152.16,0.32020614184296936,253.5874334571738,1.0346256302273549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:02:00.000000000,302.34,152.16,0.31634498175647,254.2049475759355,1.0409256640242042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:03:00.000000000,302.2,152.13,0.3148289193865735,254.30507649372058,1.040724780246623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:04:00.000000000,302.115,152.0,0.31374013392407457,254.42649964354067,1.0407943107952524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:05:00.000000000,302.13,152.19,0.3126689390425345,254.54491416711667,1.0408182169334945,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:06:00.000000000,302.05,152.1659,0.31130704770819995,254.67968290913882,1.0410530854241011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:07:00.000000000,302.025995,152.145229,0.30834894029043697,255.11217486760415,1.0450060736526925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-31,16:08:00.000000000,301.975,152.16,0.30546818861351954,255.49496042056688,1.0483223910448056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
